date,open,high,low,close,volume
2008-02-29,24.799999,24.799999,24.799999,24.799999,1000
2008-03-03,24.33,24.4,24.299999,24.4,5800
2008-03-04,24.4,25.08,24.33,25,17100
2008-03-05,24.719999,24.719999,24.25,24.27,9600
2008-03-06,24.4,24.690001,24.4,24.5,8900
2008-03-07,24.469999,24.719999,24.469999,24.610001,17600
2008-03-10,24.940001,24.940001,24.629999,24.73,42600
2008-03-11,24.629999,25.129999,24.6,25.09,10700
2008-03-12,24.6,24.620001,24.389999,24.440001,12300
2008-03-13,23.969999,24.209999,23.969999,24.09,16500
2008-03-14,24.209999,24.209999,23.879999,24.059999,22000
2008-03-17,24.129999,24.129999,23.58,23.9,8700
2008-03-18,23.92,24.559999,23.91,24.559999,18000
2008-03-19,24.950001,25.73,24.950001,25.58,60900
2008-03-20,26.25,26.360001,25.870001,26.33,75300
2008-03-24,26.32,26.530001,25.879999,26.280001,43800
2008-03-25,25.82,25.889999,25.540001,25.6,15500
2008-03-26,25.52,25.52,25.23,25.280001,23500
2008-03-27,25.290001,25.440001,25.18,25.379999,6700
2008-03-28,25.84,25.9,25.719999,25.790001,8000
2008-03-31,25.6,26.27,25.6,26.17,15600
2008-04-01,26.9,27.290001,26.9,27.01,75600
2008-04-02,27,27.16,26.530001,26.530001,56600
2008-04-03,26.719999,26.719999,26.370001,26.48,13100
2008-04-04,26.379999,26.5,26.200001,26.219999,3900
2008-04-07,26.02,26.09,25.82,25.950001,9700
2008-04-08,26.209999,26.389999,26.18,26.27,27300
2008-04-09,26.299999,26.299999,25.65,25.65,13700
2008-04-10,25.620001,26.02,25.620001,25.83,12200
2008-04-11,26.030001,26.030001,25.950001,25.950001,1300
2008-04-14,25.889999,26.030001,25.879999,26.030001,500
2008-04-15,25.84,25.9,25.84,25.85,900
2008-04-16,25.370001,25.4,25.26,25.4,101000
2008-04-17,25.309999,25.59,25.309999,25.51,1400
2008-04-18,26.4,26.5,26.15,26.15,5200
2008-04-21,26.09,26.299999,26.09,26.190001,48800
2008-04-22,26.16,26.16,25.91,26.059999,3600
2008-04-23,26.73,26.73,26.469999,26.549999,8300
2008-04-24,26.83,27.139999,26.73,27.1,16100
2008-04-25,26.83,27.07,26.809999,27.07,11600
2008-04-28,26.889999,26.93,26.84,26.92,2600
2008-04-29,27.219999,27.6,27.219999,27.59,12500
2008-04-30,27.459999,27.65,27.25,27.360001,29400
2008-05-01,27.940001,28.27,27.700001,28.15,15300
2008-05-02,28.01,28.110001,27.91,27.91,11400
2008-05-05,27.540001,27.65,27.389999,27.389999,7300
2008-05-06,27.34,27.370001,27.129999,27.280001,15300
2008-05-07,27.65,27.65,27.549999,27.549999,2000
2008-05-08,27.299999,27.299999,27.049999,27.1,2100
2008-05-09,27.040001,27.57,27.030001,27.030001,16100
2008-05-12,27.08,27.08,27.08,27.08,4900
2008-05-13,27.790001,27.790001,27.58,27.620001,1300
2008-05-14,27.700001,27.74,27.65,27.74,900
2008-05-15,27.23,27.370001,27.07,27.299999,2000
2008-05-16,26.68,26.700001,26.469999,26.49,6700
2008-05-19,26.4,26.540001,26.33,26.48,37300
2008-05-20,26.41,26.41,25.879999,25.940001,13900
2008-05-21,26,26,25.58,25.620001,7800
2008-05-22,25.83,26.040001,25.83,26.040001,500
2008-05-23,25.860001,25.93,25.74,25.91,1100
2008-05-27,26.440001,26.5,26.33,26.5,5300
2008-05-28,26.790001,26.82,26.540001,26.540001,3300
