mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.3554183169809124,10,0.008694002710104218,Model01
3,1,0.1,rmse,standard,0.46533769448644396,10,0.009345936843391548,Model01
3,1,0.1,rsq,standard,0.39377641174564465,10,0.027326674715888025,Model01
5,1,0.1,mae,standard,0.35482182967015463,10,0.00895353553812313,Model02
5,1,0.1,rmse,standard,0.46472825851438426,10,0.009473450804237189,Model02
5,1,0.1,rsq,standard,0.3952079391146332,10,0.027944475757996835,Model02
7,1,0.1,mae,standard,0.3544631992219634,10,0.0088936933541171,Model03
7,1,0.1,rmse,standard,0.4646181411547792,10,0.009466258717225296,Model03
7,1,0.1,rsq,standard,0.3956351308155744,10,0.027478513962494133,Model03
10,1,0.1,mae,standard,0.3545405247459593,10,0.008805462074017755,Model04
10,1,0.1,rmse,standard,0.46484837844618576,10,0.009401926550287579,Model04
10,1,0.1,rsq,standard,0.3948990559308752,10,0.027823964408222632,Model04
3,3,0.1,mae,standard,0.3006434016496421,10,0.006800094449238488,Model05
3,3,0.1,rmse,standard,0.41131131591369097,10,0.010853642607548524,Model05
3,3,0.1,rsq,standard,0.5298624036102756,10,0.023709386187857492,Model05
5,3,0.1,mae,standard,0.2986112778995232,10,0.0069534278251161515,Model06
5,3,0.1,rmse,standard,0.40674688924267205,10,0.012224082912607334,Model06
5,3,0.1,rsq,standard,0.5373753226469695,10,0.02860151435464135,Model06
7,3,0.1,mae,standard,0.2916912550057325,10,0.00826362061725436,Model07
7,3,0.1,rmse,standard,0.40150520007045726,10,0.013115639202766424,Model07
7,3,0.1,rsq,standard,0.5474349641695456,10,0.03277424600452503,Model07
10,3,0.1,mae,standard,0.29011972209306086,10,0.008582003710170625,Model08
10,3,0.1,rmse,standard,0.39952308138860326,10,0.012711456812785607,Model08
10,3,0.1,rsq,standard,0.5503422129032933,10,0.034612125911128146,Model08
3,5,0.1,mae,standard,0.2823026877419801,10,0.007607975969042797,Model09
3,5,0.1,rmse,standard,0.3964800334172804,10,0.012233198456456248,Model09
3,5,0.1,rsq,standard,0.5635438791738928,10,0.029062863240642476,Model09
5,5,0.1,mae,standard,0.26545309345008344,10,0.00810713276449985,Model10
5,5,0.1,rmse,standard,0.37946214446822674,10,0.01288990249022671,Model10
5,5,0.1,rsq,standard,0.5982506123472475,10,0.029193967852039347,Model10
7,5,0.1,mae,standard,0.26964240796934447,10,0.005930774793041253,Model11
7,5,0.1,rmse,standard,0.38297174622652685,10,0.009051697592564596,Model11
7,5,0.1,rsq,standard,0.5888168147279355,10,0.022771059411243456,Model11
10,5,0.1,mae,standard,0.271170547110321,10,0.008167075669370905,Model12
10,5,0.1,rmse,standard,0.3843692299204933,10,0.012171493648784412,Model12
10,5,0.1,rsq,standard,0.5855395067588867,10,0.032858432726780504,Model12
3,7,0.1,mae,standard,0.2885315766400498,10,0.008063374476629049,Model13
3,7,0.1,rmse,standard,0.40848026972789575,10,0.011399326707985359,Model13
3,7,0.1,rsq,standard,0.5366774280047392,10,0.030121200117612656,Model13
5,7,0.1,mae,standard,0.2760750945752954,10,0.008302662253468436,Model14
5,7,0.1,rmse,standard,0.39461534662921033,10,0.012968197127399127,Model14
5,7,0.1,rsq,standard,0.5641067568567173,10,0.02969100285653131,Model14
7,7,0.1,mae,standard,0.2576740647162272,10,0.00719659354329485,Model15
7,7,0.1,rmse,standard,0.37079907710468263,10,0.012293876372537016,Model15
7,7,0.1,rsq,standard,0.6202773806220996,10,0.030211601955103154,Model15
10,7,0.1,mae,standard,0.2668130546701079,10,0.00793845868051496,Model16
10,7,0.1,rmse,standard,0.3854207997810796,10,0.012425084587797735,Model16
10,7,0.1,rsq,standard,0.5860157464353147,10,0.03373689333634505,Model16
3,1,0.01,mae,standard,0.40335177821141394,10,0.008158297929976233,Model17
3,1,0.01,rmse,standard,0.5239851747465512,10,0.010352133180394327,Model17
3,1,0.01,rsq,standard,0.2780448357531521,10,0.035656522489384404,Model17
5,1,0.01,mae,standard,0.4028874252684128,10,0.008194120165594083,Model18
5,1,0.01,rmse,standard,0.5236297237176504,10,0.010436870867905396,Model18
5,1,0.01,rsq,standard,0.2794258214752139,10,0.035768943619332964,Model18
7,1,0.01,mae,standard,0.40274492271832874,10,0.008156135522027754,Model19
7,1,0.01,rmse,standard,0.5234706763979976,10,0.010390980298464653,Model19
