ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
AGCO,2021.2,25.71,1.2,3.82,15.14,NA
AGCO,2020.4,18.22,0.85,NA,NA,1.82
AGCO,2020.3,27.42,0.63,1.95,7.72,1.79
AGCO,2020.2,77.7,0.49,1.52,10.42,1.86
AGCO,2020.1,29.27,0.4,1.3,11.52,1.86
AGCO,2019.4,48.05,0.65,1.98,13.76,1.67
AGCO,2019.3,18.58,0.64,1.87,23.09,1.66
AGCO,2019.2,15.92,0.65,1.87,18.39,1.69
AGCO,2019.1,16.58,0.58,1.74,13.79,1.72
AGCO,2018.4,15.23,0.47,1.4,11.01,1.55
AGCO,2018.3,20.68,0.51,1.57,11.87,1.67
AGCO,2018.2,21.58,0.53,1.57,18.38,1.68
AGCO,2018.1,22.99,0.58,1.61,17.87,1.71
AGCO,2017.4,29.96,0.67,1.78,14.75,1.58
AGCO,2017.3,28.2,0.73,1.84,22.14,1.64
AGCO,2017.2,28.64,0.69,1.75,36.61,1.59
AGCO,2017.1,33.25,0.63,1.61,20.52,1.57
AGCO,2016.4,28.33,0.62,1.56,26.68,1.53
AGCO,2016.3,24.59,0.54,1.29,37.84,1.55
AGCO,2016.2,20.56,0.53,1.23,16.26,1.35
AGCO,2016.1,16.93,0.56,1.34,16.35,1.38
AGCO,2015.4,14.16,0.51,1.26,12.01,1.25
AGCO,2015.3,13.96,0.5,1.28,8.3,1.38
AGCO,2015.2,17.4,0.59,1.46,10.9,1.32
AGCO,2015.1,12.37,0.46,1.28,11.6,1.34
AGCO,2014.4,9.85,0.42,1.09,28.82,1.11
AGCO,2014.3,8.77,0.41,1.05,138.4,1.14
AGCO,2014.2,9.67,0.5,1.22,59.59,1.09
AGCO,2014.1,8.86,0.48,1.25,38.44,1.14
AGCO,2013.4,9.23,0.51,1.34,13.52,1.09
AGCO,2013.3,10,0.53,1.42,11.06,1.15
AGCO,2013.2,8.78,0.44,1.24,8.25,1.24
AGCO,2013.1,9.22,0.47,1.33,14.07,1.25
AGCO,2012.4,8.64,0.45,1.27,13.79,1.21
AGCO,2012.3,6.18,0.45,1.26,57.96,1.22
AGCO,2012.2,6.03,0.44,1.27,42.17,1.34
AGCO,2012.1,6.93,0.47,1.31,16.17,1.37
AGCO,2011.4,6.73,0.45,1.28,9.19,1.39
AGCO,2011.3,8.23,0.37,1.1,7.13,0.98
AGCO,2011.2,12.45,0.56,1.41,15.05,1.01
AGCO,2011.1,17.11,0.67,1.69,16.46,1
AGCO,2010.4,20.68,0.66,1.65,16.68,1.05
AGCO,2010.3,20.63,0.53,1.33,9.38,1.06
AGCO,2010.2,20.4,0.38,1.01,4.96,1.15
AGCO,2010.1,28.29,0.5,1.33,7.21,1.12
AGCO,2009.4,20.9,0.43,1.16,19.75,1.08
AGCO,2009.3,11.85,0.36,0.97,0,0.99
AGCO,2009.2,8.75,0.35,1.06,0,1.08
AGCO,2009.1,4.77,0.22,0.83,0,1.3
AGCO,2008.4,5.37,0.26,1,46.63,1.45
