date,open,high,low,close,volume
2005-05-03,18.66,20.65,18.51,20.049999,3273400
2005-05-04,20.969999,22,20.25,21.6,1263600
2005-05-05,23.450001,23.450001,22.09,22.639999,865100
2005-05-06,23.059999,23.25,21.549999,21.6,460300
2005-05-09,21.700001,21.700001,20.5,20.77,220900
2005-05-10,20.5,21.809999,20.200001,21.200001,244200
2005-05-11,21.379999,22.35,21.059999,21.85,169200
2005-05-12,22,22.4,21.75,21.9,124900
2005-05-13,22.35,22.35,21.65,21.959999,96000
2005-05-16,22.24,22.24,21.629999,21.98,73800
2005-05-17,21.870001,22,21.01,21.299999,227000
2005-05-18,20.91,22.299999,20.73,22.07,272000
2005-05-19,21.07,22.940001,21.07,22.65,230500
2005-05-20,22.540001,23.440001,22.450001,23.1,379100
2005-05-23,23.450001,23.450001,22.799999,23.33,122300
2005-05-24,23.65,23.799999,22.5,23.059999,168800
2005-05-25,21.76,22.5,21.200001,22.16,240600
2005-05-26,22,22.93,21.4,22.51,102300
2005-05-27,22.84,22.84,21.77,22.030001,25500
2005-05-31,21.68,22.08,21,21.950001,108500
2005-06-01,21.73,23.190001,21.73,23.190001,124000
2005-06-02,22.67,24.969999,22.65,24.49,191000
2005-06-03,24.610001,25.950001,23.969999,25.790001,166200
2005-06-06,25.719999,26.49,25.379999,26.24,123300
2005-06-07,26.370001,28.24,26,27.879999,276900
2005-06-08,28.040001,28.139999,27.309999,27.75,426900
2005-06-09,27.4,27.790001,26.67,27.379999,112000
2005-06-10,27.4,27.77,26.549999,26.9,88400
2005-06-13,27.200001,27.530001,26.610001,26.870001,87300
2005-06-14,27.25,27.5,26.9,27.5,37500
2005-06-15,27.09,28.74,27.09,28.190001,213000
2005-06-16,28.360001,28.799999,27.6,28.6,59300
2005-06-17,28.860001,29.59,28.610001,28.700001,154500
2005-06-20,28.75,28.9,27.84,28.01,58500
2005-06-21,28.280001,28.290001,27.1,27.75,154700
2005-06-22,27.299999,27.379999,26.549999,26.99,86200
2005-06-23,26.690001,28.18,26.549999,27.65,40600
2005-06-24,27.35,27.940001,26.74,26.870001,368400
2005-06-27,26.66,27.43,25.27,27.1,94100
2005-06-28,27,28.1,26.73,28.07,41500
2005-06-29,28.07,28.6,27.440001,27.450001,64100
2005-06-30,27.719999,28.5,27.719999,28.15,39200
2005-07-01,28.290001,28.290001,27.360001,27.799999,31200
2005-07-05,27.59,28.629999,27.58,28.6,64600
2005-07-06,28.440001,29,28.02,28.42,33300
2005-07-07,27.950001,29.1,27.85,28.4,21300
2005-07-08,28.440001,28.950001,28.01,28.790001,49200
2005-07-11,28.91,29,28.040001,28.459999,61700
2005-07-12,28.290001,28.440001,27.15,28.26,40900
2005-07-13,28.18,28.49,28,28.469999,16900
2005-07-14,28.190001,28.42,27.82,28.1,65300
2005-07-15,27.889999,28.190001,27.860001,28.1,66700
2005-07-18,28.200001,28.200001,27.77,28.02,43300
2005-07-19,28.17,28.200001,26.65,27.790001,70800
2005-07-20,27.5,27.65,26.790001,27.190001,32900
2005-07-21,27.280001,27.280001,26.209999,26.23,25300
2005-07-22,26.110001,26.99,26.01,26.969999,75800
2005-07-25,27.07,27.24,26.35,27.01,37800
2005-07-26,27.24,27.6,26.91,27.540001,37600
2005-07-27,27.34,27.549999,26.35,26.959999,50400
2005-07-28,26.790001,27.379999,26.6,27.379999,32400
2005-07-29,27.200001,27.540001,26.879999,27.129999,22300
2005-08-01,27.040001,28.1,27,27.4,99400
2005-08-02,27.610001,28,27.6,27.68,42400
2005-08-03,27.780001,27.780001,27.08,27.299999,32800
2005-08-04,27.17,27.74,27.17,27.299999,15700
2005-08-05,27.42,27.42,27.08,27.08,15000
2005-08-08,27.01,27.51,26.82,27.309999,21500
2005-08-09,27.17,27.309999,26.809999,27.219999,33900
2005-08-10,27.629999,32,27.620001,31.549999,628800
2005-08-11,31.32,34.099998,31.32,33.200001,312900
2005-08-12,32.900002,33.099998,32.150002,32.970001,127300
2005-08-15,32.709999,33.450001,32.119999,32.75,83500
2005-08-16,32.59,33.200001,32.459999,32.549999,74000
2005-08-17,32.549999,32.959999,31.65,32.509998,76500
2005-08-18,32.349998,32.939999,31.99,32.5,117500
2005-08-19,32.48,33.439999,32.27,32.91,96000
2005-08-22,33.150002,33.200001,32.470001,33.02,36000
2005-08-23,33.049999,33.049999,31.75,32.09,117000
2005-08-24,31.639999,32.200001,31.639999,32.009998,74200
2005-08-25,31.83,32.099998,30.41,30.85,112000
2005-08-26,30.620001,30.620001,28.549999,29.41,154000
2005-08-29,29.209999,29.4,28.57,29.33,32400
2005-08-30,29.18,29.25,28.91,29.219999,15500
2005-08-31,29.309999,30.42,29.01,30.42,43300
2005-09-01,30.190001,30.709999,29.559999,30.07,28800
2005-09-02,30,30.030001,28.629999,28.799999,21200
2005-09-06,28.52,29.09,28.309999,28.93,44400
2005-09-07,28.940001,28.940001,28.5,28.68,36700
2005-09-08,28.389999,28.6,26.709999,27.610001,171000
2005-09-09,27.52,27.809999,26.959999,27.65,33400
2005-09-12,27.74,28.450001,27.610001,28.280001,32700
2005-09-13,28.280001,28.83,27.790001,28.700001,46000
2005-09-14,28.51,28.700001,28.290001,28.43,24600
2005-09-15,28.35,28.540001,28.07,28.42,41700
2005-09-16,28.59,29.299999,28.48,29.18,58800
2005-09-19,29.309999,29.6,28.969999,29.6,112300
2005-09-20,29.65,30.16,29.639999,30.08,56300
2005-09-21,30.1,30.35,29.790001,29.950001,30600
2005-09-22,30.16,30.940001,29.799999,30.75,33400
2005-09-23,30.5,30.82,29.93,30.709999,35100
2005-09-26,30.75,31.84,30.75,31.84,58600
2005-09-27,31.84,31.84,31.15,31.450001,20500
2005-09-28,31.450001,31.950001,30.940001,30.959999,28400
2005-09-29,31.75,32.48,31.32,31.59,47700
2005-09-30,31.92,32,31.42,32,25200
2005-10-03,31.790001,32.259998,31.790001,31.9,12300
2005-10-04,31.74,32.040001,31.540001,31.82,13800
2005-10-05,32,32,30.07,30.07,40000
2005-10-06,30,30,29.040001,29.51,25200
2005-10-07,29.73,30,29.42,29.889999,8900
2005-10-10,29.719999,30.309999,29.719999,30.01,4500
2005-10-11,30.299999,30.360001,28.75,28.9,15000
2005-10-12,28.780001,28.84,26.75,26.98,82700
2005-10-13,26.809999,27.290001,26.75,27.059999,70100
2005-10-14,27.25,27.25,26.52,26.93,42600
2005-10-17,27,27.280001,26.9,27.059999,35900
2005-10-18,27.059999,27.280001,25,25.219999,125400
2005-10-19,25.450001,25.450001,24.83,25.25,141800
2005-10-20,25.35,26.16,24.950001,25.389999,398600
2005-10-21,25.219999,25.57,24.93,25.440001,94800
2005-10-24,25.33,27.08,25.33,26.780001,48800
2005-10-25,26.799999,27.98,26.76,27.879999,60500
2005-10-26,27.99,29.07,27.719999,28.67,54700
2005-10-27,28.870001,29.049999,28.799999,28.799999,31800
2005-10-28,28.73,29.5,28.6,29.389999,50500
2005-10-31,29.33,30.08,29.33,29.4,95200
2005-11-01,29.32,32.400002,29.299999,31.75,130600
2005-11-02,31.75,32.119999,31.48,31.799999,61400
2005-11-03,32,33.360001,32,33.360001,124700
2005-11-04,33.540001,33.540001,32.580002,33.099998,48600
2005-11-07,33.43,33.970001,33.080002,33.610001,63800
2005-11-08,33.610001,36.049999,32.740002,35.040001,142700
2005-11-09,36.34,36.34,33.200001,34.040001,126900
2005-11-10,32.709999,36.209999,32.400002,34.950001,343300
2005-11-11,35.540001,37,35.18,36.849998,163200
2005-11-14,37.119999,37.43,36.099998,36.560001,60100
2005-11-15,35.549999,36.119999,31.75,32.139999,314300
2005-11-16,31.889999,32.080002,29.82,30.309999,303700
2005-11-17,30.5,30.950001,30.200001,30.530001,242400
2005-11-18,30.610001,30.610001,28.280001,29.139999,303000
2005-11-21,29.35,30,28.059999,29.82,312800
2005-11-22,30,32.880001,29.6,32.759998,291800
2005-11-23,32.32,32.630001,32,32.400002,78400
2005-11-25,32.439999,32.73,32.369999,32.52,38300
2005-11-28,32.360001,32.360001,30.27,31.75,170100
2005-11-29,31.75,32,30.799999,31.52,80500
2005-11-30,31.5,32.599998,31.450001,32.049999,96500
2005-12-01,32.400002,32.779999,31.799999,32.450001,62700
2005-12-02,32.98,35.02,32.889999,35,252800
2005-12-05,35.02,36.5,35.02,36.279999,266800
2005-12-06,36.5,36.709999,35.580002,35.779999,138200
2005-12-07,35.779999,36.099998,34.889999,35.150002,123900
2005-12-08,35.380001,35.389999,33,33.25,209600
2005-12-09,33.450001,34.880001,32.32,34.84,111600
2005-12-12,34.799999,34.98,34.049999,34.34,61800
2005-12-13,34.5,35,34.25,34.919998,51300
2005-12-14,35,35.470001,34.75,35.400002,40700
2005-12-15,35.57,35.630001,34.959999,35.169998,32700
2005-12-16,35.09,35.330002,34.799999,35.23,124700
2005-12-19,35.330002,35.849998,35.290001,35.330002,79400
2005-12-20,35.18,35.459999,33.52,34.52,94200
2005-12-21,34.060001,35.450001,34.060001,35.209999,46900
2005-12-22,35.099998,35.450001,34.150002,35.450001,65900
2005-12-23,35.240002,35.490002,34.490002,34.700001,26200
2005-12-27,34.52,34.700001,34.18,34.349998,17600
2005-12-28,34.349998,34.98,33.110001,34.849998,48000
2005-12-29,34.580002,35,34.549999,34.700001,33000
2005-12-30,34.700001,34.950001,34.400002,34.639999,34700
2006-01-03,35,35,33.790001,34.400002,23500
2006-01-04,34.669998,36.189999,34.389999,36.139999,105000
2006-01-05,35.990002,37.450001,34.919998,36.099998,147200
2006-01-06,36.290001,36.790001,35.560001,36.040001,44400
2006-01-09,36.32,36.98,36,36.189999,48100
2006-01-10,35.93,37.889999,35.93,37.599998,224900
2006-01-11,38.889999,41,38.509998,40.849998,295800
2006-01-12,40.5,41,39.68,40.34,155200
2006-01-13,40.5,41.200001,39.389999,39.5,147500
2006-01-17,39.18,39.290001,36.459999,37.110001,144300
2006-01-18,36.869999,37.990002,36.599998,37.529999,58300
2006-01-19,37.529999,39.450001,37.529999,39.240002,72300
2006-01-20,39.459999,39.459999,38.299999,38.549999,41300
2006-01-23,38.369999,38.400002,37.419998,38.07,40100
2006-01-24,38.07,39.450001,38.07,39.34,26600
2006-01-25,39.34,41,39.200001,39.43,61900
2006-01-26,39.830002,40.580002,38.990002,39.990002,57300
2006-01-27,39.880001,40.27,38.830002,39.650002,19700
2006-01-30,39.810001,40.099998,38.57,38.66,27400
2006-01-31,38.5,39,38.400002,38.529999,43700
2006-02-01,38.720001,38.720001,37.93,37.990002,78200
2006-02-02,37.720001,37.939999,37.5,37.75,81200
2006-02-03,37.52,38.52,37.52,38.41,34600
2006-02-06,38.669998,39.75,38.18,39.049999,29000
2006-02-07,38.860001,39.529999,38,38.169998,72200
2006-02-08,38.310001,39,37.919998,38.889999,56500
2006-02-09,39.290001,39.43,38.919998,39,53300
2006-02-10,39.110001,39.360001,38.740002,39.049999,42200
2006-02-13,39.200001,39.619999,38.610001,39.169998,66100
2006-02-14,39.16,40.48,39.16,40.139999,59900
2006-02-15,40.639999,42.880001,40.299999,42.619999,270600
2006-02-16,43.060001,43.5,41.630001,42.740002,133500
2006-02-17,43.09,43.400002,42.099998,43.07,69900
2006-02-21,43.400002,43.400002,41.549999,42.73,153700
2006-02-22,42.959999,43.049999,42.400002,42.990002,70100
2006-02-23,42.790001,43,41.84,42.689999,91700
2006-02-24,42.299999,42.310001,39.849998,40.110001,195800
2006-02-27,40,41.549999,38.709999,40.68,404500
2006-02-28,40.700001,43.200001,40.459999,42.630001,351500
2006-03-01,42.07,42.07,38,40.810001,153400
2006-03-02,40.740002,41.459999,40.41,41.459999,60500
2006-03-03,41.169998,41.5,40.990002,41.220001,25600
2006-03-06,41.169998,41.740002,40.810001,41.630001,49400
2006-03-07,41.209999,41.549999,40.25,40.689999,67000
2006-03-08,40.549999,40.549999,39.049999,40.450001,112800
2006-03-09,40.169998,40.630001,39.919998,40.400002,32500
2006-03-10,40.549999,40.889999,40.349998,40.889999,28500
2006-03-13,40.919998,41.900002,40.900002,41.5,53300
2006-03-14,41.279999,41.849998,40.400002,40.639999,79300
2006-03-15,40.639999,41.650002,40.400002,41.32,42600
2006-03-16,41.330002,41.66,40.880001,41.650002,48400
2006-03-17,41.650002,41.650002,40.619999,40.93,70300
2006-03-20,41.290001,41.41,40.439999,40.66,26500
2006-03-21,40.509998,41.5,40.509998,40.98,39100
2006-03-22,41,41.5,40.790001,41.400002,59000
2006-03-23,41.349998,43.43,41.349998,43.02,181100
2006-03-24,42.73,43.470001,42.060001,42.419998,82700
2006-03-27,42.740002,42.759998,42.080002,42.290001,49300
2006-03-28,42.380001,45.459999,41.759998,44.5,184300
2006-03-29,44.5,45.990002,44.080002,45.619999,125200
2006-03-30,45.82,46.369999,44.700001,45.040001,111500
2006-03-31,45.299999,45.299999,44.200001,44.77,78000
2006-04-03,45.02,45.349998,44.049999,44.650002,42200
2006-04-04,44.349998,45.790001,44,44.560001,34400
2006-04-05,44.470001,45.060001,44.02,44.27,29900
2006-04-06,44.200001,44.470001,44.049999,44.169998,35600
2006-04-07,44.48,44.48,43,43.029999,58600
2006-04-10,43.099998,44.509998,43.029999,43.619999,43800
2006-04-11,43.82,43.959999,43.5,43.549999,60300
2006-04-12,43.41,43.849998,42.279999,43.549999,49100
2006-04-13,43.25,43.57,43.25,43.5,87400
2006-04-17,43.369999,43.599998,43.27,43.41,29000
2006-04-18,43.5,44.07,43.259998,44.02,60300
2006-04-19,44,45.82,44,45.709999,102200
2006-04-20,46.009998,46.919998,45.630001,46.130001,69800
2006-04-21,46.5,46.669998,43.939999,44.209999,91900
2006-04-24,44.060001,44.82,43.75,44.470001,69100
2006-04-25,44.720001,44.84,43.049999,43.470001,51800
2006-04-26,43.540001,43.650002,42.799999,43.040001,25600
2006-04-27,42.669998,43.439999,42.52,43.119999,25800
2006-04-28,42.810001,43.240002,41.669998,42.540001,68800
2006-05-01,42.560001,43.02,41.07,41.150002,69400
