mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.3478879056684391,10,0.0124616044912268,Preprocessor1_Model01
3,1,0.1,rmse,standard,0.45633540726622623,10,0.013305356802569944,Preprocessor1_Model01
3,1,0.1,rsq,standard,0.5551561601817452,10,0.026305723315368294,Preprocessor1_Model01
5,1,0.1,mae,standard,0.346415446163627,10,0.012494173699630145,Preprocessor1_Model02
5,1,0.1,rmse,standard,0.454940529092033,10,0.013572132156639351,Preprocessor1_Model02
5,1,0.1,rsq,standard,0.5576284146477196,10,0.026533639640570515,Preprocessor1_Model02
7,1,0.1,mae,standard,0.346400586404074,10,0.012271195765828153,Preprocessor1_Model03
7,1,0.1,rmse,standard,0.45472536750135767,10,0.013524111444243269,Preprocessor1_Model03
7,1,0.1,rsq,standard,0.5577134902634409,10,0.026747517017687076,Preprocessor1_Model03
10,1,0.1,mae,standard,0.34683755585008813,10,0.012262107335745258,Preprocessor1_Model04
10,1,0.1,rmse,standard,0.45514915901970343,10,0.013499458238374647,Preprocessor1_Model04
10,1,0.1,rsq,standard,0.5566576453373319,10,0.027178941921543485,Preprocessor1_Model04
3,3,0.1,mae,standard,0.29325746080984105,10,0.009153565416364402,Preprocessor1_Model05
3,3,0.1,rmse,standard,0.4044501716669895,10,0.011268072078086715,Preprocessor1_Model05
3,3,0.1,rsq,standard,0.643606096061405,10,0.031786787797335056,Preprocessor1_Model05
5,3,0.1,mae,standard,0.2996481456061459,10,0.008693805431152314,Preprocessor1_Model06
5,3,0.1,rmse,standard,0.41018468115436596,10,0.012716182785724521,Preprocessor1_Model06
5,3,0.1,rsq,standard,0.6299296500178067,10,0.033421519152892064,Preprocessor1_Model06
7,3,0.1,mae,standard,0.30252156694536364,10,0.007713201517935971,Preprocessor1_Model07
7,3,0.1,rmse,standard,0.41338907754438725,10,0.010165807433992343,Preprocessor1_Model07
7,3,0.1,rsq,standard,0.6251009282566016,10,0.027452034574381372,Preprocessor1_Model07
10,3,0.1,mae,standard,0.2987094024852605,10,0.01112077858461163,Preprocessor1_Model08
10,3,0.1,rmse,standard,0.4080939250903896,10,0.012519831006697084,Preprocessor1_Model08
10,3,0.1,rsq,standard,0.6362747135542107,10,0.026182685025700248,Preprocessor1_Model08
3,5,0.1,mae,standard,0.2806743027638944,10,0.01163779428320284,Preprocessor1_Model09
3,5,0.1,rmse,standard,0.39679902677155643,10,0.013175397290350853,Preprocessor1_Model09
3,5,0.1,rsq,standard,0.655817549154484,10,0.02217319705334877,Preprocessor1_Model09
5,5,0.1,mae,standard,0.27636690488280785,10,0.009349499277720424,Preprocessor1_Model10
5,5,0.1,rmse,standard,0.391703468553341,10,0.01152814243963877,Preprocessor1_Model10
5,5,0.1,rsq,standard,0.6638078639599426,10,0.02264896912545992,Preprocessor1_Model10
7,5,0.1,mae,standard,0.27950240304826685,10,0.009083291164226437,Preprocessor1_Model11
7,5,0.1,rmse,standard,0.394838511013237,10,0.01336806094742865,Preprocessor1_Model11
7,5,0.1,rsq,standard,0.6584136784202458,10,0.01932436086768819,Preprocessor1_Model11
10,5,0.1,mae,standard,0.28606980452547637,10,0.0095184146578263,Preprocessor1_Model12
10,5,0.1,rmse,standard,0.39755582201153455,10,0.013720425357434956,Preprocessor1_Model12
10,5,0.1,rsq,standard,0.6522689752668538,10,0.019204210109356246,Preprocessor1_Model12
3,7,0.1,mae,standard,0.28023962939913905,10,0.01220517358656269,Preprocessor1_Model13
3,7,0.1,rmse,standard,0.3961504790280698,10,0.015029182379166084,Preprocessor1_Model13
3,7,0.1,rsq,standard,0.6557703820695725,10,0.019820775637099615,Preprocessor1_Model13
5,7,0.1,mae,standard,0.27525770866984733,10,0.009348360851456782,Preprocessor1_Model14
5,7,0.1,rmse,standard,0.39091261722901416,10,0.012969260102098984,Preprocessor1_Model14
5,7,0.1,rsq,standard,0.665697485088971,10,0.019429779450549585,Preprocessor1_Model14
7,7,0.1,mae,standard,0.270199362075389,10,0.01006472446527118,Preprocessor1_Model15
7,7,0.1,rmse,standard,0.39071921151438604,10,0.016205457974600743,Preprocessor1_Model15
7,7,0.1,rsq,standard,0.6601511803426846,10,0.02903878339332211,Preprocessor1_Model15
10,7,0.1,mae,standard,0.2793383199433549,10,0.011829091004903132,Preprocessor1_Model16
10,7,0.1,rmse,standard,0.4033126791915004,10,0.01728337851155515,Preprocessor1_Model16
10,7,0.1,rsq,standard,0.6392963599878203,10,0.029472612174183954,Preprocessor1_Model16
3,1,0.01,mae,standard,0.4399222685309503,10,0.016336334599236352,Preprocessor1_Model17
3,1,0.01,rmse,standard,0.5585800230519078,10,0.01982865799269138,Preprocessor1_Model17
3,1,0.01,rsq,standard,0.4078194606120815,10,0.03522987166176292,Preprocessor1_Model17
5,1,0.01,mae,standard,0.4373452124028477,10,0.016213778935473,Preprocessor1_Model18
5,1,0.01,rmse,standard,0.5560569208541136,10,0.019598119747343493,Preprocessor1_Model18
5,1,0.01,rsq,standard,0.4011244487776909,10,0.03864553652146503,Preprocessor1_Model18
7,1,0.01,mae,standard,0.4373911605261173,10,0.01619400097377705,Preprocessor1_Model19
7,1,0.01,rmse,standard,0.5563216159087119,10,0.019664914656298896,Preprocessor1_Model19
7,1,0.01,rsq,standard,0.3995572286014447,10,0.03916855265938836,Preprocessor1_Model19
10,1,0.01,mae,standard,0.43730570635751015,10,0.016261422892355288,Preprocessor1_Model20
10,1,0.01,rmse,standard,0.5561789789130148,10,0.019752078707212916,Preprocessor1_Model20
10,1,0.01,rsq,standard,0.39986584326362573,10,0.03941430667045979,Preprocessor1_Model20
3,3,0.01,mae,standard,0.33505479126106363,10,0.011273530530960385,Preprocessor1_Model21
3,3,0.01,rmse,standard,0.44612213888270924,10,0.014501370472690964,Preprocessor1_Model21
3,3,0.01,rsq,standard,0.5867875937125161,10,0.029793011706430245,Preprocessor1_Model21
5,3,0.01,mae,standard,0.3324938235542935,10,0.01076865268947733,Preprocessor1_Model22
5,3,0.01,rmse,standard,0.44504064677798066,10,0.01381148575699657,Preprocessor1_Model22
