mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.4193666189237627,10,0.014204753837784101,Preprocessor1_Model01
3,1,0.1,rmse,standard,0.5331526562032932,10,0.01658058110326541,Preprocessor1_Model01
3,1,0.1,rsq,standard,0.4543747412004897,10,0.02301865688490581,Preprocessor1_Model01
5,1,0.1,mae,standard,0.4198342014426356,10,0.014275076036401286,Preprocessor1_Model02
5,1,0.1,rmse,standard,0.5339513502703777,10,0.016450192959409023,Preprocessor1_Model02
5,1,0.1,rsq,standard,0.4535662709308801,10,0.02132078130546612,Preprocessor1_Model02
7,1,0.1,mae,standard,0.4198069991269256,10,0.014163907432409091,Preprocessor1_Model03
7,1,0.1,rmse,standard,0.5339797821562338,10,0.016592092172288173,Preprocessor1_Model03
7,1,0.1,rsq,standard,0.4538390346770245,10,0.02066840746305026,Preprocessor1_Model03
10,1,0.1,mae,standard,0.4198877433647374,10,0.01400739184769785,Preprocessor1_Model04
10,1,0.1,rmse,standard,0.5348631764782703,10,0.016016751748093142,Preprocessor1_Model04
10,1,0.1,rsq,standard,0.4522681075302448,10,0.019501936635809312,Preprocessor1_Model04
3,3,0.1,mae,standard,0.3056759936945611,10,0.013065455588153033,Preprocessor1_Model05
3,3,0.1,rmse,standard,0.4049054577530257,10,0.016950275549065624,Preprocessor1_Model05
3,3,0.1,rsq,standard,0.6846797125194755,10,0.02719822836390423,Preprocessor1_Model05
5,3,0.1,mae,standard,0.30870888162481974,10,0.012046250242862135,Preprocessor1_Model06
5,3,0.1,rmse,standard,0.4094501995385598,10,0.01580367291524905,Preprocessor1_Model06
5,3,0.1,rsq,standard,0.6747415331003439,10,0.024081806213794476,Preprocessor1_Model06
7,3,0.1,mae,standard,0.30930860122947085,10,0.012920621206805202,Preprocessor1_Model07
7,3,0.1,rmse,standard,0.41331257396396714,10,0.015741794248171435,Preprocessor1_Model07
7,3,0.1,rsq,standard,0.6683778548383029,10,0.025660027862548052,Preprocessor1_Model07
10,3,0.1,mae,standard,0.3084465338930064,10,0.012099223846127351,Preprocessor1_Model08
10,3,0.1,rmse,standard,0.4133620173556989,10,0.015572948017195264,Preprocessor1_Model08
10,3,0.1,rsq,standard,0.668146847600424,10,0.025116015813116368,Preprocessor1_Model08
3,5,0.1,mae,standard,0.2882672990495608,10,0.012522346375002873,Preprocessor1_Model09
3,5,0.1,rmse,standard,0.39085612611475773,10,0.015565196030352637,Preprocessor1_Model09
3,5,0.1,rsq,standard,0.7057296498861807,10,0.02692181853647841,Preprocessor1_Model09
5,5,0.1,mae,standard,0.2849703441231253,10,0.012025665224506148,Preprocessor1_Model10
5,5,0.1,rmse,standard,0.39068103133621357,10,0.01677684686786345,Preprocessor1_Model10
5,5,0.1,rsq,standard,0.706180510799791,10,0.022555933895638744,Preprocessor1_Model10
7,5,0.1,mae,standard,0.2848586273353592,10,0.010749801885663643,Preprocessor1_Model11
7,5,0.1,rmse,standard,0.3930633363440095,10,0.01473263429580405,Preprocessor1_Model11
7,5,0.1,rsq,standard,0.7045801915733884,10,0.02155972483003131,Preprocessor1_Model11
10,5,0.1,mae,standard,0.2910143056553609,10,0.013442826338057623,Preprocessor1_Model12
10,5,0.1,rmse,standard,0.40074580281048244,10,0.015580516891431319,Preprocessor1_Model12
10,5,0.1,rsq,standard,0.6875744457520319,10,0.026265539043631075,Preprocessor1_Model12
3,7,0.1,mae,standard,0.2772778860712159,10,0.01444001063814304,Preprocessor1_Model13
3,7,0.1,rmse,standard,0.3792870376316668,10,0.017986966007422823,Preprocessor1_Model13
3,7,0.1,rsq,standard,0.7261455157356324,10,0.0251398659682866,Preprocessor1_Model13
5,7,0.1,mae,standard,0.274125358384018,10,0.013263411559225809,Preprocessor1_Model14
5,7,0.1,rmse,standard,0.38139351622958445,10,0.01687451151803509,Preprocessor1_Model14
5,7,0.1,rsq,standard,0.7233705598685247,10,0.024568485604102436,Preprocessor1_Model14
7,7,0.1,mae,standard,0.27734052488177197,10,0.013184878201354293,Preprocessor1_Model15
7,7,0.1,rmse,standard,0.3857621022213805,10,0.017199712276742916,Preprocessor1_Model15
7,7,0.1,rsq,standard,0.7110484644980183,10,0.02674911094804576,Preprocessor1_Model15
10,7,0.1,mae,standard,0.2847528369175135,10,0.012447336748843511,Preprocessor1_Model16
10,7,0.1,rmse,standard,0.4037441401938173,10,0.014213532547032032,Preprocessor1_Model16
10,7,0.1,rsq,standard,0.6812433085382634,10,0.027811312626053162,Preprocessor1_Model16
3,1,0.01,mae,standard,0.479616367045267,10,0.013256976158954062,Preprocessor1_Model17
3,1,0.01,rmse,standard,0.6188791131070622,10,0.018199741656476164,Preprocessor1_Model17
3,1,0.01,rsq,standard,0.3283419139230673,10,0.03465369661165836,Preprocessor1_Model17
5,1,0.01,mae,standard,0.4787601037490687,10,0.013030174151910752,Preprocessor1_Model18
5,1,0.01,rmse,standard,0.6167757858506312,10,0.017515758980683836,Preprocessor1_Model18
5,1,0.01,rsq,standard,0.3264887319078897,10,0.02954695868495644,Preprocessor1_Model18
7,1,0.01,mae,standard,0.4790849846449617,10,0.012923369412229732,Preprocessor1_Model19
7,1,0.01,rmse,standard,0.6172954428107202,10,0.017354562625820157,Preprocessor1_Model19
7,1,0.01,rsq,standard,0.3252915064430663,10,0.02905157865518318,Preprocessor1_Model19
10,1,0.01,mae,standard,0.4792418297580773,10,0.012887595050246795,Preprocessor1_Model20
10,1,0.01,rmse,standard,0.617861942029305,10,0.017263310076703828,Preprocessor1_Model20
10,1,0.01,rsq,standard,0.32375874709630337,10,0.028340316386118686,Preprocessor1_Model20
3,3,0.01,mae,standard,0.3897806984341745,10,0.012366499846558571,Preprocessor1_Model21
3,3,0.01,rmse,standard,0.4938330413260796,10,0.015156050135588935,Preprocessor1_Model21
3,3,0.01,rsq,standard,0.5740130045567725,10,0.03471366464126748,Preprocessor1_Model21
5,3,0.01,mae,standard,0.3860378315418577,10,0.012450017652213475,Preprocessor1_Model22
5,3,0.01,rmse,standard,0.48577293231009006,10,0.015451268585424255,Preprocessor1_Model22
5,3,0.01,rsq,standard,0.5812013309180126,10,0.034056059591454524,Preprocessor1_Model22
7,3,0.01,mae,standard,0.3841591484113357,10,0.013083271609584626,Preprocessor1_Model23
7,3,0.01,rmse,standard,0.4836705589701535,10,0.016574849473967878,Preprocessor1_Model23
7,3,0.01,rsq,standard,0.5814683117422137,10,0.03445286948299375,Preprocessor1_Model23
10,3,0.01,mae,standard,0.38362963325562277,10,0.012884710669707446,Preprocessor1_Model24
10,3,0.01,rmse,standard,0.4864723278555043,10,0.01742607832823567,Preprocessor1_Model24
10,3,0.01,rsq,standard,0.5693416598448211,10,0.035375828107129643,Preprocessor1_Model24
3,5,0.01,mae,standard,0.33068455778350414,10,0.01268418290886636,Preprocessor1_Model25
3,5,0.01,rmse,standard,0.42625954873651317,10,0.015556052893078787,Preprocessor1_Model25
3,5,0.01,rsq,standard,0.6771647870910669,10,0.028864323171353144,Preprocessor1_Model25
5,5,0.01,mae,standard,0.327558355734533,10,0.012719105979687749,Preprocessor1_Model26
5,5,0.01,rmse,standard,0.42351132838198685,10,0.016222469490146812,Preprocessor1_Model26
5,5,0.01,rsq,standard,0.6778382662219508,10,0.029876363353023055,Preprocessor1_Model26
7,5,0.01,mae,standard,0.3275032185935731,10,0.012541154797038318,Preprocessor1_Model27
7,5,0.01,rmse,standard,0.42563738322317585,10,0.01614152845471356,Preprocessor1_Model27
7,5,0.01,rsq,standard,0.6669947146826036,10,0.02897626340926743,Preprocessor1_Model27
10,5,0.01,mae,standard,0.33162443197936264,10,0.012421249042896413,Preprocessor1_Model28
10,5,0.01,rmse,standard,0.43479859236033125,10,0.01618870233393468,Preprocessor1_Model28
10,5,0.01,rsq,standard,0.6454179269348556,10,0.02794212285941507,Preprocessor1_Model28
3,7,0.01,mae,standard,0.2968640231544534,10,0.01195993746480692,Preprocessor1_Model29
3,7,0.01,rmse,standard,0.39434304738710313,10,0.015751064876931124,Preprocessor1_Model29
3,7,0.01,rsq,standard,0.7200072235639617,10,0.027528812965527474,Preprocessor1_Model29
5,7,0.01,mae,standard,0.29320922814900907,10,0.012671025272172596,Preprocessor1_Model30
5,7,0.01,rmse,standard,0.39104735285349773,10,0.01714141534361148,Preprocessor1_Model30
5,7,0.01,rsq,standard,0.7195765378290042,10,0.02847098249452232,Preprocessor1_Model30
7,7,0.01,mae,standard,0.29475847537589506,10,0.01219157719221443,Preprocessor1_Model31
7,7,0.01,rmse,standard,0.3972545244339518,10,0.015993241875814832,Preprocessor1_Model31
7,7,0.01,rsq,standard,0.7066866474646023,10,0.025422343685148008,Preprocessor1_Model31
10,7,0.01,mae,standard,0.3001499356796328,10,0.011850594419039346,Preprocessor1_Model32
10,7,0.01,rmse,standard,0.4124401826141822,10,0.015101449475650246,Preprocessor1_Model32
10,7,0.01,rsq,standard,0.6757080907899415,10,0.026648856490346096,Preprocessor1_Model32
3,1,0.001,mae,standard,0.5434966058881052,10,0.014173953218436534,Preprocessor1_Model33
3,1,0.001,rmse,standard,0.7029031030326665,10,0.021545021638922995,Preprocessor1_Model33
3,1,0.001,rsq,standard,0.18960090599828783,10,0.033883932240116876,Preprocessor1_Model33
5,1,0.001,mae,standard,0.5409102163111875,10,0.014349962661566351,Preprocessor1_Model34
5,1,0.001,rmse,standard,0.6992147319012464,10,0.021689950919398845,Preprocessor1_Model34
5,1,0.001,rsq,standard,0.15710364993401793,10,0.03116745591412967,Preprocessor1_Model34
7,1,0.001,mae,standard,0.5388716853235977,10,0.014354505738199339,Preprocessor1_Model35
7,1,0.001,rmse,standard,0.6967244180832068,10,0.021330509397876004,Preprocessor1_Model35
7,1,0.001,rsq,standard,0.13898795744588255,10,0.026996305268548255,Preprocessor1_Model35
10,1,0.001,mae,standard,0.5376982982038934,10,0.01438192255938078,Preprocessor1_Model36
10,1,0.001,rmse,standard,0.6959922227130135,10,0.0212893502942171,Preprocessor1_Model36
10,1,0.001,rsq,standard,0.11941484719172638,10,0.021913418860597538,Preprocessor1_Model36
3,3,0.001,mae,standard,0.5171178552872854,10,0.013694771729459189,Preprocessor1_Model37
3,3,0.001,rmse,standard,0.6642679107016961,10,0.019653954296943922,Preprocessor1_Model37
3,3,0.001,rsq,standard,0.40038915210723147,10,0.044620103668468504,Preprocessor1_Model37
5,3,0.001,mae,standard,0.5114444601734314,10,0.014027232945628711,Preprocessor1_Model38
5,3,0.001,rmse,standard,0.6575064700695397,10,0.01990800975555135,Preprocessor1_Model38
5,3,0.001,rsq,standard,0.37865066036263845,10,0.04511252742161946,Preprocessor1_Model38
7,3,0.001,mae,standard,0.5093934108508963,10,0.014117345666092436,Preprocessor1_Model39
7,3,0.001,rmse,standard,0.6550514593292472,10,0.02006402725602977,Preprocessor1_Model39
7,3,0.001,rsq,standard,0.3548629971940165,10,0.042961651363442745,Preprocessor1_Model39
10,3,0.001,mae,standard,0.5086103367044267,10,0.014389106097335506,Preprocessor1_Model40
10,3,0.001,rmse,standard,0.6551811556987495,10,0.02023239654133697,Preprocessor1_Model40
10,3,0.001,rsq,standard,0.3187123129603999,10,0.045256340792415965,Preprocessor1_Model40
3,5,0.001,mae,standard,0.4928685479047078,10,0.013413388200990573,Preprocessor1_Model41
3,5,0.001,rmse,standard,0.6337970047671322,10,0.0192235735078922,Preprocessor1_Model41
3,5,0.001,rsq,standard,0.5274228413054173,10,0.042086441291748516,Preprocessor1_Model41
5,5,0.001,mae,standard,0.4881954315655296,10,0.013569504304673364,Preprocessor1_Model42
5,5,0.001,rmse,standard,0.6266284284281296,10,0.019362335623030347,Preprocessor1_Model42
5,5,0.001,rsq,standard,0.5110995800134855,10,0.042876727396871005,Preprocessor1_Model42
7,5,0.001,mae,standard,0.48750465041194757,10,0.013344255226774323,Preprocessor1_Model43
7,5,0.001,rmse,standard,0.6246334127480503,10,0.019502230822232625,Preprocessor1_Model43
7,5,0.001,rsq,standard,0.48516195589680283,10,0.03979772822264539,Preprocessor1_Model43
10,5,0.001,mae,standard,0.48923502423724263,10,0.013581981661678497,Preprocessor1_Model44
10,5,0.001,rmse,standard,0.6263395402226836,10,0.019535006958166706,Preprocessor1_Model44
10,5,0.001,rsq,standard,0.43227681272012713,10,0.044856712782613085,Preprocessor1_Model44
3,7,0.001,mae,standard,0.47214252657679867,10,0.012993106375939215,Preprocessor1_Model45
3,7,0.001,rmse,standard,0.6096100859755216,10,0.01924055622785017,Preprocessor1_Model45
3,7,0.001,rsq,standard,0.62272636472066,10,0.03484708255544524,Preprocessor1_Model45
5,7,0.001,mae,standard,0.46712012181601126,10,0.013016962640971672,Preprocessor1_Model46
5,7,0.001,rmse,standard,0.6012236969618453,10,0.019386419080614746,Preprocessor1_Model46
5,7,0.001,rsq,standard,0.6143649736006066,10,0.03435966328373201,Preprocessor1_Model46
7,7,0.001,mae,standard,0.4671307131887269,10,0.013021332282080075,Preprocessor1_Model47
7,7,0.001,rmse,standard,0.5997196704840289,10,0.01958757359610855,Preprocessor1_Model47
