date,open,high,low,close,volume
2015-10-29,9.75,9.76,9.5,9.5,12600
2015-10-30,9.47,9.47,9.45,9.45,2400
2015-11-02,9.45,9.45,9.45,9.45,0
2015-11-03,9.45,9.45,9.45,9.45,0
2015-11-04,9.45,9.45,9.45,9.45,0
2015-11-05,9.45,9.45,9.45,9.45,0
2015-11-06,9.45,9.45,9.45,9.45,0
2015-11-09,9.45,9.45,9.45,9.45,0
2015-11-10,9.45,9.45,9.45,9.45,0
2015-11-11,9.45,9.45,9.45,9.45,0
2015-11-12,9.45,9.45,9.45,9.45,0
2015-11-13,9.45,9.45,9.45,9.45,0
2015-11-16,9.45,9.45,9.45,9.45,0
2015-11-17,9.73,9.75,9.73,9.75,1300
2015-11-18,9.75,9.75,9.75,9.75,0
2015-11-19,9.75,9.75,9.75,9.75,0
2015-11-20,9.75,9.75,9.75,9.75,0
2015-11-23,9.75,9.75,9.75,9.75,0
2015-11-24,9.75,9.75,9.75,9.75,0
2015-11-25,9.75,9.75,9.75,9.75,0
2015-11-27,9.75,9.75,9.75,9.75,0
2015-11-30,9.82,9.82,9.82,9.82,100
2015-12-01,9.82,9.82,9.82,9.82,0
2015-12-02,9.82,9.82,9.82,9.82,0
2015-12-03,9.82,9.82,9.82,9.82,0
2015-12-04,9.82,9.82,9.82,9.82,0
2015-12-07,9.82,9.82,9.82,9.82,0
2015-12-08,9.82,9.82,9.82,9.82,0
2015-12-09,9.82,9.82,9.82,9.82,0
2015-12-10,9.82,9.82,9.82,9.82,0
2015-12-11,9.82,9.82,9.82,9.82,0
2015-12-14,9.82,9.82,9.82,9.82,0
2015-12-15,9.6,9.6,9.6,9.6,100000
2015-12-16,9.6,9.6,9.6,9.6,0
2015-12-17,9.6,9.6,9.6,9.6,0
2015-12-18,9.68,9.85,9.48,9.74,44100
2015-12-21,9.65,9.85,9.6,9.78,71400
2015-12-22,9.66,10.19,9.58,9.84,116000
2015-12-23,9.54,9.54,9.54,9.54,100000
2015-12-24,9.54,9.54,9.54,9.54,0
2015-12-28,9.54,9.54,9.54,9.54,0
2015-12-29,9.54,9.54,9.54,9.54,0
2015-12-30,9.54,9.54,9.54,9.54,0
2015-12-31,10,10,9.9,9.9,700
2016-01-04,9.62,9.79,9.56,9.66,10700
2016-01-05,9.66,9.66,9.66,9.66,0
2016-01-06,9.66,9.66,9.66,9.66,0
2016-01-07,9.66,9.66,9.66,9.66,0
2016-01-08,9.66,9.66,9.66,9.66,0
2016-01-11,9.66,9.66,9.66,9.66,0
2016-01-12,9.66,9.66,9.66,9.66,0
2016-01-13,9.66,9.66,9.66,9.66,0
2016-01-14,9.56,9.56,9.56,9.56,757100
2016-01-15,9.56,9.7,9.56,9.56,21200
2016-01-19,9.56,9.56,9.56,9.56,0
2016-01-20,9.56,9.56,9.56,9.56,0
2016-01-21,9.56,9.56,9.56,9.56,0
2016-01-22,9.71,9.71,9.71,9.71,5000
2016-01-25,9.7,10,9.7,10,1300
2016-01-26,10,10,10,10,0
2016-01-27,10,10,10,10,0
2016-01-28,9.82,9.82,9.82,9.82,1000
2016-01-29,9.82,9.82,9.82,9.82,0
2016-02-01,9.82,9.82,9.82,9.82,0
2016-02-02,9.82,9.82,9.82,9.82,0
2016-02-03,9.82,9.82,9.82,9.82,0
2016-02-04,9.82,9.82,9.82,9.82,0
2016-02-05,9.82,9.82,9.82,9.82,0
2016-02-08,9.82,9.82,9.82,9.82,0
2016-02-09,9.82,9.82,9.82,9.82,0
2016-02-10,9.82,9.82,9.82,9.82,0
2016-02-11,9.82,9.82,9.82,9.82,0
2016-02-12,9.82,9.82,9.82,9.82,0
2016-02-16,9.82,9.82,9.82,9.82,0
2016-02-17,9.82,9.82,9.82,9.82,0
2016-02-18,9.82,9.82,9.82,9.82,0
2016-02-19,9.82,9.82,9.82,9.82,0
2016-02-22,9.82,9.82,9.82,9.82,0
2016-02-23,9.82,9.82,9.82,9.82,0
2016-02-24,9.82,9.82,9.82,9.82,0
2016-02-25,9.82,9.82,9.82,9.82,0
2016-02-26,9.82,9.82,9.82,9.82,0
2016-02-29,9.82,9.82,9.82,9.82,0
2016-03-01,9.82,9.82,9.82,9.82,0
2016-03-02,9.82,9.82,9.82,9.82,0
2016-03-03,9.82,9.82,9.82,9.82,0
2016-03-04,9.82,9.82,9.82,9.82,0
2016-03-07,10,10,10,10,500
2016-03-08,9.82,9.82,9.61,9.62,2700
2016-03-09,9.82,9.82,9.82,9.82,5000
2016-03-10,9.82,9.82,9.82,9.82,0
2016-03-11,9.82,9.82,9.82,9.82,0
2016-03-14,9.82,9.82,9.82,9.82,0
2016-03-15,9.82,9.82,9.82,9.82,0
2016-03-16,9.82,9.82,9.82,9.82,0
2016-03-17,9.82,9.82,9.82,9.82,0
2016-03-18,9.82,9.82,9.82,9.82,0
2016-03-21,9.82,9.82,9.82,9.82,0
2016-03-22,9.82,9.82,9.82,9.82,0
2016-03-23,9.82,9.82,9.82,9.82,0
2016-03-24,9.82,9.82,9.82,9.82,0
2016-03-28,9.82,9.82,9.82,9.82,0
2016-03-29,9.82,9.82,9.82,9.82,0
2016-03-30,9.82,9.82,9.82,9.82,0
2016-03-31,9.82,9.82,9.82,9.82,0
2016-04-01,9.68,9.68,9.68,9.68,130700
2016-04-04,9.85,9.85,9.85,9.85,1000
2016-04-05,9.85,9.85,9.85,9.85,0
2016-04-06,9.85,9.85,9.85,9.85,0
2016-04-07,9.85,9.85,9.85,9.85,0
2016-04-08,9.6,9.8,9.6,9.65,3300
2016-04-11,9.65,9.65,9.65,9.65,0
2016-04-12,9.65,9.65,9.65,9.65,0
2016-04-13,9.65,9.68,9.65,9.68,200
2016-04-14,9.53,9.85,9.51,9.77,6300
2016-04-15,9.55,9.84,9.55,9.58,4600
2016-04-18,9.63,9.75,9.51,9.51,16000
2016-04-19,9.51,9.51,9.51,9.51,0
2016-04-20,9.64,9.65,9.51,9.6,4600
2016-04-21,9.6,9.6,9.6,9.6,0
2016-04-22,9.6,9.6,9.6,9.6,0
2016-04-25,9.83,9.85,9.77,9.85,1100
2016-04-26,9.85,9.85,9.85,9.85,0
2016-04-27,9.85,9.85,9.85,9.85,0
2016-04-28,9.7,9.7,9.6,9.6,700
2016-04-29,9.84,9.84,9.84,9.84,100
2016-05-02,9.84,9.84,9.84,9.84,0
2016-05-03,9.84,9.84,9.84,9.84,0
2016-05-04,9.84,9.84,9.84,9.84,0
2016-05-05,9.81,9.86,9.81,9.86,200
2016-05-06,9.86,9.86,9.86,9.86,0
2016-05-09,9.86,9.86,9.86,9.86,0
2016-05-10,9.61,9.61,9.61,9.61,200
2016-05-11,9.79,9.86,9.55,9.63,3800
2016-05-12,9.63,9.63,9.63,9.63,0
2016-05-13,9.705,9.705,9.705,9.705,200
2016-05-16,9.7,9.7,9.541,9.541,1100
2016-05-17,9.86,9.86,9.58,9.67,2600
2016-05-18,9.67,9.67,9.67,9.67,0
2016-05-19,9.67,9.67,9.67,9.67,0
2016-05-20,9.67,9.67,9.67,9.67,0
2016-05-23,9.67,9.67,9.67,9.67,0
2016-05-24,9.85,9.85,9.8,9.8,400
2016-05-25,9.8,9.8,9.8,9.8,0
2016-05-26,9.8,9.8,9.8,9.8,0
2016-05-27,9.8,9.8,9.8,9.8,0
2016-05-31,9.8,9.8,9.8,9.8,0
2016-06-01,9.8,9.8,9.8,9.8,0
2016-06-02,9.8,9.8,9.8,9.8,0
2016-06-03,9.8,9.8,9.8,9.8,0
2016-06-06,9.8,9.8,9.8,9.8,0
2016-06-07,9.8,9.8,9.8,9.8,0
