date,open,high,low,close,volume
2002-05-21,17.5,18.41,17.02,18.120001,1685400
2002-05-22,18.24,18.25,18,18.25,304500
2002-05-23,18.33,18.9,18.15,18.549999,183100
2002-05-24,18.700001,18.950001,18.610001,18.879999,26000
2002-05-28,18.75,19.309999,18.559999,19.15,68900
2002-05-29,19,19.01,18.459999,18.799999,119300
2002-05-30,18.700001,18.950001,18.65,18.75,139600
2002-05-31,18.950001,19.25,18.51,18.75,124800
2002-06-03,18.76,19.01,18.530001,18.6,139300
2002-06-04,18.799999,18.799999,18.5,18.57,102900
2002-06-05,18.549999,18.68,18.4,18.5,163400
2002-06-06,18.559999,18.77,18.51,18.690001,17400
2002-06-07,18.6,18.709999,18.4,18.709999,165500
2002-06-10,18.700001,18.940001,18.450001,18.719999,128100
2002-06-11,18.879999,19.5,18.549999,18.9,31900
2002-06-12,18.76,19,18.76,19,13300
2002-06-13,18.799999,19.450001,18.799999,19.139999,22200
2002-06-14,19.5,19.5,18.98,19.07,10400
2002-06-17,19.6,20.35,19.200001,20.25,57900
2002-06-18,20.190001,20.549999,19.940001,20.299999,52000
2002-06-19,20.09,21.450001,20.09,21.18,44300
2002-06-20,21.049999,21.35,20.200001,20.799999,90000
2002-06-21,20.200001,20.92,20.200001,20.74,54100
2002-06-24,20.639999,20.99,20.25,20.51,58500
2002-06-25,20.879999,21.200001,20.280001,21.1,56100
2002-06-26,20.6,22.42,20.27,21.49,102300
2002-06-27,21.5,23.200001,21.030001,22.5,63500
2002-06-28,21.99,21.99,21.35,21.530001,334700
2002-07-01,20.52,21.389999,20.26,20.370001,99600
2002-07-02,20.940001,20.940001,17.35,18.5,81500
2002-07-03,18.42,18.91,18.200001,18.85,73600
2002-07-05,18.85,19.91,18.84,19.91,14200
2002-07-08,19.559999,20.82,19.530001,20.35,45600
2002-07-09,20.360001,20.65,20,20.049999,26500
2002-07-10,20.01,20.51,18.969999,19.07,27500
2002-07-11,18.9,19.32,18.559999,18.790001,45200
2002-07-12,18.83,20,18.83,19.540001,24000
2002-07-15,20.049999,20.5,19.5,20,36200
2002-07-16,20,20.15,19.799999,20,24800
2002-07-17,20,20,19,20,46700
2002-07-18,20.049999,20.74,19.75,19.790001,39700
2002-07-19,19.9,19.959999,19.17,19.5,23300
2002-07-22,19.950001,19.950001,18.209999,18.209999,52900
2002-07-23,18.35,19.049999,18.209999,18.84,64900
2002-07-24,18.5,19.709999,18.139999,19.639999,80200
2002-07-25,19.799999,20.389999,19.360001,19.93,53600
2002-07-26,20,20.129999,19.940001,20,24100
2002-07-29,19.99,21.5,19.92,21.07,51400
2002-07-30,21.15,21.85,20.120001,21.540001,49400
2002-07-31,21.5,22.610001,21.35,22.09,29300
2002-08-01,22.49,23.75,22.1,23.290001,79200
2002-08-02,22.99,23.190001,22,22.1,20500
2002-08-05,22.290001,22.389999,20.67,20.959999,187200
2002-08-06,21.5,22.389999,20.02,20.02,252900
2002-08-07,20.030001,21,19.780001,20,13800
2002-08-08,19.799999,21.02,19.799999,21.02,28800
2002-08-09,20.120001,21.35,20.120001,20.709999,17700
2002-08-12,20.549999,21.379999,20.17,20.219999,12800
2002-08-13,20.6,21.129999,20.17,20.309999,6000
2002-08-14,21,21,20.309999,20.99,28600
2002-08-15,20.719999,20.99,20.450001,20.77,2900
2002-08-16,20.67,21.02,20.549999,20.92,15600
2002-08-19,21.059999,22.6,20.67,21.74,53000
2002-08-20,21.99,21.99,21.33,21.74,68100
2002-08-21,21.5,21.82,20.75,21.18,12700
2002-08-22,21.18,21.200001,20.02,20.16,40400
2002-08-23,20.25,20.75,20.25,20.719999,38700
2002-08-26,20.75,20.860001,20.5,20.639999,13000
2002-08-27,20.639999,20.809999,20.5,20.57,8100
2002-08-28,20.5,23,20.23,22.5,43100
2002-08-29,21.700001,23.48,21.700001,22.75,73000
2002-08-30,23.25,25.25,22.99,24.43,225400
2002-09-03,23.76,24.25,23.51,24,110900
2002-09-04,24.07,24.5,23.92,24.5,34400
2002-09-05,24.4,24.77,23.809999,24.4,67400
2002-09-06,24.73,25,24.34,24.9,200100
2002-09-09,24.9,24.9,23.219999,23.6,136100
2002-09-10,23.5,23.85,21.620001,22.1,93300
2002-09-11,22.200001,23.309999,22.200001,22.450001,9800
2002-09-12,22.620001,23.5,22.299999,22.799999,23700
2002-09-13,23.1,23.290001,22.77,23.290001,4000
2002-09-16,23.030001,23.299999,21.969999,22.07,40800
2002-09-17,22.07,22.639999,21.969999,22,34200
2002-09-18,22.02,22.43,22,22.34,13600
2002-09-19,22.34,22.389999,22.139999,22.35,49700
2002-09-20,22.540001,22.889999,22.280001,22.799999,25800
2002-09-23,22.75,22.84,22.559999,22.83,18300
2002-09-24,22.65,22.99,22.41,22.41,40000
2002-09-25,22.99,23.17,21.9,22.030001,74900
2002-09-26,22.040001,22.040001,18.870001,21.01,91600
2002-09-27,21.01,22,21.01,21.5,25200
2002-09-30,21.51,21.549999,21,21.379999,24700
2002-10-01,21.35,22.25,21.200001,22.23,30800
2002-10-02,21.42,22.25,21.42,22.059999,10200
2002-10-03,22.200001,22.200001,20.799999,21,9800
2002-10-04,21.790001,21.98,21,21.59,21700
2002-10-07,21.059999,22,21.01,21.360001,9600
2002-10-08,21.879999,21.940001,21.43,21.780001,36600
2002-10-09,21.52,21.91,20.92,20.92,43800
2002-10-10,21.1,21.200001,19.85,21.200001,21900
2002-10-11,21.24,21.700001,20.629999,21.57,19000
2002-10-14,21.309999,21.51,21,21.389999,13000
2002-10-15,21.389999,22.16,21.299999,21.5,88500
2002-10-16,21.5,21.68,20.709999,21,25300
2002-10-17,20.860001,22,20.860001,22,47300
2002-10-18,22,22,21.610001,21.709999,2500
2002-10-21,21.68,22.450001,20.92,20.92,11300
2002-10-22,20.75,20.790001,20.35,20.51,15100
2002-10-23,20.5,21.23,20.4,21.23,8100
2002-10-24,21.450001,22.5,21.450001,21.959999,133100
2002-10-25,22,22.280001,21.950001,22.23,37800
