date,open,high,low,close,volume
2021-04-28,23,23,23,23,100
2021-04-29,30,35.990002,29,34.75,10102900
2021-04-30,31.110001,37.849998,31.110001,36.32,2196100
2021-05-03,36.77,37.200001,34.52,35.630001,885300
2021-05-04,36.080002,38.16,34.522999,34.919998,1006500
2021-05-05,36.23,39.580002,34.810001,38,2487600
2021-05-06,37.59,37.98,31.98,32.810001,631300
2021-05-07,35.169998,35.169998,31.809999,32.470001,495300
2021-05-10,31.68,32.450001,30.49,30.969999,574000
2021-05-11,28.049999,31.48,28,30.51,606500
2021-05-12,30.4,31.950001,29.74,30.139999,168400
2021-05-13,29.879999,31.98,28.379999,29.18,518400
2021-05-14,29.280001,29.950001,27.15,29.129999,410700
2021-05-17,28.84,30.360001,27.507999,29.709999,172800
2021-05-18,29.57,31.865,28.77,30.17,226600
2021-05-19,30.02,30.459999,29.51,30.200001,177500
2021-05-20,30.15,31,29.84,30.08,116500
2021-05-21,30.040001,32.959999,29.650999,32.810001,388500
2021-05-24,33.509998,34.569,31.045,32.32,416100
2021-05-25,33,33.459999,32.400002,32.77,377400
2021-05-26,32.490002,33.48,32.490002,33.099998,247900
2021-05-27,33.099998,34.349998,32.799999,34.16,281900
2021-05-28,33.799999,34.349998,32.27,32.73,310100
2021-06-01,32.549999,33.759998,32.439999,33.400002,323100
2021-06-02,33.209999,35.200001,33.080002,34.389999,488000
2021-06-03,34.419998,35.02,33.459999,33.610001,264900
2021-06-04,33.470001,33.849998,32.970001,33.25,295000
2021-06-07,33.599998,39.48,33.501999,37.639999,1820100
2021-06-08,38.02,38.459999,37.02,37.959999,709500
2021-06-09,38.139999,40.419998,37.647999,39.580002,569100
2021-06-10,39.900002,40.099998,38.599998,39.740002,432200
2021-06-11,39.540001,40.099998,39.369999,39.91,586700
2021-06-14,40.360001,41.529999,38.299999,41.110001,663900
2021-06-15,41.23,41.880001,39.59,40.279999,602800
2021-06-16,40.369999,42.77,40.369999,42.470001,1728500
2021-06-17,42.459999,43.459999,41.259998,43.18,1524400
2021-06-18,43.009998,45.540001,42.470001,45.349998,2637800
2021-06-21,45.349998,46.790001,44,46.25,1552700
2021-06-22,46.34,47.810001,45.470001,46.5,1614100
2021-06-23,46.549999,48.59,46.459999,46.849998,360500
2021-06-24,46.939999,47.869999,44.34,44.860001,526800
2021-06-25,45.02,46.584999,44.369999,46.040001,2772500
2021-06-28,46.099998,49.82,46.009998,49.25,406200
2021-06-29,49.68,50.77,44.189999,44.59,603000
2021-06-30,44.869999,45.360001,44.23,44.369999,311400
2021-07-01,44.369999,45.240002,43.25,43.299999,408400
2021-07-02,43.119999,45.386002,43.119999,44.68,270100
2021-07-06,44.98,45.23,43.049999,43.990002,144300
2021-07-07,43.830002,45.419998,43.240002,45,215500
2021-07-08,43.889999,44.400002,42.330002,42.669998,342900
2021-07-09,42.689999,44.18,42.169998,43.889999,268400
2021-07-12,43.610001,44.779999,42.669998,44.68,188000
2021-07-13,44.709999,45.080002,43.685001,44.16,307300
2021-07-14,44.400002,44.619999,41.380001,41.490002,381400
2021-07-15,41.029999,42.919998,40.810001,41.630001,195900
2021-07-16,42.049999,43.985001,41.25,42.27,257000
2021-07-19,41.779999,43.669998,40.830002,43.619999,237000
2021-07-20,43.849998,45.009998,41.779999,44.150002,466200
2021-07-21,44.599998,46.470001,43.59,46.049999,182800
2021-07-22,46.02,47.279999,45.262001,46.779999,84800
2021-07-23,46.779999,47.77,45.935001,46.549999,51900
2021-07-26,46.43,46.889999,43.389999,43.740002,193700
2021-07-27,43.43,44.25,42.099998,43.77,86000
2021-07-28,43.389999,43.985001,42.240002,43.419998,354000
2021-07-29,43.700001,44.400002,42.34,42.810001,214800
2021-07-30,42.810001,45,41.470001,41.5,167900
2021-08-02,41.529999,43.608002,41.220001,41.59,566700
2021-08-03,41.68,44.720001,38.91,39.07,490400
2021-08-04,38.849998,40.384998,37.259998,37.41,269700
2021-08-05,37.23,37.52,35.669998,36.849998,483800
2021-08-06,36.869999,39.415001,36.209999,38.049999,401700
2021-08-09,37.290001,37.290001,33.25,36.23,665100
2021-08-10,36.169998,37.82,33.330002,34.689999,617300
2021-08-11,34.650002,35.59,33.27,33.509998,323400
2021-08-12,33.509998,34.779999,32.5,32.830002,390200
2021-08-13,32.82,33.075001,31.68,32.400002,140000
2021-08-16,32.400002,33.84,31.59,32.450001,203800
2021-08-17,32.200001,32.529999,31.01,31.73,164400
2021-08-18,31.879999,32.689999,31.290001,31.58,177900
2021-08-19,31.459999,32.150002,30.75,31.6,202800
2021-08-20,31.370001,32.18,30.32,30.370001,191800
2021-08-23,30.440001,30.961,29.299999,29.459999,195300
2021-08-24,29.540001,30.4,28.73,30.16,307900
2021-08-25,30.280001,32.450001,30.25,32.419998,438200
2021-08-26,31.879999,32.950001,31.301001,32.650002,548000
2021-08-27,32.700001,33.115002,31.77,31.91,260400
2021-08-30,31.889999,32.634998,30.959999,32.57,337100
2021-08-31,32.639999,33,29.57,29.809999,383300
2021-09-01,29.559999,30.549999,28.51,29.34,577000
2021-09-02,29.959999,31.878,29.450001,31.75,521400
2021-09-03,31.440001,32.330002,30.417999,32.040001,335700
2021-09-07,31.700001,32.200001,30.92,30.98,507300
2021-09-08,31.1,31.5,27.620001,27.950001,538900
2021-09-09,27.790001,28.815001,26.790001,28.450001,284900
2021-09-10,27.940001,29.785,27.940001,29.469999,327700
