date,open,high,low,close,volume
2021-01-13,90.900002,103,90.010002,96.364998,25159000
2021-01-14,103.5,137.979996,101,114.940002,20858700
2021-01-15,123.054001,127.239998,107,117,8310700
2021-01-19,117,117.675003,108,110.989998,3304900
2021-01-20,110,112,103.25,106.209999,5091400
2021-01-21,107.160004,109.900002,104.300003,108.970001,1735300
2021-01-22,107.190002,121,107.190002,119.949997,4343500
2021-01-25,117.110001,123.448997,108,112.699997,2660000
2021-01-26,113.839996,114,109.510002,110.080002,1287400
2021-01-27,105.739998,108.900002,100.800003,105.290001,2259300
2021-01-28,105,106.290001,97.205002,99.419998,2097400
2021-01-29,100,104.584,97.599998,99.589996,1836300
2021-02-01,100,107.650002,99.624001,107.610001,1266000
2021-02-02,110,118.800003,110,113,1875600
2021-02-03,115.950996,115.989998,109.099998,110.949997,1451700
2021-02-04,110.059998,110.5,106.379997,108.769997,1692700
2021-02-05,108.830002,109.413002,101.25,103.449997,2932300
2021-02-08,109.459999,123.5,109,122.760002,3417400
2021-02-09,121.489998,144.899994,117.040001,131,4056800
2021-02-10,141.949997,146.899994,129,136.229996,2353000
2021-02-11,140,140.5,131.160004,139.990005,2285600
2021-02-12,129.639999,131.669998,123.010002,125.889999,4903500
2021-02-16,129.300003,129.300003,115,119.150002,5642300
2021-02-17,116.629997,117.5,110.800003,112.529999,2786700
2021-02-18,109.639999,109.949997,104.610001,105.550003,3589200
2021-02-19,110.290001,110.75,105,105.989998,2973900
2021-02-22,105.010002,105.720001,102,104.830002,2955600
2021-02-23,99.260002,102.349998,91.099998,102.010002,4105200
2021-02-24,99.279999,103.75,98.705002,102.489998,1894100
2021-02-25,99.93,101,90,94.195,5472000
2021-02-26,92.18,97.82,91.029999,93.059998,2596700
2021-03-01,95.5,96.349998,90.809998,91.440002,2913300
2021-03-02,92.699997,98.190002,91,91.800003,3733500
2021-03-03,91.650002,92.379997,83.93,86.309998,6083900
2021-03-04,85,85.449997,77.099998,84.459999,5611100
2021-03-05,82.824997,83.040001,70.050003,81.139999,5385300
2021-03-08,80.084,80.25,72.949997,74.309998,3771900
2021-03-09,77.25,81.18,75.779999,79.660004,3712800
2021-03-10,82.705002,85.190002,78.300003,80.760002,2130900
2021-03-11,82.360001,83.5,80.25,81.25,2228900
2021-03-12,78,80.074997,76.010002,79.57,2276800
2021-03-15,80,82.779999,79,81.349998,1885200
2021-03-16,82.220001,84.199997,79.5,80.800003,1609300
2021-03-17,78.989998,81.339996,76.769997,81.089996,1424700
2021-03-18,79.870003,80.470001,73.099998,74.389999,4230700
2021-03-19,74.158997,78.510002,71.510002,77.370003,3185200
2021-03-22,77.809998,83.459999,77.809998,81.989998,2158000
2021-03-23,81.220001,81.75,78.199997,78.870003,963800
2021-03-24,79.480003,79.800003,72.519997,72.629997,1555000
2021-03-25,70.620003,71.300003,67.720001,69.559998,2244400
2021-03-26,70,72.370003,67.019997,69.720001,1474100
2021-03-29,69.720001,73.919998,68.669998,69.989998,1984400
2021-03-30,69.686996,69.740997,65.769997,66.389999,2254700
2021-03-31,67.713997,71.199997,65.650002,70.720001,2296000
2021-04-01,73,74.970001,70.370003,71.449997,1661000
2021-04-05,71.739998,72.407997,68.400002,69.389999,1154800
2021-04-06,70.370003,73.5,69.699997,73,1909100
2021-04-07,72.731003,72.731003,69.75,71.5,1264500
2021-04-08,72.769997,72.900002,68.970001,69.809998,1091200
2021-04-09,69.43,71.199997,68.379997,70.709999,1070800
2021-04-12,71.43,71.470001,66.730003,67.93,1890900
2021-04-13,67.989998,70.18,65.309998,70.110001,2493400
2021-04-14,70.18,72.199997,68.629997,68.730003,1540600
2021-04-15,70.349998,70.589996,67.480003,68.669998,1222600
2021-04-16,70,70.139999,67.18,69.720001,1315300
2021-04-19,68.5,69.559998,65.160004,66.019997,1948300
2021-04-20,65.410004,67.190002,63.023998,65,1855200
2021-04-21,64.470001,67.639999,63.790001,67.550003,1160400
2021-04-22,67.730003,70.370003,67.099998,68.620003,1309800
2021-04-23,68.650002,74.599998,68.650002,74.120003,2585200
2021-04-26,74.5,78.760002,73.699997,77.970001,2272900
2021-04-27,78.190002,78.349998,74.720001,76.370003,959100
2021-04-28,75.309998,77.708,75.309998,77.209999,1145100
2021-04-29,78.889999,79.300003,72.800003,74.019997,1886800
2021-04-30,72.629997,74.294998,70.230003,70.5,1764900
2021-05-03,71.699997,71.75,66.309998,66.779999,1534000
2021-05-04,65.769997,66,60.130001,62.169998,4054400
2021-05-05,62.860001,63.700001,55.849998,57.599998,4970400
2021-05-06,57.82,57.91,52.48,54.439999,3879500
2021-05-07,57.040001,58.702,53.779999,54,3332300
2021-05-10,52.650002,57.669998,52.130001,57,5777300
2021-05-11,49.880001,55.900002,46.5,55.450001,7339300
2021-05-12,54.444,54.549999,48.630001,49.82,5248200
2021-05-13,50.02,50.75,47.119999,48.369999,4046000
2021-05-14,49.380001,54.610001,49.060001,54,3886600
2021-05-17,52.57,52.810001,50.009998,50.599998,3853900
2021-05-18,50.860001,53.27,50.23,51.639999,2006600
2021-05-19,48.689999,50.98,48.669998,50.450001,2545100
2021-05-20,51.16,56.790001,51.110001,54.889999,4790100
2021-05-21,55,56.759998,53.32,53.360001,3175600
2021-05-24,52.900002,53.34,50.880001,53.150002,6965000
2021-05-25,53.299999,54.189999,52.630001,54.040001,3716600
2021-05-26,54.32,57.560001,52.610001,57,4039500
2021-05-27,56.290001,57.290001,55.029999,57.290001,2565600
2021-05-28,58,61.060001,57.849998,60.810001,3308800
2021-06-01,63.25,64.269997,60.877998,62.52,4301900
2021-06-02,62.669998,65.599998,62.07,65.239998,2879600
2021-06-03,64.010002,65.760002,62.34,63.240002,2408600
2021-06-04,64.010002,64.400002,59.52,59.650002,3444600
2021-06-07,60.34,61.150002,58.34,59.459999,1842100
2021-06-08,59.790001,63.889999,59.584999,62.490002,2726300
2021-06-09,64.25,64.629997,60.209999,60.259998,2160300
2021-06-10,60.619999,64.019997,60.23,63.68,2900900
2021-06-11,65.290001,68.889999,63.91,67.980003,4780800
2021-06-14,68.260002,70.68,67.599998,68.940002,3741200
2021-06-15,68.82,69.370003,66.279999,67.260002,2718000
2021-06-16,67.139999,69.400002,65.650002,67.410004,4014600
2021-06-17,66.800003,70.809998,66.495003,69.389999,3023000
2021-06-18,69.290001,69.900002,67.535004,68.18,3625000
2021-06-21,68,68.169998,63.68,63.799999,4401000
2021-06-22,63.299999,63.990002,60.650002,63.450001,3929100
2021-06-23,63.5,65.830002,63.32,65.160004,1617600
2021-06-24,66.639999,68.330002,65.650002,66.330002,1820100
2021-06-25,66.879997,67.43,63.82,64.400002,1812000
2021-06-28,64.510002,65.339996,63.380001,64.43,1729700
2021-06-29,64.43,68.639999,63.740002,66.459999,2036000
2021-06-30,66.190002,69.629997,65.300003,67.349998,2586200
2021-07-01,67,68.980003,65.879997,68.370003,2235200
2021-07-02,68.82,69.790001,67.309998,68.870003,1085100
2021-07-06,68.57,69.620003,66.664001,67.989998,1629900
2021-07-07,68.629997,68.699997,63.262001,64.290001,1961400
2021-07-08,61.310001,64.160004,60.59,63.990002,2537600
