date,open,high,low,close,volume
2014-04-17,16.790001,17.17,16.030001,16.5,18382200
2014-04-21,16.5,16.83,16.299999,16.66,1509800
2014-04-22,16.459999,17.719999,16.459999,17.700001,1391400
2014-04-23,17.219999,17.379999,16.75,16.85,974600
2014-04-24,17,17.18,16.57,16.84,339600
2014-04-25,16.719999,16.92,16.5,16.65,297800
2014-04-28,16.57,16.940001,16.25,16.48,678000
2014-04-29,16.639999,16.85,16.4,16.440001,355500
2014-04-30,16.469999,16.620001,16.309999,16.469999,479900
2014-05-01,16.450001,16.629999,16.440001,16.51,1800700
2014-05-02,16.190001,16.5,16,16.4,726900
2014-05-05,16,16.299999,15,16.02,1971500
2014-05-06,16,16.26,15.84,15.92,722200
2014-05-07,16.07,16.097,15.87,15.98,808300
2014-05-08,15.7,16.049999,15.65,15.75,378800
2014-05-09,15.67,15.7,15.4,15.54,2312900
2014-05-12,15.45,16.040001,15.45,15.99,473900
2014-05-13,15.56,15.95,15.56,15.76,1005700
2014-05-14,15.55,15.82,15.55,15.76,243800
2014-05-15,15.63,16.41,15.5,16.1,1667800
2014-05-16,16.09,16.32,16.049999,16.290001,249000
2014-05-19,16.389999,16.67,16.25,16.5,459500
2014-05-20,16.4,16.559999,16.25,16.360001,153200
2014-05-21,16.34,16.809999,16.309999,16.5,1053000
2014-05-22,16.459999,16.84,16.290001,16.65,1202500
2014-05-23,16.66,17.219999,16.540001,17.09,436300
2014-05-27,17.85,17.9,16.51,17.08,1012400
2014-05-28,17.1,18.07,16.799999,17.799999,1094600
2014-05-29,17.99,19.15,17.889999,18.59,1195100
2014-05-30,18.66,19.26,18.521999,19.200001,976600
2014-06-02,19.33,19.475,19.1,19.200001,633600
2014-06-03,19.24,19.24,18.42,18.889999,1425100
2014-06-04,18.48,19.08,18.200001,19,847500
2014-06-05,18.98,19.43,18.972,19.219999,854300
2014-06-06,19.219999,19.379999,18.68,18.799999,840100
2014-06-09,18.83,19.549999,18.75,18.99,1204000
2014-06-10,18.91,19.280001,18.700001,19.209999,1028800
2014-06-11,19.200001,19.5,19.16,19.219999,1247800
2014-06-12,19.200001,19.370001,19,19.219999,877500
2014-06-13,19.200001,19.485001,19.110001,19.23,1102800
2014-06-16,19.200001,19.719999,19.040001,19.209999,5274500
2014-06-17,19.16,19.639999,18.99,19.440001,1153300
2014-06-18,19.450001,20.57,19.450001,20.299999,1253400
2014-06-19,20.27,20.91,20.02,20.5,954200
2014-06-20,20.540001,20.790001,19.809999,20.049999,3208500
2014-06-23,20.1,20.440001,19.610001,19.75,822700
2014-06-24,19.709999,19.879999,19.1,19.290001,820700
2014-06-25,19.27,20.08,19.120001,19.959999,858200
2014-06-26,19.92,20.26,19.450001,19.59,1457900
2014-06-27,19.620001,20.540001,19.466,20.264999,5176600
2014-06-30,20.18,20.325001,19.799999,20.049999,1078400
2014-07-01,20.18,20.26,19.85,20.030001,523600
2014-07-02,20.049999,20.139999,19.74,19.91,437000
2014-07-03,19.879999,20.129999,19.76,20.09,139200
2014-07-07,20,20.120001,19.93,20,760000
2014-07-08,19.91,20.110001,19.75,20.01,829200
2014-07-09,20.01,20.209999,19.950001,20.190001,257500
2014-07-10,19.889999,20.110001,19.65,19.950001,484200
2014-07-11,20,20.190001,19.700001,19.795,622800
2014-07-14,19.98,19.98,19.639999,19.715,590000
2014-07-15,19.75,19.91,19.389999,19.450001,257200
2014-07-16,19.639999,19.73,19.17,19.290001,472600
2014-07-17,19.309999,19.475,19.040001,19.16,786700
2014-07-18,19.17,19.57,19.16,19.370001,313300
2014-07-21,19.299999,19.58,19.218,19.51,307200
2014-07-22,19.57,19.82,19.41,19.66,231300
2014-07-23,19.690001,19.85,19.549999,19.629999,298800
2014-07-24,19.719999,19.77,19.440001,19.6,126500
2014-07-25,19.59,19.790001,19.34,19.559999,232000
2014-07-28,19.559999,19.559999,19.1,19.18,586900
2014-07-29,19.18,19.645,19,19.4,207000
2014-07-30,19.52,19.59,19.190001,19.290001,280300
2014-07-31,19.15,19.15,18.940001,18.98,774300
2014-08-01,18.9,19.07,18.4,18.75,793400
