date,open,high,low,close,volume
1975-11-17,0,8.71875,8.71875,8.71875,53200
1975-11-18,0,8.96875,8.96875,8.96875,106800
1975-11-19,0,8.5625,8.5625,8.5625,170400
1975-11-20,0,8.4375,8.4375,8.4375,61200
1975-11-21,0,8.4375,8.4375,8.4375,64000
1975-11-24,0,8.40625,8.40625,8.40625,88400
1975-11-25,0,8.375,8.375,8.375,75200
1975-11-26,0,8.4375,8.4375,8.4375,89200
1975-11-28,0,8.5,8.5,8.5,95600
1975-12-01,0,8.25,8.25,8.25,102400
1975-12-02,0,7.875,7.875,7.875,78400
1975-12-03,0,7.5,7.5,7.5,86400
1975-12-04,0,7.5,7.5,7.5,48800
1975-12-05,0,7.4375,7.4375,7.4375,62800
1975-12-08,0,7.4375,7.4375,7.4375,87600
1975-12-09,0,7.4375,7.4375,7.4375,158800
1975-12-10,0,7.46875,7.46875,7.46875,99600
1975-12-11,0,7.5,7.5,7.5,62400
1975-12-12,0,7.875,7.875,7.875,116400
1975-12-15,0,7.84375,7.84375,7.84375,170800
1975-12-16,0,7.96875,7.96875,7.96875,110400
1975-12-17,0,8.03125,8.03125,8.03125,92800
1975-12-18,0,8.0625,8.0625,8.0625,81200
1975-12-19,0,8,8,8,130800
1975-12-22,0,8,8,8,67200
1975-12-23,0,8.03125,8.03125,8.03125,59600
1975-12-24,0,7.8125,7.8125,7.8125,135200
1975-12-26,0,7.84375,7.84375,7.84375,46800
1975-12-29,0,7.75,7.75,7.75,52800
1975-12-30,0,7.71875,7.71875,7.71875,54000
1975-12-31,0,7.71875,7.71875,7.71875,34800
1976-01-02,0,7.875,7.875,7.875,71600
1976-01-05,0,7.96875,7.96875,7.96875,104400
1976-01-06,0,8.3125,8.3125,8.3125,132800
1976-01-07,0,8.125,8.125,8.125,120000
1976-01-08,0,8.125,8.125,8.125,85200
1976-01-09,0,8.125,8.125,8.125,59600
1976-01-12,0,8.125,8.125,8.125,48800
1976-01-13,0,8.03125,8.03125,8.03125,112400
1976-01-14,0,8.125,8.125,8.125,90000
1976-01-15,0,8,8,8,174000
1976-01-16,0,8,8,8,14400
1976-01-19,0,8.03125,8.03125,8.03125,56000
1976-01-20,0,8.0625,8.0625,8.0625,59200
