date,open,high,low,close,volume
1995-10-03,18.75,19.875,18.5,19.625,10364800
1995-10-04,19.5,19.625,18.75,18.75,1810800
1995-10-05,19.125,19.5,19,19.375,1216500
1995-10-06,19.625,19.875,19.375,19.875,1538100
1995-10-09,19.875,19.875,19.375,19.375,869200
1995-10-10,19.375,19.5,19,19.25,840800
1995-10-11,19.375,19.5,19.25,19.375,630400
1995-10-12,19.375,19.5,19.125,19.375,519700
1995-10-13,19.5,20,19.5,20,557300
1995-10-16,20.125,20.125,19.625,19.75,188700
1995-10-17,19.75,19.875,19.625,19.75,244600
1995-10-18,19.625,19.75,19.5,19.625,152500
1995-10-19,19.5,19.625,19.5,19.625,180400
1995-10-20,19.625,19.75,19.375,19.5,298900
1995-10-23,19.25,19.375,19.125,19.25,731100
1995-10-24,19.375,19.375,19,19,670500
1995-10-25,19.125,19.25,19,19,749900
1995-10-26,19.125,19.125,19,19,810900
1995-10-27,19,19.25,19,19.25,460500
1995-10-30,19.375,19.375,19.25,19.25,76200
1995-10-31,20.75,20.75,19.875,20.375,2034100
1995-11-01,20.25,20.5,20,20.375,398600
1995-11-02,20.375,20.5,20.375,20.5,221200
1995-11-03,20.5,20.875,20.375,20.75,306800
1995-11-06,20.625,21.25,20.625,20.625,137200
1995-11-07,20.625,20.625,20.375,20.625,566300
1995-11-08,20.5,20.875,20.5,20.75,264700
1995-11-09,20.625,20.75,20.625,20.75,70700
1995-11-10,20.625,20.625,20.375,20.375,190500
1995-11-13,20.375,20.625,20.375,20.5,135900
1995-11-14,20.625,20.75,20.5,20.625,206900
1995-11-15,20.5,20.625,20.25,20.5,615500
1995-11-16,20.75,21,20.375,20.375,381400
1995-11-17,20.5,20.875,20.375,20.625,178000
1995-11-20,20.75,21.375,20.5,20.5,377000
1995-11-21,20.625,20.75,20.5,20.75,391400
1995-11-22,20.5,20.875,20.5,20.875,92600
1995-11-24,20.875,20.875,20.75,20.875,7900
1995-11-27,20.75,21.125,20.625,20.75,455000
1995-11-28,21,21,20.75,20.75,130200
1995-11-29,20.75,20.875,20.75,20.75,59500
1995-11-30,20.625,21,20.625,20.875,180100
1995-12-01,21,21.25,20.875,21.25,94400
1995-12-04,21.25,21.25,21,21,228600
1995-12-05,21,21.125,20.875,21.125,251400
1995-12-06,21.25,21.25,21,21,109900
1995-12-07,21.25,21.625,21.25,21.375,171800
1995-12-08,21.125,21.375,21,21.25,224000
1995-12-11,21.25,21.75,21.25,21.5,123800
1995-12-12,21.5,21.625,21.25,21.5,192100
1995-12-13,21.5,21.875,21.375,21.625,81800
1995-12-14,21.875,22.375,21.875,21.875,251200
1995-12-15,22,22.5,22,22.25,220800
1995-12-18,22.125,22.125,21.875,22.125,320900
1995-12-19,22,23,21.875,23,361400
1995-12-20,23.25,23.375,22.375,22.375,168300
1995-12-21,22.375,23,22.375,22.875,90300
1995-12-22,23,23,22.625,22.875,104500
1995-12-26,22.625,23,22.625,23,109100
1995-12-27,23,23,22.75,22.875,108400
1995-12-28,23,23,22.625,22.625,74100
1995-12-29,22.625,23.5,22.625,23.375,230800
1996-01-02,23.25,23.25,22.25,22.875,237100
1996-01-03,22.75,22.875,22.5,22.75,249500
1996-01-04,22.5,22.5,22,22.25,276800
1996-01-05,22.25,22.5,22.25,22.5,171100
1996-01-08,22.5,22.5,22.25,22.375,62200
1996-01-09,22.5,22.5,22,22.375,65300
1996-01-10,22.25,22.625,22.125,22.375,535400
1996-01-11,22.375,22.375,22,22.25,83400
1996-01-12,22.25,22.5,22.25,22.375,60200
1996-01-15,22.5,22.625,22.25,22.25,76800
1996-01-16,22.375,22.625,22.125,22.25,81000
1996-01-17,22.5,22.625,22.25,22.375,50800
1996-01-18,22.125,22.375,22,22,972000
1996-01-19,21.875,22,21.375,22,102800
1996-01-22,21.75,21.75,20.375,20.75,449000
1996-01-23,21,22.25,21,21.875,798600
1996-01-24,21.875,22.625,21.875,22.5,269500
1996-01-25,22.75,22.75,22,22,181200
1996-01-26,22,22,21.875,21.875,136500
1996-01-29,21.875,22.625,21.875,22.5,102200
1996-01-30,22.5,22.625,22.125,22.375,315200
1996-01-31,22.125,22.25,21.625,21.75,607200
1996-02-01,21.875,22,21.75,22,363500
1996-02-02,22,22,21.875,22,124700
1996-02-05,22,22,21.25,21.25,206800
1996-02-06,21.125,21.375,20.125,20.875,648100
1996-02-07,20.75,21.125,20.5,20.75,454500
1996-02-08,21.25,21.5,20.75,21.5,757100
1996-02-09,21.5,22,21.375,21.875,531000
1996-02-12,21.875,22.625,21.875,22.625,315400
1996-02-13,22.625,22.625,22.375,22.5,123600
