date,open,high,low,close,volume
1993-11-16,3.388889,3.611111,3.277778,3.555556,8705700
1993-11-17,3.611111,3.916667,3.555556,3.833333,2836350
1993-11-18,3.888889,4.055556,3.777778,3.777778,1637550
1993-11-19,3.777778,3.861111,3.722222,3.75,1134450
1993-11-22,3.722222,3.777778,3.555556,3.611111,767250
1993-11-23,3.611111,3.916667,3.611111,3.833333,422100
1993-11-24,3.833333,3.916667,3.833333,3.916667,111600
1993-11-26,3.888889,3.888889,3.833333,3.888889,19350
1993-11-29,3.833333,4,3.833333,3.916667,214200
1993-11-30,3.944444,4.166667,3.944444,4.111111,242100
1993-12-01,4.222222,4.277778,4.111111,4.138889,338400
1993-12-02,4.111111,4.194444,4.055556,4.055556,136350
1993-12-03,4.138889,4.166667,4.083333,4.166667,49950
1993-12-06,4.083333,4.166667,4.083333,4.138889,30600
1993-12-07,4.083333,4.166667,4.083333,4.138889,103050
1993-12-08,4.166667,4.222222,4.083333,4.222222,206100
1993-12-09,4.25,4.388889,4.194444,4.388889,554400
1993-12-10,4.388889,4.388889,4.305556,4.333333,135000
1993-12-13,4.305556,4.388889,4.305556,4.388889,155250
1993-12-14,4.388889,4.5,4.222222,4.388889,340200
1993-12-15,4.222222,4.333333,4.222222,4.333333,61200
1993-12-16,4.166667,4.333333,4.166667,4.222222,136800
1993-12-17,4.111111,4.277778,4.111111,4.277778,122850
1993-12-20,4.222222,4.25,4,4,983700
1993-12-21,4,4.222222,4,4.138889,384300
1993-12-22,4.055556,4.277778,4.055556,4.277778,211050
1993-12-23,4.111111,4.111111,4.111111,4.111111,4950
1993-12-27,4.333333,4.444444,4.277778,4.444444,37350
1993-12-28,4.333333,4.611111,4.333333,4.555556,650700
1993-12-29,4.5,4.777778,4.5,4.777778,229050
1993-12-30,4.555556,4.777778,4.555556,4.666667,223200
1993-12-31,4.611111,4.666667,4.555556,4.555556,43200
1994-01-03,4.555556,4.666667,4.555556,4.611111,236700
1994-01-04,4.444444,4.472222,4.444444,4.472222,416700
1994-01-05,4.333333,4.75,4.333333,4.666667,94050
1994-01-06,4.666667,5,4.666667,4.888889,422100
1994-01-07,4.777778,5.055556,4.777778,5.055556,445950
1994-01-10,4.888889,5.055556,4.833333,4.861111,101700
1994-01-11,4.833333,4.944444,4.833333,4.888889,20250
1994-01-12,5,5,4.833333,4.833333,3600
1994-01-13,4.944444,4.944444,4.777778,4.888889,41400
1994-01-14,4.944444,4.944444,4.777778,4.833333,32850
1994-01-17,4.777778,4.777778,4.777778,4.777778,3600
1994-01-18,4.777778,4.777778,4.777778,4.777778,7650
1994-01-19,4.722222,4.888889,4.722222,4.888889,58500
1994-01-20,4.666667,4.833333,4.666667,4.833333,71550
1994-01-21,4.833333,4.944444,4.722222,4.833333,53550
1994-01-24,4.833333,5.138889,4.833333,5.138889,98100
1994-01-25,5,5.083333,4.944444,4.944444,34650
1994-01-26,4.944444,5.111111,4.944444,5,95850
1994-01-27,5.055556,5.055556,5.055556,5.055556,1800
1994-01-28,5.055556,5.055556,4.944444,4.944444,7650
1994-01-31,4.944444,5.111111,4.944444,4.944444,9000
1994-02-01,5.166667,5.444444,4.944444,5.222222,203400
1994-02-02,5.277778,5.277778,5.194444,5.194444,7650
1994-02-03,5.111111,5.166667,5.111111,5.138889,31950
1994-02-04,5.111111,5.166667,4.944444,5,88650
1994-02-07,4.777778,4.833333,4.555556,4.722222,215100
1994-02-08,4.722222,4.777778,4.611111,4.666667,182250
1994-02-09,4.722222,4.722222,4.555556,4.666667,252450
1994-02-10,4.722222,4.722222,4.555556,4.555556,151650
1994-02-11,4.555556,4.611111,4.555556,4.555556,35100
1994-02-14,4.555556,4.611111,4.555556,4.611111,5400
1994-02-15,4.611111,4.611111,4.583333,4.611111,43650
1994-02-16,4.666667,4.722222,4.5,4.722222,68850
1994-02-17,4.666667,4.666667,4.555556,4.555556,3150
1994-02-18,4.722222,4.722222,4.666667,4.666667,14850
1994-02-22,4.5,4.722222,4.5,4.583333,37800
1994-02-23,4.555556,4.666667,4.5,4.5,29700
1994-02-24,4.666667,4.666667,4.555556,4.666667,35550
1994-02-25,4.666667,4.777778,4.5,4.777778,81450
1994-02-28,4.888889,5.055556,4.722222,4.944444,61200
1994-03-01,5.055556,5.055556,4.888889,5.055556,31050
1994-03-02,4.888889,5.055556,4.888889,5,7200
1994-03-03,4.888889,5.111111,4.888889,5.111111,27900
1994-03-04,5,5.083333,5,5.083333,7650
1994-03-07,5.055556,5.083333,5,5.055556,403650
1994-03-08,5.166667,5.166667,5,5,15750
1994-03-09,5,5.083333,5,5.083333,56700
1994-03-10,5.138889,5.222222,5.111111,5.222222,23850
1994-03-11,5.333333,5.333333,5.111111,5.111111,232200
1994-03-14,5.277778,5.277778,5.277778,5.277778,4500
1994-03-15,5.333333,5.333333,5.111111,5.333333,2700
1994-03-16,5.333333,5.333333,5.222222,5.222222,63450
1994-03-17,5.444444,5.444444,5.222222,5.444444,4950
1994-03-18,5.222222,5.222222,5.222222,5.222222,6300
1994-03-21,5.333333,5.333333,5.222222,5.277778,28800
1994-03-22,5.305556,5.305556,5.222222,5.222222,93600
1994-03-23,5.277778,5.388889,5.222222,5.305556,22050
1994-03-24,5.222222,5.277778,5.222222,5.277778,12150
1994-03-25,5.111111,5.222222,5.111111,5.111111,213300
1994-03-28,5.222222,5.222222,5,5.027778,347400
1994-03-29,4.916667,5,4.888889,4.888889,300600
1994-03-30,4.722222,4.944444,4.666667,4.833333,77850
1994-03-31,4.777778,5,4.777778,4.944444,213300
1994-04-04,4.666667,4.777778,4.5,4.611111,114300
1994-04-05,4.888889,5,4.833333,5,154800
1994-04-06,4.777778,4.944444,4.777778,4.833333,54450
1994-04-07,4.722222,4.833333,4.722222,4.722222,2700
1994-04-08,4.722222,4.944444,4.722222,4.944444,11700
1994-04-11,4.916667,5,4.833333,4.888889,27900
1994-04-12,4.888889,4.888889,4.888889,4.888889,0
1994-04-13,4.888889,4.888889,4.888889,4.888889,450
1994-04-14,4.888889,4.944444,4.888889,4.944444,98100
1994-04-15,4.888889,5.055556,4.833333,5,35550
1994-04-18,4.75,4.75,4.722222,4.722222,50850
1994-04-19,4.722222,4.833333,4.555556,4.666667,175500
1994-04-20,4.555556,4.555556,4.416667,4.416667,30150
1994-04-21,4.555556,4.555556,4.444444,4.472222,292500
1994-04-22,4.388889,4.555556,4.388889,4.555556,89550
1994-04-25,4.444444,4.5,4.444444,4.5,109800
1994-04-26,4.5,4.5,4.5,4.5,0
1994-04-28,4.555556,4.555556,4.388889,4.555556,78300
1994-04-29,4.388889,4.555556,4.388889,4.388889,39150
1994-05-02,4.611111,4.611111,4.583333,4.583333,25200
1994-05-03,4.583333,4.583333,4.583333,4.583333,0
