date,open,high,low,close,volume
2012-02-09,489.600006,489.600006,489.600006,489.600006,1
2012-02-10,489.600006,489.600006,489.600006,489.600006,1
2012-02-13,480,680,480,680,1
2012-02-14,656,656,656,656,1
2012-02-15,480.799988,520,480,512,31
2012-02-16,432,496,432,496,2
2012-02-17,432,464,432,464,7
2012-02-21,464,464,464,464,0
2012-02-22,408,408,408,408,0
2012-02-23,408,408,408,408,1
2012-02-24,408,456,408,456,3
2012-02-27,456,456,456,456,0
2012-02-28,408,480,408,480,1
2012-02-29,480,480,480,480,1
2012-03-01,480,480,480,480,0
2012-03-02,480,480,480,480,1
2012-03-05,440,440,440,440,3
2012-03-06,440,440,440,440,1
2012-03-07,440,440,440,440,4
2012-03-08,480,480,480,480,2
2012-03-09,440,440,440,440,3
2012-03-12,440,440,432,440,7
2012-03-13,440,440,440,440,0
2012-03-14,320,336.799988,320,336.799988,5
2012-03-15,336.799988,336.799988,336.799988,336.799988,4
2012-03-16,336,336,336,336,0
2012-03-19,472,472,456,456,2
2012-03-20,456,456,456,456,0
2012-03-21,336,336,336,336,1
2012-03-22,352,352,352,352,1
2012-03-23,352,352,352,352,0
2012-03-26,336,336,336,336,2
2012-03-27,336,336,336,336,1
2012-03-28,400,400,400,400,3
2012-03-29,384,384,384,384,3
2012-03-30,384,384,384,384,0
2012-04-02,336,400,336,400,4
2012-04-03,320,320,320,320,0
2012-04-04,320,320,320,320,0
2012-04-05,320,320,320,320,0
2012-04-09,256,384,256,384,32
2012-04-10,368,368,344,344,3
2012-04-11,256,256,256,256,1
2012-04-12,256,256,256,256,0
2012-04-13,256,256,256,256,0
2012-04-16,256,256,256,256,0
2012-04-17,256,256,256,256,0
2012-04-18,256,256,256,256,0
2012-04-19,256,256,256,256,1
2012-04-20,256,256,256,256,0
2012-04-23,256,280,256,280,29
2012-04-24,256,256,256,256,5
2012-04-25,256,256,256,256,0
2012-04-26,256,256,256,256,1
2012-04-27,256,256,256,256,0
2012-04-30,256,400,256,400,1
2012-05-01,400,400,400,400,0
2012-05-02,256,256,256,256,3
2012-05-03,256,256,256,256,0
2012-05-04,256,256,256,256,0
2012-05-07,208,400,208,392,4
2012-05-08,216,392,216,392,1
2012-05-09,392,392,124,176,5017
2012-05-10,184,436,146.399994,404,6051
2012-05-11,448,560,440.799988,516,3268
2012-05-14,560,560,256,256,3992
2012-05-15,296,336,272.799988,312,1123
2012-05-16,355.200012,356,176,240,6527
2012-05-17,279.200012,279.200012,172,208,4034
2012-05-18,236,236,136,148,3779
2012-05-21,156,156,96,112.800003,1711
2012-05-22,128,128,96.800003,100,1287
2012-05-23,96.800003,128,96.800003,100,911
2012-05-24,114.400002,148,108,108,1300
2012-05-25,108,120,104,104,324
2012-05-29,112,112,88,89.599998,1630
2012-05-30,81.599998,100,81.599998,91.199997,621
2012-05-31,99.199997,108,85.599998,108,348
2012-06-01,92,100,88,92.800003,238
2012-06-04,92.800003,92.800003,76,80,315
2012-06-05,80.800003,85.599998,72.800003,79.199997,222
2012-06-06,80,80,68,68,931
2012-06-07,72,72,68,69.599998,488
2012-06-08,71.199997,72,64.800003,72,433
2012-06-11,66.400002,88,66.400002,72.800003,804
2012-06-12,82.400002,82.400002,73.599998,82.400002,52
2012-06-13,82.400002,82.400002,76,76.800003,103
2012-06-14,80,82.400002,80,80,144
2012-06-15,82.400002,82.400002,73.599998,79.199997,109
2012-06-18,76,76,64,73.599998,281
2012-06-19,76,76,73.599998,76,175
2012-06-20,76,80,72,80,211
2012-06-21,76,76,64.800003,72,132
2012-06-22,72,80,68.800003,72,211
2012-06-25,68.800003,72,64,65.599998,186
2012-06-26,64,72,64,71.199997,127
2012-06-27,71.199997,71.199997,64.800003,70.400002,78
2012-06-28,70.400002,72,64,68,234
2012-06-29,68.800003,71.199997,64,64,133
2012-07-02,64,70.400002,64,70.400002,73
2012-07-03,71.199997,72,70.400002,72,153
2012-07-05,72,72,64.800003,71.199997,102
2012-07-06,68.800003,69.599998,68.800003,69.599998,32
2012-07-09,69.599998,69.599998,62.400002,64,102
2012-07-10,50.400002,64,50.400002,60,87
2012-07-11,60,60,56,56,43
2012-07-12,56,64,56,64,87
2012-07-13,64,64,57.599998,57.599998,57
2012-07-16,56,58.400002,51.200001,56,182
2012-07-17,51.200001,56,51.200001,56,59
2012-07-18,52,52,40,40,361
2012-07-19,40,43.200001,40,40,226
2012-07-20,40,52,40,52,6
2012-07-23,40,64,40,50.400002,113
2012-07-24,56,56,50.400002,50.400002,27
2012-07-25,56,62.400002,50.400002,62.400002,45
2012-07-26,62.400002,62.400002,56,56,87
2012-07-27,54.400002,56,52,52,28
2012-07-30,52,63.200001,52,56,214
2012-07-31,48,57.599998,48,48,78
2012-08-01,48,48,48,48,0
2012-08-02,28,32,28,30,80
2012-08-03,35,35,35,35,40
2012-08-06,30,50,30,50,95
2012-08-07,47.799999,48,35,40,270
2012-08-08,34,34,28,28,295
