date,open,high,low,close,volume
2020-01-17,11.03,15.25,11.01,11.63,3672400
2020-01-21,11,11.36,10.18,10.88,406700
2020-01-22,10.84,11.2,10.73,10.94,214700
2020-01-23,11,11.08,10.4,11.05,151900
2020-01-24,11.01,11.1,10.67,11.1,98600
2020-01-27,10.83,11.09,10.56,11,67500
2020-01-28,11.05,11.2,10.82,11.12,60300
2020-01-29,11.15,11.2,10.62,11,108900
2020-01-30,11,11.03,10.75,11,47600
2020-01-31,11,11.18,10.805,11.08,63800
2020-02-03,11,11.02,10.64,11,101200
2020-02-04,11.06,11.1,10.9,11.01,71700
2020-02-05,11,11.04,10.838,11,47700
2020-02-06,10.85,10.91,10.5,10.52,65200
2020-02-07,10.86,11.9,10.64,11.1,257000
2020-02-10,11.05,11.29,10.73,11,125200
2020-02-11,11.2,11.5,10.96,11,147500
2020-02-12,11.1,11.1,10.8,10.91,57700
2020-02-13,10.75,10.878,10.5,10.6,51800
2020-02-14,10.77,10.865,10.16,10.23,72900
2020-02-18,10.19,10.6,10,10.11,129800
2020-02-19,10.12,10.25,9.637,9.8,67300
2020-02-20,9.7,9.99,9.31,9.88,82600
2020-02-21,9.691,9.868,9.5,9.56,6700
2020-02-24,9.43,9.43,9.08,9.12,50300
2020-02-25,9.12,9.73,9.12,9.45,55900
2020-02-26,9.67,9.67,9.18,9.22,52000
2020-02-27,9.2,9.5,9.1,9.5,52900
2020-02-28,9.38,9.38,9.15,9.29,41400
2020-03-02,9.44,9.47,9.08,9.19,38800
2020-03-03,9.01,9.4,9.01,9.31,45200
2020-03-04,9.4,9.5,9.1,9.3,63300
2020-03-05,9.23,9.3,9.1,9.1,53600
2020-03-06,9.16,9.46,9.07,9.3,57000
2020-03-09,9.01,9.01,8.13,8.24,46800
2020-03-10,8.816,8.816,8.31,8.35,35000
2020-03-11,8.44,8.96,8.34,8.8,101400
2020-03-12,8.5,8.5,6.15,6.15,105900
2020-03-13,6.42,6.593,6.1,6.2,102900
2020-03-16,6.28,6.28,6,6.13,19300
2020-03-17,6.32,6.37,6.175,6.31,32300
2020-03-18,6.05,6.3,5.76,6.2,26500
2020-03-19,6.2,6.25,6.05,6.25,10900
2020-03-20,6.31,6.9,6,6.48,31500
2020-03-23,6.9,6.9,6.68,6.9,11300
2020-03-24,7,7.3,6.48,7.3,32900
2020-03-25,7.31,8.5,6.8,7.65,31100
2020-03-26,7.98,8.3,7.61,8.29,48500
2020-03-27,7.584,8.04,7.575,7.84,27200
2020-03-30,8,8,6.9,7,10900
2020-03-31,7.3,7.3,6.9,7,28800
2020-04-01,6.99,7.25,6.92,7.09,30500
2020-04-02,7.03,7.5,6.49,7.19,39800
2020-04-03,7.3,7.35,6,6.89,28500
2020-04-06,7.25,7.3,6.26,6.66,12700
2020-04-07,6.85,6.85,6,6.17,17000
2020-04-08,6.51,6.54,6,6.22,18000
2020-04-09,6.22,6.27,5.838,5.96,14700
2020-04-13,5.96,6.2,5.6,5.87,17100
2020-04-14,5.99,5.99,5.47,5.7,30300
2020-04-15,5.69,5.7,4.17,4.66,115700
2020-04-16,4.66,4.86,4.2,4.3,66600
2020-04-17,4.42,5.18,4.4,4.8,58900
2020-04-20,4.92,5.59,4.92,5.23,19600
2020-04-21,5.2,5.22,4.76,4.91,11600
2020-04-22,5.15,5.4,5.11,5.2,13000
2020-04-23,5.41,5.41,4.72,5.07,9300
