ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
ABNB,2021.2,Inf,NA,Inf,Inf,NA
ABNB,2021.2,NA,Inf,NA,NA,NA
ABNB,2020.4,NA,NA,0,NA,0
ANGI,2021.2,0,4.92,5.62,52.78,NA
ANGI,2020.4,0,4.51,5.14,48.35,0.85
ANGI,2020.3,1109.5,3.92,4.32,36.27,0.88
ANGI,2020.2,303.75,4.44,4.63,33.76,0.48
ANGI,2020.1,175,1.97,2.02,15.31,0.47
ANGI,2019.4,121,3.28,3.21,30.17,0.45
ANGI,2019.3,50.61,2.83,2.68,19.94,0.46
ANGI,2019.2,86.73,5.41,4.91,35.44,0.46
ANGI,2019.1,81.26,6.69,5.87,42.76,0.44
ANGI,2018.4,107.13,7.19,6.1,44.1,0.37
ANGI,2018.3,0,10.62,10.18,119.92,0.42
ANGI,2018.2,0,7.48,6.93,136.23,0.43
ANGI,2018.1,0,7.36,6.22,260.65,0.44
ANGI,2017.4,0,6.43,4.98,300.57,0.46
ANGI,2017.3,0,7.86,5.68,117.77,0.3
ANGI,2017.2,0,8.7,88.15,155.98,17.52
ANGI,2017.1,0,2.27,35.08,156.16,15.51
ANGI,2016.4,0,2.27,0,109.3,0.82
ANGI,2016.3,0,2.92,-66.47,56.08,-19.13
ANGI,2016.2,26.04,1.43,73.56,0,33.74
ANGI,2016.1,269,1.73,-135.86,0,-53.36
ANGI,2015.4,55,2.01,-230.3,502.69,-73.83
ANGI,2015.3,26.53,0.87,-14.87,0,-9.74
ANGI,2015.2,61.6,1.08,-16.66,0,-9.14
ANGI,2015.1,0,1.05,-22.08,0,-12.49
ANGI,2014.4,0,1.16,-16.44,0,-7.97
ANGI,2014.3,0,1.23,-9.46,0,-5.09
ANGI,2014.2,0,2.44,-19.09,0,-4.51
ANGI,2014.1,0,2.67,-35.14,661.96,-7.13
ANGI,2013.4,0,3.59,-47.9,1097.83,-6.71
ANGI,2013.3,0,5.85,-57.04,0,-5.77
ANGI,2013.2,0,7.7,-130.39,0,-10.42
ANGI,2013.1,0,6.44,-11623.53,0,-1083.64
ANGI,2012.4,0,4.42,130.47,0,17.09
ANGI,2012.3,0,4.13,357.43,0,58.42
ANGI,2012.2,NA,NA,47.91,NA,4.76
ANGI,2012.1,NA,NA,32.58,NA,2.43
ANGI,2011.4,NA,NA,20,NA,1.43
ANGI,2011.3,NA,NA,NA,NA,0
ANGI,2011.2,NA,NA,NA,NA,0
ANGI,2011.1,NA,NA,NA,NA,0
ANGI,2010.4,NA,NA,NA,NA,-1.67
ANGI,2009.4,NA,NA,NA,NA,0
ATHM,2021.2,22.63,8.5,4.14,24.05,NA
ATHM,2020.4,23.78,8.93,4.36,25.28,0.34
ATHM,2020.3,23.65,9.38,0,29.53,0.24
ATHM,2020.2,20.04,7.61,0,23.22,0.26
ATHM,2020.1,18.61,7.02,0,21.61,0.34
ATHM,2019.4,20.31,7.77,4.46,24.35,0.31
ATHM,2019.3,21.61,8.34,0,22.33,0.31
ATHM,2019.2,21.79,8.8,0,23,0.33
ATHM,2019.1,27.47,11.34,0,28.24,0.39
ATHM,2018.4,21.35,8.71,5.61,21.01,0.42
ATHM,2018.3,22.98,8.55,0,24.47,0.37
ATHM,2018.2,32.86,11.6,0,31.92,0.37
ATHM,2018.1,30.26,10.37,0,27.16,0.44
ATHM,2017.4,24.66,7.77,6.04,20.23,0.55
ATHM,2017.3,28.22,7.45,0,30.6,0.39
ATHM,2017.2,23.58,5.67,0,23.11,0.38
ATHM,2017.1,18.49,4.06,0,16.18,0.43
ATHM,2016.4,15.46,3.32,3.1,12.88,0.48
ATHM,2016.3,15.61,3.57,0,12.86,0.55
ATHM,2016.2,13.21,3.3,0,10.66,0.56
ATHM,2016.1,18.73,5.09,0,14.82,0.5
ATHM,2015.4,25.15,7.18,0,18.52,0.55
