mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.3306914779666257,10,0.006718862659743506,Preprocessor1_Model01
3,1,rmse,standard,0.45430494693619083,10,0.010437151836224219,Preprocessor1_Model01
3,1,rsq,standard,0.7093625851269206,10,0.016767769086478798,Preprocessor1_Model01
5,1,mae,standard,0.31929345388256036,10,0.00534471690310678,Preprocessor1_Model02
5,1,rmse,standard,0.44084128555327196,10,0.008676554017937134,Preprocessor1_Model02
5,1,rsq,standard,0.7190113743952976,10,0.017321105914503965,Preprocessor1_Model02
7,1,mae,standard,0.3160198279889341,10,0.0049226769705638905,Preprocessor1_Model03
7,1,rmse,standard,0.439049458252696,10,0.008466901853508945,Preprocessor1_Model03
7,1,rsq,standard,0.7149322232032886,10,0.02029947297840588,Preprocessor1_Model03
10,1,mae,standard,0.3157671747133031,10,0.0063768266634162745,Preprocessor1_Model04
10,1,rmse,standard,0.4385060188913624,10,0.010289136094514527,Preprocessor1_Model04
10,1,rsq,standard,0.7135032212868918,10,0.02341831040207418,Preprocessor1_Model04
3,3,mae,standard,0.3289022493093515,10,0.005600761465814834,Preprocessor1_Model05
3,3,rmse,standard,0.45251188913954044,10,0.010674274093186328,Preprocessor1_Model05
3,3,rsq,standard,0.7110471980276304,10,0.01525129048011699,Preprocessor1_Model05
5,3,mae,standard,0.3201696692135756,10,0.005202391186051882,Preprocessor1_Model06
5,3,rmse,standard,0.44216600499703074,10,0.009771600451534803,Preprocessor1_Model06
5,3,rsq,standard,0.7168124564674989,10,0.020319803115138917,Preprocessor1_Model06
7,3,mae,standard,0.3183627065739331,10,0.005136456090675398,Preprocessor1_Model07
7,3,rmse,standard,0.44034354218024574,10,0.009304604854872682,Preprocessor1_Model07
7,3,rsq,standard,0.7139438633567146,10,0.02173908509384991,Preprocessor1_Model07
10,3,mae,standard,0.31673430342944797,10,0.005850066575545116,Preprocessor1_Model08
10,3,rmse,standard,0.4383891098835192,10,0.010221013814096055,Preprocessor1_Model08
10,3,rsq,standard,0.7144931637237465,10,0.021789260983713463,Preprocessor1_Model08
3,5,mae,standard,0.3333947611188255,10,0.006169923700225506,Preprocessor1_Model09
3,5,rmse,standard,0.4550004588439599,10,0.010617939316311463,Preprocessor1_Model09
3,5,rsq,standard,0.7106982884831012,10,0.013889044207147124,Preprocessor1_Model09
5,5,mae,standard,0.32021472672151735,10,0.0052515469438204196,Preprocessor1_Model10
5,5,rmse,standard,0.44068258083636935,10,0.009643266267479968,Preprocessor1_Model10
5,5,rsq,standard,0.719213408283182,10,0.020758733497166938,Preprocessor1_Model10
7,5,mae,standard,0.3210048776845165,10,0.005895118207544325,Preprocessor1_Model11
7,5,rmse,standard,0.4471950900124044,10,0.010940311672012176,Preprocessor1_Model11
7,5,rsq,standard,0.7049297195360997,10,0.024102273908439255,Preprocessor1_Model11
10,5,mae,standard,0.31987086831760037,10,0.006512613157883655,Preprocessor1_Model12
10,5,rmse,standard,0.4465109329543911,10,0.011370337828629644,Preprocessor1_Model12
10,5,rsq,standard,0.701019189065539,10,0.024490989247967974,Preprocessor1_Model12
3,7,mae,standard,0.33892294735555495,10,0.005363536956823677,Preprocessor1_Model13
3,7,rmse,standard,0.4615918576597657,10,0.010382903621978093,Preprocessor1_Model13
3,7,rsq,standard,0.700681544947012,10,0.01592553518171578,Preprocessor1_Model13
5,7,mae,standard,0.32535698075433667,10,0.006523690673264956,Preprocessor1_Model14
5,7,rmse,standard,0.44606785314682035,10,0.011379577583890677,Preprocessor1_Model14
5,7,rsq,standard,0.7130126562362524,10,0.019148617405116787,Preprocessor1_Model14
7,7,mae,standard,0.3211549779887037,10,0.005826703723613299,Preprocessor1_Model15
7,7,rmse,standard,0.4431165100690502,10,0.010113092026631666,Preprocessor1_Model15
7,7,rsq,standard,0.7117302083197329,10,0.021070216966691754,Preprocessor1_Model15
10,7,mae,standard,0.31969497007903613,10,0.0062960488838743065,Preprocessor1_Model16
10,7,rmse,standard,0.44196739128482176,10,0.010287663915960789,Preprocessor1_Model16
10,7,rsq,standard,0.7102137271898613,10,0.025088690273561753,Preprocessor1_Model16
