date,open,high,low,close,volume
1996-10-16,7,8.25,7,8.125,39000
1996-10-17,8.25,8.625,8.25,8.375,23600
1996-10-18,8.75,8.75,8.625,8.625,79000
1996-10-21,8.6875,8.6875,8.625,8.6875,16800
1996-10-22,8.625,8.625,8.1875,8.1875,72400
1996-10-23,7.875,8,7.75,7.875,27200
1996-10-24,7.8125,7.8125,7.5,7.5625,79400
1996-10-25,7.5,7.5625,7.5,7.5625,96400
1996-10-28,7.5,7.625,7.5,7.625,48400
1996-10-29,7.625,7.75,7.625,7.75,16000
1996-10-30,7.875,7.875,7.75,7.75,28200
1996-10-31,7.75,7.8125,7.5,7.625,361600
1996-11-01,7.5625,7.625,7.1875,7.25,1305000
1996-11-04,7.25,7.375,7.25,7.3125,1030400
1996-11-05,7.3125,7.625,7.3125,7.5,927400
1996-11-06,7.5625,7.875,7.5,7.6875,659800
1996-11-07,7.6875,7.8125,7.625,7.75,1180800
1996-11-08,7.8125,7.8125,7.6875,7.6875,990800
1996-11-11,7.625,8,7.625,7.9375,1018800
1996-11-12,8,8,7.6875,7.75,211200
1996-11-13,7.8125,7.8125,7.5,7.5625,952200
1996-11-14,7.5625,7.5625,7.4375,7.5,891000
1996-11-15,7.5625,7.75,7.5625,7.75,1254400
1996-11-18,7.875,7.9375,7.625,7.625,547800
1996-11-19,7.75,7.875,7.75,7.8125,669000
1996-11-20,7.8125,7.9375,7.8125,7.8125,477000
1996-11-21,7.875,7.9375,7.5,7.5625,279000
1996-11-22,7.5625,7.75,7.375,7.4375,709000
1996-11-25,7.5625,7.5625,7.125,7.1875,1209000
1996-11-26,7.1875,7.1875,6.875,7,1263000
1996-11-27,7.0625,7.625,7,7.5625,2561000
1996-11-29,7.5,7.6875,7.5,7.6875,309000
1996-12-02,7.625,7.8125,7.5,7.75,679000
1996-12-03,7.75,8.125,7.75,8.125,1158600
1996-12-04,8.125,8.125,7.875,8.0625,474600
1996-12-05,8.125,8.1875,8.0625,8.1875,547600
1996-12-06,7.9375,8.0625,7.875,8.0625,340200
1996-12-09,8.0625,8.1875,8,8.125,548600
1996-12-10,8.0625,8.1875,8,8,861400
1996-12-11,7.9375,8,7.8125,8,722400
1996-12-12,8,8.0625,8,8,192800
1996-12-13,7.9375,8,7.8125,7.8125,783200
1996-12-16,7.875,7.875,7.6875,7.75,652600
1996-12-17,7.75,8,7.75,8,343000
1996-12-18,8,8.1875,7.9375,8.1875,479200
1996-12-19,8.1875,8.25,8.125,8.125,416800
1996-12-20,8.25,8.25,7.9375,8.1875,556600
1996-12-23,8.25,8.3125,8.0625,8.1875,314600
1996-12-24,8.125,8.1875,8.0625,8.1875,203200
1996-12-26,8.1875,8.25,8,8.25,386400
1996-12-27,8.1875,8.4375,8.1875,8.3125,307800
1996-12-30,8.375,8.625,8.3125,8.625,391200
1996-12-31,8.6875,8.8125,8.625,8.8125,284200
1997-01-02,8.75,8.75,8.3125,8.375,550400
1997-01-03,8.4375,8.5625,8.375,8.4375,479200
1997-01-06,8.5,8.5,8.375,8.4375,294600
1997-01-07,8.5,8.5625,8.375,8.4375,472400
1997-01-08,8.4375,8.5625,8.375,8.375,359400
1997-01-09,8.4375,8.4375,8.3125,8.4375,248200
1997-01-10,8.375,8.4375,8.25,8.3125,268000
1997-01-13,8.3125,8.4375,8.25,8.3125,341800
1997-01-14,8.3125,8.375,8.1875,8.25,469400
1997-01-15,8.1875,8.25,8,8.0625,429600
1997-01-16,8.125,8.125,7.8125,7.9375,273000
1997-01-17,7.9375,8,7.875,8,310600
1997-01-20,8,8.1875,7.9375,8.125,126200
1997-01-21,8.1875,8.25,8.0625,8.1875,404000
1997-01-22,8.1875,8.3125,8.1875,8.25,287600
1997-01-23,8.3125,8.4375,8.1875,8.25,228400
1997-01-24,8.25,8.25,8.0625,8.0625,381600
1997-01-27,8,8,7.6875,7.6875,204200
1997-01-28,7.875,7.9375,7.625,7.6875,252200
1997-01-29,7.75,7.9375,7.6875,7.9375,319600
1997-01-30,7.8125,7.9375,7.75,7.9375,181800
1997-01-31,7.875,8,7.875,8,339200
1997-02-03,8,8.0625,7.8125,8,330000
1997-02-04,7.9375,7.9375,7.8125,7.9375,162200
1997-02-05,8,8.0625,7.75,7.75,295400
1997-02-06,7.875,7.875,7.75,7.75,155000
1997-02-07,7.875,8,7.875,7.9375,87200
1997-02-10,7.9375,7.9375,7.8125,7.875,187200
1997-02-11,7.8125,7.875,7.75,7.8125,206600
1997-02-12,7.75,7.75,7.5,7.625,319800
1997-02-13,7.5625,7.75,7.5625,7.6875,238800
1997-02-14,7.6875,7.75,7.5,7.5,324600
1997-02-18,7.5625,7.6875,7.5,7.6875,228200
1997-02-19,7.6875,7.8125,7.625,7.75,195800
1997-02-20,7.6875,7.75,7.5,7.625,1030400
1997-02-21,7.5625,7.625,7.5,7.5625,678000
1997-02-24,7.5625,7.75,7.5625,7.75,301200
1997-02-25,7.6875,7.9375,7.6875,7.9375,313000
1997-02-26,7.875,7.9375,7.75,7.8125,109600
1997-02-27,7.8125,7.875,7.625,7.75,149200
1997-02-28,7.75,7.75,7.625,7.6875,79200
1997-03-03,7.625,7.6875,7.5625,7.5625,347400
1997-03-04,7.5625,7.6875,7.5,7.6875,160800
1997-03-05,7.625,7.75,7.625,7.6875,56800
1997-03-06,7.625,7.6875,7.5,7.625,327600
1997-03-07,7.5625,7.625,7.5625,7.5625,76200
1997-03-10,7.5625,7.6875,7.5625,7.6875,821400
1997-03-11,7.6875,7.6875,7.5625,7.625,199800
1997-03-12,7.5625,7.625,7.4375,7.4375,391000
1997-03-13,7.4375,7.5625,7.375,7.375,114200
1997-03-14,7.375,7.4375,7.375,7.375,44800
1997-03-17,7.375,7.4375,7.3125,7.375,94600
1997-03-18,7.3125,7.625,7.25,7.3125,63800
1997-03-19,7.3125,7.3125,6.9375,7.0625,114200
1997-03-20,7.0625,7.25,7.0625,7.25,175800
1997-03-21,7.1875,7.25,7.0625,7.125,445400
1997-03-24,7.125,7.1875,7.125,7.1875,62000
1997-03-25,7.1875,7.1875,7.125,7.1875,37400
1997-03-26,7.1875,7.1875,7.0625,7.0625,125800
1997-03-27,7.125,7.125,6.75,6.875,249600
1997-03-31,6.75,6.9375,6.6875,6.75,433800
1997-04-01,6.75,6.9375,6.75,6.9375,168000
1997-04-02,6.875,6.875,6.8125,6.8125,74000
1997-04-03,6.8125,7,6.75,6.8125,1677200
1997-04-04,6.625,6.9375,6.625,6.9375,3134000
1997-04-07,6.875,7.125,6.875,7.0625,989200
1997-04-08,7,7.125,7,7,43200
1997-04-09,7,7.125,7,7,144400
1997-04-10,7,7.25,7,7.1875,74600
1997-04-11,7.125,7.1875,7,7,186600
1997-04-14,7,7,6.8125,6.9375,56400
1997-04-15,6.9375,6.9375,6.75,6.875,974400
1997-04-16,6.8125,6.9375,6.8125,6.9375,117200
1997-04-17,7,7,6.8125,6.875,51600
1997-04-18,6.875,6.9375,6.8125,6.875,20400
1997-04-21,6.8125,6.875,6.5,6.625,172200
1997-04-22,6.5625,6.75,6.5,6.5,178000
1997-04-23,6.5,6.6875,6.4375,6.5625,1146400
1997-04-24,6.6875,6.6875,6.5,6.5625,165600
1997-04-25,6.625,6.75,6.4375,6.4375,192600
1997-04-28,6.4375,6.4375,6.375,6.375,53400
1997-04-29,6.75,7.25,6.75,7.0625,1531800
1997-04-30,7.0625,7.1875,7,7,651200
1997-05-01,7,7.0625,6.9375,7,338000
1997-05-02,7,7.0625,6.9375,6.9375,3449200
1997-05-05,6.9375,7.125,6.875,7,404200
1997-05-06,6.9375,7,6.75,6.8125,1095400
1997-05-07,6.875,7,6.875,6.9375,275400
1997-05-08,6.875,6.9375,6.875,6.9375,143800
1997-05-09,6.9375,6.9375,6.8125,6.9375,286800
1997-05-12,6.9375,7.0625,6.9375,7,164400
1997-05-13,7,7.0625,7,7,315200
1997-05-14,7,7.1875,7,7.125,216000
1997-05-15,7.125,7.1875,7.125,7.125,270200
1997-05-16,7.125,7.1875,7.125,7.125,68200
1997-05-19,7.125,7.3125,7.125,7.3125,110000
1997-05-20,7.1875,7.4375,7.125,7.375,90000
1997-05-21,7.4375,7.5625,7.375,7.5,304400
1997-05-22,7.5,7.5,7.375,7.5,99000
1997-05-23,7.4375,7.5,7.4375,7.5,322000
1997-05-27,7.5,7.75,7.5,7.75,129600
1997-05-28,7.6875,7.9375,7.6875,7.9375,267800
1997-05-29,7.9375,7.9375,7.75,7.875,153200
1997-05-30,7.8125,7.875,7.75,7.875,73400
1997-06-02,7.875,7.9375,7.75,7.8125,61600
1997-06-03,7.75,8,7.75,8,579000
1997-06-04,8,8,7.9375,7.9375,143600
1997-06-05,8,8.125,7.9375,8,389200
1997-06-06,8,8.0625,8,8.0625,238800
1997-06-09,7.9375,8.0625,7.9375,8,119000
1997-06-10,8,8.0625,8,8.0625,156000
1997-06-11,8.0625,8.125,8,8.125,117600
1997-06-12,8.125,8.125,8.0625,8.125,55200
1997-06-13,8,8.1875,8,8.1875,58000
1997-06-16,8.0625,8.0625,7.9375,8.0625,123200
1997-06-17,8,8.125,7.9375,8.0625,112200
1997-06-18,8,8,7.875,8,101600
1997-06-19,7.9375,8.125,7.875,8,161400
1997-06-20,7.9375,8,7.9375,8,287800
1997-06-23,7.9375,8,7.875,7.9375,298200
1997-06-24,7.9375,8,7.8125,7.9375,294200
1997-06-25,7.9375,8.03125,7.875,7.96875,554000
1997-06-26,8,8.03125,7.9375,7.96875,1309800
1997-06-27,7.96875,8.25,7.96875,8.1875,138600
1997-06-30,8.1875,8.5625,8,8.46875,522600
1997-07-01,8.46875,8.46875,8.25,8.28125,98800
1997-07-02,8.25,8.375,8.1875,8.3125,61800
1997-07-03,8.375,8.5,8.375,8.46875,56000
1997-07-07,8.46875,8.53125,8.4375,8.5,165200
1997-07-08,8.5,8.5625,8.46875,8.46875,203000
1997-07-09,8.5,8.53125,8.34375,8.34375,361000
