ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
CMRE,2021.3,11.11,3.8,1.34,0,NA
CMRE,2021.2,8,2.73,0.97,0,1.66
CMRE,2021.1,104.61,2.45,0.82,11.82,1.51
CMRE,2020.4,0,2.1,0.73,4.77,1.23
CMRE,2020.3,0,1.48,0.53,3.53,1.27
CMRE,2020.2,0,1.27,0.47,2.93,1.17
CMRE,2020.1,4.76,1,0.35,2.43,1.13
CMRE,2019.4,14.9,2.09,0.73,4.77,1.14
CMRE,2019.3,12.05,1.35,0.46,3.13,1.17
CMRE,2019.2,16.67,1.19,0.38,3.96,1.3
CMRE,2019.1,29.9,1.24,0.38,10.44,1.22
CMRE,2018.4,10.92,1.07,0.31,13.65,1.25
CMRE,2018.3,25.7,1.54,0.44,14.05,0.86
CMRE,2018.2,19.84,1.8,0.53,6.28,0.83
CMRE,2018.1,11.21,1.3,0.41,3.88,0.87
CMRE,2017.4,8.5,1.09,0.37,2.99,1.25
CMRE,2017.3,13.44,1.05,0.42,2.59,1.08
CMRE,2017.2,14.85,1.08,0.5,2.89,1.15
CMRE,2017.1,8.17,0.89,0.42,1.83,1.28
CMRE,2016.4,5.11,0.68,0.35,1.42,1.38
CMRE,2016.3,4.62,1.06,0.5,2.18,1.55
CMRE,2016.2,3.33,0.85,0.42,1.69,1.64
CMRE,2016.1,3.52,0.95,0.48,1.87,1.67
CMRE,2015.4,4.16,1.06,0.54,2.12,1.73
CMRE,2015.3,5.02,1.23,0.65,2.6,1.87
CMRE,2015.2,7.13,1.81,0.96,3.5,1.94
CMRE,2015.1,7.71,1.71,1.04,3.83,2.3
CMRE,2014.4,8.02,1.7,1.02,4.64,2.38
CMRE,2014.3,10,2.12,1.26,13.85,2.44
CMRE,2014.2,12.11,2.3,1.37,0,2.62
CMRE,2014.1,10.24,2.2,1.26,0,2.67
CMRE,2013.4,7.95,1.95,1.23,0,3.09
CMRE,2013.3,7.78,1.89,1.2,0,3.11
CMRE,2013.2,8.04,1.84,1.25,0,3.23
CMRE,2013.1,7.93,1.64,1.25,0,3.4
CMRE,2012.4,6.43,1.32,1.11,0,3.44
CMRE,2012.3,6.33,1.36,1.37,0,4.34
CMRE,2012.2,5.18,1.16,1.17,119.06,4.14
CMRE,2012.1,4.64,1.1,1.09,19.66,3.91
CMRE,2011.4,5.02,1.15,1.33,0,5.01
CMRE,2011.3,5.04,0.97,1.18,0,5.12
CMRE,2011.2,NA,NA,1.37,NA,4.17
CMRE,2011.1,NA,NA,1.37,NA,3.87
CMRE,2010.4,NA,NA,1.16,NA,4.05
CMRE,2010.3,NA,NA,NA,NA,8.53
CMRE,2010.2,NA,NA,NA,NA,0
CMRE,2010.1,NA,NA,NA,NA,0
CMRE,2009.4,NA,NA,NA,NA,0
CMRE,2009.3,NA,NA,NA,NA,0
CMRE,2008.4,NA,NA,NA,NA,0
CPLP,2021.3,4.22,1.67,Inf,1.92,NA
CPLP,2021.2,3.72,1.48,0,1.7,0.82
CPLP,2021.1,6.02,1.37,0,8.05,1.02
CPLP,2020.4,4.94,1.02,0,0,0.95
CPLP,2020.3,4.17,0.86,0,0,0.98
CPLP,2020.2,5.92,1.12,0,0,1.06
CPLP,2020.1,5.26,1.05,0,0,1.02
CPLP,2019.4,0,1.99,0.53,5.55,0.73
CPLP,2019.3,0,1.54,0,3.56,0.72
CPLP,2019.2,0,1.4,0,3.3,0.72
CPLP,2019.1,0,1.34,0,1.71,0.8
CPLP,2018.4,0,1.79,0.24,2.16,0.57
