date,open,high,low,close,volume
2003-12-15,18048,18048,17760,17760,4
2003-12-16,17640,17640,17640,17640,0
2003-12-17,17640,17760,17640,17664,5
2003-12-18,17760,17808,17520,17760,2
2003-12-19,17640,17640,17280,17472,4
2003-12-22,17712,17712,17520,17640,2
2003-12-23,17640,17640,17400,17520,2
2003-12-24,17520,17520,17520,17520,0
2003-12-26,17640,17640,17640,17640,0
2003-12-29,17400,17400,17280,17400,0
2003-12-30,17400,17400,17400,17400,0
2003-12-31,17400,17400,17160,17184,1
2004-01-02,17088,17208,17040,17136,1
2004-01-05,17040,17040,17040,17040,0
2004-01-06,16824,16824,16080,16080,2
2004-01-07,16200,16200,15480,15480,2
2004-01-08,15600,15720,15600,15720,6
2004-01-09,15600,15960,15360,15960,3
2004-01-12,16200,16920,16200,16800,5
2004-01-13,16824,17280,16824,17088,11
2004-01-14,17088,17208,16800,17088,21
2004-01-15,17160,18600,17160,18240,18
2004-01-16,18288,18600,18240,18360,117
2004-01-20,18480,18960,18360,18480,6
2004-01-21,18840,18960,18816,18888,7
2004-01-22,18840,18960,18600,18720,7
2004-01-23,18840,18960,18720,18816,13
2004-01-26,18720,19080,18720,18960,4
2004-01-27,19104,19152,18480,18816,4
2004-01-28,18720,18792,18672,18720,1
2004-01-29,18480,18480,18000,18024,4
2004-01-30,18360,20520,18360,20160,44
2004-02-02,20136,20136,19800,19896,2
2004-02-03,19920,20040,18960,18960,3
2004-02-04,18960,19344,18960,19080,11
2004-02-05,18960,18960,18000,18240,5
2004-02-06,18264,18408,18240,18264,10
2004-02-09,18024,18024,18000,18024,2
2004-02-10,18120,18120,16320,16680,10
2004-02-11,16800,17112,16320,16800,10
2004-02-12,16944,17688,16944,17688,9
2004-02-13,17400,17400,17400,17400,0
2004-02-17,17520,17520,17208,17400,10
2004-02-18,17160,17688,17160,17424,19
2004-02-19,17472,17472,17160,17256,13
2004-02-20,17256,17280,16440,16440,6
2004-02-23,16440,17400,15960,17160,18
2004-02-24,17280,17400,16440,16704,14
2004-02-25,16704,17280,16200,17088,29
2004-02-26,17160,17760,17160,17400,28
2004-02-27,17472,17640,17400,17592,4
2004-03-01,17592,17640,17592,17640,3
2004-03-02,17640,17640,17520,17640,10
2004-03-03,17640,17640,17040,17376,5
2004-03-04,17160,17352,16920,17184,8
2004-03-05,16944,17040,16704,16992,4
2004-03-08,16920,16920,15432,16800,34
2004-03-09,16800,16800,16200,16368,5
2004-03-10,16320,16320,15984,16080,2
2004-03-11,15720,15720,15480,15720,3
2004-03-12,15480,16104,15480,16080,3
2004-03-15,16080,16176,16032,16032,2
2004-03-16,16080,16080,15936,16080,24
2004-03-17,16080,16080,13920,14400,20
2004-03-18,14520,14640,11640,13344,47
2004-03-19,13560,15240,13560,14928,30
2004-03-22,14880,15264,14760,15072,11
2004-03-23,15240,15240,15120,15120,8
2004-03-24,14928,15048,14928,14928,3
2004-03-25,14952,15240,14952,15216,2
2004-03-26,15264,16080,15000,16080,9
2004-03-29,15840,16080,15240,15480,9
2004-03-30,15552,15600,14880,14880,5
2004-03-31,15000,15840,14880,15720,12
2004-04-01,15360,15600,15120,15360,11
2004-04-02,15360,15480,15120,15480,6
2004-04-05,15600,15600,14040,14400,5
2004-04-06,14520,15360,14520,15024,9
2004-04-07,14880,14880,14640,14688,4
2004-04-08,14400,15600,14400,15240,9
2004-04-12,15000,15000,14400,14544,4
2004-04-13,14760,14760,13920,14040,7
2004-04-14,14088,14112,13584,13632,6
2004-04-15,13680,13680,13128,13320,2
2004-04-16,13080,13920,13080,13224,10
2004-04-19,12744,13008,12720,12720,4
2004-04-20,12840,12840,12480,12600,14
2004-04-21,12504,12504,12240,12288,7
2004-04-22,12240,12312,12240,12312,3
2004-04-23,12360,12360,12120,12120,2
2004-04-26,12240,12360,12120,12120,1
2004-04-27,12000,12024,11760,11784,7
2004-04-28,12000,12000,11040,11160,9
2004-04-29,11280,11400,10200,10704,7
2004-04-30,10560,10560,10320,10392,4
2004-05-03,10320,10440,10200,10296,7
2004-05-04,10200,10200,10080,10080,1
2004-05-05,9960,9984,9960,9960,2
2004-05-06,9960,10248,9888,10152,6
2004-05-07,10200,10320,10200,10296,2
2004-05-10,10272,10272,10056,10056,1
2004-05-11,10080,10440,10080,10440,6
2004-05-12,10416,10416,10080,10104,1
2004-05-13,9960,9960,9840,9912,2
2004-05-14,9960,9960,9912,9960,1
2004-05-17,9912,9912,9912,9912,0
2004-05-18,9840,9840,9240,9240,2
2004-05-19,9240,10200,9144,9576,5
2004-05-20,9360,9360,9360,9360,0
2004-05-21,9384,9480,9384,9480,0
2004-05-24,9504,9504,9504,9504,0
2004-05-25,9480,9672,9480,9648,2
2004-05-26,9600,9672,9360,9360,1
2004-05-27,9360,9360,9360,9360,0
2004-05-28,9360,9600,9360,9600,2
2004-06-01,9600,9624,9576,9600,2
2004-06-02,9600,9744,9600,9600,3
2004-06-03,9600,9624,9600,9624,1
2004-06-04,9600,9648,9600,9600,0
