date,open,high,low,close,volume
2020-11-02,9.344,9.549,9.344,9.344,500
2020-11-03,9.472,9.472,9.114,9.472,1700
2020-11-04,9.408,9.408,9.114,9.344,1300
2020-11-05,9.216,9.216,9.114,9.216,900
2020-11-06,9.165,9.498,9.114,9.114,2400
2020-11-09,7.49,7.49,4.5,5.75,3100
2020-11-10,5,5,3.35,4.75,17800
2020-11-11,4.51,4.51,4.2,4.49,4600
2020-11-12,4.2,4.4,3.7,4.09,14600
2020-11-13,3,3.15,3,3.05,316200
2020-11-16,3.17,3.17,3.04,3.06,87100
2020-11-17,3.05,3.42,3.04,3.365,172600
2020-11-18,3.45,3.45,3.33,3.393,85900
2020-11-19,3.32,3.39,3.13,3.25,64400
2020-11-20,3.35,3.35,3.22,3.25,6900
2020-11-23,3.24,3.24,3.08,3.138,26400
2020-11-24,3.1,3.15,3.09,3.09,11000
2020-11-25,3.1,3.205,2.95,3.17,61200
2020-11-27,3.2,3.24,3.16,3.225,13400
2020-11-30,3,3.3,2.98,3.24,62600
2020-12-01,3.2,3.2,3.02,3.14,24300
2020-12-02,3.15,3.21,3.083,3.18,24500
2020-12-03,3.15,3.15,3.012,3.105,22600
2020-12-04,3.09,3.15,3.06,3.14,13900
2020-12-07,3.25,3.25,3.125,3.145,22500
2020-12-08,3.15,3.16,3.07,3.097,19100
2020-12-09,3.03,3.14,3.03,3.122,4400
2020-12-10,3.15,3.15,3.055,3.125,15700
2020-12-11,3.068,3.1,3,3.04,15000
2020-12-14,3.09,3.25,3,3.2,96200
2020-12-15,3.25,3.34,3.12,3.16,94800
2020-12-16,3.21,3.24,3.1,3.14,34600
2020-12-17,3.2,3.45,3.145,3.42,115500
2020-12-18,3.45,3.55,3.09,3.09,149600
2020-12-21,3.08,3.236,3.04,3.09,56800
2020-12-22,3.081,3.095,3.04,3.09,22600
2020-12-23,3.06,3.14,3.05,3.08,24400
2020-12-24,3.059,3.15,3.059,3.07,24900
2020-12-28,3.03,3.1,3,3,45700
2020-12-29,3.12,3.13,3.01,3.05,60900
2020-12-30,3.03,3.087,3,3.04,28600
2020-12-31,3.1,3.1,3.01,3.01,58200
2021-01-04,3.12,3.12,3.013,3.07,50800
2021-01-05,3.1,3.13,3.02,3.07,60200
2021-01-06,3.03,3.13,3.02,3.06,48500
2021-01-07,3.1,3.12,2.9,2.99,126000
2021-01-08,3.04,3.07,2.96,3.05,41600
2021-01-11,3.04,3.04,2.985,3.01,29100
2021-01-12,3,3.03,2.95,3,57800
2021-01-13,3,3.03,2.96,2.98,21700
2021-01-14,3.01,3.07,2.96,3.06,34600
2021-01-15,3,3.13,2.98,3.04,110500
2021-01-19,3.11,3.22,3.05,3.14,119600
2021-01-20,3.12,3.22,3,3.11,101900
2021-01-21,3.17,3.17,3.082,3.125,40500
2021-01-22,3.1,3.12,3.02,3.105,25400
2021-01-25,3.02,3.158,3.02,3.07,86900
2021-01-26,3.07,3.12,3.02,3.11,71800
2021-01-27,3.07,3.07,3,3.04,84700
2021-01-28,3.06,3.15,2.96,3.08,164500
2021-01-29,3.01,3.08,2.96,2.96,67100
2021-02-01,3.04,3.06,2.96,3.05,64600
2021-02-02,3.05,3.18,3.05,3.13,103800
2021-02-03,3.14,3.153,3.11,3.11,22100
2021-02-04,3.14,3.26,3.13,3.25,80900
2021-02-05,3.24,3.32,3.15,3.32,60700
2021-02-08,3.21,3.63,3.21,3.49,190400
2021-02-09,3.54,3.57,3.46,3.46,96400
2021-02-10,3.55,3.6,3.4,3.48,67400
2021-02-11,3.61,4.05,3.47,3.83,269500
2021-02-12,4.01,4.5,3.76,3.9,508000
2021-02-16,3.97,4.245,3.67,3.93,132000
2021-02-17,4.1,4.49,4.1,4.38,407400
2021-02-18,4.02,4.297,3.766,3.95,126600
2021-02-19,3.96,4.05,3.75,3.76,77700
2021-02-22,3.75,3.758,3.45,3.45,113400
2021-02-23,3.29,3.4,2.98,3.23,128300
2021-02-24,3.26,3.36,3.236,3.25,27500
2021-02-25,3.323,3.35,3.17,3.246,31500
2021-02-26,3.22,3.23,3.15,3.18,27100
2021-03-01,3.22,3.38,3.19,3.33,55900
2021-03-02,3.65,3.7,3.05,3.3,193000
2021-03-03,3.32,3.61,3.25,3.49,149900
2021-03-04,3.44,3.48,3,3.19,188900
2021-03-05,3.17,3.64,3.05,3.38,124700
2021-03-08,3.27,3.49,3.09,3.11,2074700
2021-03-09,5.31,12.3,5.22,9.4,96674400
2021-03-10,7.35,7.36,5.67,6.44,7832300
2021-03-11,5.76,6.07,5.3,5.58,2093800
2021-03-12,5.33,5.435,5.02,5.23,966800
2021-03-15,6.11,6.32,5.3,5.4,1696300
2021-03-16,5.32,5.56,5.08,5.14,532100
2021-03-17,5.07,5.3,4.91,5.07,331100
2021-03-18,5.07,5.24,4.91,4.92,257800
2021-03-19,4.98,5.04,4.68,4.71,342500
2021-03-22,4.78,4.78,4.53,4.54,264900
2021-03-23,4.57,4.61,4.371,4.47,298800
2021-03-24,4.4,4.456,4.19,4.39,352200
2021-03-25,4.23,4.76,4.1,4.75,541200
2021-03-26,4.74,4.77,4.35,4.43,162400
2021-03-29,4.43,4.45,4.21,4.24,185700
2021-03-30,4.24,5.63,4.1,4.94,1252000
2021-03-31,4.77,4.77,4.32,4.33,375200
2021-04-01,4.41,4.6,4.37,4.47,127800
