date,open,high,low,close,volume
2011-04-12,104500,104500,104500,104500,0
2011-04-13,104500,104500,104500,104500,0
2011-04-14,104500,104500,104500,104500,0
2011-04-15,112500,112500,87500,100000,0
2011-04-18,100000,100000,100000,100000,0
2011-04-19,100000,100000,100000,100000,0
2011-04-20,100000,100000,100000,100000,0
2011-04-21,100000,100000,100000,100000,0
2011-04-25,100000,100000,100000,100000,0
2011-04-26,100000,100000,100000,100000,0
2011-04-27,100000,100000,100000,100000,0
2011-04-28,95000,100000,90000,97500,4
2011-04-29,97500,105000,87500,87500,0
2011-05-02,87500,87500,87500,87500,0
2011-05-03,100000,100000,100000,100000,0
2011-05-04,87500,90000,87500,87500,3
2011-05-05,87500,100000,87500,87500,3
2011-05-06,87500,110000,87500,105000,2
2011-05-09,105000,111000,105000,110500,0
2011-05-10,110500,110500,107500,109000,0
2011-05-11,109500,117000,109500,117000,1
2011-05-12,115000,119500,115000,119500,1
2011-05-13,124000,127500,117500,117500,3
2011-05-16,117500,126500,117500,122000,3
2011-05-17,125000,126500,125000,126500,2
2011-05-18,127500,139500,125000,139500,2
2011-05-19,139500,139500,132500,132500,1
2011-05-20,132500,138500,127500,137500,1
2011-05-23,138500,138500,130000,137500,1
2011-05-24,135000,142000,132500,135000,2
2011-05-25,135000,137500,132500,137500,0
2011-05-26,139500,139500,132500,136500,0
2011-05-27,137500,141500,135000,139500,1
2011-05-31,140000,142000,139500,142000,0
2011-06-01,144500,144500,136000,137500,0
2011-06-02,137500,137500,135000,137500,0
2011-06-03,137500,137500,132500,135000,0
2011-06-06,131000,131000,130000,130000,0
2011-06-07,132500,135000,132500,135000,1
2011-06-08,137500,137500,137500,137500,0
2011-06-09,137500,137500,135000,137500,0
2011-06-10,132500,132500,132500,132500,0
2011-06-13,132500,132500,127500,131500,1
2011-06-14,130000,134000,127500,134000,1
2011-06-15,134000,134000,134000,134000,0
2011-06-16,127500,135000,125000,135000,1
2011-06-17,135000,135000,135000,135000,0
2011-06-20,130000,130000,122000,130000,0
2011-06-21,125000,142500,123000,130000,2
2011-06-22,127500,134500,127500,134500,1
2011-06-23,127500,137000,125000,136500,0
2011-06-24,136500,136500,120000,124500,1
2011-06-27,124500,127000,124500,127000,0
2011-06-28,127000,127000,125000,125000,0
2011-06-29,125000,125000,124500,124500,0
2011-06-30,124500,124500,124500,124500,0
2011-07-01,124500,124500,124500,124500,0
2011-07-05,125000,137000,125000,125000,1
2011-07-06,129000,130000,129000,130000,0
2011-07-07,130000,130000,130000,130000,0
2011-07-08,130000,130000,130000,130000,0
2011-07-11,117500,125000,117500,125000,0
2011-07-12,117500,130000,112500,129500,0
2011-07-13,130000,130000,112500,128500,0
2011-07-14,126500,127500,112000,123000,0
2011-07-15,113000,122500,113000,119500,0
2011-07-18,112500,117500,112500,112500,0
2011-07-19,121000,121000,110000,112500,1
2011-07-20,112500,122000,112500,117500,0
2011-07-21,117500,117500,117500,117500,0
2011-07-22,122500,122500,115000,122500,0
2011-07-25,122500,122500,113000,113500,0
2011-07-26,113000,113500,107500,113500,0
2011-07-27,105000,120000,105000,120000,0
2011-07-28,120000,120000,120000,120000,0
2011-07-29,105500,117500,105000,115000,0
2011-08-01,105000,107500,102500,107500,0
2011-08-02,107500,117500,107500,117500,0
2011-08-03,102500,120000,102500,120000,0
2011-08-04,102500,120000,102500,120000,0
2011-08-05,107500,107500,100000,105000,0
2011-08-08,97500,100000,97500,97500,0
2011-08-09,95000,120000,95000,105000,0
2011-08-10,95000,105000,95000,105000,0
2011-08-11,95000,100000,95000,100000,0
2011-08-12,100000,100000,100000,100000,0
2011-08-15,100000,100000,100000,100000,0
2011-08-16,100500,105000,95000,100000,1
2011-08-17,100000,100000,100000,100000,0
2011-08-18,95000,95000,90000,94500,0
2011-08-19,94500,94500,92500,94500,0
2011-08-22,100000,105000,100000,100000,1
2011-08-23,100000,100000,100000,100000,0
2011-08-24,99500,100000,99500,100000,0
2011-08-25,99000,99000,98500,98500,0
2011-08-26,95000,95000,95000,95000,0
2011-08-29,95000,95000,95000,95000,0
2011-08-30,98500,98500,98500,98500,0
2011-08-31,98000,98000,96500,96500,0
2011-09-01,98000,100000,98000,100000,0
2011-09-02,97500,100500,97500,100000,0
2011-09-06,95000,95000,90000,95000,1
2011-09-07,95000,101500,95000,100000,1
2011-09-08,98500,102500,98500,102500,1
2011-09-09,100000,100000,100000,100000,0
2011-09-12,99500,99500,99000,99000,0
2011-09-13,98000,98000,98000,98000,0
2011-09-14,99000,100000,99000,100000,0
2011-09-15,102500,112500,100000,112500,2
2011-09-16,105000,112500,105000,110000,0
2011-09-19,107500,110000,106000,110000,0
2011-09-20,105000,110000,105000,110000,1
2011-09-21,110000,110000,110000,110000,0
2011-09-22,100000,100000,100000,100000,0
2011-09-23,110000,110000,100000,110000,0
2011-09-26,95000,106000,95000,106000,0
2011-09-27,95000,100000,95000,100000,1
2011-09-28,104500,115000,104500,115000,0
2011-09-29,120000,120000,110000,115000,0
2011-09-30,110000,113500,107500,110000,0
2011-10-03,110000,110000,110000,110000,0
2011-10-04,95000,101500,90000,101500,0
2011-10-05,97500,103500,97500,100000,0
2011-10-06,95000,97500,92000,95000,1
2011-10-07,90000,100000,90000,100000,0
2011-10-10,90000,100000,90000,100000,0
2011-10-11,90000,97500,87500,97500,0
2011-10-12,97500,97500,97500,97500,0
2011-10-13,81000,92500,81000,92500,0
2011-10-14,92500,102500,92500,102500,0
2011-10-17,92500,102500,90000,102500,0
2011-10-18,102500,102500,102500,102500,0
2011-10-19,102500,102500,102500,102500,0
2011-10-20,90000,102500,90000,102500,0
2011-10-21,91000,97500,90000,97500,0
2011-10-24,95000,97500,85000,95000,0
2011-10-25,95000,95000,95000,95000,0
2011-10-26,87500,92500,87500,92500,0
2011-10-27,90000,97500,82500,97500,0
2011-10-28,85500,95000,85000,95000,0
2011-10-31,86000,102500,82500,92500,0
2011-11-01,92500,92500,92500,92500,0
2011-11-02,92500,92500,92500,92500,0
2011-11-03,92500,92500,92500,92500,0
2011-11-04,92500,100000,92500,97500,0
2011-11-07,97500,97500,97500,97500,0
2011-11-08,97500,97500,97500,97500,0
2011-11-09,97500,97500,97500,97500,0
2011-11-10,97500,97500,97500,97500,0
2011-11-11,97500,97500,97500,97500,0
2011-11-14,97500,97500,97500,97500,0
2011-11-15,97500,102500,97500,97500,0
2011-11-16,97500,99500,97500,97500,0
2011-11-17,102500,125000,102500,124000,5
2011-11-18,125000,129500,121500,122500,2
2011-11-21,122500,127500,120000,120000,1
2011-11-22,125000,127500,102500,124500,3
2011-11-23,125000,125000,100000,120000,1
2011-11-25,120000,120000,120000,120000,0
2011-11-28,112500,119500,105000,105000,1
2011-11-29,104000,104500,97500,104500,1
2011-11-30,104500,112500,95000,112500,1
2011-12-01,112500,112500,110500,112500,0
2011-12-02,112500,113500,112500,112500,0
2011-12-05,112500,112500,112500,112500,0
2011-12-06,112500,114500,107500,114500,0
2011-12-07,105000,110000,102500,110000,0
2011-12-08,104000,110000,102000,110000,0
2011-12-09,102500,110000,101000,110000,0
2011-12-12,107500,107500,99000,107500,0
2011-12-13,100500,108000,97500,107500,0
2011-12-14,105000,112000,95000,102500,1
2011-12-15,102500,105000,98000,100000,0
2011-12-16,98500,100000,93000,97500,1
2011-12-19,93000,93000,82500,91000,1
2011-12-20,90000,92500,82500,85000,0
2011-12-21,82500,92500,80000,85000,1
2011-12-22,83500,94500,82000,94500,0
2011-12-23,87500,100000,85000,100000,0
2011-12-27,97500,105500,95500,105000,1
2011-12-28,103500,112000,101500,110000,0
2011-12-29,99500,110500,97500,105000,0
2011-12-30,102500,109000,100500,109000,1
2012-01-03,107500,107500,85000,101000,0
2012-01-04,101000,102500,91000,97000,0
2012-01-05,97000,101000,95000,100000,0
2012-01-06,92500,101000,87500,100000,0
2012-01-09,85500,98500,85000,98500,0
2012-01-10,87500,94500,85000,89500,0
2012-01-11,85000,89500,83500,89500,0
2012-01-12,83500,85000,76500,85000,0
2012-01-13,80000,85000,78500,85000,0
2012-01-17,85000,97500,76000,87500,0
2012-01-18,87500,87500,76000,83000,1
2012-01-19,90000,90000,70000,82000,0
2012-01-20,77500,82000,75000,82000,0
2012-01-23,75000,77500,70000,77500,0
2012-01-24,75000,80000,72500,79000,0
2012-01-25,77500,92500,76000,87500,1
2012-01-26,85000,92500,82500,84500,1
2012-01-27,84500,84500,66000,77500,0
2012-01-30,65500,97500,60000,97500,3
2012-01-31,75000,80000,70000,75000,1
2012-02-01,70000,74500,67000,74500,0
2012-02-02,74000,74500,70000,73500,1
2012-02-03,71500,72500,69500,72500,0
2012-02-06,72500,92500,72500,87500,0
2012-02-07,77500,87500,70000,86500,0
2012-02-08,70000,90000,68500,81000,1
2012-02-09,75000,75000,70500,75000,0
2012-02-10,72500,75000,67500,72500,0
2012-02-13,72000,75000,63500,75000,0
2012-02-14,65000,74000,62500,74000,0
2012-02-15,65000,75000,55000,70000,1
2012-02-16,65000,86500,62500,85000,0
2012-02-17,70000,85000,70000,84500,0
2012-02-21,75000,90000,75000,85000,1
2012-02-22,77500,89000,77500,89000,0
2012-02-23,89000,92500,75000,91500,3
2012-02-24,83000,100000,83000,87500,1
2012-02-27,87500,99000,85000,95000,0
2012-02-28,95000,100000,91000,100000,1
2012-02-29,99500,100000,96000,100000,1
2012-03-01,97500,100000,92500,97500,0
2012-03-02,97500,105000,90000,95000,1
2012-03-05,92500,105000,90500,94500,0
