date,open,high,low,close,volume
2021-07-30,17.5,19.67,15.51,16,2572900
2021-08-02,17,18.469999,16.23,17.32,557700
2021-08-03,17.01,17.68,16.33,16.35,114700
2021-08-04,16.780001,17.49,13.92,14.3,649100
2021-08-05,14.13,15.29,13.184,13.41,244600
2021-08-06,13.85,13.94,12.24,13.37,208400
2021-08-09,13.32,13.32,12.5,12.83,119900
2021-08-10,12.95,12.95,12.01,12.31,137000
2021-08-11,12.32,14.46,12.32,13.72,140800
2021-08-12,13.75,14.05,12.52,12.54,132800
2021-08-13,13.08,13.245,12.02,12.33,139300
2021-08-16,12.77,13.17,12.34,12.87,52800
2021-08-17,12.95,12.95,11.68,11.85,165700
2021-08-18,11.99,12.98,11.71,12.33,167900
2021-08-19,12.25,12.33,11.19,11.94,78000
2021-08-20,12.38,12.46,11.75,12.02,49600
2021-08-23,11.89,12.01,11.6,12,85200
2021-08-24,12.62,14.949,12.2,14.49,318300
2021-08-25,14.49,14.945,12.5,12.53,238600
2021-08-26,12.98,14.25,12.9,13.73,192500
2021-08-27,13.58,16.389999,13.14,15.69,358400
2021-08-30,15.71,16.139999,14.2,15.46,165100
2021-08-31,15.7,15.8,14.81,15.38,100600
2021-09-01,15.13,15.95,14.802,15.77,62900
2021-09-02,15.98,15.98,14.9,15.29,65400
2021-09-03,15.53,16.07,14.7,16.030001,96400
2021-09-07,15.91,16.49,15.53,15.84,170400
2021-09-08,15.85,16.299999,15.85,16,75700
2021-09-09,15.95,16.5,15.95,15.99,102600
2021-09-10,16.5,16.5,13.05,13.42,215400
2021-09-13,13.73,14.24,13.1,13.7,133100
