date,open,high,low,close,volume
1973-02-21,0,2.890625,2.75,2.890625,109600
1973-02-22,0,2.90625,2.875,2.90625,18400
1973-02-23,0,2.96875,2.9375,2.96875,15200
1973-02-26,0,2.953125,2.890625,2.890625,12000
1973-02-27,0,2.953125,2.890625,2.890625,28800
1973-02-28,0,2.921875,2.921875,2.921875,5600
1973-03-01,0,2.921875,2.890625,2.921875,3200
1973-03-02,0,2.890625,2.875,2.890625,9600
1973-03-05,0,3,2.953125,2.96875,55200
1973-03-06,0,3.046875,2.96875,3,124800
1973-03-07,0,3.015625,2.96875,3.015625,12000
1973-03-08,0,3.03125,2.96875,3.015625,80800
1973-03-09,0,3.015625,2.9375,2.96875,28000
1973-03-12,0,2.96875,2.9375,2.96875,68000
1973-03-13,0,3,2.96875,3,64000
1973-03-14,0,2.96875,2.9375,2.9375,31200
1973-03-15,0,2.96875,2.9375,2.96875,6400
1973-03-16,0,2.96875,2.921875,2.921875,15200
1973-03-19,0,2.921875,2.875,2.875,15200
1973-03-20,0,2.875,2.84375,2.84375,7200
1973-03-21,0,2.875,2.84375,2.84375,4800
1973-03-22,0,2.828125,2.78125,2.78125,10400
1973-03-23,0,2.8125,2.765625,2.78125,10400
1973-03-26,0,2.8125,2.765625,2.765625,15200
1973-03-27,0,2.78125,2.765625,2.765625,10400
1973-03-28,0,2.78125,2.765625,2.78125,12000
1973-03-29,0,2.90625,2.828125,2.90625,57600
1973-03-30,0,2.921875,2.90625,2.90625,7200
1973-04-02,0,2.875,2.84375,2.875,44000
1973-04-03,0,2.90625,2.859375,2.859375,4000
1973-04-04,0,2.859375,2.8125,2.8125,11200
1973-04-05,0,2.875,2.8125,2.875,169600
1973-04-06,0,2.90625,2.84375,2.859375,52000
1973-04-09,0,2.984375,2.875,2.984375,83200
1973-04-10,0,3.03125,2.984375,3.03125,69600
1973-04-11,0,3.0625,3.03125,3.046875,27200
1973-04-12,0,3.0625,3.046875,3.0625,35200
1973-04-13,0,3.078125,3.046875,3.0625,59200
1973-04-16,0,3.078125,3.0625,3.0625,25600
1973-04-17,0,3.109375,3.0625,3.078125,50400
1973-04-18,0,3.109375,3.078125,3.078125,14400
1973-04-19,0,3.15625,3.109375,3.140625,34400
1973-04-23,0,3.21875,3.140625,3.15625,40000
1973-04-24,0,3.171875,3.125,3.125,15200
1973-04-25,0,3.09375,3.046875,3.078125,7200
1973-04-26,0,3.046875,2.953125,2.953125,49600
1973-04-27,0,2.992188,2.875,2.875,47200
1973-04-30,0,2.96875,2.875,2.9375,22400
1973-05-01,0,2.921875,2.890625,2.890625,25600
1973-05-02,0,2.96875,2.875,2.96875,7200
1973-05-03,0,2.984375,2.9375,2.96875,38400
1973-05-04,0,2.984375,2.953125,2.984375,45600
1973-05-07,0,2.984375,2.953125,2.984375,11200
1973-05-08,0,2.984375,2.953125,2.984375,21600
1973-05-09,0,3.03125,2.984375,3,87200
1973-05-10,0,3,2.96875,3,22400
1973-05-11,0,2.96875,2.9375,2.96875,12800
1973-05-14,0,2.984375,2.921875,2.921875,25600
1973-05-15,0,2.9375,2.90625,2.9375,25600
1973-05-16,0,2.96875,2.890625,2.921875,74400
1973-05-17,0,2.921875,2.875,2.890625,16800
1973-05-18,0,2.890625,2.796875,2.796875,14400
1973-05-21,0,2.796875,2.703125,2.703125,33600
1973-05-22,0,2.71875,2.640625,2.640625,29600
1973-05-23,0,2.671875,2.546875,2.546875,44800
1973-05-24,0,2.59375,2.5625,2.59375,16000
1973-05-25,0,2.625,2.578125,2.609375,37600
1973-05-29,0,2.625,2.5625,2.625,48800
1973-05-30,0,2.625,2.578125,2.609375,16800
1973-05-31,0,2.625,2.578125,2.609375,9600
1973-06-01,0,2.625,2.5625,2.5625,11200
1973-06-04,0,2.59375,2.5625,2.5625,11200
1973-06-05,0,2.59375,2.5625,2.578125,4000
1973-06-06,0,2.609375,2.546875,2.546875,20000
1973-06-07,0,2.578125,2.546875,2.546875,3200
1973-06-08,0,2.625,2.546875,2.609375,29600
1973-06-11,0,2.609375,2.578125,2.59375,10400
1973-06-12,0,2.71875,2.625,2.71875,21600
1973-06-13,0,2.75,2.703125,2.703125,8000
1973-06-14,0,2.671875,2.5625,2.5625,201600
1973-06-15,0,2.59375,2.515625,2.578125,184000
1973-06-18,0,2.609375,2.546875,2.546875,16000
1973-06-19,0,2.53125,2.53125,2.53125,800
1973-06-20,0,2.53125,2.53125,2.53125,1600
1973-06-21,0,2.546875,2.5,2.5,18400
1973-06-22,0,2.5,2.5,2.5,14400
1973-06-25,0,2.53125,2.5,2.515625,4000
1973-06-26,0,2.5625,2.53125,2.53125,20800
1973-06-27,0,2.59375,2.5625,2.59375,4000
1973-06-28,0,2.625,2.578125,2.59375,11200
1973-06-29,0,2.59375,2.53125,2.59375,11200
1973-07-02,0,2.59375,2.53125,2.59375,10400
1973-07-03,0,2.578125,2.578125,2.578125,1600
1973-07-05,0,2.609375,2.5,2.5,84000
1973-07-06,0,2.53125,2.515625,2.515625,4800
1973-07-09,0,2.5625,2.515625,2.5625,5600
1973-07-10,0,2.546875,2.546875,2.546875,800
1973-07-11,0,2.65625,2.578125,2.65625,29600
1973-07-12,0,2.6875,2.65625,2.65625,20800
1973-07-13,0,2.6875,2.65625,2.6875,4800
1973-07-16,0,2.6875,2.640625,2.6875,26400
1973-07-17,0,2.6875,2.65625,2.65625,12800
1973-07-18,0,2.6875,2.65625,2.6875,14400
1973-07-19,0,2.75,2.703125,2.734375,26400
1973-07-20,0,2.75,2.734375,2.75,25600
1973-07-23,0,2.75,2.71875,2.75,9600
1973-07-24,0,2.75,2.703125,2.75,8800
1973-07-25,0,2.75,2.71875,2.75,18400
1973-07-26,0,2.75,2.71875,2.75,9600
1973-07-27,0,2.84375,2.78125,2.828125,17600
1973-07-30,0,2.828125,2.78125,2.78125,16800
1973-07-31,0,2.796875,2.78125,2.78125,1600
1973-08-01,0,2.765625,2.734375,2.734375,47200
1973-08-02,0,2.71875,2.703125,2.71875,5600
1973-08-03,0,2.6875,2.671875,2.671875,12000
1973-08-06,0,2.640625,2.640625,2.640625,5600
1973-08-07,0,2.71875,2.6875,2.6875,7200
1973-08-08,0,2.78125,2.71875,2.734375,53600
1973-08-09,0,2.75,2.71875,2.75,11200
1973-08-10,0,2.75,2.703125,2.703125,35200
1973-08-13,0,2.6875,2.65625,2.65625,15200
1973-08-14,0,2.71875,2.65625,2.703125,12000
1973-08-15,0,2.734375,2.6875,2.734375,8800
1973-08-16,0,2.734375,2.71875,2.71875,6400
1973-08-17,0,2.734375,2.71875,2.734375,11200
1973-08-20,0,2.703125,2.65625,2.65625,3200
1973-08-21,0,2.625,2.59375,2.625,27200
1973-08-22,0,2.59375,2.59375,2.59375,9600
1973-08-23,0,2.625,2.5625,2.609375,27200
1973-08-24,0,2.65625,2.625,2.625,7200
1973-08-27,0,2.609375,2.59375,2.59375,11200
1973-08-28,0,2.609375,2.609375,2.609375,2400
1973-08-29,0,2.609375,2.53125,2.578125,10400
1973-08-30,0,2.59375,2.53125,2.5625,17600
1973-08-31,0,2.59375,2.5625,2.59375,12000
1973-09-04,0,2.609375,2.578125,2.609375,24000
1973-09-05,0,2.609375,2.578125,2.609375,21600
1973-09-06,0,2.65625,2.625,2.65625,52800
1973-09-07,0,2.71875,2.640625,2.71875,47200
1973-09-10,0,2.78125,2.75,2.765625,85600
1973-09-11,0,2.765625,2.71875,2.75,69600
1973-09-12,0,2.71875,2.71875,2.71875,81600
1973-09-13,0,2.71875,2.671875,2.671875,52000
1973-09-14,0,2.71875,2.6875,2.71875,13600
1973-09-17,0,2.71875,2.6875,2.703125,22400
1973-09-18,0,2.71875,2.6875,2.6875,50400
1973-09-19,0,2.734375,2.703125,2.734375,7200
1973-09-20,0,2.84375,2.734375,2.84375,60000
1973-09-21,0,3.09375,2.84375,3.0625,76800
1973-09-24,0,3.15625,3.078125,3.125,32000
1973-09-25,0,3.390625,3.3125,3.375,128000
1973-09-26,0,3.421875,3.359375,3.390625,94400
1973-09-27,0,3.421875,3.375,3.40625,136000
1973-09-28,0,3.375,3.3125,3.3125,171200
1973-10-01,0,3.3125,3.25,3.28125,104800
1973-10-02,0,3.4375,3.3125,3.4375,68800
1973-10-03,0,3.59375,3.4375,3.59375,155200
1973-10-04,0,3.625,3.5625,3.59375,108800
1973-10-05,0,3.6875,3.578125,3.6875,67200
1973-10-08,0,3.953125,3.625,3.9375,268000
1973-10-09,0,3.921875,3.84375,3.84375,227200
1973-10-10,0,3.84375,3.71875,3.71875,350400
1973-10-11,0,3.78125,3.734375,3.765625,107200
1973-10-12,0,3.890625,3.765625,3.859375,123200
1973-10-15,0,3.921875,3.859375,3.875,132800
1973-10-16,0,3.90625,3.859375,3.875,44800
1973-10-17,0,3.9375,3.875,3.90625,111200
1973-10-18,0,3.96875,3.875,3.953125,84800
1973-10-19,0,4,3.953125,3.953125,109600
1973-10-22,0,3.953125,3.875,3.90625,52800
1973-10-23,0,3.984375,3.84375,3.984375,30400
1973-10-24,0,4.0625,4,4.046875,174400
1973-10-25,0,4.046875,3.96875,4,56000
1973-10-26,0,4.046875,3.96875,4,128000
1973-10-29,0,4.046875,3.953125,4,68000
1973-10-30,0,4.03125,3.953125,3.953125,62400
1973-10-31,0,3.953125,3.890625,3.9375,47200
1973-11-01,0,4,3.890625,3.890625,72800
1973-11-02,0,3.90625,3.75,3.75,47200
1973-11-05,0,3.75,3.5625,3.5625,51200
1973-11-06,0,3.59375,3.5,3.59375,58400
1973-11-07,0,3.71875,3.5625,3.625,91200
1973-11-08,0,3.65625,3.625,3.625,7200
1973-11-09,0,3.59375,3.46875,3.46875,33600
1973-11-12,0,3.4375,3.328125,3.328125,29600
1973-11-13,0,3.25,3.1875,3.1875,152800
1973-11-14,0,3.25,3.125,3.125,61600
1973-11-15,0,3.125,2.9375,3.0625,75200
1973-11-16,0,3.046875,2.921875,2.96875,47200
1973-11-19,0,3,2.9375,2.984375,15200
1973-11-20,0,2.984375,2.9375,2.9375,52800
1973-11-21,0,3.15625,2.96875,3.15625,40800
1973-11-23,0,3.25,3.15625,3.1875,36000
1973-11-26,0,3.21875,3.125,3.1875,64000
1973-11-27,0,3.25,3.1875,3.21875,35200
1973-11-28,0,3.28125,3.21875,3.28125,13600
1973-11-29,0,3.3125,3.1875,3.1875,84800
1973-11-30,0,3.140625,3.09375,3.125,19200
1973-12-03,0,3.09375,3.0625,3.0625,31200
1973-12-04,0,3.0625,3.046875,3.0625,47200
1973-12-05,0,3.078125,3.046875,3.046875,35200
