date,open,high,low,close,volume
2004-12-10,27.5,30.09,27.49,29.049999,8359800
2004-12-13,29.049999,29.43,28.4,28.799999,711700
2004-12-14,28.799999,29.719999,28.51,29.209999,527700
2004-12-15,29.5,32,29.25,31.85,935500
2004-12-16,31.6,31.799999,30.75,31.52,725800
2004-12-17,31.620001,35,31.299999,33.41,706900
2004-12-20,33.41,33.639999,33.029999,33.299999,255400
2004-12-21,33.299999,33.5,32.560001,33.450001,208400
2004-12-22,33.450001,33.5,31.4,31.690001,318100
2004-12-23,31.6,31.700001,30.780001,31.25,104100
2004-12-27,31.35,31.450001,30.75,30.76,23300
2004-12-28,30.799999,31.25,30.5,31.24,61500
2004-12-29,31.25,32.099998,30.799999,32.099998,119300
2004-12-30,31.5,31.690001,31.450001,31.59,47300
2004-12-31,31.65,32,31.65,31.99,63700
2005-01-03,31.969999,31.98,29.719999,29.98,159700
2005-01-04,30,30.15,28.65,29.6,326100
2005-01-05,29.65,29.700001,29,29.030001,157000
2005-01-06,29,29.59,28.9,29.299999,162700
2005-01-07,29.5,29.5,28.9,29,104300
2005-01-10,28.75,29.639999,28.681999,29.5,268900
2005-01-11,29.4,29.4,29.08,29.25,165700
2005-01-12,29.35,29.4,28.940001,29.389999,43900
2005-01-13,29.43,30.5,29.33,30.07,193100
2005-01-14,30.07,31.26,30,30.709999,266700
2005-01-18,30.9,32.200001,30.9,31.65,92800
2005-01-19,32.200001,32.799999,30.889999,31.25,170700
2005-01-20,31.049999,31.299999,30.99,31.25,254300
2005-01-21,31.200001,31.629999,31.059999,31.4,202700
2005-01-24,31.610001,32.549999,31.6,32.16,288100
2005-01-25,32.200001,32.700001,31.700001,31.98,109600
2005-01-26,31.950001,32.200001,31.5,32.200001,40700
2005-01-27,32.349998,32.400002,31.35,31.4,333100
2005-01-28,31.549999,31.85,31.299999,31.549999,119300
2005-01-31,31.549999,31.780001,31.450001,31.58,166700
2005-02-01,31.799999,32.150002,31.549999,32.040001,198800
2005-02-02,32.040001,32.040001,31.799999,32.040001,67000
2005-02-03,32.200001,32.549999,31.950001,32.049999,179800
2005-02-04,32,32.369999,31.950001,32,185900
2005-02-07,32.25,32.32,32.009998,32.09,63200
2005-02-08,32.049999,32.049999,31.15,31.299999,150800
2005-02-09,31.4,31.4,31,31.209999,106600
2005-02-10,31.17,31.6,31.049999,31.35,207700
2005-02-11,31.299999,31.299999,31.049999,31.24,141700
2005-02-14,31.299999,31.530001,31,31.02,156400
2005-02-15,31.01,31.219999,30.530001,30.700001,78600
2005-02-16,30.450001,30.83,30.25,30.5,131200
2005-02-17,30.5,30.5,30.1,30.290001,145900
2005-02-18,30.309999,30.889999,30.299999,30.360001,145600
2005-02-22,30.5,32,30.459999,31.290001,179200
2005-02-23,31.35,32,31.25,31.459999,98200
2005-02-24,31.4,31.65,31.23,31.35,107500
2005-02-25,31.35,32.240002,31.16,31.5,279000
2005-02-28,31.450001,31.690001,30.68,31.299999,222000
2005-03-01,31.299999,31.379999,30.5,30.73,109400
2005-03-02,30.799999,30.879999,30.6,30.690001,125800
2005-03-03,30.700001,31.02,30.549999,30.9,113900
2005-03-04,31,32,30.209999,31.76,247200
2005-03-07,31.559999,32.68,31.559999,32.5,134800
2005-03-08,32.490002,32.75,32.439999,32.700001,168400
2005-03-09,32.849998,33,31.563,32.099998,91500
2005-03-10,31.9,32,30.48,32,156400
2005-03-11,31.110001,31.76,30.4,30.99,257400
2005-03-14,30.99,30.99,30.059999,30.299999,217600
2005-03-15,30.290001,30.389999,29.9,30,137600
2005-03-16,29.99,30,29.549999,29.799999,111500
2005-03-17,30,30,29,29.690001,116700
2005-03-18,29.6,30.120001,29.35,30.049999,114600
2005-03-21,30.049999,30.15,29.700001,29.969999,66700
2005-03-22,29.969999,30.219999,29.5,29.51,130200
2005-03-23,29.41,29.41,27.200001,27.209999,874400
2005-03-24,27.209999,28.18,26,28.1,608600
2005-03-28,28.1,28.799999,27.9,28.799999,117100
2005-03-29,28.700001,28.75,28.49,28.74,234900
2005-03-30,28.639999,28.75,27.889999,28.030001,418300
2005-03-31,28.25,29.41,28.25,28.91,663400
2005-04-01,28.92,29.309999,28.9,29.129999,221600
2005-04-04,29.33,29.629999,28.91,29.059999,230400
2005-04-05,29.15,29.370001,28.85,29.16,192900
2005-04-06,29.200001,29.360001,28.940001,29.200001,305300
2005-04-07,29.35,29.370001,28.9,28.940001,106900
2005-04-08,28.9,29.049999,28.65,28.65,327700
2005-04-11,28.790001,28.9,28.25,28.440001,233300
2005-04-12,28.41,28.5,27.200001,27.35,434200
2005-04-13,27.41,27.440001,26.870001,27.08,200900
2005-04-14,27.25,27.5,27.15,27.290001,262100
2005-04-15,27.34,27.440001,26.16,26.41,376700
2005-04-18,27,27.139999,26.42,26.48,303500
2005-04-19,26.68,27.42,26.68,27.34,134300
2005-04-20,27.41,27.41,27.02,27.200001,221900
2005-04-21,27.35,27.790001,27.129999,27.5,219700
2005-04-22,27.610001,28,27.25,27.4,231700
2005-04-25,27.530001,27.6,27.18,27.370001,137300
2005-04-26,27.370001,27.4,27.129999,27.24,63500
2005-04-27,27.15,27.15,26.01,26.33,121700
2005-04-28,26.1,26.299999,25.9,26.280001,304500
2005-04-29,26.4,26.639999,26.1,26.639999,164200
2005-05-02,26.700001,27.360001,26.5,27.33,70600
2005-05-03,27.33,27.33,26.299999,26.440001,174600
2005-05-04,26.5,27.200001,26.26,27.049999,172400
2005-05-05,27.07,28.5,27,28.26,248500
2005-05-06,28.049999,28.5,27.9,28.1,204800
2005-05-09,27.98,28,27.709999,27.860001,88800
2005-05-10,27.85,28,27.540001,27.65,59500
2005-05-11,27.6,27.65,27.25,27.57,200300
2005-05-12,27.57,27.780001,26.73,27.129999,156100
2005-05-13,27,27,26.4,26.77,267400
2005-05-16,26.790001,27.059999,26.5,26.75,239800
2005-05-17,26.6,27.719999,26.6,27.610001,190700
2005-05-18,27.700001,28.25,27.620001,27.65,263600
2005-05-19,27.65,27.799999,27.5,27.75,181000
2005-05-20,27.799999,28.049999,27.440001,27.99,274400
2005-05-23,27.870001,28.280001,27.709999,28.190001,79100
2005-05-24,28.200001,28.690001,28.200001,28.6,129600
2005-05-25,28.65,29.07,28.35,29.07,156400
2005-05-26,29,29.309999,28.85,29.299999,203400
2005-05-27,29.299999,29.51,29.120001,29.440001,143600
2005-05-31,29.309999,30.469999,29.15,30.450001,267100
2005-06-01,30.450001,31.219999,30.200001,31.120001,364900
2005-06-02,30.950001,31.48,30.76,31.01,139500
2005-06-03,30.85,30.870001,30.299999,30.51,121300
2005-06-06,30.52,30.92,30.26,30.82,79100
2005-06-07,30.700001,31.15,30.610001,30.67,102600
2005-06-08,30.75,31.870001,30.57,31.469999,436300
2005-06-09,31.389999,32.299999,31.200001,32.200001,277600
2005-06-10,32.099998,32.189999,31.77,31.77,246300
2005-06-13,31.65,31.700001,31.01,31.1,187500
2005-06-14,31,31.01,29.969999,30.690001,201300
2005-06-15,30.469999,31.01,30.032,30.48,405100
2005-06-16,30.360001,30.91,29.860001,30.9,439900
2005-06-17,31,31.49,30.49,31.030001,241300
2005-06-20,31.030001,31.5,30.85,31.040001,248000
2005-06-21,31.040001,31.17,29.85,29.99,99500
2005-06-22,30.139999,30.25,29.4,29.65,61500
2005-06-23,29.799999,29.98,29.01,29.139999,161400
2005-06-24,29,30.25,28.799999,30.15,355900
2005-06-27,30.15,31.1,30.01,30.77,184700
2005-06-28,30.77,30.77,28.9,29.76,479800
2005-06-29,29.76,30.200001,29.76,30.1,186200
2005-06-30,30.1,30.110001,29.379999,29.58,127600
2005-07-01,29.74,30.51,29.709999,30.450001,278800
2005-07-05,30.65,31.66,30.459999,31.370001,453600
2005-07-06,31.370001,32.400002,31.33,31.950001,297100
2005-07-07,31.75,32.049999,31.43,31.870001,149300
2005-07-08,32.049999,32.25,31.360001,31.6,121200
2005-07-11,31.610001,31.91,31.469999,31.6,109700
2005-07-12,31.25,31.790001,31.25,31.67,238900
2005-07-13,31.719999,31.73,31,31.219999,60200
2005-07-14,31.139999,31.24,29.549999,29.870001,165500
2005-07-15,29.9,30.35,29.9,30,265800
2005-07-18,30.01,30.139999,29.34,30.120001,130400
2005-07-19,30.02,30.84,29.799999,30.57,129700
2005-07-20,30.57,30.950001,30.32,30.799999,92600
2005-07-21,30.66,31.280001,30.6,30.75,110800
2005-07-22,30.9,31.49,30.74,31.48,154700
2005-07-25,31.5,32,31.15,31.75,57500
2005-07-26,31.799999,32,31.540001,31.93,57600
2005-07-27,32,32.099998,30.91,31.4,95500
2005-07-28,31.6,31.82,31.1,31.76,56300
2005-07-29,31.92,32.16,31.639999,31.99,50500
2005-08-01,32,32.689999,32,32.23,78400
2005-08-02,32.27,32.59,31.629999,32.07,159100
2005-08-03,31.85,32.599998,31.85,32.279999,195000
2005-08-04,32.400002,32.400002,30.76,31.82,303500
2005-08-05,31.719999,31.799999,31.389999,31.77,155400
2005-08-08,31.9,32.490002,31.9,32.110001,108600
2005-08-09,31.92,31.98,30.940001,31.120001,96700
2005-08-10,31.120001,31.690001,31,31.620001,211600
2005-08-11,31.5,31.950001,31.299999,31.389999,135100
2005-08-12,31.450001,31.67,31.18,31.6,191600
2005-08-15,31.48,31.49,31.02,31.040001,65100
2005-08-16,30.85,31,30,30.559999,150900
2005-08-17,30.49,31.190001,30.049999,30.290001,233500
2005-08-18,30.35,30.4,28.889999,29.26,2859500
2005-08-19,29.42,29.950001,29.309999,29.9,946500
2005-08-22,29.9,30.389999,29.85,30.139999,512700
