mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.24897033922457368,10,0.0052819938477996565,Model01
3,1,rmse,standard,0.45790327832213357,10,0.009449272844631318,Model01
3,1,rsq,standard,0.607593349462221,10,0.016738819154657577,Model01
5,1,mae,standard,0.24608755462400805,10,0.004899647525728688,Model02
5,1,rmse,standard,0.45620167322504246,10,0.009140307532397921,Model02
5,1,rsq,standard,0.6087375628532208,10,0.016904179455044743,Model02
7,1,mae,standard,0.24631027351368115,10,0.00470609179205183,Model03
7,1,rmse,standard,0.4580875276687524,10,0.008316851973514255,Model03
7,1,rsq,standard,0.6045209106525243,10,0.014834047217117893,Model03
10,1,mae,standard,0.24622820240672352,10,0.0045152332032983855,Model04
10,1,rmse,standard,0.4585465581197945,10,0.008238248945226572,Model04
10,1,rsq,standard,0.603334168024245,10,0.015293344542089445,Model04
3,3,mae,standard,0.250346337825526,10,0.0053363405795506915,Model05
3,3,rmse,standard,0.45825812882032013,10,0.00923362466436838,Model05
3,3,rsq,standard,0.6076340791498831,10,0.016425157139461768,Model05
5,3,mae,standard,0.24783091680454702,10,0.004671813171696771,Model06
5,3,rmse,standard,0.45877538539795937,10,0.008855930979367484,Model06
5,3,rsq,standard,0.604779541156278,10,0.015551599728754511,Model06
7,3,mae,standard,0.2461969442903304,10,0.004400709871731587,Model07
7,3,rmse,standard,0.4578958110716519,10,0.008409655313608369,Model07
7,3,rsq,standard,0.6051849428933249,10,0.015133252726774304,Model07
10,3,mae,standard,0.2459589215291073,10,0.004315160866579019,Model08
10,3,rmse,standard,0.45728708798845086,10,0.008440524167280758,Model08
10,3,rsq,standard,0.6058706010063496,10,0.016291899134788658,Model08
3,5,mae,standard,0.25298262597958204,10,0.005191102820529725,Model09
3,5,rmse,standard,0.46212637507599985,10,0.009210759899113428,Model09
3,5,rsq,standard,0.6003495471742002,10,0.015681160210401255,Model09
5,5,mae,standard,0.24944186697669854,10,0.004514182790308716,Model10
5,5,rmse,standard,0.46014009822949054,10,0.008677819614100867,Model10
5,5,rsq,standard,0.6023001053607566,10,0.015607199778037479,Model10
7,5,mae,standard,0.24797936163650752,10,0.0046579702940227575,Model11
7,5,rmse,standard,0.4576433691704885,10,0.008416500215351591,Model11
7,5,rsq,standard,0.6060384464433589,10,0.015206072339019756,Model11
10,5,mae,standard,0.2479076346099631,10,0.004401987380109256,Model12
10,5,rmse,standard,0.45992932717742885,10,0.008065973580275039,Model12
10,5,rsq,standard,0.6013526759882437,10,0.014898716721092229,Model12
3,7,mae,standard,0.2550060855680079,10,0.005080153333766432,Model13
3,7,rmse,standard,0.4634648619288016,10,0.008603912481276515,Model13
3,7,rsq,standard,0.599188964476721,10,0.014641753333460645,Model13
5,7,mae,standard,0.250269011767739,10,0.005099964016480957,Model14
5,7,rmse,standard,0.46023275020557375,10,0.009484653809102715,Model14
5,7,rsq,standard,0.6023932161293604,10,0.016846056022154464,Model14
7,7,mae,standard,0.2501599756050679,10,0.00477103476012822,Model15
7,7,rmse,standard,0.46059100646685924,10,0.009000385587142421,Model15
7,7,rsq,standard,0.6012002110765365,10,0.016200275621654485,Model15
10,7,mae,standard,0.2499022529193245,10,0.004696178593776302,Model16
10,7,rmse,standard,0.4622597241510206,10,0.00828208187589309,Model16
10,7,rsq,standard,0.5975452300065793,10,0.014793216658404563,Model16
