ticker,year,quarter,avg_price,sd_price,avg_pct_change,sd_pct_change,avg_range,avg_vol,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio,yearly_amount_per_share,num_per_year,three_year_dividend,pays_dividend,dividend_yield
AROC,2016,2016.3,10.7509375,1.1256133689456636,0.004326990096649897,0.031169278262686437,0.53625,605426.5625,0,0.79,0.92,1.97,2.35,0.51,4,0.29000000000000004,1,0.04743772345434991
AROC,2016,2016.4,12.906984126984128,0.8390079297572798,-0.003537015140605537,0.029692130376551024,0.6095238095238095,512803.1746031746,0,0.85,1.03,3.47,2.53,0.51,4,0.39,1,0.039513490911774106
AROC,2017,2017.1,14.037903241935483,1.327659297000042,-0.001982933372933043,0.030054898862921446,0.6849999677419353,640838.7096774194,0,0.83,0.99,3.21,2.58,0.48,4,0.51,1,0.03419314065124014
AROC,2017,2017.2,11.456349206349206,0.8348020850772715,-0.001347741652158828,0.026932658441202323,0.5225396825396825,638663.4920634921,0,0.78,0.92,4.75,2.56,0.48,4,0.63,1,0.041898164184274334
AROC,2017,2017.3,10.861904761904762,0.9514299207031576,-4.911349828606004e-4,0.023959807687638508,0.4525396825396826,543877.7777777778,0,0.87,0.99,9.65,2.44,0.48,4,0.75,1,0.04419114423498465
AROC,2017,2017.4,10.853174603174603,1.1178490656337046,-0.002799046442239284,0.020531954657748954,0.39968253968253964,403595.2380952381,33.11,0.72,0.8,21.42,2.27,0.48,4,0.87,1,0.04422669104204753
AROC,2018,2018.1,9.550819672131148,0.5311537601673273,-0.004310983185090219,0.027487590925259313,0.4411475409836064,1147890.1639344261,19.4,0.6,0.68,108.64,2.3,0.5,4,0.99,1,0.05235152763474082
AROC,2018,2018.2,11.05703125,1.0081755951985587,0.003969201371890407,0.023280627589639877,0.43578124999999995,2419262.5,20.18,0.89,1.51,59.83,1.99,0.5,4,1.1099999999999999,1,0.04522009467957323
AROC,2018,2018.3,12.606349206349206,0.46908387580440514,-4.900023085112562e-4,0.018491221800893905,0.39619047619047626,758153.9682539683,14.01,1.01,1.55,0,2.06,0.5,4,1.23,1,0.039662553512969025
AROC,2018,2018.4,10.135555555555555,1.3374250389337807,-0.00861997417558993,0.02552255447931119,0.4195238095238094,1189433.3333333333,44.15,0.69,0.95,0,2.03,0.5,4,1.3599999999999999,1,0.04933128699846525
AROC,2019,2019.1,9.569180327868853,0.4839844869482465,0.002263677557067531,0.025323187166207805,0.33508196721311484,957314.7540983607,23.39,1.05,1.27,0,2.13,0.54,4,1.49,1,0.05643116562735558
AROC,2019,2019.2,9.831428571428571,0.5014136697406294,-1.9171948885998377e-4,0.01851489307319656,0.2974603174603174,776525.3968253968,21.42,1.18,1.41,0,2.2,0.54,4,1.43,1,0.054925893635571064
AROC,2019,2019.3,9.97734375,0.7153448323477751,-6.632349931923151e-4,0.0226900917910479,0.3442187499999999,835632.8125,17.9,1.14,1.23,0,1.93,0.54,4,1.46,1,0.05412262156448204
AROC,2019,2019.4,9.323125000000001,0.5394290779692269,-3.9169613556403843e-4,0.019320219788782577,0.27421874999999996,873173.4375,12.92,1.22,1.23,0,1.86,0.54,4,1.5,1,0.0579204933967956
AROC,2020,2020.1,7.221774193548387,2.394082543870218,-0.005955987560309972,0.10186085186595949,0.39483870967741946,1183112.9032258065,27.89,0.48,0.51,8.2,2.02,0.56,4,1.52,1,0.07754327191513122
AROC,2020,2020.2,5.227142857142857,1.1399737243313544,5.073196966387206e-4,0.04701955323921824,0.3811111111111111,1524888.888888889,0,0.9,0.96,7.54,2.08,0.56,4,1.54,1,0.10713309647444659
AROC,2020,2020.3,6.53875,0.5932089222161323,-0.002782582304286405,0.027637909479167163,0.2759375,940568.75,0,0.8,0.81,4.73,2.02,0.56,4,1.56,1,0.08564328044350986
AROC,2020,2020.4,7.30015625,1.3277173300562684,0.0071205640036228115,0.026340857751462,0.32609375000000007,1136837.5,0,1.42,1.35,5.82,1.97,0.56,4,1.58,1,0.07671068684317546
AROC,2021,2021.1,9.808360655737705,0.4685409278738584,0.0021968419794535813,0.02254075822063982,0.4222950819672129,985027.868852459,0,1.69,1.53,5.35,1.95,0.42000000000000004,3,1.6,1,0.04282061138874497
AROC,2021,2021.2,9.33,0.2829624390895087,-0.0013753992531419608,0.01906397225110041,0.283968253968254,832230.1587301587,36.48,1.67,1.48,5.08,1.95,0.42000000000000004,3,1.62,1,0.04501607717041801
AROC,2021,2021.3,8.076078431372549,0.472728583571472,-0.0034324439518517292,0.018385693613076064,0.2568627450980392,723739.2156862745,32.13,1.47,1.3,4.47,NA,0.42000000000000004,3,1.6400000000000001,1,0.052005438477226384
BKR,2006,2006.4,71.43571446031746,2.8464608596204775,0.0011906372701622995,0.017063940851216344,1.9079365396825396,4450906.349206349,5.68,1.53,2.51,0,0.66,0,0,0,0,0
BKR,2007,2007.1,66.7485248852459,2.346120603558323,-0.0010454349211023294,0.013755392396222152,1.5506562950819682,5722886.8852459015,4.92,1.27,2.1,0,0.61,0,0,0,0,0
BKR,2007,2007.2,79.89666687301587,6.295706080935784,0.003375290734393562,0.015249818768176989,1.9477777936507936,4533915.873015873,10.64,1.55,2.54,0,0.54,0,0,0,0,0
BKR,2007,2007.3,83.38365085714285,4.251718617196523,9.29950493122036e-4,0.015318560251965135,2.431586349206348,4608885.714285715,11.12,1.6,2.61,122.24,0.55,0,0,0,0,0
BKR,2007,2007.4,86.0278123125,5.839721668293757,-0.0020236362572102853,0.018265195589000156,2.4915626093749994,3909228.125,9.49,1.38,2.25,27.31,0.56,0,0,0,0,0
BKR,2008,2008.1,70.02950785245902,4.7998807727648884,-1.9094849336343263e-4,0.02114932220792414,2.3968851311475423,5423954.098360656,7.87,1.14,1.9,16.7,0.64,0,0,0,0,0
BKR,2008,2008.2,82.123749953125,5.615531514120153,0.0029744657637527754,0.018331411215183262,2.5257813125000013,4178617.1875,9.76,1.38,2.3,20.01,0.64,0,0,0,0,0
BKR,2008,2008.3,76.246718765625,7.983182983557221,-0.00570793542946726,0.0256179746916277,3.321874562499999,5719184.375,6.56,0.92,1.53,15.9,0.62,0,0,0,0,0
BKR,2008,2008.4,33.524844,5.724186365171496,-0.0028886251541498193,0.062354239018452114,3.17828115625,7067567.1875,3.39,0.47,0.82,10.41,0.74,0,0,0,0,0
BKR,2009,2009.1,31.874098114754098,2.7624731255792163,2.1714963888945754e-4,0.03919683195559021,2.0813113606557376,5654747.540983606,3.45,0.42,0.71,17.18,0.58,0,0,0,0,0
BKR,2009,2009.2,36.090159,3.3624619857004068,0.0014980467299282585,0.025547215986411295,1.5334920952380948,4697904.761904762,5.55,0.57,0.9,14.41,0.56,0,0,0,0,0
BKR,2009,2009.3,38.4117185,2.774284696862833,0.004302997128703567,0.021162224396009944,1.2534377187499994,6821732.8125,9.68,0.72,1.04,15.24,0.56,0,0,0,0,0
BKR,2009,2009.4,42.1964063125,2.358899758551484,-0.0017582996935939612,0.0208757067866182,1.349375125,4897921.875,16.94,0.74,0.99,22.67,0.57,0,0,0,0,0
