date,open,high,low,close,volume
2017-01-20,22,22.190001,21.25,21.65,19059300
2017-01-23,21.35,22.200001,20.5,20.610001,3988100
2017-01-24,20.83,21.5,20.43,21,2835800
2017-01-25,21.32,22.049999,21.24,22.02,2352500
2017-01-26,21.940001,22.25,21.559999,21.65,1760300
2017-01-27,21.59,22.860001,21.5,22.139999,1716800
2017-01-30,22.25,22.33,21.35,22.16,1158900
2017-01-31,22.57,22.57,21.459999,22.09,1336000
2017-02-01,22.41,22.700001,21.620001,22.18,1007000
2017-02-02,22.709999,22.93,21.43,21.450001,1064100
2017-02-03,21.58,22.1,21.25,21.620001,899200
2017-02-06,21.700001,22.48,20.959999,21.26,949000
2017-02-07,21.27,21.487,20.885,21.040001,645600
2017-02-08,20.889999,21.02,20.25,20.629999,2081000
2017-02-09,20.83,21.440001,20.76,21.219999,911300
2017-02-10,21.48,21.75,20.969999,21.370001,1260500
2017-02-13,21.370001,21.91,21.35,21.620001,1173700
2017-02-14,21.92,22.24,21.360001,21.57,1593300
2017-02-15,21.58,21.9,20.4,20.639999,1451300
2017-02-16,20.68,20.889999,20.139999,20.389999,1041500
2017-02-17,20.219999,20.49,19.35,19.469999,1805900
2017-02-21,19.790001,19.92,19.049999,19.74,1650300
2017-02-22,19.6,20.040001,19.530001,19.860001,1153000
2017-02-23,20.01,20.200001,18.4,18.950001,2375400
2017-02-24,18.889999,18.889999,17.84,18.200001,1663800
2017-02-27,18.129999,18.309999,17.870001,18.07,2447900
2017-02-28,17.969999,18.24,16.91,17.52,2181700
2017-03-01,18.24,18.33,17.76,17.950001,2361700
2017-03-02,17.91,18.059999,17.58,17.77,1729700
2017-03-03,17.719999,18.1,17.16,17.219999,1339500
2017-03-06,17.110001,17.32,16.25,17.08,1486800
2017-03-07,17.1,17.174999,16.65,17.049999,1153200
2017-03-08,16.950001,17.09,15.35,15.94,2412700
2017-03-09,15.77,15.84,14.855,15.3,3760500
2017-03-10,15.64,16.01,15.06,15.6,2867400
2017-03-13,15.51,16.290001,15.51,15.98,1880300
2017-03-14,15.62,15.97,14.49,15.5,2269200
2017-03-15,15.15,16.764999,15.14,16.6,1572700
2017-03-16,16.719999,17.32,16.309999,16.68,1841700
2017-03-17,16.83,17.15,16.049999,16.27,3982700
2017-03-20,16.16,16.42,16,16.16,1118100
2017-03-21,16.360001,16.559999,15.63,15.9,1767100
2017-03-22,15.75,16,15.57,15.84,1220500
2017-03-23,15.78,16,15.46,15.8,727100
2017-03-24,15.82,16.17,15.04,15.21,1697600
2017-03-27,14.77,14.908,14.09,14.18,1937000
2017-03-28,14.4,14.83,13.68,14.62,1324600
2017-03-29,14.51,15.29,14.19,14.82,1792200
2017-03-30,15.06,15.26,14.25,14.51,1260900
2017-03-31,14.38,14.69,14.19,14.3,4666900
2017-04-03,14.34,14.65,14,14.49,1628100
2017-04-04,14.51,14.94,14.25,14.65,1754100
2017-04-05,14.85,15.16,14,14.19,2305100
2017-04-06,14.32,14.77,14.2,14.66,2743600
2017-04-07,14.55,14.85,14.245,14.6,1611900
2017-04-10,14.6,15.58,14.51,15.47,1573000
2017-04-11,15.39,15.83,15.35,15.71,1439400
2017-04-12,15.69,16.4,15.59,15.7,2173800
2017-04-13,15.51,15.79,15.15,15.42,947300
2017-04-17,15.43,15.44,14.875,15.07,698300
2017-04-18,15.02,15.03,14.45,14.81,1226000
2017-04-19,14.79,14.9,14.12,14.27,1001700
2017-04-20,14.21,14.38,13.78,13.92,1198500
2017-04-21,13.79,13.83,13.28,13.77,1948600
2017-04-24,13.96,14.11,13.71,13.87,789300
2017-04-25,13.93,14.14,13.78,14.05,561900
2017-04-26,14.06,14.9,14.06,14.77,2027200
2017-04-27,14.59,14.648,14.24,14.44,1128600
2017-04-28,14.55,14.65,13.76,13.82,879000
2017-05-01,13.89,13.89,13.16,13.51,926900
2017-05-02,13.46,13.86,13.38,13.56,972300
2017-05-03,13.63,13.82,12.95,13.25,1549700
2017-05-04,13.28,13.33,12.46,12.51,1390600
2017-05-05,12.5,13.39,12.42,13.29,734400
2017-05-08,13.29,13.56,13.16,13.25,887400
2017-05-09,13.28,13.44,12.97,13.2,579400
2017-05-10,13.37,13.97,13.321,13.93,1066700
2017-05-11,13.97,14.25,13.76,13.9,757200
2017-05-12,13.81,14.04,13.71,13.95,670600
2017-05-15,14.42,14.85,14.18,14.49,986200
2017-05-16,14.61,14.68,14.16,14.26,700400
2017-05-17,14.14,14.43,13.9,14.18,739800
2017-05-18,14.07,14.78,13.83,14.63,905100
2017-05-19,15.11,16.290001,15.11,16.059999,1513600
2017-05-22,16.290001,16.809999,15.904,16.34,1162800
2017-05-23,16.450001,16.450001,16,16.1,401200
2017-05-24,16.139999,16.219999,15.85,16.16,466000
2017-05-25,16.02,16.5,15.34,15.85,575100
2017-05-26,15.93,16.209999,15.83,16.110001,463600
2017-05-30,15.97,15.97,14.87,15.35,2037700
2017-05-31,15.4,15.43,15.01,15.38,816300
2017-06-01,15.34,15.96,15.26,15.78,430100
2017-06-02,15.7,15.72,15.03,15.59,937300
2017-06-05,15.36,15.63,15.05,15.28,972000
2017-06-06,15.16,15.7,15.05,15.64,544900
2017-06-07,15.52,15.78,14.75,14.77,834800
2017-06-08,14.64,14.81,14.31,14.64,670400
2017-06-09,14.71,15.35,14.31,15.32,769500
2017-06-12,15.62,16.49,15.33,15.55,984300
2017-06-13,15.59,16.59,15.57,16.219999,827400
2017-06-14,16,16.299999,15.1,15.47,822500
2017-06-15,15.24,15.54,14.67,14.72,477300
2017-06-16,14.72,15.14,14.52,15.12,1726100
2017-06-19,15.12,15.44,14.89,15.09,556700
2017-06-20,14.82,14.82,14.005,14.6,924700
2017-06-21,14.48,14.91,13.35,13.81,1576300
2017-06-22,14.05,14.15,13.64,13.74,952000
2017-06-23,13.89,14.03,13.64,13.97,1470500
2017-06-26,13.98,14.67,13.72,14.45,1045700
2017-06-27,14.56,14.85,14.4,14.59,1267400
2017-06-28,14.61,15.23,14.44,15.07,994300
2017-06-29,15.12,15.95,15.11,15.87,1394400
2017-06-30,15.86,16.129999,15.45,16,736200
2017-07-03,16.129999,16.459999,15.96,16.290001,365500
2017-07-05,16.25,16.32,15.31,15.51,987300
2017-07-06,15.64,15.93,15.3,15.44,1045500
2017-07-07,15.29,15.5,14.7,15.19,695800
2017-07-10,15.14,15.92,14.94,15.71,674600
2017-07-11,15.73,16.07,15.45,15.73,1480600
2017-07-12,16.049999,16.059999,15.42,15.52,1161300
2017-07-13,15.56,15.92,15.142,15.82,1722700
2017-07-14,15.91,16.23,15.76,16.15,802500
2017-07-17,16.110001,16.66,16.07,16.309999,803700
2017-07-18,16.34,16.459999,15.83,15.9,889000
2017-07-19,15.9,16.790001,15.9,16.469999,1354900
2017-07-20,16.549999,16.77,16.139999,16.18,1005900
2017-07-21,16.299999,16.309999,15.29,15.36,1234000
2017-07-24,15.45,15.539,14.53,14.71,1145900
2017-07-25,15.02,15.605,14.93,15.34,983600
2017-07-26,15.49,16.459999,15.155,15.68,1074100
