date,open,high,low,close,volume
2016-10-14,13.66,14.29,12.63,13.26,5896600
2016-10-17,13.2,14.09,13.06,13.87,882300
2016-10-18,13.89,14.04,13.75,13.93,387500
2016-10-19,14.17,14.46,13.9,14.37,519500
2016-10-20,14.36,14.5,14.19,14.33,325400
2016-10-21,14.2,15,14.01,14.39,485600
2016-10-24,14.45,14.6,14.4,14.4,142000
2016-10-25,14.4,14.55,14.39,14.4,84400
2016-10-26,14.4,14.4,13.93,14.2,169500
2016-10-27,14.25,14.39,14.25,14.28,124000
2016-10-28,14.3,14.545,14.11,14.14,167500
2016-10-31,14.01,14.15,13.48,13.5,316200
2016-11-01,13.5,13.796,13.38,13.62,64600
2016-11-02,13.61,13.65,12.12,12.48,277500
2016-11-03,12.5,13.06,11.91,12.7,117900
2016-11-04,12.51,13.07,12.51,12.91,26100
2016-11-07,12.88,13.77,12.303,13.61,159600
2016-11-08,13.3,13.81,12.93,13.47,65500
2016-11-09,13.17,13.77,12.43,13.41,212800
2016-11-10,13.46,13.858,12.65,13.45,331800
2016-11-11,13.53,14.355,12.49,13.74,376100
2016-11-14,13.82,14.19,13.45,13.88,206600
2016-11-15,13.98,14.93,13.86,14.65,190700
2016-11-16,14.6,14.865,13.58,14.28,126800
2016-11-17,14.36,14.82,14.36,14.65,170300
2016-11-18,14.56,14.9,13.9,14.54,75600
2016-11-21,14.48,15.25,13.79,15.09,312600
2016-11-22,15.17,15.348,14.66,14.93,99900
2016-11-23,15.03,15.14,14,15.01,186500
2016-11-25,15.09,15.09,14.2,14.68,41100
2016-11-28,14.61,15.09,14.04,14.96,155900
2016-11-29,14.97,14.98,14.265,14.81,170300
2016-11-30,15,16.26,14.6,16.030001,443300
2016-12-01,16.07,17.299999,16.049999,16.280001,281200
2016-12-02,16.360001,19.049999,15.591,16.360001,131600
2016-12-05,16.42,17.700001,16.1,17.15,224700
2016-12-06,17.15,17.417999,16.500999,17.25,188900
2016-12-07,17.24,17.24,16.75,16.91,228300
2016-12-08,17,17.444,16.540001,16.709999,162600
2016-12-09,16.790001,17.440001,16.596001,17.18,114100
2016-12-12,17.290001,17.549999,16.030001,16.4,168900
2016-12-13,16.290001,16.726999,14.52,16.08,133200
2016-12-14,15.84,16.105,14.739,14.9,148700
2016-12-15,14.71,15.61,14.06,14.6,272200
2016-12-16,14.45,15.38,14.04,14.82,1158100
2016-12-19,14.9,15.4,14.665,15,141600
2016-12-20,14.97,15.73,14.52,15.45,111000
2016-12-21,15.48,15.94,15.095,15.46,58300
2016-12-22,16.99,16.99,15.02,15.46,242800
2016-12-23,15.57,15.78,15.226,15.74,64600
2016-12-27,15.83,16.02,15.39,15.44,164500
2016-12-28,15.67,15.74,15.065,15.36,191500
2016-12-29,15.5,15.5,14.78,15.01,132900
2016-12-30,15.1,15.47,14.99,15.2,83800
2017-01-03,15.38,15.7,15.07,15.38,151300
2017-01-04,15.44,15.91,15.346,15.9,179500
2017-01-05,15.9,16.58,15.62,16.52,131000
2017-01-06,16.559999,17.129999,16.379999,16.9,125200
2017-01-09,16.790001,17.059999,16.450001,16.860001,92600
2017-01-10,16.860001,17.190001,16.74,17.120001,83700
2017-01-11,17.09,17.49,16.82,17.200001,151100
2017-01-12,17.34,17.34,16.790001,17.23,77100
2017-01-13,17.18,17.440001,17.08,17.309999,105400
2017-01-17,17.370001,17.809999,17.26,17.610001,91300
2017-01-18,17.469999,19.049999,17.469999,18.23,134300
2017-01-19,18.23,18.440001,17.82,18.040001,80700
2017-01-20,18.27,19.870001,18.209999,18.700001,186600
2017-01-23,18.43,18.969999,17.790001,17.91,74300
2017-01-24,17.959999,18,17.040001,17.780001,89200
2017-01-25,17.92,19.368999,17.24,17.9,71500
2017-01-26,18,18.65,17.851,18.17,72600
2017-01-27,17.98,18.389999,17.98,18.110001,33200
2017-01-30,17.93,18.02,17.51,17.809999,36300
2017-01-31,17.68,18.48,17.5,18,68100
2017-02-01,18.059999,18.43,17.67,18.200001,84600
2017-02-02,18.219999,18.65,17.885,18.370001,34300
2017-02-03,18.41,18.969999,18.299999,18.85,24800
2017-02-06,18.75,19.245001,18.27,18.4,67200
2017-02-07,18.450001,18.76,18.08,18.16,34000
2017-02-08,17.9,18.23,17.700001,18.09,95400
2017-02-09,18.139999,18.219999,18,18.059999,48200
2017-02-10,18.07,18.799999,18.030001,18.52,41300
2017-02-13,18.52,18.59,18.23,18.549999,27200
2017-02-14,18.65,20.870001,18.5,20.299999,185900
2017-02-15,20.219999,20.469,19.540001,19.82,167600
2017-02-16,20.1,20.15,19.610001,19.860001,40200
2017-02-17,19.940001,20.16,19.809999,20.120001,112100
2017-02-21,20.200001,21.549999,19.871,21.18,201000
2017-02-22,21.129999,21.4,20.809999,21.379999,71500
2017-02-23,20.469999,23.709999,20.469999,21.530001,222500
2017-02-24,22.290001,22.780001,21.530001,21.74,89000
2017-02-27,21.98,22,21.809999,21.91,58500
2017-02-28,21.799999,21.99,21.495001,21.5,167900
2017-03-01,21.629999,22.827,21.6,22.450001,67300
2017-03-02,22.790001,24.539,22.209999,22.370001,60800
2017-03-03,22.77,22.888,21.5,21.549999,74300
2017-03-06,21.5,21.934999,21.25,21.42,121800
2017-03-07,21.530001,21.9,21.379999,21.48,50600
2017-03-08,21.4,21.73,19.610001,19.92,118200
2017-03-09,19.780001,19.834999,17.860001,18.26,222500
2017-03-10,18.35,19,18.33,18.860001,84200
2017-03-13,18.91,19.74,18.440001,18.73,61700
2017-03-14,18.379999,19.209999,17.74,18.190001,147900
2017-03-15,18.290001,19.27,17.709999,19.129999,70800
2017-03-16,19.99,19.99,18.552,18.700001,37800
2017-03-17,18.540001,19.65,18.540001,19.290001,116600
2017-03-20,19.15,19.4,18.719999,19.059999,95100
2017-03-21,19.15,20.139999,19.15,19.67,86500
2017-03-22,19.68,19.799999,19.25,19.629999,103100
2017-03-23,19.66,20.370001,19.445,20.09,160300
2017-03-24,20.42,20.618,19.120001,19.469999,134700
2017-03-27,18.84,20.17,18.610001,19.26,53500
2017-03-28,19.27,19.790001,18.85,19.59,79300
2017-03-29,19.360001,20.15,19.360001,20.120001,43500
2017-03-30,20.16,20.989,19.719999,20.629999,35500
2017-03-31,20.639999,22.155001,20.370001,21.51,101300
