date,open,high,low,close,volume
2008-09-18,23,26.299999,22.4,24.75,371500
2008-09-19,27.35,27.35,24.75,27.25,124100
2008-09-22,27.5,27.85,25.35,26.950001,140200
2008-09-23,26.25,26.49,24.5,24.950001,122500
2008-09-24,25.25,25.25,23.700001,24.450001,48300
2008-09-25,24.5,26.5,24,25.74,134500
2008-09-26,24.85,26,24.67,25.5,67700
2008-09-29,24.799999,24.799999,23.25,23.52,25700
2008-09-30,24.27,25.4,22.75,24,48000
2008-10-01,24.25,24.41,23.15,24.049999,16200
2008-10-02,24,24.5,23.200001,23.200001,6400
2008-10-03,23.799999,25,23.5,24.5,58800
2008-10-06,23.5,23.5,21,22.389999,26800
2008-10-07,22.1,22.74,21.299999,21.299999,13700
2008-10-08,21.75,21.75,18.799999,18.799999,12300
2008-10-09,19,20.51,19,20,10600
2008-10-10,20,20.5,17.719999,18,20300
2008-10-13,19.700001,22.299999,19.5,20.77,21700
2008-10-14,21,22.01,20.030001,20.030001,20400
2008-10-15,20,20.09,18.25,18.75,47600
2008-10-16,19.74,19.74,17,18.42,34300
2008-10-17,18.74,18.790001,18.299999,18.5,5400
2008-10-20,18.879999,19.93,18.879999,19.540001,39800
2008-10-21,20,20.25,18.51,18.75,23800
2008-10-22,18.969999,18.969999,17.4,17.5,75100
2008-10-23,17.25,17.42,17,17.42,5500
2008-10-24,17,17.379999,14.5,15.75,42700
2008-10-27,15.25,15.5,13.9,15.04,37000
2008-10-28,15.74,15.99,14.09,15.99,21100
2008-10-29,16.48,17.35,16.48,17.07,20600
2008-10-30,18,18,16.5,17,5400
2008-10-31,16.76,17.040001,16.5,16.950001,5500
2008-11-03,17,17,16.75,16.75,700
2008-11-04,17.25,18.24,17.25,18.200001,9400
2008-11-05,17.99,17.99,16.75,16.75,7100
2008-11-06,16.700001,17.25,16.25,16.99,66600
2008-11-07,18,18,16.98,17.459999,44500
2008-11-10,18.25,18.25,16.25,16.49,4100
2008-11-11,16.75,17.030001,16.450001,17.030001,2300
2008-11-12,16.790001,17.5,16.01,17,80000
2008-11-13,17.09,17.5,15.89,17.1,6200
2008-11-14,17.4,17.6,17.4,17.6,500
2008-11-17,17.98,17.98,17.700001,17.700001,39000
2008-11-18,17.42,17.42,16.75,16.969999,7100
2008-11-19,16.51,16.85,16,16,10100
2008-11-20,16,16.99,16,16.74,19200
2008-11-21,16.5,16.5,15.2,15.2,26700
2008-11-24,15.8,17.5,15.74,17.49,5900
2008-11-25,17.139999,17.17,15.66,15.68,22900
2008-11-26,16,18.1,16,18.1,15300
2008-11-28,17.51,17.9,17.41,17.57,8100
2008-12-01,17.469999,17.469999,16.540001,16.790001,4300
2008-12-02,17.4,17.4,17,17.1,4700
2008-12-03,17.1,17.389999,17,17.389999,700
2008-12-04,17.25,17.5,17,17.01,6600
2008-12-05,15.7,17.25,15.7,17.25,2500
2008-12-08,15.87,17.9,15.87,17.879999,4600
2008-12-09,17.85,17.85,17.389999,17.559999,1000
2008-12-10,17.5,17.5,17.4,17.48,30500
2008-12-11,17.5,18.5,17.5,18.200001,15800
2008-12-12,18.27,18.5,17.82,18,4600
2008-12-15,18,18.74,18,18.6,12400
2008-12-16,19,19.1,18.99,19.1,1300
2008-12-17,19.35,19.5,18.75,18.85,19800
2008-12-18,18.77,18.940001,17.75,18,6500
2008-12-19,18.15,24.379999,18.15,21.5,532900
2008-12-22,19.5,20,18.870001,19.200001,208900
2008-12-23,19.200001,19.450001,18.440001,19.15,72500
2008-12-24,19.98,19.98,18.1,18.1,55800
2008-12-26,19.25,19.25,18.25,18.4,20800
2008-12-29,18.65,19,17.84,17.84,20500
2008-12-30,18,18.5,17.940001,18.5,9500
2008-12-31,18.440001,18.469999,18.059999,18.370001,2600
2009-01-02,18.49,18.49,18.290001,18.4,7600
2009-01-05,18.49,19,18.309999,19,15700
2009-01-06,18.870001,19.5,18.5,19.299999,28200
2009-01-07,20,20,18.57,18.6,33400
2009-01-08,18.5,19,18.35,18.700001,17700
2009-01-09,18.5,19,18,18.33,88000
2009-01-12,18.01,18.35,18.01,18.35,5700
2009-01-13,18.299999,18.700001,18.299999,18.440001,82200
2009-01-14,18.25,18.299999,17.75,18,26000
2009-01-15,17.75,18.25,17.5,17.620001,18100
2009-01-16,18,19.5,17.620001,19.5,11300
2009-01-20,18.24,18.33,17.51,17.51,6600
2009-01-21,17.559999,18.18,17.559999,18.15,131600
2009-01-22,18.190001,18.190001,17,17.5,8700
2009-01-23,17.129999,18,17.129999,17.76,73400
2009-01-26,17.540001,17.85,17.26,17.65,7200
2009-01-27,17.65,17.65,17,17.5,18500
2009-01-28,17.469999,18.23,16.440001,17.620001,28900
2009-01-29,16.950001,17.32,16.85,16.969999,147900
2009-01-30,16.85,17.299999,16.5,16.809999,21300
2009-02-02,16.709999,16.709999,16,16.48,34600
2009-02-03,16.75,16.75,16.360001,16.58,12500
2009-02-04,19,19,16.610001,16.75,6600
2009-02-05,16.84,17.5,16.67,17.5,6600
2009-02-06,17.34,17.9,16.549999,17,70500
2009-02-09,17.370001,17.950001,17.35,17.450001,83400
2009-02-10,17.440001,17.440001,16.860001,17.16,19800
2009-02-11,16.9,16.9,16.65,16.65,9000
2009-02-12,16.5,17.459999,16.5,16.75,49400
2009-02-13,16.75,17.5,16.75,17.110001,19900
2009-02-17,15.74,17.110001,15.74,16.74,278600
2009-02-18,16.75,16.75,16.26,16.33,49300
