date,open,high,low,close,volume
2015-06-26,15.23,15.69,15,15,7284800
2015-06-29,15,16.290001,14.85,15.99,873700
2015-06-30,15.7,15.98,15.34,15.51,558300
2015-07-01,15.4,15.85,15.15,15.29,292900
2015-07-02,15.22,15.63,13.41,14.81,412000
2015-07-06,14.79,14.83,14.11,14.4,184000
2015-07-07,14.27,14.69,13.85,14.6,183000
2015-07-08,14.19,14.69,13.86,14.4,94300
2015-07-09,14.29,14.74,14.21,14.29,294800
2015-07-10,14.4,15.19,14.4,14.89,62400
2015-07-13,14.67,14.95,14.5,14.76,69100
2015-07-14,14.84,14.9,14.5,14.84,46500
2015-07-15,14.74,14.9,14.52,14.66,37700
2015-07-16,14.98,14.99,14.535,14.73,37700
2015-07-17,14.75,15.5,14.75,15.46,189200
2015-07-20,15.43,15.49,14.9,15.13,111200
2015-07-21,15.1,16,14.92,15.78,294600
2015-07-22,15.75,15.99,15.25,15.51,57900
2015-07-23,15.77,15.9,15.5,15.56,64400
2015-07-24,15.49,15.765,15.09,15.43,92600
2015-07-27,15.09,15.35,14.85,14.98,60100
2015-07-28,14.93,15.33,14.9,15.12,31700
2015-07-29,15.3,15.53,15.05,15.53,196300
2015-07-30,15.48,15.48,15.08,15.48,22000
2015-07-31,15.5,15.95,15.3,15.95,63600
2015-08-03,15.77,16,15.15,15.96,87000
2015-08-04,15.93,15.96,15.615,15.66,120200
2015-08-05,15.58,15.92,14.85,15.01,118400
2015-08-06,14.85,15.57,14.5,14.87,61300
2015-08-07,14.8,14.98,14.696,14.8,13200
2015-08-10,15.25,15.3,14.2,15.23,136000
2015-08-11,15.24,15.3,14,14.93,16100
2015-08-12,14.95,15.09,14.49,14.93,38600
2015-08-13,14.99,15.07,14.615,14.91,28200
2015-08-14,14.67,15.04,14.51,14.9,93500
2015-08-17,15.02,15.05,14.75,14.99,29700
2015-08-18,14.94,14.99,14.69,14.77,63100
2015-08-19,14.81,14.95,14.7,14.77,10200
2015-08-20,14.58,15.02,14.38,14.75,68500
2015-08-21,14.72,14.94,14.68,14.94,34700
2015-08-24,14.64,14.72,13.04,14.18,200600
2015-08-25,14.46,14.63,13,13.32,165400
2015-08-26,13.46,13.89,12.48,13.2,119100
2015-08-27,13.38,14.2,10.92,13.52,75100
2015-08-28,14.07,14.07,13.055,13.7,61200
2015-08-31,13.48,14.74,13.24,14.62,181300
2015-09-01,14.2,14.45,13.75,14.07,54100
2015-09-02,14.15,14.65,13.97,14.5,58800
2015-09-03,14.6,14.6,14.4,14.46,14400
2015-09-04,14.5,14.5,14.06,14.35,20300
2015-09-08,14.46,14.46,13.65,13.75,130400
2015-09-09,13.98,13.98,13.37,13.54,66500
2015-09-10,13.56,13.56,12.53,13.25,201600
2015-09-11,13.3,13.335,12.92,13.09,63700
2015-09-14,13,13.35,12.95,13.09,84900
2015-09-15,13.3,13.335,13,13.11,83500
2015-09-16,13.08,13.21,13.01,13.1,69000
2015-09-17,13.13,13.33,12.92,13.05,87100
2015-09-18,12.97,13.495,12.97,13.44,37500
2015-09-21,13.63,13.95,13.28,13.72,55500
2015-09-22,13.54,14.06,13.26,13.85,26600
2015-09-23,13.84,13.9,13.58,13.79,25000
2015-09-24,13.66,13.82,13.1,13.49,142500
2015-09-25,13.51,13.76,13.28,13.42,34400
2015-09-28,13.38,13.51,12.92,13.29,108800
2015-09-29,13.2,13.495,12.92,13.09,137600
2015-09-30,13.1,13.25,12.92,13.2,51100
2015-10-01,13.24,13.71,13.11,13.49,120600
2015-10-02,13.25,13.465,12.92,13.33,73700
2015-10-05,13.25,13.25,13.04,13.19,41400
2015-10-06,13.12,13.3,13,13.22,39400
2015-10-07,12.98,13.5,12.96,13.35,36800
2015-10-08,13.21,14.6,13.21,13.51,193400
2015-10-09,13.55,14.6,13.44,14.32,121700
2015-10-12,14.42,14.6,14.05,14.17,51200
2015-10-13,14.1,14.74,13.55,13.55,178400
2015-10-14,13.63,14.334,13.63,14.1,27000
2015-10-15,14.25,14.5,13.99,14.36,14200
2015-10-16,13.87,14.61,13.87,14.5,12300
2015-10-19,13.99,14.77,13.99,14.24,37300
2015-10-20,14.48,14.5,13.92,14.26,38400
2015-10-21,14.35,14.43,14,14.3,25900
2015-10-22,14.26,14.38,13.696,14.28,61000
2015-10-23,14.4,14.74,14,14.12,22800
2015-10-26,14.25,14.54,13.86,14.5,72300
2015-10-27,14.35,14.57,13.55,14.15,93200
2015-10-28,14.41,14.59,13.78,14.46,65700
2015-10-29,14.35,14.75,14.13,14.45,31300
2015-10-30,14.49,14.77,14.21,14.77,60200
2015-11-02,14.77,15.216,14.6,15,62100
2015-11-03,15.2,15.5,14.56,14.61,80400
2015-11-04,14.28,15.05,14.15,14.78,112000
2015-11-05,14.86,14.86,14.05,14.33,58600
2015-11-06,14.23,14.26,13.88,14.14,54100
2015-11-09,14.1,14.2,13.91,14.1,32100
2015-11-10,14.1,14.1,13.83,13.89,23500
2015-11-11,13.9,14.08,13.75,13.85,51900
2015-11-12,13.75,14.06,13.65,13.72,23900
2015-11-13,13.72,13.8,13.26,13.35,48000
2015-11-16,13.43,13.88,13.15,13.16,136400
2015-11-17,13.12,13.42,12.92,12.95,88600
2015-11-18,13.835,13.835,12.86,12.99,208800
2015-11-19,12.93,13.2,12.615,12.67,197800
2015-11-20,12.69,12.91,12.6,12.7,38600
2015-11-23,12.71,12.9,12.49,12.62,79500
2015-11-24,12.67,12.99,12.605,12.75,250000
2015-11-25,12.68,12.99,12.56,12.84,204500
2015-11-27,12.65,13.02,12.6,12.87,87100
2015-11-30,13.04,13.41,12.98,13.21,185800
2015-12-01,13.15,13.78,13.15,13.66,388300
2015-12-02,13.55,14.18,13.55,14.005,93800
2015-12-03,13.98,14.17,13.84,13.98,75400
2015-12-04,13.93,14.17,13.65,13.98,96400
2015-12-07,13.91,14.31,13,14.1,173600
2015-12-08,13.97,14.9,13.78,13.96,110800
2015-12-09,14.2,14.32,13.53,14.09,71400
2015-12-10,13.84,14.89,13.84,14.44,84400
2015-12-11,14.3,14.45,14.08,14.45,38500
2015-12-14,14.46,14.555,14.119,14.39,93200
2015-12-15,14.35,14.55,14.1,14.39,101000
2015-12-16,14.41,14.65,13,14.62,101400
