date,open,high,low,close,volume
2016-09-15,26.5,27.32,26,26.200001,9496700
2016-09-16,26,26.749001,26,26.26,688700
2016-09-19,26.51,26.690001,26.040001,26.4,549800
2016-09-20,26.27,26.450001,26.23,26.32,155100
2016-09-21,26.59,26.6,26.299999,26.41,201200
2016-09-22,26.5,26.780001,26.41,26.74,129200
2016-09-23,27,27.458,26.51,26.9,212800
2016-09-26,26.809999,28,26.799999,27.5,140100
2016-09-27,27.35,27.5,27.030001,27.200001,289400
2016-09-28,27.129999,28,27.125,27.82,283000
2016-09-29,27.610001,27.992001,27.450001,27.620001,57100
2016-09-30,27.99,28.139999,27.652,27.9,136600
2016-10-03,28.1,28.35,27.42,27.58,222900
2016-10-04,28,28.030001,26.92,27.790001,60000
2016-10-05,27.4,28.049999,27.209999,27.809999,89000
2016-10-06,27.969999,28,27.639999,27.799999,121300
2016-10-07,28,28,27.495001,27.709999,165000
2016-10-10,28.299999,28.99,28,28.41,675000
2016-10-11,28.799999,28.885,28.1,28.389999,349300
2016-10-12,28.4,29.719999,28.26,29.07,677500
2016-10-13,29.040001,29.280001,28.15,28.76,258900
2016-10-14,28.67,29.299999,28.67,29.25,280500
2016-10-17,29.440001,30.82,29.24,30.5,288100
2016-10-18,30.450001,30.700001,30.280001,30.42,270900
2016-10-19,30.49,30.540001,29.65,29.85,240600
2016-10-20,30.01,30.629999,29.870001,30.040001,226500
2016-10-21,30.190001,30.659,29.855,30.200001,169700
2016-10-24,30.43,31.07,29.855,31,496300
2016-10-25,30.76,30.943001,30.25,30.700001,15800
2016-10-26,30.75,30.77,30.25,30.639999,44800
2016-10-27,30.639999,31.280001,30.639999,31.18,14100
2016-10-28,31.15,31.302,30.08,30.5,27100
2016-10-31,30.67,30.67,29.76,30,38400
2016-11-01,29.85,30.094,28.889999,28.99,174800
2016-11-02,28.9,30.73,28.9,29.959999,397100
2016-11-03,30,30.481001,29.125,29.860001,379900
2016-11-04,29.870001,30.32,29.5,29.889999,95400
2016-11-07,29.530001,30.879999,29.530001,30.16,26500
2016-11-08,30.25,30.469999,29.51,29.57,43700
2016-11-09,29.33,30.879999,29,29.93,30700
2016-11-10,29.83,29.959999,29.200001,29.559999,168400
2016-11-11,29.690001,29.854,29.51,29.610001,32500
2016-11-14,29.709999,30,29.4,29.77,93200
2016-11-15,29.99,31.559999,29.6,30.85,123800
2016-11-16,30.68,32.540001,29.799999,32.049999,171800
2016-11-17,32.049999,33.400002,31.891001,32.169998,75200
2016-11-18,32.169998,32.740002,31.535,32.360001,106700
2016-11-21,32.439999,33.5,31.700001,31.93,129100
2016-11-22,32.009998,32.790001,32.009998,32.669998,118700
2016-11-23,32.68,33.200001,32,32.720001,69500
2016-11-25,32.849998,34.049999,32.529999,33.98,7900
2016-11-28,33.700001,33.889999,32.793999,33.400002,28200
2016-11-29,33.290001,33.415001,32.02,32.779999,49900
2016-11-30,33.200001,33.75,31.83,32.07,168700
2016-12-01,32.240002,33,31.629999,32.290001,107800
2016-12-02,32.299999,32.650002,31.975,32.150002,13500
2016-12-05,32.200001,33.120998,31.950001,31.959999,25600
2016-12-06,32.009998,33.610001,32.009998,33.610001,51800
2016-12-07,33.869999,35.200001,33.52,34.52,48200
2016-12-08,34.529999,35,33.950001,34.549999,62300
2016-12-09,34.389999,36,33.994999,35.110001,46800
2016-12-12,35.990002,37.452999,35.279999,36.029999,354400
2016-12-13,36.369999,40.16,36.369999,38.310001,216000
2016-12-14,38.189999,38.5,36.25,36.66,48100
2016-12-15,36.490002,37.880001,35.259998,36.259998,63800
2016-12-16,36.009998,36.75,35.654999,36.130001,134000
2016-12-19,36.279999,37.990002,35.160999,37.139999,63500
2016-12-20,37.529999,39.02,35.814999,36.400002,76900
2016-12-21,36.110001,37.43,35.650002,36.27,133900
2016-12-22,36.279999,37.821999,36.279999,36.939999,29500
2016-12-23,37.07,37.5,36.654999,36.93,13900
2016-12-27,37.259998,38.099998,36.549999,36.619999,7600
2016-12-28,36.700001,37,36.25,36.939999,47600
2016-12-29,36.740002,37,36.5,36.648998,15600
2016-12-30,36.669998,36.73,35.98,36,46200
2017-01-03,36.889999,38.529999,35.563999,36.639999,46100
2017-01-04,36.689999,37.758999,36.599998,36.619999,61800
2017-01-05,36.599998,37.91,36.099998,36.970001,69700
2017-01-06,37,38,36.980999,37.990002,21800
2017-01-09,37.93,38.5,37.474998,37.950001,96800
2017-01-10,38.259998,38.259998,37.360001,37.936001,43400
2017-01-11,37.610001,38.238998,37.34,37.84,29500
2017-01-12,37.799999,38.890999,37.209999,38.23,33700
2017-01-13,38.360001,38.929001,38.07,38.07,93100
2017-01-17,38.720001,43.380001,38.720001,42.349998,159900
2017-01-18,42.720001,43.205002,41.049999,41.75,151000
2017-01-19,42.080002,42.939999,41.509998,42.77,67100
2017-01-20,43.02,43.799999,43,43.049999,47600
2017-01-23,43.369999,43.700001,42.5,43.009998,90400
2017-01-24,43,45.028999,42.904999,44,42600
2017-01-25,44.650002,44.834,43,43,82100
2017-01-26,43.439999,45.200001,42.5,43.52,75900
2017-01-27,44.009998,44.009998,42.804001,42.98,89600
2017-01-30,42.740002,44.07,42.5,42.91,135900
2017-01-31,42.720001,44.169998,42.584,43.419998,60900
2017-02-01,43.130001,46.52,42.220001,44.02,109600
2017-02-02,43.509998,45.09,43.509998,44.669998,51400
2017-02-03,44.68,46.240002,44.25,45.599998,54100
2017-02-06,46,46.869999,44.609001,46.52,127700
2017-02-07,46.889999,47.490002,45.869999,47.470001,156300
2017-02-08,47.459999,47.459999,45.900002,46.200001,43800
2017-02-09,46.259998,47.43,46.259998,46.369999,89300
2017-02-10,46.5,46.715,45.286999,46,68900
2017-02-13,46,46.715,46,46.57,114600
2017-02-14,47.5,47.875,45.919998,46.849998,177000
2017-02-15,46.849998,49.790001,46.849998,48.299999,139100
2017-02-16,48.689999,49.785,48,48.970001,105400
2017-02-17,49.290001,49.896,48.220001,48.599998,57400
2017-02-21,49.150002,49.740002,48.452,49.240002,100400
2017-02-22,49.299999,49.830002,48.588001,49.099998,106700
2017-02-23,49.16,49.560001,48.029999,48.68,89200
2017-02-24,48.810001,49.455002,48.009998,49.07,107900
2017-02-27,49.110001,49.110001,48.110001,48.619999,97000
2017-02-28,48.98,49.942001,48.02,48.599998,76200
2017-03-01,49.220001,51.369999,49.009998,51.310001,67700
2017-03-02,52.099998,53.290001,51.549999,52.009998,120500
2017-03-03,51.990002,52.652,50.990002,51.630001,73600
2017-03-06,51.419998,51.419998,48.599998,49.5,98000
2017-03-07,49.290001,50.150002,48.933998,49.75,27500
2017-03-08,50,50,48.029999,48.349998,98000
2017-03-09,48.349998,48.360001,46.259998,46.560001,110100
2017-03-10,46.400002,48.5,43.75,47.93,209700
2017-03-13,47.889999,49.189999,46.592999,47.150002,42800
2017-03-14,47.16,47.990002,46.799999,47.040001,76400
2017-03-15,46.84,49.459999,46.84,48.790001,42200
2017-03-16,49.299999,50.738998,49,49.740002,60500
2017-03-17,49.82,50.053001,48,48.959999,90700
2017-03-20,48.650002,49.98,47.18,49.23,40600
2017-03-21,49.799999,49.889999,47.542,48.34,32100
2017-03-22,48.77,49.258999,47.73,48.560001,33000
2017-03-23,48.630001,51.48,48.619999,50.09,75700
2017-03-24,50.66,51.375,50.519001,50.549999,24600
2017-03-27,50.009998,50.555,48.419998,48.849998,40300
2017-03-28,48.779999,50.880001,48.779999,49.349998,26200
2017-03-29,49.779999,51.990002,49.369999,50.68,41600
2017-03-30,51.099998,51.970001,50.110001,51.25,39400
2017-03-31,51.080002,52.889999,50.877998,52.080002,59000
2017-04-03,52.209999,52.549999,51.169998,52.290001,95100
2017-04-04,51.990002,52,50,51.57,60500
2017-04-05,51.869999,52.82,50.119999,50.310001,564200
2017-04-06,50.540001,50.75,48.849998,50.060001,132600
2017-04-07,49.59,50.181,49.111,49.889999,121300
2017-04-10,49.849998,50.285,49.011002,49.84,78800
2017-04-11,49.560001,50.709999,49.110001,49.790001,83700
2017-04-12,49.849998,51.5,49.560001,49.860001,82700
2017-04-13,49.900002,50.060001,49,50,59400
2017-04-17,49.639999,51.360001,49.575001,50.990002,53200
2017-04-18,50.799999,51.779999,50.619999,50.959999,59100
2017-04-19,51.310001,51.34,50.160999,50.630001,59700
2017-04-20,50.549999,50.689999,49.689999,50.299999,114900
2017-04-21,50.330002,50.68,49.110001,49.68,76100
2017-04-24,49.84,50.389999,48.509998,49.990002,46900
2017-04-25,50.150002,50.419998,49.085999,50.380001,29200
2017-04-26,49.950001,50.400002,49.700001,49.700001,31300
2017-04-27,49.700001,49.75,48.500999,48.740002,37300
2017-04-28,48.849998,50.5,48.5,50.119999,85000
2017-05-01,50.240002,50.41,49.449001,50.150002,32300
2017-05-02,50.900002,51,48.799999,49.209999,104000
2017-05-03,48.82,49.139999,47.130001,47.959999,174600
2017-05-04,47.450001,47.450001,45,45.860001,98500
2017-05-05,45.5,46.700001,44.900002,46.25,73400
2017-05-08,46.200001,46.209999,44.997002,45.830002,28500
2017-05-09,45.73,47.700001,44.82,45.599998,77300
2017-05-10,45.68,47.439999,45.560001,46.360001,242700
2017-05-11,46.360001,47.98,46.02,46.599998,115200
2017-05-12,46.389999,47.369999,45.529999,45.77,60600
2017-05-15,46,46.909,46,46.57,62100
2017-05-16,46.599998,47.580002,46.509998,46.790001,35000
2017-05-17,46.41,47.119999,45.66,45.799999,31300
2017-05-18,45.869999,47.259998,44.52,45.98,65700
2017-05-19,45.099998,46.75,44.610001,46.57,92300
2017-05-22,46.59,47.02,46.41,46.5,139200
2017-05-23,47.009998,47.009998,45.749001,46.169998,40900
2017-05-24,46,46.424,45.500999,45.860001,42600
2017-05-25,45.91,46,44.542999,45.689999,55300
2017-05-26,45.509998,45.91,44.483002,45.700001,51600
2017-05-30,45.119999,45.77,44.619999,44.98,25300
2017-05-31,44.970001,46.5,44.330002,45.990002,61600
2017-06-01,46,46.150002,45.099998,45.610001,72300
2017-06-02,45.580002,45.970001,45.205002,45.34,64200
2017-06-05,45.23,45.889999,44.695,45.669998,43200
2017-06-06,45.799999,46.950001,45.701,46.57,49500
2017-06-07,46.650002,47.82,46.240002,46.939999,146600
2017-06-08,46.91,47.98,46.240002,46.73,48000
2017-06-09,47.240002,49.060001,47.099998,48.73,110800
2017-06-12,49,49.326,47.055,48.650002,65900
2017-06-13,48.720001,49.154999,48.150002,48.700001,67900
2017-06-14,48.639999,48.915001,47.098999,48.68,33700
2017-06-15,48.099998,48.865002,47.639999,48.32,83000
2017-06-16,48.419998,48.419998,44.84,45.73,635200
2017-06-19,46,46.650002,44.77,45.5,136300
2017-06-20,45.41,45.630001,44,44.450001,143600
2017-06-21,44.610001,44.951,41.903,42.25,197000
2017-06-22,42.299999,46.34,42.299999,45.099998,113400
2017-06-23,45.099998,47.27,45.099998,46.849998,33000
2017-06-26,46.810001,47.459999,45.689999,46.209999,81400
2017-06-27,46.27,47.319,45.02,45.419998,65400
2017-06-28,45.490002,46.41,44.48,45.889999,105600
2017-06-29,45.869999,46.52,45.349998,45.619999,99300
2017-06-30,45.91,46.419998,45,45.400002,369800
2017-07-03,45.439999,46.105,44.98,45.560001,33600
2017-07-05,45.41,45.419998,44.700001,45.400002,68200
2017-07-06,45.369999,46.849998,45,45.580002,61600
2017-07-07,45.43,46.294998,45.009998,46.009998,55800
2017-07-10,45.049999,45.924999,45,45.150002,46700
2017-07-11,45.009998,45.709999,43.790001,44.849998,65900
