date,open,high,low,close,volume
2012-12-10,27.639999,27.969999,27.530001,27.75,693100
2012-12-11,27.690001,28.299999,27.57,27.83,379700
2012-12-12,27.610001,28.65,27.610001,28,456700
2012-12-13,27.85,27.85,27.120001,27.65,239100
2012-12-14,27.5,27.940001,27.209999,27.6,156300
2012-12-17,27.469999,27.629999,27.26,27.459999,41800
2012-12-18,27.65,28.370001,27.43,28.24,92700
2012-12-19,28.59,31.950001,27.75,28.950001,74000
2012-12-20,28.950001,28.950001,28.01,28.85,75000
2012-12-21,27.950001,28.959999,27.76,28.51,54300
2012-12-24,29.639999,29.690001,27.85,28.1,24500
2012-12-26,28.02,28.24,27.799999,27.91,199200
2012-12-27,27.91,28.23,27.83,28.01,485600
2012-12-28,28.5,28.99,28.25,28.790001,58400
2012-12-31,28.969999,29.98,28.889999,29.950001,59700
2013-01-02,31.98,32.400002,31.25,31.67,227800
2013-01-03,31.950001,32.259998,31.57,31.59,277300
2013-01-04,31.959999,32,31.370001,31.68,163200
2013-01-07,31.379999,32,31.379999,31.91,177200
2013-01-08,31.969999,32,31.59,31.700001,118100
2013-01-09,31.690001,31.85,31.360001,31.43,110500
2013-01-10,31.5,31.5,31.27,31.5,72800
2013-01-11,31.43,31.889999,31.43,31.6,62900
2013-01-14,31.77,31.77,31.440001,31.530001,88600
2013-01-15,31.59,32.07,31.469999,31.59,63400
2013-01-16,31.67,31.67,30.379999,31.32,82300
2013-01-17,31,31.93,31,31.709999,56900
2013-01-18,31.83,32,31.200001,31.450001,275900
2013-01-22,31.309999,31.91,31.15,31.51,32400
2013-01-23,30.85,32.080002,29.799999,31.18,113800
2013-01-24,31.4,31.5,31.17,31.200001,16700
2013-01-25,31.41,31.41,31,31.02,35700
2013-01-28,31.24,32.639999,30.370001,32.630001,142400
2013-01-29,32.299999,33.889999,31.65,33.220001,45900
2013-01-30,32.990002,33.75,32.34,33.400002,4400
2013-01-31,33.5,34.990002,33.400002,33.759998,76100
2013-02-01,34.110001,35,32.98,33.959999,180700
2013-02-04,34,34.5,33.889999,33.990002,127200
2013-02-05,35.25,35.529999,33.07,33.990002,72400
2013-02-06,33.700001,35.119999,33.450001,33.91,27200
2013-02-07,34.240002,35.369999,33.650002,34.91,115100
2013-02-08,35.25,35.369999,34.099998,34.25,93100
2013-02-11,33.860001,34.669998,33.860001,34.669998,43000
2013-02-12,34.610001,34.77,34.18,34.509998,29200
2013-02-13,34.59,35.32,34.32,34.610001,25700
2013-02-14,34.5,34.650002,33.740002,34,159200
2013-02-15,34,34.349998,33.75,34,22900
