date,open,high,low,close,volume
2008-03-07,3.99,3.99,3.99,3.99,0
2008-03-10,4.06,4.06,4.06,4.06,714
2008-03-11,4.06,4.06,4.06,4.06,0
2008-03-12,4.06,4.06,4.06,4.06,0
2008-03-13,3.92,3.92,3.92,3.92,143
2008-03-14,3.92,3.92,3.92,3.92,0
2008-03-17,3.92,3.92,3.92,3.92,0
2008-03-18,3.71,3.71,3.71,3.71,1429
2008-03-19,3.22,3.71,3.22,3.22,2786
2008-03-20,2.87,2.87,2.87,2.87,857
2008-03-24,2.87,2.87,2.87,2.87,0
2008-03-25,3.43,3.43,2.94,3.43,1000
2008-03-26,3.57,3.57,3.57,3.57,714
2008-03-27,3.57,3.57,3.57,3.57,0
2008-03-28,3.57,3.57,3.57,3.57,0
2008-03-31,3.57,3.57,3.57,3.57,0
2008-04-01,3.01,3.01,3.01,3.01,714
2008-04-02,3.22,3.29,3.22,3.22,214
2008-04-03,3.22,3.22,3.22,3.22,0
2008-04-04,3.22,3.22,3.22,3.22,0
2008-04-07,3.22,3.22,3.22,3.22,0
2008-04-08,3.92,3.92,3.92,3.92,143
2008-04-09,4.34,4.34,4.2,4.34,1643
2008-04-10,4.2,4.27,4.2,4.2,629
2008-04-11,4.2,4.2,4.2,4.2,286
2008-04-14,4.2,4.2,4.2,4.2,286
2008-04-15,4.27,4.27,4.27,4.27,286
2008-04-16,4.27,4.27,4.27,4.27,0
2008-04-17,4.27,4.27,4.27,4.27,286
2008-04-18,4.27,4.27,4.27,4.27,0
2008-04-21,3.99,3.99,3.99,3.99,286
2008-04-22,3.99,3.99,3.99,3.99,0
2008-04-23,3.99,3.99,3.99,3.99,0
2008-04-24,3.71,3.71,3.71,3.71,429
2008-04-25,3.71,3.71,3.71,3.71,714
2008-04-28,3.71,3.71,3.71,3.71,0
2008-04-29,3.5,3.5,3.5,3.5,571
2008-04-30,3.5,3.5,3.5,3.5,0
2008-05-01,2.87,2.87,2.87,2.87,214
2008-05-02,2.94,3.01,2.94,2.94,1714
2008-05-05,2.94,2.94,2.94,2.94,0
2008-05-06,3.08,3.08,3.08,3.08,286
2008-05-07,3.01,3.01,3.01,3.01,286
2008-05-08,3.15,3.15,3.15,3.15,714
2008-05-09,3.15,3.15,3.15,3.15,0
