mtry,tree_depth,learn_rate,.metric,.estimator,mean,n,std_err,.config
3,1,0.1,mae,standard,0.4386506412633783,10,0.011127772263343296,Model01
3,1,0.1,rmse,standard,0.5958355298935331,10,0.016048163248978425,Model01
3,1,0.1,rsq,standard,0.31085871649614255,10,0.027446655011331998,Model01
5,1,0.1,mae,standard,0.43889390754124025,10,0.011080430635067726,Model02
5,1,0.1,rmse,standard,0.5954057002780199,10,0.01596536613317379,Model02
5,1,0.1,rsq,standard,0.31180064603072266,10,0.027481853656837068,Model02
7,1,0.1,mae,standard,0.439009879943479,10,0.010915311058259136,Model03
7,1,0.1,rmse,standard,0.5956222096148759,10,0.015970802864323754,Model03
7,1,0.1,rsq,standard,0.311106570436941,10,0.027367095212506663,Model03
10,1,0.1,mae,standard,0.4389838450377274,10,0.010992991220228848,Model04
10,1,0.1,rmse,standard,0.5953878780798936,10,0.016027798224830025,Model04
10,1,0.1,rsq,standard,0.3117566135897191,10,0.02744436425811561,Model04
3,3,0.1,mae,standard,0.347679525396705,10,0.008601866657134392,Model05
3,3,0.1,rmse,standard,0.498083566970724,10,0.01167878043670878,Model05
3,3,0.1,rsq,standard,0.5140582537023075,10,0.028012569032259346,Model05
5,3,0.1,mae,standard,0.3333908203224701,10,0.007404044141655657,Model06
5,3,0.1,rmse,standard,0.48008548914488786,10,0.01132999051832048,Model06
5,3,0.1,rsq,standard,0.5478832198478952,10,0.027175378702999554,Model06
7,3,0.1,mae,standard,0.32502648843246174,10,0.007760054407066948,Model07
7,3,0.1,rmse,standard,0.4656397065060303,10,0.012357765704631839,Model07
7,3,0.1,rsq,standard,0.5748227479444895,10,0.029295374620856685,Model07
10,3,0.1,mae,standard,0.32482202301409613,10,0.007822173895722186,Model08
10,3,0.1,rmse,standard,0.46829672407892375,10,0.011314463933981698,Model08
10,3,0.1,rsq,standard,0.5696414974259747,10,0.032793056332000005,Model08
3,5,0.1,mae,standard,0.3264219532030165,10,0.008775394617816092,Model09
3,5,0.1,rmse,standard,0.48377225803719004,10,0.014110120792572586,Model09
3,5,0.1,rsq,standard,0.5461857210516011,10,0.028427314224776932,Model09
5,5,0.1,mae,standard,0.3074064613780095,10,0.007755816892219875,Model10
5,5,0.1,rmse,standard,0.45586624688803384,10,0.012175813747997843,Model10
5,5,0.1,rsq,standard,0.5971725568300764,10,0.02782479487739869,Model10
7,5,0.1,mae,standard,0.2921814153116189,10,0.009023392519639793,Model11
7,5,0.1,rmse,standard,0.43604314276519185,10,0.015846758823518606,Model11
7,5,0.1,rsq,standard,0.6309835976380453,10,0.03017823822667311,Model11
10,5,0.1,mae,standard,0.28642952582147163,10,0.009279629055699005,Model12
10,5,0.1,rmse,standard,0.4292111661842963,10,0.016474815349936,Model12
10,5,0.1,rsq,standard,0.641374636089499,10,0.027235396306668904,Model12
3,7,0.1,mae,standard,0.3213093441736494,10,0.01051422701943472,Model13
3,7,0.1,rmse,standard,0.4834155763409082,10,0.01819467167502424,Model13
3,7,0.1,rsq,standard,0.5560249404579474,10,0.025847087455575513,Model13
5,7,0.1,mae,standard,0.2942927635083036,10,0.01017474731767873,Model14
5,7,0.1,rmse,standard,0.4450458166530022,10,0.016664136050851302,Model14
5,7,0.1,rsq,standard,0.624258145861694,10,0.0281621478428655,Model14
7,7,0.1,mae,standard,0.2828023105682279,10,0.00970664395563563,Model15
7,7,0.1,rmse,standard,0.43509242133425713,10,0.018057877505687325,Model15
7,7,0.1,rsq,standard,0.6329141646938613,10,0.029916414833727947,Model15
10,7,0.1,mae,standard,0.275976024994919,10,0.009564223281203448,Model16
10,7,0.1,rmse,standard,0.4352728489526485,10,0.0198508308593725,Model16
10,7,0.1,rsq,standard,0.6320328347872202,10,0.030245166959991042,Model16
3,1,0.01,mae,standard,0.48048764383702297,10,0.01523693547925755,Model17
3,1,0.01,rmse,standard,0.6488032918587736,10,0.020766636448177733,Model17
3,1,0.01,rsq,standard,0.22469575510451764,10,0.026618565454667134,Model17
5,1,0.01,mae,standard,0.47855565073963546,10,0.014647453632352083,Model18
5,1,0.01,rmse,standard,0.6418041891646379,10,0.020253384699986613,Model18
5,1,0.01,rsq,standard,0.23916397269217363,10,0.029174665829951686,Model18
7,1,0.01,mae,standard,0.4783499205444822,10,0.014500868173421843,Model19
7,1,0.01,rmse,standard,0.6403164250706752,10,0.020039557288634647,Model19
7,1,0.01,rsq,standard,0.24304571249336773,10,0.02943924594520418,Model19
10,1,0.01,mae,standard,0.47835686290651624,10,0.014497857712790312,Model20
10,1,0.01,rmse,standard,0.6403593902961842,10,0.02005517100752711,Model20
10,1,0.01,rsq,standard,0.24299536959724818,10,0.029422491362072437,Model20
3,3,0.01,mae,standard,0.4118930550084254,10,0.011867142738054713,Model21
3,3,0.01,rmse,standard,0.5600952121963786,10,0.01635584483537201,Model21
3,3,0.01,rsq,standard,0.4162579689316724,10,0.03176659900706541,Model21
5,3,0.01,mae,standard,0.40020162680214294,10,0.011257946877576483,Model22
5,3,0.01,rmse,standard,0.5428716362009223,10,0.014967375956033922,Model22
5,3,0.01,rsq,standard,0.44701381939967416,10,0.03121545839000235,Model22
7,3,0.01,mae,standard,0.39798822968861663,10,0.01143301672134064,Model23
7,3,0.01,rmse,standard,0.5399277049188296,10,0.015254820341440392,Model23
7,3,0.01,rsq,standard,0.45377290239412305,10,0.026823298858017132,Model23
10,3,0.01,mae,standard,0.3960085939318133,10,0.01182406735176541,Model24
10,3,0.01,rmse,standard,0.5359231575192456,10,0.015842654921830384,Model24
10,3,0.01,rsq,standard,0.4602218243656384,10,0.027025081745052148,Model24
3,5,0.01,mae,standard,0.3725289465602903,10,0.011126911693425228,Model25
3,5,0.01,rmse,standard,0.5168835639432372,10,0.014513854132065775,Model25
3,5,0.01,rsq,standard,0.5099935037437929,10,0.02697816809484825,Model25
5,5,0.01,mae,standard,0.353228429502003,10,0.009390864932931134,Model26
5,5,0.01,rmse,standard,0.49237899323019685,10,0.013682555077674493,Model26
5,5,0.01,rsq,standard,0.5489425029220086,10,0.026563505558675187,Model26
7,5,0.01,mae,standard,0.34845913772926407,10,0.00958143622332654,Model27
7,5,0.01,rmse,standard,0.4879215787808018,10,0.014231560870226959,Model27
7,5,0.01,rsq,standard,0.5526316732035834,10,0.027578201785394375,Model27
