date,open,high,low,close,volume
1992-12-10,2.986111,4.583333,2.986111,4.305556,2422800
1992-12-11,4.305556,4.479167,4.236111,4.340278,2041920
1992-12-14,4.444444,5.208333,4.305556,5.208333,1091160
1992-12-15,5.069444,6.180556,5.069444,5.902778,913680
1992-12-16,6.180556,6.319444,5.902778,6.111111,804600
1992-12-17,6.111111,6.805556,6.111111,6.666667,859680
1992-12-18,6.527778,6.666667,6.180556,6.388889,916920
1992-12-21,6.25,6.597222,6.25,6.388889,143280
1992-12-22,6.458333,6.458333,6.215278,6.388889,545040
1992-12-23,6.388889,6.527778,6.180556,6.388889,347400
1992-12-24,6.388889,6.597222,6.319444,6.597222,150480
1992-12-28,6.388889,6.597222,6.388889,6.388889,45720
1992-12-29,6.388889,6.597222,6.180556,6.180556,331200
1992-12-30,6.180556,6.319444,5.694444,5.694444,1188720
1992-12-31,5.902778,6.180556,5.833333,6.041667,156960
1993-01-04,5.833333,5.868056,5.347222,5.555556,1275840
1993-01-05,5.555556,6.111111,5.416667,6.111111,347400
1993-01-06,6.041667,6.597222,5.972222,6.597222,378000
1993-01-07,6.666667,6.944444,6.458333,6.736111,1319040
1993-01-08,6.736111,6.875,6.666667,6.805556,1187280
1993-01-11,6.736111,6.805556,6.666667,6.666667,1124640
1993-01-12,6.805556,6.805556,6.597222,6.666667,518760
1993-01-13,6.736111,6.736111,6.527778,6.5625,445320
1993-01-14,6.458333,6.666667,6.388889,6.527778,1250640
1993-01-15,6.527778,7.013889,6.527778,6.944444,551160
1993-01-18,7.083333,7.361111,6.944444,7.361111,554400
1993-01-19,7.291667,8.263889,7.291667,8.055556,1640880
1993-01-20,7.847222,8.125,7.708333,7.777778,881280
1993-01-21,7.708333,7.847222,7.361111,7.430556,763200
1993-01-22,7.708333,8.194444,7.708333,8.125,1344240
1993-01-25,8.125,8.333333,8.125,8.333333,460080
1993-01-26,8.333333,8.333333,8.125,8.125,373320
1993-01-27,8.263889,8.263889,7.291667,7.5,885240
