date,open,high,low,close,volume
2004-09-15,22.4,22.5,21.5,21.6,1875600
2004-09-16,21.74,21.74,20.700001,21.25,228300
2004-09-17,21.5,21.68,21.23,21.459999,126000
2004-09-20,21.41,21.41,21.09,21.35,182700
2004-09-21,21.33,21.690001,21.110001,21.299999,102200
2004-09-22,21.110001,21.5,20.75,21.110001,99300
2004-09-23,20.709999,21.450001,20.709999,21.42,110800
2004-09-24,21.5,21.65,21,21,37300
2004-09-27,21.25,21.25,20.85,20.85,81700
2004-09-28,21.030001,21.469999,20.860001,21.129999,91300
2004-09-29,21.129999,21.190001,20.799999,21.190001,86500
2004-09-30,21.280001,21.379999,20.860001,21.200001,51800
2004-10-01,21.4,21.4,20.809999,21.200001,66700
2004-10-04,21.4,21.4,21,21.18,75800
2004-10-05,21.4,21.4,20.85,21.049999,111700
2004-10-06,20.99,21.25,20.93,21.110001,50200
2004-10-07,21.15,21.5,21.049999,21.35,99600
2004-10-08,21.549999,21.75,21.1,21.65,76400
2004-10-11,21.23,21.950001,21.23,21.700001,85300
2004-10-12,22,22,21.110001,21.75,57400
2004-10-13,21.549999,21.73,21.16,21.35,38600
2004-10-14,21.4,21.77,21.17,21.450001,55000
2004-10-15,21.5,21.74,21.059999,21.059999,58600
2004-10-18,21.059999,21.66,20.799999,21.1,57800
2004-10-19,21,21.5,20.809999,20.950001,59700
2004-10-20,21.1,21.41,20.799999,20.879999,44500
2004-10-21,20.9,21.4,20.9,21.25,55300
2004-10-22,21.950001,21.950001,21,21.34,61200
2004-10-25,21.34,21.4,20.9,20.93,38300
2004-10-26,20.860001,20.950001,18.959999,20.110001,286500
2004-10-27,20.030001,20.42,19.75,20.01,33500
2004-10-28,20.1,20.15,19.16,19.18,55400
2004-10-29,19.4,19.809999,19.059999,19.5,39200
2004-11-01,19.700001,19.950001,19.049999,19.1,49500
2004-11-02,19.5,19.530001,19.25,19.450001,43500
2004-11-03,19.440001,19.9,19.4,19.41,62100
2004-11-04,19.969999,20.120001,19.4,19.459999,24900
2004-11-05,19.99,20,19.5,19.65,18300
2004-11-08,19.4,19.76,19,19.200001,44600
2004-11-09,18.9,20.15,18.77,19.110001,77700
2004-11-10,19.1,19.49,17.280001,18.9,181800
2004-11-11,18.82,19.360001,18.049999,19.200001,72000
2004-11-12,19.34,19.5,19,19.5,60600
2004-11-15,19.9,19.93,19.25,19.67,52300
2004-11-16,19.799999,19.92,19.049999,19.809999,47400
2004-11-17,19.68,20.030001,18.940001,19.959999,72600
2004-11-18,19.6,19.98,19.280001,19.65,25100
2004-11-19,19.610001,20.42,19.610001,20,28800
2004-11-22,20.48,20.48,19.85,20.1,29400
2004-11-23,20.34,20.799999,20.190001,20.530001,52400
2004-11-24,21.41,21.41,20.32,20.74,42100
2004-11-26,20.99,21,20.780001,20.790001,43800
2004-11-29,20.74,21.379999,20.15,20.26,52800
2004-11-30,20.01,20.49,20.01,20.219999,30400
