date,open,high,low,close,volume
2001-11-15,29.719999,30.24,28.24,29.48,13210900
2001-11-16,29.48,29.879999,28.879999,29.559999,1316900
2001-11-19,30,30.299999,29.700001,30.299999,699700
2001-11-20,30.049999,31.6,29.6,31.6,776800
2001-11-21,31.9,31.9,30.700001,31.25,621700
2001-11-23,31.15,31.950001,30.9,31.700001,275100
2001-11-26,31.85,32.599998,30.75,30.77,502200
2001-11-27,30.5,30.700001,29.799999,30.16,343100
2001-11-28,30.1,30.9,30.049999,30.709999,154000
2001-11-29,31.9,32.200001,31.5,31.549999,634700
2001-11-30,31.5,34.650002,31.5,34.16,873900
2001-12-03,33.950001,33.959999,32.810001,33.799999,226900
2001-12-04,34,35.700001,33.599998,33.919998,359200
2001-12-05,33.75,33.799999,31.77,32.5,590400
2001-12-06,32.450001,33.900002,32.450001,33.900002,173300
2001-12-07,33.75,36.009998,33.599998,35.279999,567900
2001-12-10,35.150002,35.25,33.650002,33.849998,588300
2001-12-11,33.950001,33.950001,32.25,33.099998,263000
2001-12-12,33.25,33.25,32.099998,32.450001,184300
2001-12-13,31.799999,33.75,31.6,33.75,279500
2001-12-14,33.549999,33.549999,32.5,33.25,172100
2001-12-17,32.25,32.450001,31.799999,32.060001,242800
2001-12-18,32.049999,32.900002,32,32.080002,207200
2001-12-19,32.200001,32.650002,31.9,32.150002,267900
2001-12-20,32.099998,32.799999,31.98,32,341000
2001-12-21,32.200001,33.5,32.049999,33.25,437300
2001-12-24,33.299999,33.98,32.849998,33.689999,40900
2001-12-26,33.700001,34.299999,33.299999,34.299999,69600
2001-12-27,34.200001,34.450001,33.700001,33.990002,351700
2001-12-28,33.990002,33.990002,32.650002,33.400002,106300
2001-12-31,33.349998,33.82,33.099998,33.82,112600
2002-01-02,33.099998,33.400002,32.349998,33.18,97400
2002-01-03,33,33,32.400002,32.400002,57800
2002-01-04,31.6,32.349998,31.6,32.259998,257700
2002-01-07,32.299999,32.349998,31.91,32,69900
2002-01-08,32,32.099998,31.35,31.950001,82100
2002-01-09,32,32.5,31.950001,31.950001,52000
2002-01-10,32.049999,32.459999,32,32.25,23600
2002-01-11,32.400002,32.799999,32.27,32.470001,21500
