date,open,high,low,close,volume
2021-01-08,3,3.525,3,3.15,49213
2021-01-11,3.225,3.33,3.075,3.195,61820
2021-01-12,3.21,3.255,3.06,3.18,59113
2021-01-13,3.195,3.195,3,3.03,59120
2021-01-14,3.375,3.375,3,3.075,63533
2021-01-15,3.315,3.795,3.12,3.195,48240
2021-01-19,4.2,4.92,4.095,4.545,350407
2021-01-20,4.665,5.25,4.665,5.175,267760
2021-01-21,5.7,5.7,4.68,4.995,335807
2021-01-22,5.085,5.925,5.01,5.85,297153
2021-01-25,7.335,7.5,6.48,7.11,632627
2021-01-26,8.25,8.25,7.5,7.95,433013
2021-01-27,8.1,8.1,5.7,6.6,517940
2021-01-28,6.75,6.855,5.13,5.805,567380
2021-01-29,6.75,6.75,5.7,5.985,279073
2021-02-01,6.315,7.035,6.27,6.54,547633
2021-02-02,10.725,12.75,5.25,6.135,520840
2021-02-03,6.855,7.05,6.42,6.42,471007
2021-02-04,6.9,7.05,6.555,6.945,738987
2021-02-05,7.53,9.42,7.215,9.285,1268333
2021-02-08,10.35,13.29,10.155,11.67,2073860
2021-02-09,12.75,12.75,11.1,11.82,1525107
2021-02-10,12.75,12.75,8.685,11.7,1569120
2021-02-11,11.58,11.685,9.84,10.29,1200633
2021-02-12,9.75,9.915,9.06,9.225,904313
2021-02-16,9.9,10.35,9.675,9.945,852647
2021-02-17,10.05,10.185,9,9.165,629000
2021-02-18,9.3,9.3,8.085,8.355,663660
2021-02-19,8.7,8.7,8.235,8.445,464860
2021-02-22,8.55,8.64,8.235,8.325,699400
2021-02-23,7.95,9.72,6.6,9.3,839833
2021-02-24,10.23,10.26,8.52,8.775,732767
2021-02-25,8.4,9.3,8.4,8.925,481153
2021-02-26,9.15,9.435,8.7,9.3,374147
2021-03-01,10.35,10.95,9.75,10.905,716800
2021-03-02,10.95,11.25,9.78,9.81,794127
2021-03-03,9.9,10.125,9.3,9.42,412640
2021-03-04,8.85,9.24,8.145,8.655,666373
2021-03-05,9,9.045,7.455,8.175,582927
2021-03-08,8.595,9,8.235,8.625,311193
2021-03-09,8.7,9,8.31,8.31,292433
2021-03-10,8.49,8.49,7.965,8.28,369460
2021-03-11,8.625,9.33,8.46,8.97,585300
2021-03-12,9.045,9.645,8.7,9.39,373913
2021-03-15,9.75,10.05,9.495,9.63,432987
2021-03-16,9.9,9.9,9.045,9.225,336813
2021-03-17,9.075,9.36,8.85,9.36,273267
2021-03-18,9.36,9.6,9.135,9.165,281860
2021-03-19,9.165,9.78,9.165,9.735,258820
2021-03-22,10.35,10.5,10.05,10.35,487247
2021-03-23,10.5,10.965,10.185,10.5,323553
2021-03-24,10.8,10.95,9.9,10.065,433973
2021-03-25,9.9,9.9,9.3,9.87,321373
2021-03-26,10.05,10.32,9.9,10.065,170133
2021-03-29,10.35,10.35,9.87,9.9,164940
2021-03-30,10.2,10.2,9.6,10.005,211400
2021-03-31,10.05,10.725,10.05,10.335,305313
2021-04-01,10.74,10.95,9.96,10.035,404313
2021-04-05,10.125,10.125,9.45,9.525,283687
2021-04-06,9.51,9.555,9,9.195,229847
2021-04-07,9.15,9.405,8.43,8.64,331007
2021-04-08,8.7,9.225,8.64,9.015,185687
2021-04-09,9.105,9.105,8.475,8.865,223587
2021-04-12,8.655,8.955,8.07,8.25,304833
2021-04-13,8.25,8.25,7.65,7.89,228080
2021-04-14,7.8,8.1,7.425,7.56,269393
2021-04-15,7.5,7.95,6.915,7.02,393547
2021-04-16,7.425,7.95,7.02,7.485,203853
2021-04-19,7.725,7.905,7.05,7.545,182800
2021-04-20,7.71,7.92,7.05,7.275,152373
2021-04-21,7.275,7.5,7.035,7.335,135433
2021-04-22,7.8,7.8,7.11,7.215,106580
2021-04-23,7.11,7.575,7.11,7.455,115047
2021-04-26,7.455,7.77,7.425,7.65,139060
2021-04-27,7.8,8.22,7.56,7.935,177140
2021-04-28,8.25,8.43,7.95,8.4,152027
2021-04-29,9,9,7.8,8.175,169400
2021-04-30,8.25,8.37,7.815,8.055,76160
2021-05-03,8.55,8.55,8.055,8.07,115800
2021-05-04,8.025,8.07,7.5,7.68,175247
2021-05-05,7.695,7.95,7.59,7.83,88167
2021-05-06,8.1,8.1,7.395,7.5,144860
2021-05-07,7.5,7.785,7.275,7.5,104787
2021-05-10,7.8,7.8,7.335,7.575,131573
2021-05-11,7.32,7.575,7.17,7.455,119640
2021-05-12,7.875,8.22,7.425,7.5,381993
2021-05-13,7.06,8.457,6.91,7.929,106600
2021-05-14,8.08,9.05,7.92,8.063,284900
2021-05-17,8.5,8.834,8.248,8.834,166900
2021-05-18,8.73,9.09,8.6,8.658,250800
2021-05-19,8,8,7.31,7.5,767000
2021-05-20,7.5,7.77,7.25,7.33,299500
2021-05-21,7.47,7.68,7.343,7.673,118500
2021-05-24,7.71,8.05,7.7,7.88,140900
2021-05-25,7.84,7.84,7.47,7.725,185500
2021-05-26,7.7,7.71,7.498,7.58,204000
2021-05-27,7.68,7.72,7.5,7.658,199200
2021-05-28,8.2,8.85,8.1,8.8,730500
2021-06-01,9.89,9.95,9.35,9.45,665600
2021-06-02,9.79,9.9,8.586,9,578100
2021-06-03,8.74,9,8.31,8.79,560500
