date,open,high,low,close,volume
2013-10-02,13.5,13.5,13.5,13.5,100
2013-10-03,14,14,14,14,200
2013-10-04,14.5,16.9,14.5,16.82,1300
2013-10-07,17.65,20.219999,17.65,20.219999,1300
2013-10-08,22,47,22,45,10300
2013-10-09,47,82.300003,47,82.300003,5600
2013-10-10,84.5,84.5,40,40,3500
2013-10-11,51.099998,65.190002,19.049999,25.969999,17400
2013-10-14,24.68,24.68,16,17.99,26600
2013-10-15,16.549999,17,14,14.01,23400
2013-10-16,15.19,15.19,13.56,13.7,5800
2013-10-17,13.9,13.9,13.55,13.9,3900
2013-10-18,13.95,13.95,12.25,13,9800
2013-10-21,12.05,13.55,12.05,12.66,3600
2013-10-22,12.6,12.99,12.5,12.5,7000
2013-10-23,12.56,13.43,12.46,13.25,8000
2013-10-24,12.86,13.4,12.86,13.31,1400
2013-10-25,13,13.49,13,13.49,4700
2013-10-28,13.4,13.4,13.15,13.22,600
2013-10-29,12.82,13.39,12.82,13.39,2600
2013-10-30,13.25,13.25,12.9,13.25,2200
2013-10-31,12.86,13.24,12.6,13.24,4000
2013-11-01,13,13.2,12.95,13.2,2100
2013-11-04,13.4,13.4,12.95,13,3700
2013-11-05,13,13.1,13,13.01,4500
2013-11-06,13,13.1,13,13.05,800
2013-11-07,12.95,13.05,12.95,12.98,2700
2013-11-08,12.96,13,12.6,12.75,5800
2013-11-11,12.99,13,12.99,13,1200
2013-11-12,12.99,13,12.35,13,5300
2013-11-13,12.62,13,12.62,13,5800
2013-11-14,13.01,13.16,13.01,13.16,800
2013-11-15,13.25,13.4,12.8,13.04,1200
2013-11-18,13.05,13.05,13.05,13.05,100
2013-11-19,13.4,13.49,13.11,13.11,2200
2013-11-20,13.11,13.11,12.93,13,8700
2013-11-21,13,13,13,13,0
2013-11-22,13,13,13,13,800
2013-11-25,12.87,12.95,12.81,12.81,6000
2013-11-26,12.95,13.1,12.95,12.96,1000
2013-11-27,13.2,13.2,13.11,13.11,1100
2013-11-29,13.2,13.2,13.2,13.2,100
2013-12-02,13.2,13.26,13.2,13.26,7600
2013-12-03,13,13.18,12.93,13.04,6400
2013-12-04,12.35,13.33,12.35,13.15,2100
2013-12-05,13.41,13.5,13.41,13.5,3200
2013-12-06,13.26,13.46,13.26,13.29,1300
2013-12-09,13.33,13.5,13.33,13.48,7100
2013-12-10,13.54,13.64,13.45,13.46,4900
2013-12-11,13.4,13.45,13.3,13.45,2600
2013-12-12,13.3,13.45,13,13.45,2400
2013-12-13,13.08,13.21,13.08,13.21,500
2013-12-16,13.21,13.69,12.61,13.69,4100
2013-12-17,13.25,13.65,13.11,13.65,3200
2013-12-18,13.52,13.85,13.5,13.85,3000
2013-12-19,13.83,13.9,13.66,13.67,1700
2013-12-20,13.98,14,13.78,14,1800
2013-12-23,14.49,14.49,14.12,14.14,4300
2013-12-24,14.14,14.14,14.14,14.14,0
2013-12-26,14.1,14.1,14.1,14.1,300
2013-12-27,14.3,14.3,14.09,14.09,500
2013-12-30,14.09,14.18,14.09,14.18,1500
2013-12-31,14.2,14.31,14.05,14.07,5600
2014-01-02,14.13,14.15,13.8,13.88,4600
2014-01-03,14,14,13.8,14,2300
2014-01-06,14,14,14,14,0
2014-01-07,14.05,14.05,14.05,14.05,200
2014-01-08,14.05,14.05,14.05,14.05,0
2014-01-09,14.49,14.49,14.15,14.15,800
2014-01-10,14.15,14.15,14.15,14.15,300
2014-01-13,14.15,14.15,14.15,14.15,0
2014-01-14,14.11,14.11,13.85,14.1,2500
2014-01-15,14.1,14.1,14.1,14.1,0
2014-01-16,14.15,14.15,14.15,14.15,700
2014-01-17,14.15,14.15,14.15,14.15,0
2014-01-21,13.9,14.03,13.9,14.03,2400
2014-01-22,14.03,14.03,14.03,14.03,0
2014-01-23,14,14,14,14,1200
2014-01-24,14.01,14.02,14.01,14.02,600
2014-01-27,14,14,14,14,800
2014-01-28,13.9,14,13.9,14,2500
2014-01-29,14,14,13.9,13.9,1700
2014-01-30,13.9,13.9,13.9,13.9,0
2014-01-31,13.9,13.9,13.9,13.9,0
2014-02-03,13.4,13.96,13.4,13.6,2200
2014-02-04,14,14,14,14,200
2014-02-05,13.33,13.75,13.33,13.75,300
2014-02-06,12.83,13.57,12.83,13.39,5800
2014-02-07,13.73,13.73,13.73,13.73,100
2014-02-10,13.73,13.73,13.73,13.73,0
2014-02-11,13.75,13.75,13.75,13.75,1400
2014-02-12,13.75,13.75,13.75,13.75,0
2014-02-13,13.98,13.98,13.87,13.87,800
