date,open,high,low,close,volume
2018-01-12,23.700001,24,23.23,23.35,7513400
2018-01-16,23.4,23.75,23.049999,23.35,870200
2018-01-17,23.389999,23.549999,22.65,23.41,479500
2018-01-18,23.5,23.58,23,23.23,642600
2018-01-19,23.299999,23.690001,22.25,23.049999,1617400
2018-01-22,23.23,23.59,22.51,22.59,245200
2018-01-23,22.629999,23.23,22.452,22.799999,255500
2018-01-24,22.84,23.16,21.83,22.200001,811800
2018-01-25,22.17,22.219999,21.469999,21.950001,466900
2018-01-26,21.870001,22.43,21.799999,22.049999,563600
2018-01-29,22.1,22.98,21.700001,21.940001,270500
2018-01-30,21.75,22.549999,21.540001,22.469999,289300
2018-01-31,22.549999,22.73,21.74,22.6,320500
2018-02-01,22.530001,22.530001,21.9,22.219999,179300
2018-02-02,22.209999,22.4,21.530001,21.91,362800
2018-02-05,21.9,22.290001,21.67,21.690001,430800
2018-02-06,20.299999,22.5,17.209999,21.860001,841900
2018-02-07,21.809999,22.5,21.809999,21.950001,938200
2018-02-08,21.950001,22.4,21.629999,21.65,355300
2018-02-09,21.709999,22.09,21.26,21.299999,287900
2018-02-12,21.4,22.26,21.059999,21.139999,199300
2018-02-13,21.219999,21.25,20.67,20.99,182400
2018-02-14,20.91,21.125,20.280001,20.99,92100
2018-02-15,21.030001,21.422001,20.98,21.07,128700
2018-02-16,21.040001,21.780001,21.040001,21.59,225300
2018-02-20,21.5,21.75,21.190001,21.219999,142300
2018-02-21,21.23,21.58,20.395,20.799999,300400
2018-02-22,20.68,21.5,20.309999,20.629999,270000
2018-02-23,20.6,21.809999,20.450001,21.040001,285300
2018-02-26,21.209999,21.209999,20.139999,20.51,273500
2018-02-27,20.59,20.940001,20.389,20.440001,208400
2018-02-28,20.459999,20.75,20.049999,20.08,182900
2018-03-01,20.01,20.639999,19.870001,20.17,278700
2018-03-02,20.15,20.870001,20.094999,20.700001,176500
2018-03-05,20.629999,20.860001,20.17,20.66,122600
2018-03-06,20.66,21.110001,20.66,20.959999,129300
2018-03-07,20.870001,21.17,20.59,21.01,252000
2018-03-08,21.120001,21.450001,21.030001,21.290001,233300
2018-03-09,21.35,21.4,20.686001,21.209999,187600
2018-03-12,21.139999,21.790001,20.57,20.67,227000
2018-03-13,20.719999,21.465,20.719999,21.059999,182400
2018-03-14,21.16,21.51,20.01,20.49,244800
2018-03-15,20.639999,21.530001,20.32,20.67,183100
2018-03-16,20.549999,21.190001,20.334999,20.790001,2921100
2018-03-19,20.690001,21.16,20.26,20.85,288400
2018-03-20,20.860001,21.09,19.99,20.549999,160800
2018-03-21,20.559999,21.105,20.129999,20.860001,133500
2018-03-22,20.67,21.459999,20.43,20.709999,107500
2018-03-23,20.639999,20.99,20.450001,20.5,91200
2018-03-26,20.790001,20.82,20.43,20.77,121900
2018-03-27,20.809999,21.299999,20.370001,20.870001,94500
2018-03-28,20.870001,21.290001,20.399,20.75,132100
2018-03-29,20.76,21.299999,19.690001,20.34,255100
2018-04-02,20.32,20.5,19.889999,20.049999,132900
2018-04-03,20.129999,20.41,19.950001,20.32,160700
2018-04-04,20.25,20.4,19.785,20.299999,444200
2018-04-05,20.4,20.4,19.860001,20.23,235400
2018-04-06,20.049999,20.309999,19.98,20.030001,166100
2018-04-09,20.040001,20.99,20,20.02,61200
2018-04-10,20.18,20.280001,19.99,20.09,234300
2018-04-11,19.969999,20.1,19.950001,20.030001,101000
2018-04-12,20.049999,20.209999,19.76,20.1,145200
2018-04-13,20.07,20.370001,19.959999,20.299999,154400
2018-04-16,20.469999,20.65,20.32,20.549999,141400
2018-04-17,20.559999,21.01,20.455,20.85,176000
2018-04-18,20.889999,21.290001,20.799999,21.16,173100
2018-04-19,21.030001,21.280001,20.93,21,187500
2018-04-20,20.98,21.049999,20.66,20.780001,136600
2018-04-23,20.84,20.84,20.450001,20.6,47100
2018-04-24,20.75,21.120001,20.629999,20.84,316700
2018-04-25,20.76,20.799999,20.5,20.6,151200
2018-04-26,20.76,20.83,20.25,20.440001,400500
2018-04-27,20.24,20.795,20.24,20.530001,83700
2018-04-30,20.52,20.84,20.389999,20.52,223800
2018-05-01,20.57,20.639999,20.27,20.5,141800
2018-05-02,20.5,20.5,20.084999,20.450001,259800
2018-05-03,20.360001,20.49,20.23,20.450001,170000
2018-05-04,20.43,20.65,20.43,20.639999,162700
2018-05-07,20.6,21.4,20.549999,21.35,244100
2018-05-08,21.32,21.690001,21.32,21.57,373800
2018-05-09,21.57,21.584999,21.299999,21.549999,199800
2018-05-10,21.549999,21.860001,21.51,21.549999,116200
2018-05-11,21.59,21.76,21.24,21.35,87000
2018-05-14,21.290001,21.52,21.049999,21.1,68900
2018-05-15,21.110001,21.120001,20.42,20.530001,223800
2018-05-16,20.6,21.02,20.440001,20.969999,614700
2018-05-17,20.969999,21.089001,20.75,20.889999,286500
2018-05-18,20.85,21.02,20.719999,20.959999,94600
2018-05-21,20.940001,21.049999,20.872,20.98,119100
2018-05-22,20.969999,21.065001,20.799999,20.92,87000
2018-05-23,20.889999,21.004999,20.73,20.93,65600
2018-05-24,20.940001,21.15,20.870001,21,54100
2018-05-25,21,21.58,20.92,21.25,494400
2018-05-29,21.16,21.65,21.01,21.51,393500
2018-05-30,21.59,22.280001,21.59,22.139999,366400
2018-05-31,22.129999,22.200001,20.32,21.280001,1559500
2018-06-01,21.299999,21.700001,21.25,21.41,221300
2018-06-04,21.540001,21.66,21.25,21.299999,106500
2018-06-05,21.33,21.469999,20.915001,21.16,113900
2018-06-06,21.18,21.559999,21.08,21.450001,212300
2018-06-07,21.450001,21.58,21.120001,21.4,92100
2018-06-08,21.35,21.6,21.280001,21.4,129200
2018-06-11,21.32,21.76,21.32,21.719999,128500
2018-06-12,21.73,22.16,21.629999,21.870001,559800
2018-06-13,21.809999,22.5,21.809999,21.950001,204700
2018-06-14,21.99,22.24,21.75,21.99,126200
2018-06-15,22,22.42,21.889999,22.16,445100
2018-06-18,22.049999,22.52,21.67,22.469999,108500
2018-06-19,22.33,22.67,22.32,22.4,71700
2018-06-20,22.450001,22.73,22.084999,22.620001,139100
2018-06-21,22.620001,22.790001,22.360001,22.68,92800
2018-06-22,21.690001,22.59,21.690001,22.57,513200
2018-06-25,22.379999,22.809999,22.299999,22.34,67200
2018-06-26,22.290001,22.620001,22.190001,22.389999,65200
2018-06-27,22.360001,22.485001,22.200001,22.35,93000
2018-06-28,22.42,22.440001,22.030001,22.280001,206100
2018-06-29,22.209999,22.440001,21.76,22.35,126600
2018-07-02,22.290001,22.549999,22.18,22.540001,55700
2018-07-03,22.540001,22.65,22.395,22.51,89700
2018-07-05,22.559999,22.655001,22.35,22.52,73400
2018-07-06,22.59,22.780001,22.459999,22.620001,52500
2018-07-09,22.65,22.719999,22.26,22.360001,79600
2018-07-10,22.360001,22.74,22.360001,22.709999,89900
2018-07-11,22.790001,22.99,22.48,22.83,208600
