date,open,high,low,close,volume
2019-11-15,11.08,11.2,10.8,10.95,755200
2019-11-18,10.98,11.09,10.77,10.93,810100
2019-11-19,10.95,10.98,10.852,10.91,532900
2019-11-20,10.92,10.99,10.85,10.91,672000
2019-11-21,10.92,10.96,10.86,10.91,1046400
2019-11-22,10.96,11.01,10.93,10.99,1267900
2019-11-25,11.35,11.35,11.05,11.14,695500
2019-11-26,11.2,11.2,11.02,11.1,1039200
2019-11-27,11.12,11.16,11.05,11.13,555900
2019-11-29,11.18,11.18,11.08,11.16,194900
2019-12-02,11.3,11.36,11.21,11.35,2356800
2019-12-03,11.31,11.39,11.28,11.39,920300
2019-12-04,11.4,11.55,11.38,11.46,1265800
2019-12-05,11.53,11.75,11.53,11.75,1718500
2019-12-06,11.85,12.05,11.83,12.05,2369700
2019-12-09,12.18,12.45,12.13,12.45,2271200
2019-12-10,12.6,12.75,12.08,12.09,2739900
2019-12-11,12.1,12.325,11.82,11.87,2300200
2019-12-12,11.95,12.15,11.85,11.87,1439900
2019-12-13,11.84,12.05,11.84,11.96,1066800
2019-12-16,12.05,12.077,11.58,11.66,3997200
2019-12-17,11.66,12.05,11.66,12.05,3004900
2019-12-18,12.06,12.11,11.97,12.11,2677900
2019-12-19,12.1,12.38,12.07,12.35,2607000
2019-12-20,12.38,12.45,12.22,12.44,2577000
2019-12-23,12.45,12.5,12.4,12.47,930100
2019-12-24,12.48,12.56,12.47,12.52,440400
2019-12-26,12.49,12.65,12.49,12.65,643400
2019-12-27,12.64,12.74,12.62,12.69,443400
2019-12-30,12.65,12.74,12.53,12.7,693300
2019-12-31,12.73,12.75,12.58,12.75,679900
2020-01-02,12.74,12.75,12.57,12.63,517200
2020-01-03,12.57,12.64,12.45,12.6,1209900
2020-01-06,12.61,12.67,12.54,12.66,907600
2020-01-07,12.7,12.74,12.62,12.69,990100
2020-01-08,12.65,12.7,12.625,12.65,668800
2020-01-09,12.69,12.75,12.6,12.66,621500
2020-01-10,12.49,12.5,11.9,12.36,1546300
2020-01-13,12.34,12.34,12.09,12.2,1211200
2020-01-14,12.16,12.31,12.1,12.18,822300
2020-01-15,12.25,12.31,12.08,12.12,582900
2020-01-16,12.15,12.25,12.1,12.14,503000
2020-01-17,12.15,12.25,12.15,12.24,680400
2020-01-21,12.25,12.505,12.249,12.47,810500
2020-01-22,12.51,12.65,12.51,12.59,553400
2020-01-23,12.65,12.7,12.54,12.68,720600
2020-01-24,12.68,12.74,12.65,12.71,683300
2020-01-27,12.7,12.71,12.45,12.7,767100
2020-01-28,12.7,12.75,12.64,12.73,865300
2020-01-29,12.75,12.81,12.7,12.74,646300
2020-01-30,12.64,12.71,12.58,12.71,513300
2020-01-31,12.65,12.65,12.51,12.56,657600
2020-02-03,12.59,12.68,12.47,12.5,831100
2020-02-04,12.5,12.55,12.47,12.5,1428700
2020-02-05,12.5,12.62,12.44,12.56,773700
2020-02-06,12.58,12.58,12.46,12.46,1033800
2020-02-07,12.46,12.59,12.44,12.53,549400
2020-02-10,12.55,12.66,12.515,12.55,560200
2020-02-11,12.62,12.65,12.55,12.58,424400
2020-02-12,12.58,12.68,12.57,12.63,630100
2020-02-13,12.63,12.71,12.55,12.71,724100
2020-02-14,12.71,12.73,12.64,12.69,316700
2020-02-18,12.69,12.75,12.69,12.69,485600
2020-02-19,12.69,12.75,12.59,12.65,606300
2020-02-20,12.61,12.75,12.59,12.7,521800
2020-02-21,12.71,12.74,12.65,12.73,402400
2020-02-24,12.7,12.72,12.56,12.59,676600
2020-02-25,12.61,12.63,12.18,12.3,847100
2020-02-26,12.32,12.49,12.19,12.23,636100
2020-02-27,12.1,12.1,11.22,11.72,1824700
2020-02-28,11.29,11.49,10.96,11.3,1310000
2020-03-02,11.37,11.46,10.954,11.21,1552800
2020-03-03,11.32,11.66,11.01,11.11,1126000
2020-03-04,11.24,11.3,10.82,11.2,1024900
2020-03-05,11.07,11.17,10.95,10.97,699100
2020-03-06,10.76,10.91,10.57,10.83,1358000
2020-03-09,9.77,9.88,8.91,9.14,1590500
2020-03-10,9.56,9.57,8.9,9.36,1184200
2020-03-11,9.35,9.45,8.62,8.69,1694200
2020-03-12,8.3,8.3,6.98,7.28,1898800
2020-03-13,8.9,9,7.725,8.5,1824300
2020-03-16,7.75,8,7.21,7.41,1424400
2020-03-17,7.46,7.79,7.25,7.56,1208000
2020-03-18,7.45,7.5,6.02,6.25,2299600
2020-03-19,6.14,7.64,6.14,7.29,2129700
2020-03-20,7.57,7.635,6.61,6.67,2930800
2020-03-23,6,6.368,5.44,5.82,2983300
2020-03-24,8.16,8.5,6.1,6.41,2471300
2020-03-25,6.7,7.87,6.41,7.71,2077600
2020-03-26,7.71,8.23,7.54,7.72,1262800
2020-03-27,7.75,8,7.432,7.77,828900
2020-03-30,7.75,7.77,7.05,7.18,789400
2020-03-31,7.07,7.94,7,7.52,1115300
2020-04-01,7.11,7.44,7.095,7.38,667900
2020-04-02,7.45,7.69,7.18,7.27,540200
2020-04-03,7.2,7.21,6.65,6.71,1344100
2020-04-06,7.07,7.395,6.93,7,853000
2020-04-07,7.47,7.7,6.79,7,1077200
2020-04-08,7.23,7.52,7.12,7.5,652100
2020-04-09,7.84,7.95,7.62,7.85,842500
2020-04-13,7.95,7.95,7.25,7.61,963300
2020-04-14,7.59,7.74,7.16,7.25,693800
2020-04-15,7,7.25,6.96,7.14,546300
2020-04-16,7.15,7.31,7.02,7.23,544500
2020-04-17,7.4,7.84,7.3,7.57,866100
2020-04-20,7.26,7.64,7.26,7.49,467500
2020-04-21,7.47,7.64,7.31,7.49,451700
2020-04-22,7.6,7.74,7.41,7.69,598900
2020-04-23,7.64,8.02,7.38,7.88,884400
2020-04-24,7.9,8,7.77,7.9,735400
2020-04-27,7.77,8,7.75,7.97,587300
2020-04-28,8,8.245,7.9,7.93,929100
2020-04-29,8.05,8.26,8.05,8.12,942500
2020-04-30,7.91,8.66,7.84,8.19,815900
2020-05-01,8.17,8.185,7.77,8.04,522500
2020-05-04,7.98,8.3,7.82,8.22,775400
2020-05-05,8.25,8.54,8.21,8.21,472700
2020-05-06,8.29,8.41,7.92,7.94,394500
2020-05-07,8.03,8.21,7.92,7.94,354800
2020-05-08,8.03,8.53,8.03,8.3,858300
2020-05-11,8.3,8.38,7.92,8.15,620200
2020-05-12,8.15,8.25,7.85,7.93,858200
2020-05-13,7.83,7.98,7.66,7.69,981300
2020-05-14,7.59,7.65,7.11,7.37,753900
2020-05-15,7.42,7.509,7.17,7.3,746700
2020-05-18,7.54,7.69,7.495,7.52,1012000
2020-05-19,7.51,7.77,7.44,7.7,956200
2020-05-20,7.83,8.07,7.65,7.69,862000
2020-05-21,7.7,7.9,7.7,7.83,395900
2020-05-22,7.87,7.9,7.66,7.87,295500
2020-05-26,8.01,8.23,8,8.03,441100
2020-05-27,8.22,8.56,8.16,8.53,660200
2020-05-28,8.5,8.66,8.45,8.61,690600
2020-05-29,8.51,8.86,8.46,8.74,1894000
2020-06-01,8.75,9.2,8.66,9.02,998500
2020-06-02,9.07,9.45,8.96,9.2,742400
2020-06-03,9.35,9.93,9.28,9.75,775500
2020-06-04,9.38,9.96,9.271,9.9,891800
2020-06-05,10,10.19,9.54,9.57,1064600
2020-06-08,9.79,10.1,9.73,9.87,1271200
2020-06-09,9.8,9.93,9.45,9.89,709500
2020-06-10,9.84,9.93,9.55,9.82,899900
2020-06-11,9.5,9.59,8.99,9.08,840300
2020-06-12,9.43,9.8,9.36,9.65,1095400
2020-06-15,9.56,9.81,9.39,9.64,1415300
2020-06-16,9.89,9.96,9.7,9.86,1367100
2020-06-17,9.85,10,9.76,9.89,901900
2020-06-18,9.79,10.28,9.78,10.2,2027800
2020-06-19,10.2,10.74,10.18,10.53,11336000
2020-06-22,10.34,10.4,10.07,10.11,1370400
