date,open,high,low,close,volume
2013-05-01,19,19.450001,19,19.219999,5613900
2013-05-02,19.209999,19.540001,19.15,19.49,986100
2013-05-03,19.5,19.629999,19.26,19.58,156600
2013-05-06,19.5,19.52,19.219999,19.469999,93500
2013-05-07,19.4,19.48,19.299999,19.48,103800
2013-05-08,19.48,19.549999,19.32,19.549999,112800
2013-05-09,19.5,19.540001,19.23,19.540001,128700
2013-05-10,19.450001,19.52,19.299999,19.52,60600
2013-05-13,19.48,19.48,19.34,19.389999,49300
2013-05-14,19.360001,19.389999,19.299999,19.379999,70900
2013-05-15,19.280001,19.290001,19.23,19.25,94900
2013-05-16,19.280001,19.290001,19.16,19.26,108600
2013-05-17,19.25,19.459999,19.25,19.379999,134700
2013-05-20,19.299999,19.459999,19.299999,19.42,122400
2013-05-21,19.4,19.59,19.16,19.58,95600
2013-05-22,19.5,19.51,19.290001,19.5,156100
2013-05-23,19.450001,19.84,19.25,19.790001,236000
2013-05-24,19.75,19.85,19.41,19.85,106700
2013-05-28,19.85,19.85,19.059999,19.440001,360400
2013-05-29,19.4,19.4,18.33,19.23,326600
2013-05-30,19.1,19.540001,19,19.5,207500
2013-05-31,19.5,19.5,18.83,19.4,141300
2013-06-03,19.299999,19.299999,18.129999,18.26,135000
2013-06-04,18.030001,18.540001,18.030001,18.450001,41100
2013-06-05,18.35,18.389999,18.110001,18.26,34900
2013-06-06,18.15,18.559999,18.120001,18.360001,74400
2013-06-07,18.440001,18.559999,18.16,18.35,68300
2013-06-10,18.469999,18.719999,18.26,18.450001,33600
2013-06-11,18.34,18.49,17.25,17.99,214100
2013-06-12,17.91,17.92,17.190001,17.41,57200
2013-06-13,17.530001,18.1,17.219999,18.09,119700
2013-06-14,18.110001,18.389999,17.84,18.120001,68100
2013-06-17,18.23,18.299999,17.950001,17.969999,43800
2013-06-18,17.93,18.049999,17.620001,17.889999,55300
2013-06-19,17.82,17.91,17.01,17.02,61700
2013-06-20,17,17.219999,16.809999,17.030001,78000
2013-06-21,17.08,17.120001,16.639999,16.889999,121800
2013-06-24,16.9,17.15,16.5,17.15,113500
2013-06-25,17.299999,17.299999,17.02,17.200001,37100
2013-06-26,17.059999,17.59,17.049999,17.58,45700
2013-06-27,17.49,17.709999,17.01,17.309999,121900
2013-06-28,17.25,17.99,17.110001,17.85,558300
2013-07-01,17.9,17.98,17.1,17.23,105800
2013-07-02,17.280001,17.280001,16.559999,16.690001,196100
2013-07-03,16.6,16.889999,16.51,16.82,25600
2013-07-05,16.959999,16.959999,15.14,15.34,163500
2013-07-08,15.43,15.6,15.17,15.21,59000
2013-07-09,15.28,15.59,15.25,15.43,143300
2013-07-10,15.46,15.55,15,15.28,58600
2013-07-11,15.48,15.93,15.43,15.76,75300
2013-07-12,15.74,16.030001,15.47,15.52,44100
2013-07-15,15.56,15.82,15.5,15.64,52300
2013-07-16,15.62,15.65,15.42,15.42,59200
2013-07-17,15.55,15.88,15.46,15.74,66800
2013-07-18,15.8,15.8,15.49,15.49,55800
2013-07-19,15.44,15.63,15.4,15.5,38200
2013-07-22,15.5,15.6,15.18,15.49,43000
2013-07-23,15.35,15.84,15.35,15.71,55100
2013-07-24,15.76,15.76,15.32,15.4,88100
2013-07-25,15.41,15.5,15.35,15.41,36500
2013-07-26,15.34,15.46,15.3,15.35,29100
2013-07-29,15.41,15.77,15.36,15.67,48400
2013-07-30,15.72,15.88,15.66,15.76,31200
2013-07-31,15.71,15.79,15.41,15.52,34600
2013-08-01,15.61,15.61,14.76,14.79,110200
2013-08-02,14.86,15.31,14.76,14.94,88100
2013-08-05,14.84,15.14,14.84,15.1,49100
2013-08-06,15.1,15.13,14.9,15,43100
2013-08-07,15,15,14.76,14.82,13200
2013-08-08,14.87,15.05,14.78,14.84,33200
2013-08-09,14.79,15.05,14.79,14.89,49900
2013-08-12,14.85,15.9,14.82,15.81,70600
2013-08-13,15.84,16.33,15.84,16.08,134300
2013-08-14,15.93,15.93,15.6,15.75,70900
2013-08-15,16,16.139999,14.95,15.04,134100
2013-08-16,15,15.39,14.94,15.33,83800
2013-08-19,15.39,15.39,14.6,14.63,83100
2013-08-20,14.72,15.1,14.6,14.8,78500
2013-08-21,14.7,14.79,14.19,14.23,80400
2013-08-22,14.29,14.38,13.89,14.29,62000
2013-08-23,14.25,14.55,14.24,14.51,15700
2013-08-26,14.51,14.91,14.51,14.79,21700
2013-08-27,14.68,14.83,14.44,14.73,27900
2013-08-28,14.69,15.11,14.68,14.85,36300
2013-08-29,14.8,15.12,14.78,15.08,23900
2013-08-30,15.13,15.49,15.07,15.14,34300
2013-09-03,15.27,15.27,14.77,14.85,22800
2013-09-04,14.85,14.96,14.46,14.63,22100
2013-09-05,14.69,14.73,14.5,14.59,46000
2013-09-06,14.67,14.78,14.36,14.66,44900
2013-09-09,14.7,14.9,14.51,14.85,20200
2013-09-10,14.93,14.94,14.65,14.88,21800
2013-09-11,14.79,14.94,14.65,14.9,40000
2013-09-12,14.82,15.15,14.68,15.12,28000
2013-09-13,15.09,15.45,14.8,15.34,53800
2013-09-16,15.5,15.52,15.19,15.46,49900
2013-09-17,15.77,15.77,15.46,15.7,36100
2013-09-18,15.97,16.200001,15.64,15.76,120900
2013-09-19,15.73,15.94,15.73,15.9,54900
2013-09-20,15.92,15.95,15.61,15.81,90300
2013-09-23,15.87,15.98,15.65,15.74,54900
2013-09-24,15.67,15.98,15.62,15.96,75100
2013-09-25,15.55,15.66,15.4,15.49,44300
2013-09-26,15.44,15.67,15.25,15.67,25900
2013-09-27,15.58,15.8,15.38,15.56,25900
2013-09-30,15.26,15.4,15.26,15.37,17000
2013-10-01,15.39,15.6,15.39,15.52,24300
2013-10-02,15.42,15.51,15.3,15.34,19000
2013-10-03,15.3,15.45,14.92,15.27,92000
2013-10-04,15.23,15.5,15.1,15.42,20200
2013-10-07,15.36,15.75,15.36,15.68,13100
2013-10-08,15.74,15.74,15.31,15.61,27800
2013-10-09,15.4,15.45,15.06,15.21,82300
2013-10-10,15.31,15.4,15.14,15.32,45100
2013-10-11,15.25,15.64,15.24,15.64,20000
2013-10-14,15.6,15.6,15.34,15.43,17200
2013-10-15,15.37,15.52,15.3,15.32,12600
2013-10-16,15.3,15.57,15.21,15.32,15400
2013-10-17,15.46,15.55,15.17,15.49,51400
2013-10-18,15.63,15.74,15.33,15.64,63500
2013-10-21,15.56,15.64,15.51,15.55,23200
2013-10-22,15.56,15.88,15.56,15.8,40000
2013-10-23,15.76,16.16,15.76,15.95,39700
2013-10-24,16.02,16.129999,15.9,16.1,21400
2013-10-25,16.16,16.59,16.030001,16.52,66200
2013-10-28,16.43,16.43,16.1,16.389999,30000
2013-10-29,16.25,16.4,15.84,16,34900
2013-10-30,16.049999,16.209999,15.6,15.66,29300
2013-10-31,15.71,16.190001,15.62,15.62,19700
2013-11-01,15.53,15.62,15.13,15.45,51100
2013-11-04,15.4,15.4,15.17,15.18,44900
2013-11-05,15.19,15.3,15.1,15.15,15000
2013-11-06,15.16,15.33,14.95,15.01,43700
2013-11-07,14.96,14.96,14.81,14.81,48200
2013-11-08,14.78,14.82,14.56,14.63,77700
2013-11-11,14.6,14.63,14.5,14.53,60900
2013-11-12,14.5,14.55,14.26,14.35,165100
2013-11-13,15.5,16.27,15.25,15.6,214400
2013-11-14,15.65,16.24,15.65,16.18,104400
2013-11-15,16.15,16.530001,15.96,15.99,92300
2013-11-18,16.139999,16.4,15.95,15.96,41400
2013-11-19,15.91,16.360001,15.91,16.18,77200
2013-11-20,16.07,16.35,15.85,15.93,89100
2013-11-21,15.93,16.139999,15.93,15.98,46900
2013-11-22,15.94,16.02,15.76,15.85,85000
2013-11-25,15.81,16.059999,15.81,15.85,43100
2013-11-26,15.91,15.93,15.74,15.75,81000
2013-11-27,15.8,16.09,15.72,15.98,55400
2013-11-29,16.200001,16.27,16.09,16.23,30100
2013-12-02,16.190001,16.190001,15.8,15.89,83300
2013-12-03,15.83,15.88,15.5,15.6,118000
2013-12-04,15.52,15.66,15.3,15.54,74800
2013-12-05,15.5,15.72,15.44,15.6,65100
2013-12-06,15.66,15.83,15.66,15.73,47000
2013-12-09,15.73,15.91,15.65,15.79,47900
2013-12-10,15.84,16.07,15.68,15.7,108400
2013-12-11,15.84,15.93,15.51,15.52,70600
2013-12-12,15.6,15.61,15.4,15.42,110100
2013-12-13,15.53,15.57,15.41,15.45,115100
2013-12-16,15.43,15.56,15.42,15.51,118700
2013-12-17,15.54,16.16,15.54,15.74,84500
2013-12-18,15.76,15.97,15.62,15.94,73300
2013-12-19,15.86,15.98,15.81,15.87,61400
2013-12-20,15.89,16.280001,15.87,16.25,395200
2013-12-23,16.25,16.5,16.17,16.379999,130100
2013-12-24,16.48,16.48,16.25,16.25,48300
2013-12-26,16.370001,16.379999,16.190001,16.32,81600
2013-12-27,15.9,15.9,15.41,15.51,89900
2013-12-30,15.6,15.66,15.4,15.48,140900
2013-12-31,15.55,15.55,15.3,15.38,96800
2014-01-02,15.37,15.42,15.29,15.34,57000
2014-01-03,15.31,15.52,15.31,15.48,43600
2014-01-06,15.56,15.56,15.42,15.48,75300
2014-01-07,15.48,15.71,15.42,15.52,50500
2014-01-08,15.53,15.6,15.45,15.58,66300
2014-01-09,15.66,15.69,15.51,15.69,72400
2014-01-10,15.82,15.85,15.7,15.78,57400
2014-01-13,15.79,15.96,15.69,15.9,80200
2014-01-14,15.87,15.9,15.78,15.79,37900
2014-01-15,15.79,15.87,15.64,15.75,40300
2014-01-16,15.81,15.81,15.62,15.75,39000
2014-01-17,15.78,15.78,15.58,15.69,46200
