date,open,high,low,close,volume
2017-05-05,21,22.690001,20.5,22.129999,2033300
2017-05-08,22.1,22.25,22,22.110001,249400
2017-05-09,22.01,22.15,21.85,21.91,114300
2017-05-10,21.85,22.02,21.51,21.809999,45300
2017-05-11,21.809999,22.799999,21.65,22,627200
2017-05-12,22.049999,22.275,21.83,22,65900
2017-05-15,22.09,22.440001,21.893,21.950001,58100
2017-05-16,21.950001,22.719999,21.91,22.389999,109300
2017-05-17,22.000999,22.68,21.99,22.389999,59600
2017-05-18,22.26,22.73,22.250999,22.51,44500
2017-05-19,22.360001,23.18,22.299999,22.360001,64400
2017-05-22,22.450001,22.620001,22.339001,22.540001,47200
2017-05-23,22.540001,22.705,22.5,22.540001,33700
2017-05-24,23.99,23.99,22.334999,22.58,45600
2017-05-25,22.719999,22.969999,22.549,22.700001,76900
2017-05-26,22.99,22.99,22.690001,22.799999,45100
2017-05-30,22.799999,22.889999,22.299999,22.4,100800
2017-05-31,22.309999,22.459999,21.940001,22.110001,137700
2017-06-01,22.049999,22.74,22.049999,22.57,58000
2017-06-02,22.620001,22.99,22.469999,22.940001,86000
2017-06-05,22.879999,23.73,22.559999,22.59,102900
2017-06-06,22.309999,22.65,21.6,22.01,124400
2017-06-07,22.02,22.5,21.75,21.879999,143400
2017-06-08,21.719999,22.25,21.645,21.92,70000
2017-06-09,21.99,22.455,21.709999,21.76,65700
2017-06-12,21.709999,22.18,21.709999,21.969999,142400
2017-06-13,21.93,21.93,21.23,21.700001,149800
2017-06-14,21.559999,21.799999,21.26,21.469999,69200
2017-06-15,21.368999,21.65,21.299999,21.610001,36200
2017-06-16,21.559999,21.84,21.1,21.23,406700
2017-06-19,21.23,21.43,21.084999,21.23,68700
2017-06-20,21.129999,21.25,21,21.25,69400
2017-06-21,21.23,21.610001,21.01,21.200001,64100
2017-06-22,21.190001,21.25,20.98,21.07,56500
2017-06-23,21.049999,22.049999,21,21.360001,1148300
2017-06-26,21.309999,22.299999,21.23,21.24,74200
2017-06-27,21.4,21.6,21.059999,21.360001,49800
2017-06-28,21.209999,21.959999,21.18,21.77,46500
2017-06-29,21.809999,22.129999,21.24,21.379999,54700
2017-06-30,21.25,21.66,21.02,21.5,35000
2017-07-03,21.41,22.15,21.41,21.629999,43300
2017-07-05,21.51,22,21.014999,21.16,53500
2017-07-06,21.040001,21.43,20.9,21.25,38000
2017-07-07,21.200001,21.559999,20.879999,21.389999,15600
2017-07-10,21.379999,22.049999,21.370001,21.68,47300
2017-07-11,21.68,21.870001,21.320999,21.59,40400
2017-07-12,21.65,21.950001,21.24,21.24,77700
2017-07-13,21.290001,21.469999,21,21.190001,178400
2017-07-14,21.15,21.35,21.120001,21.190001,20600
2017-07-17,21.219999,21.219999,21.02,21.059999,17300
2017-07-18,21.02,21.09,20.431999,20.959999,105100
2017-07-19,20.841999,21.18,20.799999,21.059999,32200
2017-07-20,21.01,21.1,20.885,20.99,42700
2017-07-21,21.16,21.219999,20.870001,20.950001,22500
2017-07-24,20.950001,21.1,20.629999,20.84,33600
2017-07-25,20.969999,21.200001,20.76,20.879999,47800
2017-07-26,20.940001,20.99,20.83,20.860001,23500
2017-07-27,20.82,20.870001,20.495001,20.76,18000
2017-07-28,20.389999,20.719999,20.1,20.42,74100
2017-07-31,20.73,20.73,20.27,20.5,58400
2017-08-01,20.49,20.82,20.49,20.77,27500
2017-08-02,20.66,20.66,20.24,20.5,38900
2017-08-03,20.17,20.66,20.17,20.5,46900
2017-08-04,20.4,20.639999,20.32,20.48,35900
2017-08-07,20.51,20.554001,20.200001,20.24,53400
2017-08-08,20.27,20.5,20.120001,20.26,85700
2017-08-09,20.190001,20.190001,19.671,19.959999,71300
2017-08-10,19.82,19.93,19.57,19.790001,63200
2017-08-11,19.85,20,19.809999,19.84,43100
2017-08-14,19.780001,20.356001,19.780001,20.139999,44600
2017-08-15,20.09,20.305,20.02,20.129999,14500
2017-08-16,20.25,20.459999,20,20.190001,338800
2017-08-17,20.110001,20.52,20.110001,20.139999,28900
2017-08-18,20,20.23,19.85,20.15,36500
2017-08-21,20.129999,20.34,20.07,20.209999,13700
2017-08-22,20.391001,20.391001,20.049999,20.17,12900
2017-08-23,20.08,20.450001,20.040001,20.24,24900
2017-08-24,20.290001,20.42,20.190001,20.280001,19900
2017-08-25,20.440001,20.440001,20.27,20.4,20900
2017-08-28,20.4,20.540001,20.4,20.48,26500
2017-08-29,20.5,20.700001,20.4,20.43,19700
2017-08-30,20.43,20.469999,20.34,20.41,23200
2017-08-31,20.51,20.870001,20.51,20.77,26100
2017-09-01,20.860001,21.309999,20.790001,21.209999,50200
2017-09-05,21.16,21.209999,20.76,20.860001,58600
2017-09-06,20.950001,21.16,20.84,20.860001,56600
2017-09-07,20.879999,21.139999,20.780001,20.85,27200
2017-09-08,20.9,21.129999,20.85,20.879999,28900
2017-09-11,21.02,21.4,20.66,21.299999,34700
2017-09-12,21.32,21.620001,21.049999,21.290001,50900
2017-09-13,21.219999,21.49,21.16,21.290001,61500
2017-09-14,21.24,21.35,21.23,21.309999,41700
2017-09-15,21.370001,21.389999,21.110001,21.299999,360200
2017-09-18,21.34,21.370001,21.16,21.24,20400
2017-09-19,21.25,21.450001,21.209999,21.33,22000
2017-09-20,21.219999,21.375,21.120001,21.309999,25000
2017-09-21,21.51,21.82,21.030001,21.299999,31400
2017-09-22,21.370001,21.540001,21.200001,21.33,18500
2017-09-25,21.52,21.549999,21.155001,21.27,30800
2017-09-26,21.379999,21.379999,21.129999,21.17,22000
2017-09-27,21.24,21.34,21.23,21.290001,44400
2017-09-28,20.92,21.110001,20.799999,20.99,26400
2017-09-29,20.870001,21.32,20.870001,21.040001,22600
2017-10-02,21.1,21.5,20.969999,21.440001,42800
2017-10-03,21.530001,21.530001,21.200001,21.379999,15400
2017-10-04,21.25,21.4,21.040001,21.23,13700
2017-10-05,21.290001,21.530001,21.280001,21.35,18100
2017-10-06,21.23,21.33,21.09,21.280001,13100
2017-10-09,21.344999,21.41,21.27,21.33,7100
2017-10-10,21.299999,21.440001,21.25,21.309999,19300
2017-10-11,21.299999,21.459999,21.299999,21.379999,17300
2017-10-12,21.32,21.43,21.32,21.360001,9600
2017-10-13,21.35,21.486,21.35,21.41,9800
2017-10-16,21.48,21.629999,21.299999,21.35,49800
2017-10-17,21.469999,21.549999,21.299999,21.379999,13000
2017-10-18,21.41,21.41,21.24,21.24,11300
2017-10-19,21.1,21.25,21.049999,21.08,15200
2017-10-20,21.16,21.254999,21.09,21.16,14800
2017-10-23,21.049999,21.07,20.389999,20.540001,38800
2017-10-24,20.530001,20.775,20.360001,20.540001,124300
2017-10-25,20.645,20.77,20.26,20.280001,31300
2017-10-26,20.41,20.5,20.24,20.34,14300
2017-10-27,20.34,20.469999,20.139999,20.34,27300
2017-10-30,20.290001,20.440001,20.1,20.26,46900
2017-10-31,20.290001,20.41,20.16,20.219999,37200
2017-11-01,20.34,20.48,20.25,20.35,23400
2017-11-02,20.299999,20.5,20.115,20.360001,24600
2017-11-03,20.18,20.645,20.15,20.360001,15000
2017-11-06,20.450001,20.51,20.219999,20.25,13800
2017-11-07,20.280001,20.280001,20.01,20.120001,28300
2017-11-08,20,20.02,19.795,19.889999,60800
2017-11-09,19.75,19.98,19.68,19.879999,18500
2017-11-10,20,20.110001,19.91,19.92,23300
2017-11-13,19.9,20.014999,19.799999,19.950001,26900
2017-11-14,19.98,20.209999,19.83,19.950001,35900
2017-11-15,19.809999,20.4,19.809999,20.07,54000
2017-11-16,20.17,20.43,20.110001,20.120001,46000
2017-11-17,20.049999,20.299999,20.049999,20.27,32800
2017-11-20,20.280001,20.5,20.200001,20.389999,25800
2017-11-21,20.48,20.49,20.16,20.48,56800
2017-11-22,20.5,20.75,20.370001,20.709999,32400
2017-11-24,20.75,20.82,20.549999,20.74,11800
2017-11-27,20.719999,20.719999,20.450001,20.469999,21100
2017-11-28,20.559999,20.67,20.43,20.639999,69600
2017-11-29,20.66,20.885,20.41,20.540001,102700
2017-11-30,20.66,20.84,20.450001,20.5,121300
2017-12-01,20.379999,20.525,20.09,20.48,41600
2017-12-04,20.66,21.299999,20.360001,21,176500
2017-12-05,21.059999,21.27,20.950001,20.950001,90500
2017-12-06,20.92,21.059999,20.700001,20.92,68700
2017-12-07,20.889999,21.129999,20.889999,20.959999,74700
2017-12-08,21.059999,21.075001,20.860001,20.99,45100
