date,open,high,low,close,volume
2004-07-26,89.800003,90,89,89.599998,1040
2004-07-27,89.199997,89.199997,88.5,88.699997,950
2004-07-28,88.5,88.699997,88.300003,88.599998,1230
2004-07-29,88.400002,89,88,88.5,1350
2004-07-30,87.5,87.599998,87,87.400002,8080
2004-08-02,87.5,87.699997,86.5,87.5,1410
2004-08-03,87.699997,88,87.400002,87.800003,11470
2004-08-04,88,89.300003,88,89.300003,1190
2004-08-05,89.400002,89.800003,88.800003,88.800003,2250
2004-08-06,89,89.400002,88.800003,88.800003,2820
2004-08-09,88.800003,88.800003,86.5,87.800003,910
2004-08-10,87,87.800003,86.5,87.699997,540
2004-08-11,87.5,88.5,87,87,1420
2004-08-12,87.5,87.5,86.5,86.5,1430
2004-08-13,86.5,87.5,86.5,86.5,1410
2004-08-16,87,87,86.5,86.800003,1010
2004-08-17,87,87,86,86,550
2004-08-18,86.5,86.5,85.5,85.5,3860
2004-08-19,85.5,86.5,85.5,86.400002,1270
2004-08-20,86.5,87,86,87,3060
2004-08-23,86.5,88,86.5,88,2450
2004-08-24,88.199997,89.5,88.199997,89,1140
2004-08-25,89.5,89.5,89,89.199997,7040
2004-08-26,89,89.400002,89,89,2250
2004-08-27,89,90.5,89,89.300003,5420
2004-08-30,89.5,90,89.300003,89.400002,16110
2004-08-31,89.5,91,89.5,90.800003,8780
2004-09-01,91,92.300003,91,92.099998,34210
2004-09-02,92,93,91.5,91.5,4450
2004-09-03,92,93.5,92,93.5,14120
2004-09-07,94,96.5,94,96,12840
2004-09-08,96,97,96,96.400002,26980
2004-09-09,96.300003,96.5,94.5,95,6250
2004-09-10,95,96.5,95,95.5,9700
2004-09-13,95.300003,95.800003,95,95.5,13470
2004-09-14,95,96,94.5,96,1970
2004-09-15,96,96.5,95.300003,95.800003,13190
2004-09-16,96.5,99,96.5,97.5,20170
2004-09-17,98,98,97,97.5,8760
2004-09-20,97.300003,97.300003,96.5,96.5,3110
2004-09-21,96.300003,96.300003,95.400002,95.5,1720
2004-09-22,95.300003,95.300003,93.5,94.5,4350
2004-09-23,94.5,95,94,94,4730
2004-09-24,94,94.300003,93.599998,94,1500
2004-09-27,94,94.400002,93.900002,94.400002,1520
2004-09-28,94,94.5,93.800003,94.400002,1240
2004-09-29,94,94,92.5,93,1560
2004-09-30,93,93.5,92.900002,93.5,5470
2004-10-01,93.5,97.699997,93.199997,96.599998,9310
2004-10-04,95,97.5,95,95.5,31390
2004-10-05,95.099998,95.099998,94.5,94.900002,3150
2004-10-06,94.800003,96.300003,94.599998,94.900002,5060
2004-10-07,95,95,94.5,94.800003,1470
2004-10-08,95,95.5,94.5,94.5,3570
2004-10-11,95,95,94.5,94.599998,850
2004-10-12,94.5,95.5,94,94.5,2910
2004-10-13,94.800003,94.800003,94.400002,94.5,190
2004-10-14,94.5,94.5,93.5,93.5,500
2004-10-15,93.599998,94,93.300003,93.400002,890
2004-10-18,93.5,94,93.300003,93.599998,810
2004-10-19,93.5,93.599998,93,93,620
2004-10-20,93.099998,93.099998,91.699997,91.900002,3290
2004-10-21,92,92,91.300003,91.300003,1230
2004-10-22,91,91.5,91,91.099998,1820
2004-10-25,91.099998,91.400002,90.599998,90.599998,1750
2004-10-26,91,91,89.800003,90,2450
2004-10-27,90.5,90.5,89.900002,90,690
2004-10-28,90,90.099998,89.900002,89.900002,2060
2004-10-29,90,90.099998,89,89.099998,1820
2004-11-01,89.900002,90,89.800003,90,980
2004-11-02,90,90,89.800003,89.800003,2610
2004-11-03,90,90,89.900002,89.900002,1130
2004-11-04,90,90,89.900002,90,300
2004-11-05,90.5,93.5,90.5,93,33390
2004-11-08,93,93.5,91.199997,91.400002,2110
2004-11-09,91.099998,93.5,91.099998,92.699997,1260
2004-11-10,92.099998,93.5,92,92.5,1530
2004-11-11,92.5,93.300003,92,92,1620
2004-11-12,92.400002,92.400002,91.699997,91.699997,2770
2004-11-15,91.5,92,90.5,92,30240
2004-11-16,92.099998,92.199997,91.300003,91.300003,2740
2004-11-17,92.300003,93.5,91.900002,93.400002,127540
2004-11-18,93.5,93.699997,92.800003,93,1480
2004-11-19,92.800003,93.5,92,92.400002,20330
2004-11-22,92.699997,93,92,92.400002,890
2004-11-23,92.300003,92.300003,91.300003,91.300003,2200
2004-11-24,91.400002,93.5,91.400002,93.5,390
2004-11-26,93.5,94.5,93.400002,93.599998,1190
2004-11-29,93.400002,94.199997,92.699997,94,1670
2004-11-30,94.5,95.800003,94,95.699997,2610
2004-12-01,96.199997,100,96.199997,100,11190
2004-12-02,99.800003,100,98.199997,98.300003,4470
2004-12-03,98.5,98.800003,98.300003,98.400002,8130
2004-12-06,98.400002,98.5,98,98.5,1070
2004-12-07,98.400002,98.599998,98.300003,98.5,2500
2004-12-08,98.5,99.599998,98.5,98.900002,4030
2004-12-09,99,99.5,98.800003,99,3050
2004-12-10,99,100.699997,99,100.5,4840
2004-12-13,101.5,101.5,100.5,100.800003,3400
2004-12-14,101.800003,103.5,101.800003,103,7540
2004-12-15,103,103,101,101,4870
2004-12-16,101.099998,101.5,101.099998,101.5,7370
2004-12-17,102.5,103.5,102.5,103,6270
2004-12-20,103.5,103.5,102.800003,102.900002,4640
2004-12-21,103.900002,105.5,103,104.5,51680
2004-12-22,104.5,108,104.5,106.900002,33070
2004-12-23,107.400002,110.5,106.800003,110,30650
2004-12-27,110,110.400002,108.400002,109,13090
2004-12-28,109.5,111.5,109.5,109.900002,10470
2004-12-29,110,110.900002,109.800003,110,21620
2004-12-30,110,111.900002,110,111.5,13040
2004-12-31,111.5,113.400002,111.300003,112,7550
2005-01-03,112.099998,113,111.699997,112,25310
2005-01-04,110,110.5,108.900002,108.900002,9080
2005-01-05,108.900002,110,107.099998,107.5,8200
2005-01-06,107.5,108,106.800003,107.300003,7720
2005-01-07,107.5,109,107.5,108.5,17220
2005-01-10,108.5,109.5,108,108.599998,49630
2005-01-11,108.5,109,108.300003,108.300003,24270
2005-01-12,108,108,106.300003,107.5,6390
2005-01-13,107.5,107.900002,107.400002,107.5,2360
2005-01-14,107.5,107.900002,107.5,107.800003,1840
2005-01-18,107.5,107.900002,107,107.5,4230
2005-01-19,107.5,107.5,106.900002,107.400002,3250
2005-01-20,107.800003,107.800003,106.800003,106.800003,1840
2005-01-21,107.300003,107.900002,107.300003,107.699997,3630
2005-01-24,107.699997,108,107.400002,107.5,3960
2005-01-25,107.699997,108.300003,106.699997,106.699997,3780
2005-01-26,106.800003,107,106,106.400002,4860
2005-01-27,106.699997,107.699997,106.699997,107.599998,5430
2005-01-28,107.800003,108.099998,107.800003,108,23650
2005-01-31,107.800003,108.199997,107.5,107.699997,36500
2005-02-01,107.699997,107.800003,106.5,107.5,5120
2005-02-02,107.300003,110,107.199997,109.900002,10240
2005-02-03,110,110,108,108.300003,7560
2005-02-04,108.300003,109.5,108,109.400002,2010
2005-02-07,109.5,110,109.300003,109.5,2830
2005-02-08,109.5,109.5,108.400002,108.5,4750
2005-02-09,108.5,108.5,107.400002,107.400002,9460
2005-02-10,107.5,107.699997,107,107.5,3640
2005-02-11,107.5,108,106.800003,107.900002,3560
2005-02-14,108,108,107,107.900002,17600
2005-02-15,107.900002,107.900002,105.900002,106,4960
2005-02-16,106,107,105.5,106.099998,2180
2005-02-17,105.900002,106,105.5,105.699997,8410
2005-02-18,105.199997,105.199997,104.5,105,5060
2005-02-22,105.199997,105.199997,104.300003,104.300003,21820
2005-02-23,104.400002,104.5,104,104.199997,3620
2005-02-24,104.199997,104.5,103.900002,104,5020
2005-02-25,103.900002,104.5,103.800003,103.900002,15830
2005-02-28,104,104.099998,103.800003,104,2360
2005-03-01,103.900002,104,103.400002,104,19440
2005-03-02,104,104,103.800003,103.900002,5590
2005-03-03,104,104,103.5,103.699997,7340
2005-03-04,103.699997,103.699997,102.900002,102.900002,7800
2005-03-07,103,104,102.900002,104,6100
2005-03-08,104.5,104.5,102.900002,103,2230
2005-03-09,103.800003,103.800003,101.5,103,2240
2005-03-10,103.5,104,102.599998,103.5,4640
2005-03-11,103,104.199997,102,102,3550
2005-03-14,102,104.5,101.699997,104.400002,3560
2005-03-15,104.5,104.699997,104.300003,104.599998,5120
2005-03-16,104.599998,104.800003,101.5,103,4660
2005-03-17,103,103,101.699997,101.800003,1960
2005-03-18,101.900002,101.900002,99.900002,99.900002,2650
2005-03-21,100,101.699997,99.900002,101.699997,1690
2005-03-22,102.699997,102.699997,101.5,101.800003,3470
2005-03-23,101,101.5,99,100.900002,3480
2005-03-24,100.800003,100.900002,99.099998,99.5,1830
2005-03-28,99.800003,101.300003,99.5,101,1970
2005-03-29,101,101,100.800003,100.800003,400
2005-03-30,100,101.5,100,101.400002,1660
2005-03-31,101.400002,102.800003,101.400002,102.199997,1780
2005-04-01,102,102.300003,101.5,102,2720
2005-04-04,100,100.5,99.300003,99.300003,6590
2005-04-05,99.300003,100.300003,99.300003,99.900002,2660
2005-04-06,99.900002,100.199997,99.099998,100.099998,550
2005-04-07,99.800003,100,99.5,99.800003,1240
2005-04-08,99.5,99.900002,99.5,99.599998,940
2005-04-11,100,100,99,99.5,2970
2005-04-12,99.300003,99.800003,99.300003,99.800003,460
2005-04-13,99.5,100,99.400002,99.5,1620
2005-04-14,99.800003,99.800003,98.800003,99,4170
2005-04-15,99.5,99.900002,98.5,99.5,16970
2005-04-18,99.699997,99.699997,98.900002,99.400002,2320
2005-04-19,99.400002,99.400002,98.5,98.800003,1150
2005-04-20,98.800003,99.099998,98.5,98.599998,1800
2005-04-21,99.599998,100,99.5,99.900002,2520
2005-04-22,100,100.5,99.900002,100.5,5770
2005-04-25,101.199997,101.400002,99.5,99.599998,3740
2005-04-26,99.599998,99.800003,98,98,4160
2005-04-27,99,99.5,98.5,99,2110
2005-04-28,99.699997,99.800003,99,99.400002,890
2005-04-29,99.699997,99.800003,99,99,1220
2005-05-02,99.5,99.900002,98.699997,99,1190
2005-05-03,99.099998,99.800003,98.699997,99.199997,2550
2005-05-04,99.400002,99.400002,98.900002,98.900002,82300
2005-05-05,99,99,98.599998,98.900002,1060
2005-05-06,99,99,98.400002,99,2880
2005-05-09,98.599998,98.900002,98.300003,98.5,1580
2005-05-10,98.5,98.699997,98,98.300003,6200
2005-05-11,98.400002,99,98.300003,98.5,2050
2005-05-12,98.5,99,98.099998,98.300003,2640
2005-05-13,99.300003,99.300003,98.5,98.5,1500
