date,open,high,low,close,volume
2013-01-18,21,22.1,20.66,21.200001,12735700
2013-01-22,21,22.15,20.530001,22.120001,1707500
2013-01-23,21.799999,22.6,21.76,22.6,1122600
2013-01-24,22.9,22.99,21.629999,22.01,470900
2013-01-25,22.040001,22.5,21.75,21.860001,344700
2013-01-28,22.16,22.16,21.27,21.5,538800
2013-01-29,21.299999,21.690001,21.049999,21.4,577200
2013-01-30,21.610001,21.99,20.889999,21.08,224200
2013-01-31,20.74,21.83,20.6,21.17,524100
2013-02-01,21.120001,21.85,21.120001,21.690001,490300
2013-02-04,21.549999,21.870001,21.15,21.82,217300
2013-02-05,21.790001,22.59,21.540001,22.24,333800
2013-02-06,22.049999,22.5,22.049999,22.5,276700
2013-02-07,22.52,22.52,22.040001,22.190001,182100
2013-02-08,22.299999,22.74,22.299999,22.6,175500
2013-02-11,22.75,23,22.549999,22.67,118400
2013-02-12,22.58,22.6,21.5,21.709999,344200
2013-02-13,21.85,22.120001,21.35,21.58,450900
2013-02-14,21.780001,22.49,21.5,22.110001,308200
2013-02-15,21.969999,22.77,21.879999,22.389999,1043300
2013-02-19,22.35,22.43,21.950001,22.290001,856600
2013-02-20,22.17,22.17,21.85,22.01,582600
2013-02-21,21.9,22.27,21.700001,21.77,526300
2013-02-22,21.799999,22.27,21.799999,21.93,155800
2013-02-25,21.959999,22.09,21.700001,21.83,336700
2013-02-26,21.84,21.860001,21.030001,21.73,303600
2013-02-27,21.59,22.5,20.82,21.190001,1042000
2013-02-28,21.08,21.58,21.030001,21.309999,493200
2013-03-01,21.219999,22.02,21.049999,21.559999,497400
2013-03-04,21.559999,22.190001,21.43,22.110001,172700
2013-03-05,22.040001,23.709999,22.040001,23.030001,336600
2013-03-06,23,23.24,22.85,23,306900
2013-03-07,23,23.030001,22.17,22.780001,220500
2013-03-08,22.889999,23.01,22.48,22.620001,137700
2013-03-11,22.52,22.549999,21.860001,22.299999,136800
2013-03-12,22.23,22.309999,22,22.15,82800
2013-03-13,22.35,22.440001,21.870001,21.940001,351400
2013-03-14,22,22.190001,21.76,21.85,191300
2013-03-15,21.75,21.780001,21.450001,21.49,295500
2013-03-18,21.450001,21.790001,21.309999,21.74,289600
2013-03-19,21.74,21.969999,21.530001,21.84,144800
2013-03-20,21.9,22.4,21.73,22.07,517100
2013-03-21,21.9,22.43,21.870001,22.120001,345700
2013-03-22,22.4,23.209999,22.129999,22.959999,345600
2013-03-25,22.959999,23.09,22.709999,22.879999,181900
2013-03-26,22.75,23.049999,22.469999,22.870001,203600
2013-03-27,22.639999,23,22.43,22.5,216500
2013-03-28,22.59,22.92,22.299999,22.84,2745200
2013-04-01,22.93,23.33,22.66,23.17,439800
2013-04-02,23.379999,24.49,23.15,23.629999,335300
2013-04-03,23.610001,23.690001,23.219999,23.299999,98300
2013-04-04,23.48,23.59,23.32,23.5,150400
2013-04-05,23.280001,24.040001,23.07,23.66,236100
2013-04-08,23.809999,23.809999,23.35,23.42,149800
2013-04-09,23.43,23.620001,23.34,23.389999,68800
2013-04-10,23.389999,23.950001,23.26,23.73,158700
2013-04-11,23.780001,24.1,23.52,23.709999,84400
2013-04-12,23.610001,24.1,23.610001,23.93,84800
2013-04-15,23.93,24.200001,23.1,23.309999,149200
2013-04-16,23.370001,24.129999,23.370001,23.879999,301900
2013-04-17,23.83,24,23.200001,23.58,76600
2013-04-18,23.799999,24.15,23.73,23.98,209300
2013-04-19,24.01,24.129999,23.700001,23.93,149300
2013-04-22,24.129999,24.129999,23.370001,23.950001,166400
2013-04-23,24.049999,24.190001,23.530001,24.08,145100
2013-04-24,24,24.309999,23.76,24.049999,118000
2013-04-25,24.1,24.290001,23.540001,23.65,108000
2013-04-26,23.690001,23.92,23.299999,23.85,93400
2013-04-29,24.059999,24.84,24.059999,24.23,248200
2013-04-30,24.27,24.41,23.74,23.99,312200
2013-05-01,23.889999,23.98,23.67,23.690001,185600
2013-05-02,23.870001,24.360001,23.68,24.1,172000
2013-05-03,24.4,24.4,24,24.1,256100
2013-05-06,24.200001,24.23,23.76,23.82,154100
2013-05-07,23.9,24.01,23.6,23.709999,208200
2013-05-08,23.709999,23.790001,23.4,23.65,226200
2013-05-09,23.639999,23.91,22.25,22.74,575200
2013-05-10,22.74,23.049999,22.52,22.66,384900
2013-05-13,22.690001,23.040001,22.41,22.65,269300
2013-05-14,22.65,22.74,22,22.389999,334900
