ticker,quarter,pe_ratio,price_to_sales_ratio,price_to_book_ratio,price_to_fcf_ratio,debt_to_equity_ratio
CHCI,2021.3,39.54,1.41,1.86,12.88,NA
CHCI,2021.2,46,1.64,2.16,14.98,0.77
CHCI,2021.1,21.41,1.66,4.13,14.11,1.42
CHCI,2020.4,13.21,0.93,2.29,8.23,1.55
CHCI,2020.3,12.95,0.67,1.89,3.8,0.74
CHCI,2020.2,46.5,0.8,2.27,2.45,0.83
CHCI,2020.1,0,0.41,1.47,13.85,1.67
CHCI,2019.4,0,0.47,1.87,1.62,1.39
CHCI,2019.3,0,0.63,2.04,1.38,1.23
CHCI,2019.2,0,0.86,3,2.03,2.99
CHCI,2019.1,0,0.68,1.19,0.52,3.36
CHCI,2018.4,0,0.37,1.11,0.5,5.03
CHCI,2018.3,0,0.32,1.24,0.69,4.13
CHCI,2018.2,0,0.24,0.91,0.88,3.06
CHCI,2018.1,0,0.12,2.63,1.34,24.15
CHCI,2017.4,0,0.13,2.23,1.23,18.6
CHCI,2017.3,0,0.13,1.92,0,17.01
CHCI,2017.2,0,0.15,1.55,0,11.72
CHCI,2017.1,0,0.17,1.26,0,8.6
CHCI,2016.4,0,0.14,0.74,0,6.14
CHCI,2016.3,0,0.1,2.41,1.6,20.54
CHCI,2016.2,0,0.1,131.85,0.65,1028.11
CHCI,2016.1,0,0.1,2.18,0.94,16.35
CHCI,2015.4,0,0.08,0.91,1.95,9.69
CHCI,2015.3,0,0.25,4.74,0,22.64
CHCI,2015.2,0,0.23,3.75,0,16.71
CHCI,2015.1,0,0.39,36.12,0,104.29
CHCI,2014.4,0,0.45,12.12,0,29.39
CHCI,2014.3,0,0.41,2.34,10.51,4.12
CHCI,2014.2,0,0.49,2.01,0,3.35
CHCI,2014.1,0,0.65,2.12,0,2.32
CHCI,2013.4,0,0.77,2.24,0,1.98
CHCI,2013.3,0,1.05,2.37,0,2.24
CHCI,2013.2,0,1.94,3.63,0,2.02
CHCI,2013.1,0,1.69,2.47,0,1.87
CHCI,2012.4,0,1.65,3.7,8.05,5.07
CHCI,2012.3,0,1.53,3.97,1.89,3.16
CHCI,2012.2,5.69,1.36,2.43,1,1.79
CHCI,2012.1,6.24,1.69,2.65,1.3,1.51
CHCI,2011.4,21.93,0.98,1.77,1.79,2.7
CHCI,2011.3,8.45,0.96,1.26,1.44,2.3
CHCI,2011.2,0,1.14,3.28,2.87,5.14
CHCI,2011.1,0,1.25,3.12,2.41,3.86
CHCI,2010.4,0,0.88,3.36,1.37,5.14
CHCI,2010.3,0,1,3.34,1.45,4.27
CHCI,2010.2,34.99,0.83,2.42,1.15,3.5
CHCI,2010.1,0,0.74,1.6,1.09,3.32
CHCI,2009.4,0,0.65,3.54,1.21,17.71
CHCI,2009.3,0,0.79,7.31,2.22,35.7
CHCI,2009.2,0,0.14,8.49,0.72,246.83
CHCI,2009.1,0,0.11,0.14,0.61,4.49
CHCI,2008.4,0,0.06,0.1,0.23,4.23
CHCI,2008.3,0,0.04,0.12,0.09,4.12
CHCI,2008.2,0,0.04,0.17,0.1,5
CHCI,2008.1,0,0.06,0.28,0.11,3.62
CHCI,2007.4,0,0.04,0.25,0.09,4.57
CHCI,2007.3,0,0.09,0.39,0.21,3.1
CHCI,2007.2,0,0.14,0.39,0.46,2.45
CHCI,2007.1,0,0.24,0.55,0,2.99
CHCI,2006.4,0,0.35,0.76,0,3.18
CHCI,2006.3,NA,NA,0.59,NA,3.06
CHCI,2006.2,NA,NA,0.67,NA,2.7
CHCI,2006.1,NA,NA,1.06,NA,2.7
CHCI,2005.4,NA,NA,NA,NA,1.97
CHCI,2005.3,NA,NA,NA,NA,2.14
CHCI,2005.2,NA,NA,NA,NA,1.8
CHCI,2005.1,NA,NA,NA,NA,3.5
HHC,2021.3,69.12,6.28,1.33,0,NA
HHC,2021.2,76.14,6.92,1.46,0,1.54
HHC,2021.1,164.02,7.27,1.43,0,1.5
HHC,2020.4,0,5.76,1.17,0,1.46
HHC,2020.3,0,3.56,0.85,0,1.44
HHC,2020.2,0,2.77,0.76,0,1.47
HHC,2020.1,0,1.95,0.74,0,1.42
HHC,2019.4,74.15,4.22,1.62,0,1.52
HHC,2019.3,49.85,3.79,1.66,135.3,1.35
HHC,2019.2,50.55,3.56,1.59,0,1.3
HHC,2019.1,54.46,3.78,1.43,0,1.24
HHC,2018.4,74.52,3.96,1.3,0,1.27
HHC,2018.3,31.77,5.95,1.68,0,1.29
HHC,2018.2,36.7,6.34,1.81,0,1.26
HHC,2018.1,36.61,5.83,1.94,0,1.19
HHC,2017.4,33.66,5.14,1.78,0,1.11
HHC,2017.3,80.77,4.7,1.68,0,1.22
HHC,2017.2,87.12,4.95,1.79,0,1.25
HHC,2017.1,78.17,4.88,1.81,0,1.45
HHC,2016.4,28.1,4.7,1.77,0,1.48
HHC,2016.3,31.54,4.96,1.81,0,1.57
HHC,2016.2,27.22,5.16,1.82,0,1.48
HHC,2016.1,25.09,5.14,1.69,0,1.41
HHC,2015.4,0,5.99,1.9,0,1.42
HHC,2015.3,0,6.12,1.95,0,1.37
HHC,2015.2,0,8.55,2.62,0,1.48
HHC,2015.1,0,8.99,2.9,0,1.47
HHC,2014.4,0,8.24,2.32,0,1.29
HHC,2014.3,0,10.74,2.71,0,1.42
HHC,2014.2,0,11.64,2.91,351.51,1.32
HHC,2014.1,0,11.95,2.62,52.78,1.18
HHC,2013.4,0,10.25,2.12,48.56,1.04
HHC,2013.3,0,10.06,2,25.43,0.67
HHC,2013.2,0,9.9,2,19.03,0.63
HHC,2013.1,0,8.41,1.44,18.27,0.55
HHC,2012.4,0,7.47,1.25,18.34,0.52
HHC,2012.3,0,7.79,1.23,18.79,0.6
HHC,2012.2,0,6.96,1.04,24.89,0.54
HHC,2012.1,0,8.22,1.09,30.48,0.53
HHC,2011.4,0,6.25,0.72,20.06,0.46
HHC,2011.3,0,6.76,0.69,0,0.51
HHC,2011.2,NA,NA,1.16,NA,0.42
HHC,2011.1,NA,NA,1.3,NA,0.47
HHC,2010.4,NA,NA,0.95,NA,0.39
HHC,2010.3,NA,NA,NA,NA,0.88
HHC,2010.2,NA,NA,NA,NA,0
HHC,2010.1,NA,NA,NA,NA,0
HHC,2009.4,NA,NA,NA,NA,0
HHC,2009.3,NA,NA,NA,NA,0
HHC,2008.4,NA,NA,NA,NA,0
JOE,2021.3,46.65,11.65,4.34,0,NA
JOE,2021.2,47.88,11.96,4.46,0,0.87
JOE,2021.1,50.29,13.74,4.43,0,0.85
JOE,2020.4,54.84,15.51,4.38,0,0.83
