date,open,high,low,close,volume
2014-11-14,18.75,19.09,18,19.09,605700
2014-11-17,18.91,19.190001,18.620001,19.049999,47000
2014-11-18,18.870001,19.059999,18.65,19,48100
2014-11-19,18.67,19.25,18.67,19.25,33100
2014-11-20,18.76,19.040001,18.51,19.040001,58700
2014-11-21,19.1,19.1,18.65,19.049999,21100
2014-11-24,19.049999,19.049999,18.76,19,34000
2014-11-25,19,19,18.799999,19,31900
2014-11-26,19,19.049999,18.92,19.040001,29700
2014-11-28,19,19.030001,18.76,19,8900
2014-12-01,19,19.030001,18.450001,19.030001,75600
2014-12-02,19,19,18.25,18.52,15600
2014-12-03,18.690001,19,18.549999,18.75,20100
2014-12-04,18.940001,18.940001,18.51,18.74,6800
2014-12-05,18.559999,18.790001,18.5,18.559999,7600
2014-12-08,18.5,19,18.5,18.549999,36700
2014-12-09,18.559999,18.709999,18.5,18.5,17600
2014-12-10,18.799999,18.799999,18.33,18.700001,32600
2014-12-11,18.700001,18.700001,18.25,18.48,42700
2014-12-12,18.700001,18.700001,18.01,18.462999,17000
2014-12-15,18.9,18.92,18.360001,18.74,23100
2014-12-16,19,19,18.5,18.65,30100
2014-12-17,18.52,18.716999,18.35,18.700001,16400
2014-12-18,18.6,18.804001,18.4,18.43,26800
2014-12-19,18.5,18.620001,18,18.5,80600
2014-12-22,18.799999,18.83,18.299999,18.405001,22300
2014-12-23,18.17,18.48,17.68,18.014,29200
2014-12-24,17.969999,18.1,17.629999,17.75,23800
2014-12-26,17.85,17.959999,17.75,17.93,11100
2014-12-29,18.01,18.01,17.469999,17.5,29800
2014-12-30,17.6,17.605,16.355,16.639999,156200
2014-12-31,16.65,16.99,15.724,16.92,142500
2015-01-02,19,19,15.66,17.35,25300
2015-01-05,17.35,17.49,17.215,17.35,13200
2015-01-06,17.73,17.73,17.110001,17.110001,7000
2015-01-07,17.25,17.344999,16.540001,16.700001,20100
2015-01-08,17.24,17.57,16.540001,17.08,93600
2015-01-09,17.16,17.700001,16.955,17.690001,36800
2015-01-12,17.700001,17.955999,17.6,17.6,17000
2015-01-13,17.700001,17.778999,16.9,16.9,56100
2015-01-14,17.18,17.18,15.81,16.59,61000
2015-01-15,16.280001,17.6,16.25,17.6,50800
2015-01-16,17.799999,17.799999,16.76,16.870001,16200
2015-01-20,17.9,17.9,16.77,17.190001,15800
2015-01-21,16.76,17.77,16.01,16.24,267100
2015-01-22,16.719999,16.82,16.309999,16.780001,32200
2015-01-23,16.549999,16.690001,16.200001,16.43,39400
2015-01-26,16.879999,17.42,16.43,17.209999,54300
2015-01-27,17.003,17.200001,16.43,16.75,79800
2015-01-28,16.549999,17.030001,16.549999,17,15700
2015-01-29,17.469999,17.469999,16.75,17.25,27900
2015-01-30,17.17,17.469999,17.17,17.469999,16000
2015-02-02,17.42,17.98,17.200001,17.879999,21000
2015-02-03,17.41,18,17.41,17.83,11600
2015-02-04,17.25,17.74,17.1,17.219999,13000
2015-02-05,17.07,17.67,16.9,17.09,19800
2015-02-06,16.83,17.33,16.58,17.25,33400
2015-02-09,17.120001,17.540001,17.1,17.32,22100
2015-02-10,17.27,18.139999,16.77,17.33,100800
2015-02-11,17.780001,17.85,16.959999,17.209999,43100
2015-02-12,17.25,17.833,17.02,17.049999,47500
2015-02-13,17.07,17.82,17.07,17.4,7100
2015-02-17,17.450001,17.450001,16.780001,16.82,19000
2015-02-18,16.75,17.327,16.75,17.110001,15000
2015-02-19,17.07,17.18,16.950001,16.959999,15800
2015-02-20,16.860001,17.077,16.35,16.66,54600
2015-02-23,16.35,17.07,16.35,16.739,25800
2015-02-24,16.610001,17,16.610001,16.92,10500
2015-02-25,16.99,16.99,16.85,16.85,4600
2015-02-26,17,17.35,16.889999,17.125,17100
2015-02-27,17.35,17.790001,17.1,17.702,36800
2015-03-02,17.799999,18.120001,17.57,17.85,27300
2015-03-03,17.986,18.232,17.709999,17.870001,17000
2015-03-04,18,18.25,17.209999,17.459999,52100
2015-03-05,18.09,18.09,17.41,18.02,24100
2015-03-06,18.110001,18.166,17.52,17.905001,30300
2015-03-09,17.780001,18.049999,17.59,18.030001,11400
2015-03-10,17.68,17.959999,16.389999,16.76,139200
2015-03-11,18.139999,18.4,17.4,18.26,95300
2015-03-12,18.5,18.709999,18,18.540001,42900
2015-03-13,18.66,18.812,18.118,18.26,46500
2015-03-16,18.469999,18.5,17.59,18.040001,22000
2015-03-17,18.17,18.200001,17.593,17.620001,17600
2015-03-18,17.5,18.290001,17.35,17.834999,17800
2015-03-19,17.950001,18.110001,17.25,17.68,21800
2015-03-20,17.66,18.540001,17.66,17.950001,28200
2015-03-23,17.799999,18.07,17.77,18.030001,15200
2015-03-24,17.790001,18.120001,17.27,17.530001,19000
2015-03-25,17.549999,18.09,17.48,17.780001,29100
2015-03-26,17.93,18.559999,17.77,18.5,36800
2015-03-27,18.120001,18.700001,17.737,18.389999,148100
