date,open,high,low,close,volume
2015-12-14,13,13,11.89,11.89,19100
2015-12-15,13,16.049999,12.5,13,1174400
2015-12-16,14.7,15.04,13.01,13.28,404400
2015-12-17,13.03,14.58,13.01,14.44,148000
2015-12-18,14.49,17.65,14.49,16.76,570800
2015-12-21,16.1,16.700001,14,14.05,768800
2015-12-22,13.63,14.07,13.2,13.32,516300
2015-12-23,13,13.91,13,13.43,312900
2015-12-24,13.4,13.62,13.4,13.45,147000
2015-12-28,13.45,14.89,13.4,13.98,399100
2015-12-29,13.95,14.47,13.9,14.4,150900
2015-12-30,14.32,14.63,14.3,14.44,197600
2015-12-31,14.44,14.71,14.08,14.41,247200
2016-01-04,14.22,15.89,14,15.67,235400
2016-01-05,15.85,16.289,15.38,15.82,370000
2016-01-06,15.8,16.222,15.7,15.97,83400
2016-01-07,15.95,16.25,15.51,15.71,262800
2016-01-08,15.69,16.059999,15.54,15.88,166800
2016-01-11,15.94,16.700001,15.94,16.43,133800
2016-01-12,16.530001,17.43,16.530001,17.190001,283200
2016-01-13,17.139999,17.870001,17.139999,17.809999,193200
2016-01-14,18.08,20.25,17.85,20.110001,184700
2016-01-15,19.59,19.85,18.450001,19.200001,153200
2016-01-19,19.33,19.459999,18.57,19.370001,174400
2016-01-20,19.360001,19.398001,17.450001,18.99,195500
2016-01-21,18.99,19.440001,18.52,19.02,107300
2016-01-22,19.200001,21.58,19,21.51,189900
2016-01-25,21.51,22,20.879999,21.629999,96500
2016-01-26,22.07,22.75,21.889999,22.42,173900
2016-01-27,22.51,22.51,21.01,21.02,82000
2016-01-28,20.950001,20.950001,20.02,20.620001,54000
2016-01-29,20.629999,20.950001,20.110001,20.85,158200
2016-02-01,20.76,20.76,19.77,19.940001,129500
2016-02-02,19.790001,19.799999,18.700001,19,134700
2016-02-03,18.93,19.879999,18.75,19.77,75700
2016-02-04,19.790001,21.34,19.790001,21.26,297000
2016-02-05,21.309999,21.790001,21.309999,21.75,106100
2016-02-08,21.82,21.940001,21.5,21.700001,88200
2016-02-09,21.549999,22,21.27,21.42,113200
2016-02-10,21.4,21.636,20.99,21.32,56900
2016-02-11,21.040001,21.559999,20.76,20.85,32300
2016-02-12,20.049999,21.25,20.049999,20.389999,89500
2016-02-16,20.41,20.799999,20.309999,20.690001,80200
2016-02-17,20.92,21.940001,20.92,21.790001,105300
2016-02-18,21.9,22.379999,21.783001,22.110001,76200
2016-02-19,22.129999,23.040001,22,23.02,96800
2016-02-22,23.049999,24.530001,23.049999,23.74,133600
2016-02-23,23.85,24.049999,23.6,23.66,134600
2016-02-24,23.6,23.799999,23,23.07,128200
2016-02-25,23.200001,23.5,22.9,23.190001,64300
2016-02-26,23.09,23.17,23,23.09,47500
2016-02-29,23,23.08,22.549999,22.559999,69100
