date,open,high,low,close,volume
2021-01-26,10.59,19.440001,10.57,18.110001,6331900
2021-01-27,13.36,14.12,8,9.1,6643500
2021-01-28,9.19,9.19,8.1,8.25,1138600
2021-01-29,8.21,8.5,7.95,8.04,722100
2021-02-01,8.05,9.9,7.5,9.09,2143900
2021-02-02,9.2,9.2,8.05,8.21,580700
2021-02-03,8.7,8.7,8.3,8.55,254900
2021-02-04,8.88,8.88,8.33,8.52,476600
2021-02-05,8.5,8.69,8.27,8.4,265800
2021-02-08,8.66,9.85,8.52,9.2,875500
2021-02-09,9.81,11.3,9.331,11.14,1857900
2021-02-10,11.12,11.97,9.34,10.09,949100
2021-02-11,9.91,10.49,9.35,9.66,329100
2021-02-12,9.7,10.65,9.17,9.98,528400
2021-02-16,10.02,10.5,9.61,9.73,462800
2021-02-17,9.61,10.145,9.04,9.29,473300
2021-02-18,9.16,9.27,8.56,8.67,213100
2021-02-19,8.9,9.2,8.8,9.07,172900
2021-02-22,8.91,8.94,8.3,8.35,272500
2021-02-23,7.86,7.95,6.96,7.35,394800
2021-02-24,7.6,8.24,7.43,7.99,306100
2021-02-25,8.2,8.29,7.57,7.62,181300
2021-02-26,7.43,7.6,7.27,7.45,158200
2021-03-01,7.63,7.747,7.401,7.5,103500
2021-03-02,7.51,7.75,7.31,7.57,114600
2021-03-03,7.7,7.77,7.06,7.24,111200
2021-03-04,7.12,7.12,5.95,6.25,327100
2021-03-05,6.27,6.56,5.1,6.51,314900
2021-03-08,6.5,6.8,6.05,6.3,241100
2021-03-09,6.61,6.9,6.43,6.65,159000
2021-03-10,6.76,6.99,6.32,6.6,195500
2021-03-11,6.72,7.49,6.708,7.18,183800
2021-03-12,7.04,7.311,7.04,7.2,73400
2021-03-15,7.32,7.43,7.15,7.25,68000
2021-03-16,7.4,7.4,6.7,6.7,184300
2021-03-17,6.61,7,6.56,6.96,63900
2021-03-18,6.81,6.9,6.612,6.76,69200
2021-03-19,6.73,6.86,6.63,6.75,34500
2021-03-22,6.83,6.85,6.7,6.7,42100
2021-03-23,6.59,6.61,6.13,6.21,75800
2021-03-24,6.27,6.27,5.7,5.78,73600
2021-03-25,5.51,5.926,5.51,5.75,78600
2021-03-26,5.89,5.93,5.51,5.79,39600
2021-03-29,5.76,6.249,5.702,5.99,102100
2021-03-30,6,6.06,5.79,5.79,36200
2021-03-31,5.84,6.05,5.804,5.91,41000
2021-04-01,6.21,7.04,6.186,6.26,317700
2021-04-05,6.37,7.9,6.33,7.32,1311300
