date,open,high,low,close,volume
1984-11-13,0,0.78125,0.75,0.75,507200
1984-11-14,0,0.78125,0.765625,0.765625,61600
1984-11-15,0,0.828125,0.796875,0.796875,191200
1984-11-16,0,0.828125,0.78125,0.78125,231200
1984-11-19,0,0.8125,0.78125,0.78125,151200
1984-11-20,0,0.828125,0.796875,0.796875,85600
1984-11-21,0,0.8125,0.78125,0.78125,56800
1984-11-23,0,0.828125,0.796875,0.796875,70400
1984-11-26,0,0.78125,0.75,0.75,103200
1984-11-27,0,0.765625,0.734375,0.734375,11200
1984-11-28,0,0.765625,0.75,0.75,166400
1984-11-29,0,0.765625,0.75,0.75,77600
1984-11-30,0,0.75,0.734375,0.734375,52000
1984-12-03,0,0.71875,0.6875,0.6875,80000
1984-12-04,0,0.71875,0.6875,0.6875,16800
1984-12-05,0,0.71875,0.6875,0.6875,32800
1984-12-06,0,0.71875,0.6875,0.6875,4000
1984-12-07,0,0.71875,0.6875,0.6875,16000
1984-12-10,0,0.71875,0.6875,0.6875,89600
1984-12-11,0,0.71875,0.6875,0.6875,123200
1984-12-12,0,0.75,0.6875,0.6875,132000
1984-12-13,0.6875,0.6875,0.6875,0.6875,0
1984-12-14,0,0.75,0.6875,0.6875,56000
1984-12-17,0,0.75,0.6875,0.6875,15200
1984-12-18,0,0.71875,0.6875,0.6875,9600
1984-12-19,0,0.75,0.703125,0.703125,12800
1984-12-20,0,0.75,0.703125,0.703125,19200
1984-12-21,0,0.75,0.703125,0.703125,68000
1984-12-24,0,0.75,0.703125,0.703125,4000
1984-12-26,0,0.75,0.703125,0.703125,800
1984-12-27,0,0.75,0.703125,0.703125,1600
1984-12-28,0.703125,0.703125,0.703125,0.703125,0
1984-12-31,0,0.75,0.71875,0.71875,4000
1985-01-02,0.71875,0.71875,0.71875,0.71875,0
1985-01-03,0.71875,0.71875,0.71875,0.71875,0
1985-01-04,0,0.75,0.71875,0.71875,7200
1985-01-07,0,0.75,0.71875,0.71875,11200
1985-01-08,0,0.78125,0.71875,0.71875,50400
1985-01-09,0,0.8125,0.75,0.75,24000
1985-01-10,0,0.8125,0.75,0.75,14400
1985-01-11,0,0.8125,0.75,0.75,11200
1985-01-14,0,0.8125,0.78125,0.78125,26400
1985-01-15,0,0.84375,0.78125,0.78125,37600
1985-01-16,0,0.84375,0.78125,0.78125,73600
1985-01-17,0,0.875,0.78125,0.78125,98400
1985-01-18,0,0.875,0.78125,0.78125,71200
1985-01-21,0,0.875,0.8125,0.8125,33600
1985-01-22,0,0.875,0.8125,0.8125,13600
1985-01-23,0,0.875,0.8125,0.8125,51200
1985-01-24,0,0.875,0.8125,0.8125,73600
1985-01-25,0,0.875,0.8125,0.8125,68800
1985-01-28,0,0.875,0.8125,0.8125,58400
1985-01-29,0,0.84375,0.8125,0.8125,30400
1985-01-30,0,0.875,0.8125,0.8125,112000
1985-01-31,0,0.9375,0.875,0.875,81600
1985-02-01,0,0.9375,0.875,0.875,41600
1985-02-04,0,1,0.9375,0.9375,176800
1985-02-05,0,1,0.9375,0.9375,41600
1985-02-06,0,1,0.9375,0.9375,59200
1985-02-07,0,1,0.9375,0.9375,68800
1985-02-08,0,1,0.9375,0.9375,101600
1985-02-11,0,0.96875,0.9375,0.9375,45600
1985-02-12,0,0.96875,0.9375,0.9375,53600
1985-02-13,0,0.96875,0.9375,0.9375,42400
1985-02-14,0,1,0.9375,0.9375,32800
1985-02-15,0,1,0.9375,0.9375,85600
1985-02-19,0,1,0.9375,0.9375,75200
1985-02-20,0,1,0.96875,0.96875,125600
1985-02-21,0,1,0.96875,0.96875,164800
1985-02-22,0,1,0.96875,0.96875,57600
1985-02-25,0,1.03125,0.96875,0.96875,76000
1985-02-26,0,1.03125,0.96875,0.96875,27200
1985-02-27,0,1.03125,0.96875,0.96875,9600
1985-02-28,0,1.03125,0.96875,0.96875,52800
1985-03-01,0,1.0625,0.96875,0.96875,64000
1985-03-04,0,1.0625,1,1,63200
1985-03-05,0,1.0625,1,1,56800
1985-03-06,0,1.0625,1.03125,1.03125,168000
1985-03-07,0,1.125,1.0625,1.0625,166400
1985-03-08,0,1.1875,1.125,1.125,192000
