mtry,min_n,.metric,.estimator,mean,n,std_err,.config
3,1,mae,standard,0.3089781172069234,10,0.013785778263304365,Model01
3,1,rmse,standard,0.4264834761738394,10,0.028810819365787808,Model01
3,1,rsq,standard,0.6676576687459943,10,0.016725897116733342,Model01
5,1,mae,standard,0.306738902200191,10,0.01399418247916385,Model02
5,1,rmse,standard,0.42709074850146633,10,0.030478086835606995,Model02
5,1,rsq,standard,0.6589054182649013,10,0.01924104037705929,Model02
7,1,mae,standard,0.3067995477511907,10,0.014464445339382702,Model03
7,1,rmse,standard,0.4308314508199157,10,0.03341599933048739,Model03
7,1,rsq,standard,0.6500627469843926,10,0.023973658672479296,Model03
10,1,mae,standard,0.30877798741742085,10,0.013772332375281165,Model04
10,1,rmse,standard,0.4364571944510001,10,0.03365158701157411,Model04
10,1,rsq,standard,0.6335054092430242,10,0.02697751244045938,Model04
3,3,mae,standard,0.30860183871506974,10,0.01374632669650822,Model05
3,3,rmse,standard,0.42697677084073404,10,0.030175681876519055,Model05
3,3,rsq,standard,0.6669672558040308,10,0.01877416572240645,Model05
5,3,mae,standard,0.3064063671574202,10,0.014003837396534562,Model06
5,3,rmse,standard,0.4247419737562814,10,0.028355069241673234,Model06
5,3,rsq,standard,0.6646637134503067,10,0.015615566418663242,Model06
7,3,mae,standard,0.309622026523066,10,0.014170713979482842,Model07
7,3,rmse,standard,0.43391636342789974,10,0.03234487090318629,Model07
7,3,rsq,standard,0.6433362518863306,10,0.02242314016704514,Model07
10,3,mae,standard,0.3113540038816133,10,0.013859968969588575,Model08
10,3,rmse,standard,0.4385917271161407,10,0.03324594279186941,Model08
10,3,rsq,standard,0.6308824826398699,10,0.025762587232292113,Model08
3,5,mae,standard,0.31516057846988876,10,0.013607180644952562,Model09
3,5,rmse,standard,0.4323863948479299,10,0.027231907864786964,Model09
3,5,rsq,standard,0.65811457611581,10,0.01332281524523463,Model09
5,5,mae,standard,0.3094146948356462,10,0.014273910098842598,Model10
5,5,rmse,standard,0.4278673517675424,10,0.029021385152832868,Model10
5,5,rsq,standard,0.6580490692645949,10,0.016770723173094946,Model10
7,5,mae,standard,0.31062964295007817,10,0.014116819430482704,Model11
7,5,rmse,standard,0.43011274312506453,10,0.02953167359610206,Model11
7,5,rsq,standard,0.6515507783734877,10,0.01907688115639975,Model11
10,5,mae,standard,0.31586180710658257,10,0.014825808909572037,Model12
10,5,rmse,standard,0.4435768133395633,10,0.034947454092003845,Model12
10,5,rsq,standard,0.6211816989692265,10,0.029481148735325483,Model12
3,7,mae,standard,0.3172809702269356,10,0.013551631352200012,Model13
3,7,rmse,standard,0.4348470291635686,10,0.027785572982608468,Model13
3,7,rsq,standard,0.653663000110874,10,0.018118177165462726,Model13
5,7,mae,standard,0.31243649200778917,10,0.01430868879739805,Model14
5,7,rmse,standard,0.43326234600919183,10,0.03030248884818658,Model14
5,7,rsq,standard,0.6504193950752591,10,0.01952315577694992,Model14
7,7,mae,standard,0.31320070693416546,10,0.014107646419582948,Model15
7,7,rmse,standard,0.43649562275455384,10,0.03178722337403473,Model15
7,7,rsq,standard,0.6389930117597289,10,0.022092701963078207,Model15
10,7,mae,standard,0.31412965738890447,10,0.014793581017023801,Model16
10,7,rmse,standard,0.4413516838162344,10,0.03315881137243416,Model16
10,7,rsq,standard,0.6264348010947509,10,0.02681783572713648,Model16
