date,open,high,low,close,volume
1989-06-27,4.5,6.75,4.5,4.5,5683
1989-06-28,4.5,6.75,4.5,4.5,1500
1989-06-29,4.5,6.75,4.5,4.5,1367
1989-06-30,4.5,6.75,4.5,4.5,267
1989-07-03,4.5,6.75,4.5,4.5,1317
1989-07-05,4.5,6.75,4.5,4.5,1167
1989-07-06,4.5,6.75,4.5,4.5,1317
1989-07-07,4.5,6.75,4.5,4.5,967
1989-07-10,4.5,6.75,4.5,4.5,2050
1989-07-11,4.5,6.75,4.5,4.5,1717
1989-07-12,4.5,6.75,4.5,4.5,1750
1989-07-13,4.5,6.75,4.5,4.5,1267
1989-07-14,4.5,6.75,4.5,4.5,1017
1989-07-17,4.5,6.75,4.5,4.5,767
1989-07-18,4.5,6.75,4.5,4.5,4300
1989-07-19,4.5,6.75,4.5,4.5,2617
1989-07-20,4.5,6.75,4.5,4.5,2050
1989-07-21,4.5,6.75,4.5,4.5,5067
1989-07-24,4.5,4.5,4.5,4.5,0
1989-07-25,4.5,6.75,4.5,4.5,9250
1989-07-26,4.5,6.75,4.5,4.5,217
1989-07-27,4.5,6.75,4.5,4.5,167
1989-07-28,4.5,6.75,4.5,4.5,4417
1989-07-31,4.5,6.75,4.5,4.5,417
1989-08-01,4.5,6.75,4.5,4.5,4417
1989-08-02,4.5,6.75,4.5,4.5,2150
1989-08-03,4.5,6.75,4.5,4.5,3717
1989-08-04,4.5,6.75,4.5,4.5,1067
1989-08-07,4.5,6.75,4.5,4.5,667
1989-08-08,4.5,6.75,4.5,4.5,2650
1989-08-09,4.5,6.75,4.5,4.5,417
1989-08-10,4.5,6.75,4.5,4.5,3350
1989-08-11,4.5,6.75,4.5,4.5,3117
1989-08-14,4.5,6.75,4.5,4.5,317
1989-08-15,4.5,6.75,4.5,4.5,2317
1989-08-16,4.5,6.75,4.5,4.5,4617
1989-08-17,4.5,6.75,4.5,4.5,4700
1989-08-18,4.5,6.75,4.5,4.5,3100
1989-08-21,4.5,6.75,4.5,4.5,1567
1989-08-22,4.5,6.75,4.5,4.5,1567
1989-08-23,4.5,6.75,4.5,4.5,3067
1989-08-24,4.5,6.75,4.5,4.5,667
1989-08-25,4.5,6.75,4.5,4.5,750
1989-08-28,4.5,6.75,4.5,4.5,367
1989-08-29,4.5,6.75,4.5,4.5,1850
1989-08-30,4.5,6.75,4.5,4.5,3000
1989-08-31,4.5,6.75,4.5,4.5,317
1989-09-01,4.5,6.75,4.125,4.125,2817
1989-09-05,4.125,6.75,4.125,4.125,1617
1989-09-06,4.125,6.75,4.125,4.125,767
1989-09-07,4.125,6.75,4.125,4.125,2417
1989-09-08,4.125,6.75,4.125,4.125,2050
1989-09-11,4.125,6.75,4.125,4.125,750
1989-09-12,4.125,6.75,4.125,4.125,1367
1989-09-13,4.125,6.75,4.125,4.125,817
1989-09-14,4.125,6.75,4.125,4.125,1550
1989-09-15,4.125,6.75,4.125,4.125,1517
1989-09-18,4.125,6.75,4.125,4.125,917
1989-09-19,4.125,6.75,4.125,4.125,2067
1989-09-20,4.125,6.75,4.125,4.125,1467
1989-09-21,4.125,6.75,4.125,4.125,2500
1989-09-22,4.125,6.75,4.125,4.125,4400
1989-09-25,4.125,6.75,4.125,4.125,317
1989-09-26,4.125,6,4.125,4.125,367
1989-09-27,4.125,6,4.125,4.125,1117
1989-09-28,4.125,6,4.125,4.125,917
1989-09-29,4.125,6,4.125,4.125,567
1989-10-02,4.125,6,4.125,4.125,1017
1989-10-03,4.125,6,4.125,4.125,1767
1989-10-04,4.125,6,4.125,4.125,1517
1989-10-05,4.125,6,4.125,4.125,1117
1989-10-06,4.125,6,4.125,4.125,6467
1989-10-09,4.125,6,4.125,4.125,2450
1989-10-10,4.125,6,4.125,4.125,867
1989-10-11,4.125,6,4.125,4.125,1267
1989-10-12,4.125,6,4.125,4.125,1600
1989-10-13,4.125,6,4.125,4.125,4667
1989-10-16,4.125,6,4.125,4.125,500
1989-10-17,4.125,6,4.125,4.125,1700
1989-10-18,4.125,6,4.125,4.125,2767
1989-10-19,4.125,6,4.125,4.125,5167
1989-10-20,4.125,6,4.125,4.125,14567
1989-10-23,4.125,6,4.125,4.125,667
1989-10-24,4.125,6,4.125,4.125,800
1989-10-25,4.125,6,4.125,4.125,3000
1989-10-26,4.125,6,4.125,4.125,3150
1989-10-27,4.125,6,4.125,4.125,2250
1989-10-30,4.5,6,4.5,4.5,417
1989-10-31,4.5,6,4.5,4.5,2567
1989-11-01,4.5,6,4.5,4.5,750
1989-11-02,4.5,6.75,4.5,4.5,2967
1989-11-03,4.875,6.75,4.875,4.875,7967
1989-11-06,5.25,6.75,5.25,5.25,4450
1989-11-07,5.25,6.75,5.25,5.25,3817
1989-11-08,5.25,6.75,4.875,4.875,3367
