date,open,high,low,close,volume
1994-12-19,2.9375,3.25,2.9375,3,384800
1994-12-20,3.125,3.125,2.875,2.96875,109400
1994-12-21,2.96875,3,2.875,2.875,49200
1994-12-22,3.125,3.125,2.875,3,20900
1994-12-23,3,3,3,3,0
1994-12-27,3,3,3,3,0
1994-12-28,2.875,2.96875,2.75,2.75,55500
1994-12-29,2.875,2.875,2.875,2.875,27500
1994-12-30,2.75,2.75,2.75,2.75,3000
1995-01-03,2.75,2.75,2.75,2.75,23000
1995-01-04,2.875,2.875,2.875,2.875,2100
1995-01-05,2.875,3,2.75,2.75,26200
1995-01-06,3,3,2.75,3,20000
1995-01-09,3,3,2.75,3,21000
1995-01-10,3,3,2.75,2.75,16900
1995-01-11,2.875,3,2.75,3,20300
1995-01-12,2.75,3,2.75,3,24400
1995-01-13,2.75,3,2.75,2.9375,32400
1995-01-16,3,3,2.75,3,17700
1995-01-17,2.96875,3,2.75,3,15900
1995-01-18,2.75,2.9375,2.75,2.75,37400
1995-01-19,2.9375,2.9375,2.75,2.75,42200
1995-01-20,2.75,2.875,2.75,2.875,77300
1995-01-23,2.75,3,2.75,2.875,8400
1995-01-24,2.75,3,2.75,2.75,20000
1995-01-25,2.75,3,2.625,3,15400
1995-01-26,2.875,3,2.625,2.75,14400
1995-01-27,3,3,2.625,2.875,45600
1995-01-30,2.625,2.875,2.625,2.625,9200
1995-01-31,2.875,2.875,2.625,2.625,6100
1995-02-01,2.875,2.875,2.625,2.625,14800
1995-02-02,2.875,2.875,2.625,2.625,8200
1995-02-03,2.625,2.625,2.625,2.625,5400
1995-02-06,2.75,2.75,2.3125,2.375,53700
1995-02-07,2.5,2.5,2.3125,2.5,41200
1995-02-08,2.5,2.625,2.3125,2.625,25900
1995-02-09,2.375,2.625,2.375,2.4375,26800
1995-02-10,2.375,2.625,2.375,2.625,110400
1995-02-13,2.5,2.625,2.5,2.5,18500
1995-02-14,2.625,2.625,2.5,2.625,16100
1995-02-15,2.5,2.625,2.5,2.625,100300
1995-02-16,2.5,2.625,2.5,2.5,26200
1995-02-17,2.5,2.75,2.5,2.75,53100
1995-02-21,2.5,2.75,2.5,2.75,7100
1995-02-22,2.75,3,2.5,2.75,37700
1995-02-23,2.75,3,2.75,3,19400
1995-02-24,3,3,2.75,2.75,13900
1995-02-27,3,3,2.75,3,49100
1995-02-28,2.875,3,2.75,2.75,33000
1995-03-01,2.625,3,2.625,3,78600
1995-03-02,2.6875,3,2.625,3,16600
1995-03-03,2.625,3,2.625,2.625,26600
1995-03-06,2.625,3,2.625,3,9700
1995-03-07,3,3,2.75,3,55000
1995-03-08,2.75,2.875,2.625,2.875,41600
1995-03-09,3,3,2.625,2.75,20000
1995-03-10,3.125,3.125,2.8125,2.8125,18900
1995-03-13,3.125,3.125,2.84375,2.875,25400
1995-03-14,3.0625,3.0625,2.875,2.875,26800
1995-03-15,2.875,3.0625,2.875,2.875,32800
1995-03-16,2.875,3.0625,2.875,3.0625,15900
1995-03-17,2.875,3.0625,2.875,3,23400
1995-03-20,2.875,3.0625,2.875,2.875,14400
1995-03-21,2.875,3.0625,2.875,3.0625,48400
1995-03-22,3.0625,3.0625,2.875,2.875,99300
1995-03-23,2.875,3.0625,2.875,2.875,78500
1995-03-24,2.875,3.0625,2.875,2.875,113100
1995-03-27,2.875,3,2.875,2.875,7000
1995-03-28,2.875,3,2.875,2.875,25700
1995-03-29,2.875,3,2.75,2.75,13500
1995-03-30,2.75,2.875,2.75,2.75,6800
1995-03-31,2.75,3,2.75,2.75,17500
1995-04-03,3.0625,3.0625,2.75,3.0625,11400
1995-04-04,2.75,3.0625,2.75,3.0625,4400
1995-04-05,3.0625,3.0625,2.75,3.0625,14600
1995-04-06,3.0625,3.0625,2.75,2.875,11000
1995-04-07,3.0625,3.0625,2.75,3.0625,19200
1995-04-10,3.0625,3.0625,2.75,2.75,19200
1995-04-11,3.0625,3.0625,2.625,2.625,35100
1995-04-12,2.875,2.875,2.625,2.625,21500
1995-04-13,2.625,2.75,2.625,2.75,37500
1995-04-17,2.75,2.75,2.625,2.625,17700
1995-04-18,2.75,2.75,2.625,2.625,33700
1995-04-19,2.75,2.75,2.625,2.75,20200
1995-04-20,2.75,2.875,2.625,2.875,34900
1995-04-21,2.875,2.875,2.625,2.625,81900
1995-04-24,2.875,2.875,2.625,2.75,23200
1995-04-25,2.875,3.125,2.75,3,50400
1995-04-26,3.125,3.125,2.8125,3.125,33400
1995-04-27,3.125,3.125,2.8125,3.125,26800
1995-04-28,2.9375,3.125,2.8125,3.125,30100
1995-05-01,3.125,3.125,2.875,2.875,36100
1995-05-02,3.125,3.625,2.875,3.5,273000
1995-05-03,3.5,3.625,3.25,3.375,50600
1995-05-04,3.375,3.375,3,3,60500
1995-05-05,3.03125,3.25,3.03125,3.25,57700
1995-05-08,3.25,3.3125,3.0625,3.0625,15400
1995-05-09,3.0625,3.3125,3.0625,3.3125,14700
1995-05-10,3.0625,3.3125,3.0625,3.0625,25000
1995-05-11,2.8125,3.25,2.75,3,113200
1995-05-12,3.25,3.25,3,3,47700
1995-05-15,3.125,3.25,3,3.125,47300
1995-05-16,3.25,3.375,3.1875,3.1875,70700
1995-05-17,3.1875,3.75,3.1875,3.75,200300
1995-05-18,3.75,3.75,3.375,3.625,308400
1995-05-19,3.625,4,3.5,3.96875,508300
