date,open,high,low,close,volume
2017-12-11,9.75,9.75,9.75,9.75,100
2017-12-12,9.75,9.75,9.75,9.75,0
2017-12-13,9.9,9.9,9.7,9.7,4400
2017-12-14,9.7,9.7,9.7,9.7,0
2017-12-15,9.7,9.7,9.7,9.7,0
2017-12-18,9.7,9.7,9.7,9.7,0
2017-12-19,9.7,9.7,9.7,9.7,0
2017-12-20,9.7,9.7,9.7,9.7,0
2017-12-21,9.65,9.65,9.65,9.65,175000
2017-12-22,9.65,9.65,9.65,9.65,0
2017-12-26,9.65,9.65,9.65,9.65,0
2017-12-27,9.7,9.7,9.7,9.7,100
2017-12-28,9.7,9.7,9.7,9.7,0
2017-12-29,9.7,9.7,9.7,9.7,0
2018-01-02,9.725,9.725,9.725,9.725,1000
2018-01-03,9.725,9.725,9.725,9.725,0
2018-01-04,9.725,9.725,9.725,9.725,0
2018-01-05,9.675,9.7,9.675,9.693,6000
2018-01-08,9.693,9.693,9.693,9.693,0
2018-01-09,9.693,9.693,9.693,9.693,0
2018-01-10,9.693,9.693,9.693,9.693,0
2018-01-11,9.79,9.8,9.7,9.7,6700
2018-01-12,9.7,9.7,9.7,9.7,0
2018-01-16,9.693,9.693,9.693,9.693,2000
2018-01-17,9.8,9.8,9.73,9.73,600
2018-01-18,9.8,9.82,9.73,9.82,3500
2018-01-19,9.77,9.82,9.73,9.73,1200
2018-01-22,9.7,9.7,9.7,9.7,100100
2018-01-23,9.7,9.7,9.7,9.7,0
2018-01-24,9.7,9.7,9.7,9.7,0
2018-01-25,9.7,9.7,9.7,9.7,0
2018-01-26,9.7,9.7,9.7,9.7,0
2018-01-29,9.7,9.7,9.7,9.7,0
2018-01-30,9.7,9.7,9.7,9.7,0
2018-01-31,9.7,9.7,9.7,9.7,0
2018-02-01,9.7,9.7,9.7,9.7,0
2018-02-02,9.7,9.7,9.7,9.7,0
2018-02-05,9.7,9.7,9.7,9.7,0
2018-02-06,9.9,9.9,9.6,9.7,51000
2018-02-07,9.7,9.7,9.7,9.7,0
2018-02-08,9.7,9.7,9.7,9.7,0
2018-02-09,9.6,9.7,9.6,9.6,8600
2018-02-12,9.61,9.61,9.6,9.6,1000
2018-02-13,9.649,9.649,9.649,9.649,1000
2018-02-14,9.6,9.7,9.6,9.63,7700
2018-02-15,9.6,9.7,9.6,9.6,6100
2018-02-16,9.6,9.641,9.49,9.6,159000
2018-02-20,9.61,9.61,9.6,9.6,5100
2018-02-21,9.58,9.615,9.58,9.58,5000
2018-02-22,9.58,9.58,9.58,9.58,0
2018-02-23,9.58,9.58,9.58,9.58,0
2018-02-26,9.58,9.58,9.58,9.58,0
2018-02-27,9.57,9.57,9.57,9.57,6200
2018-02-28,9.57,9.57,9.57,9.57,0
2018-03-01,9.57,9.57,9.57,9.57,0
2018-03-02,9.57,9.57,9.57,9.57,0
2018-03-05,9.57,9.57,9.57,9.57,320000
2018-03-06,9.57,9.57,9.57,9.57,6400
2018-03-07,9.65,9.65,9.64,9.65,5000
2018-03-08,9.65,9.65,9.65,9.65,0
2018-03-09,9.65,9.65,9.65,9.65,0
2018-03-12,9.65,9.65,9.65,9.65,0
2018-03-13,9.69,9.7,9.69,9.7,1000
2018-03-14,9.7,9.7,9.7,9.7,0
2018-03-15,9.7,9.7,9.7,9.7,0
2018-03-16,9.7,9.7,9.7,9.7,0
2018-03-19,9.65,9.65,9.65,9.65,200
2018-03-20,9.65,9.65,9.65,9.65,0
2018-03-21,9.65,9.65,9.65,9.65,0
2018-03-22,9.65,9.65,9.65,9.65,0
2018-03-23,9.65,9.65,9.65,9.65,0
2018-03-26,9.65,9.65,9.65,9.65,0
2018-03-27,9.65,9.65,9.65,9.65,0
2018-03-28,9.66,9.75,9.66,9.75,7500
2018-03-29,9.7,9.8,9.7,9.75,255900
2018-04-02,9.75,9.75,9.75,9.75,100
2018-04-03,9.75,9.75,9.75,9.75,0
2018-04-04,9.75,9.75,9.7,9.75,300
2018-04-05,9.75,9.75,9.75,9.75,0
2018-04-06,9.7,9.72,9.7,9.72,200
2018-04-09,9.72,9.72,9.72,9.72,0
2018-04-10,9.72,9.72,9.72,9.72,0
2018-04-11,9.72,9.72,9.72,9.72,0
2018-04-12,9.72,9.72,9.72,9.72,0
2018-04-13,9.72,9.72,9.72,9.72,0
2018-04-16,9.72,9.72,9.72,9.72,0
2018-04-17,9.72,9.72,9.72,9.72,0
2018-04-18,9.72,9.72,9.72,9.72,0
2018-04-19,9.72,9.72,9.72,9.72,0
2018-04-20,9.72,9.72,9.72,9.72,0
2018-04-23,9.75,9.75,9.7,9.7,6700
2018-04-24,9.8,9.8,9.57,9.57,5100
2018-04-25,9.64,9.75,9.64,9.75,2900
2018-04-26,9.75,9.75,9.75,9.75,0
2018-04-27,9.75,9.75,9.75,9.75,0
2018-04-30,9.68,9.73,9.647,9.647,1579900
2018-05-01,9.66,9.69,9.65,9.68,4600
2018-05-02,9.68,9.68,9.68,9.68,0
2018-05-03,9.65,9.68,9.62,9.68,602100
2018-05-04,9.68,9.68,9.68,9.68,0
2018-05-07,9.68,9.68,9.68,9.68,0
2018-05-08,9.68,9.7,9.68,9.7,1200
2018-05-09,9.66,9.66,9.66,9.66,57100
2018-05-10,9.66,9.66,9.66,9.66,0
2018-05-11,9.66,9.66,9.66,9.66,0
2018-05-14,9.71,9.71,9.71,9.71,100
2018-05-15,9.71,9.71,9.71,9.71,0
2018-05-16,9.71,9.71,9.71,9.71,400
2018-05-17,9.68,9.7,9.63,9.7,205700
2018-05-18,9.7,9.7,9.7,9.7,1300
2018-05-21,9.74,9.74,9.66,9.71,250600
2018-05-22,9.74,9.74,9.71,9.71,400
2018-05-23,9.71,9.71,9.71,9.71,0
2018-05-24,9.71,9.71,9.71,9.71,0
2018-05-25,9.71,9.71,9.71,9.71,0
2018-05-29,9.74,9.74,9.74,9.74,100
2018-05-30,9.74,9.74,9.74,9.74,0
2018-05-31,9.74,9.74,9.74,9.74,0
2018-06-01,9.74,9.74,9.74,9.74,0
2018-06-04,9.69,9.74,9.69,9.74,1600
2018-06-05,9.7,9.73,9.68,9.68,6100
2018-06-06,9.68,9.7,9.66,9.66,1216500
2018-06-07,9.66,9.66,9.66,9.66,100
2018-06-08,9.66,9.66,9.66,9.66,0
2018-06-11,9.71,9.71,9.71,9.71,100
2018-06-12,9.71,9.71,9.71,9.71,0
2018-06-13,9.67,9.71,9.66,9.71,11000
2018-06-14,9.711,9.711,9.711,9.711,500
2018-06-15,9.69,9.69,9.69,9.69,200
2018-06-18,9.69,9.69,9.69,9.69,100000
2018-06-19,9.69,9.69,9.69,9.69,0
2018-06-20,9.68,9.68,9.68,9.68,80000
2018-06-21,9.68,9.68,9.68,9.68,50000
2018-06-22,9.68,9.68,9.68,9.68,75000
2018-06-25,9.68,9.68,9.68,9.68,0
2018-06-26,9.68,9.68,9.68,9.68,0
2018-06-27,9.69,9.7,9.68,9.68,26300
2018-06-28,9.68,9.68,9.68,9.68,0
2018-06-29,9.7,9.75,9.68,9.68,77700
2018-07-02,9.68,9.68,9.68,9.68,0
2018-07-03,9.7,9.7,9.68,9.68,100200
2018-07-05,9.68,9.68,9.68,9.68,33000
2018-07-06,9.69,9.69,9.68,9.68,3900
2018-07-09,9.68,9.68,9.68,9.68,59900
2018-07-10,9.69,9.69,9.68,9.68,129900
2018-07-11,9.69,9.7,9.68,9.7,1800
2018-07-12,9.71,9.72,9.7,9.72,4300
2018-07-13,9.72,9.72,9.72,9.72,0
2018-07-16,9.7,9.7,9.7,9.7,100
2018-07-17,9.7,9.7,9.7,9.7,0
2018-07-18,9.7,9.7,9.7,9.7,72100
2018-07-19,9.72,9.72,9.72,9.72,27400
2018-07-20,9.73,9.75,9.73,9.75,3500
2018-07-23,9.75,9.75,9.73,9.73,6500
2018-07-24,9.75,9.75,9.75,9.75,900
2018-07-25,9.75,9.75,9.75,9.75,0
2018-07-26,9.75,9.75,9.75,9.75,0
2018-07-27,9.75,9.75,9.75,9.75,0
2018-07-30,9.75,9.75,9.75,9.75,0
2018-07-31,9.72,9.72,9.72,9.72,350500
2018-08-01,9.72,9.74,9.72,9.74,324900
2018-08-02,9.74,9.75,9.74,9.75,13100
2018-08-03,9.75,9.75,9.75,9.75,17300
2018-08-06,9.75,9.75,9.75,9.75,0
2018-08-07,9.75,9.75,9.75,9.75,0
2018-08-08,9.75,9.75,9.75,9.75,0
2018-08-09,9.75,9.75,9.75,9.75,0
2018-08-10,9.71,9.71,9.71,9.71,19000
2018-08-13,9.71,9.71,9.71,9.71,12800
2018-08-14,9.75,9.78,9.75,9.78,28700
2018-08-15,9.78,9.8,9.78,9.8,22600
2018-08-16,9.8,9.81,9.8,9.81,2800
2018-08-17,9.82,9.85,9.82,9.85,19500
2018-08-20,9.85,9.85,9.85,9.85,0
2018-08-21,9.85,9.85,9.8,9.8,300
2018-08-22,9.8,9.8,9.79,9.8,23700
2018-08-23,9.8,9.8,9.8,9.8,200
2018-08-24,9.8,9.8,9.8,9.8,0
2018-08-27,9.78,9.78,9.71,9.76,62400
2018-08-28,9.76,9.76,9.76,9.76,0
2018-08-29,9.76,9.76,9.76,9.76,0
2018-08-30,9.76,9.76,9.76,9.76,0
2018-08-31,9.8,9.8,9.8,9.8,3200
2018-09-04,9.77,9.78,9.77,9.78,5300
2018-09-05,9.77,9.77,9.77,9.77,1000
2018-09-06,9.77,9.77,9.77,9.77,0
2018-09-07,9.77,9.77,9.77,9.77,0
2018-09-10,9.77,9.77,9.77,9.77,0
2018-09-11,9.77,9.77,9.77,9.77,0
2018-09-12,9.77,9.77,9.77,9.77,0
2018-09-13,9.77,9.77,9.77,9.77,0
2018-09-14,9.77,9.77,9.77,9.77,0
2018-09-17,9.77,9.77,9.77,9.77,0
2018-09-18,9.75,9.8,9.75,9.8,26000
2018-09-19,9.8,9.8,9.8,9.8,0
2018-09-20,9.8,9.8,9.8,9.8,100
2018-09-21,9.72,9.72,9.72,9.72,200
2018-09-24,9.72,9.72,9.72,9.72,900
2018-09-25,9.77,9.77,9.75,9.75,17700
2018-09-26,9.75,9.75,9.75,9.75,0
2018-09-27,9.75,9.75,9.75,9.75,0
2018-09-28,9.75,9.75,9.75,9.75,0
2018-10-01,9.75,9.75,9.75,9.75,0
2018-10-02,9.75,9.75,9.75,9.75,0
2018-10-03,9.73,9.79,9.73,9.79,10300
2018-10-04,9.8,9.82,9.75,9.82,1700
2018-10-05,9.82,9.82,9.82,9.82,0
2018-10-08,9.82,9.82,9.82,9.82,100
2018-10-09,9.82,9.82,9.82,9.82,100
2018-10-10,9.82,9.82,9.82,9.82,100
2018-10-11,9.82,9.82,9.82,9.82,100
2018-10-12,9.82,9.82,9.82,9.82,0
2018-10-15,9.82,9.82,9.82,9.82,0
2018-10-16,9.82,9.82,9.82,9.82,100
2018-10-17,9.82,9.82,9.82,9.82,100
2018-10-18,9.82,9.82,9.82,9.82,100
2018-10-19,9.82,9.82,9.82,9.82,0
2018-10-22,9.77,9.82,9.77,9.82,2100
2018-10-23,9.85,9.85,9.8,9.84,1200
2018-10-24,9.84,9.85,9.8,9.85,1200
2018-10-25,9.85,9.85,9.85,9.85,0
2018-10-26,9.85,9.85,9.85,9.85,0
2018-10-29,9.85,9.85,9.85,9.85,0
2018-10-30,9.76,9.9,9.76,9.85,507100
2018-10-31,9.8,9.85,9.78,9.82,1019000
2018-11-01,9.86,9.86,9.86,9.86,43600
2018-11-02,9.88,9.88,9.82,9.87,300
2018-11-05,9.87,9.87,9.87,9.87,0
2018-11-06,9.83,9.88,9.82,9.88,1300
2018-11-07,9.88,9.88,9.84,9.88,4300
2018-11-08,9.88,9.88,9.88,9.88,1000
2018-11-09,9.85,9.87,9.84,9.87,600
2018-11-12,9.87,9.87,9.87,9.87,100
2018-11-13,9.82,9.84,9.82,9.84,800
2018-11-14,9.85,9.85,9.81,9.81,200
2018-11-15,9.86,9.86,9.86,9.86,200
2018-11-16,9.86,9.86,9.86,9.86,0
2018-11-19,9.86,9.86,9.86,9.86,0
2018-11-20,9.86,9.86,9.86,9.86,0
2018-11-21,9.86,9.86,9.86,9.86,0
2018-11-23,9.9,9.9,9.9,9.9,400
