date,open,high,low,close,volume
2017-05-24,12,14,11.5,13.45,1415200
2017-05-25,13.85,14.32,13.35,13.5,237900
2017-05-26,13.36,13.624,12.46,13.23,56200
2017-05-30,13.2,13.255,12.28,12.98,71200
2017-05-31,13.02,13.5,12.93,13.1,55700
2017-06-01,13.08,14,13.08,13.45,128100
2017-06-02,13.52,14.1,13.235,14.09,35900
2017-06-05,14.06,17.25,14.06,16,158500
2017-06-06,15.93,17.200001,15.116,15.7,45500
2017-06-07,15.8,16.549999,15.8,15.94,51800
2017-06-08,16.35,16.35,15.524,15.98,15300
2017-06-09,15.81,16.209,15.13,15.74,21600
2017-06-12,15.8,15.8,13.91,14.05,33900
2017-06-13,14.2,14.61,13.65,14.52,45600
2017-06-14,14.59,15.71,14.316,15.04,57500
2017-06-15,15.22,15.98,14.578,15.15,11300
2017-06-16,15.01,15.45,14.866,15.3,18400
2017-06-19,15.95,16.309999,15.147,15.3,182200
2017-06-20,15.4,15.8,15.06,15.28,62200
2017-06-21,15.4,15.954,15.195,15.75,91900
2017-06-22,15.81,17.07,15.46,16.200001,370800
2017-06-23,17.299999,17.690001,16.200001,17.209999,594800
2017-06-26,17.360001,17.65,16.5,16.82,118200
2017-06-27,16.68,17,15.83,16.440001,160800
2017-06-28,16.459999,16.974001,16.02,16.450001,85800
2017-06-29,16.41,16.5,15.69,16.290001,82900
2017-06-30,16.290001,16.525,15.37,16.190001,61100
2017-07-03,16.18,16.780001,15.59,15.71,85700
2017-07-05,15.98,16.5,15.75,16.09,172800
2017-07-06,15.99,16.18,15.4,16.02,145000
2017-07-07,15.99,16.280001,15.49,15.99,118000
2017-07-10,15.85,15.901,15.63,15.76,44100
2017-07-11,15.64,15.75,15.15,15.36,99700
2017-07-12,15.33,15.98,15.25,15.4,88300
2017-07-13,15.21,15.7,15.044,15.5,69000
2017-07-14,15.29,15.75,15.18,15.63,109000
2017-07-17,15.62,17.125,15.43,16.799999,235300
2017-07-18,16.85,17.200001,16.120001,17.120001,88800
2017-07-19,16.98,17.200001,16.57,16.82,115300
2017-07-20,16.75,16.950001,16.132999,16.26,57000
2017-07-21,16.15,16.559999,15.85,16.120001,36000
2017-07-24,16.120001,16.344999,15.85,15.86,36900
2017-07-25,15.71,16.412001,14.81,16.23,251900
2017-07-26,16.459999,19.27,16.42,19,246900
2017-07-27,18.75,19.09,17.77,18,186600
2017-07-28,17.790001,19,17.790001,18.4,70400
2017-07-31,18.4,18.889999,17.799999,18.09,231900
2017-08-01,18.129999,18.561001,18.01,18.4,213400
2017-08-02,18.572001,18.572001,17.775999,18.27,115600
2017-08-03,18.27,19.5,17.77,18.790001,288200
2017-08-04,18.790001,19.471001,17.85,18.75,163000
2017-08-07,18.57,19.35,18.145,18.25,114700
2017-08-08,18.43,18.584,17.922001,18.1,76700
2017-08-09,18.110001,18.68,17.9,18.42,47500
2017-08-10,17.961,18.5,16.1,18.1,258200
2017-08-11,18.1,18.391001,17.75,18.33,32300
2017-08-14,18.5,19,18,18.610001,92500
2017-08-15,18.370001,19.219999,18.17,19.200001,64500
2017-08-16,19.25,20.6,19.031,19.389999,172800
2017-08-17,19.1,19.389999,17.139999,18,168400
2017-08-18,18.030001,18.690001,17.76,18.415001,40600
2017-08-21,18.450001,18.48,17.52,18.23,65700
2017-08-22,18.219999,18.527,18.035,18.4,28500
2017-08-23,18.17,18.91,17.941,18.58,57900
2017-08-24,18.469999,18.940001,18.18,18.48,60400
2017-08-25,18.84,18.85,18.16,18.4,56900
2017-08-28,18.4,18.450001,18,18.379999,25800
2017-08-29,18.18,18.540001,18.165001,18.469999,73000
2017-08-30,18.6,18.84,18.215,18.459999,114500
2017-08-31,18.84,20.084999,18.65,19.870001,468400
2017-09-01,20.35,21.736,20.201,20.879999,368600
2017-09-05,21.280001,21.495001,20.049999,20.700001,629900
2017-09-06,20.950001,22.76,20.177999,22.190001,524400
2017-09-07,22.59,24.01,22.320999,22.700001,391300
2017-09-08,23.120001,23.389999,22.1,22.450001,275600
2017-09-11,22.889999,23.290001,22.535,22.870001,215700
2017-09-12,22.9,23.93,22.4,23.5,263300
2017-09-13,23.6,24.15,22.610001,23.5,293000
2017-09-14,23.5,23.549999,22.700001,22.950001,458400
2017-09-15,23.1,23.184999,21.26,21.559999,2261900
2017-09-18,21.41,22.405001,21.33,21.75,298900
2017-09-19,22.02,22.059999,21.59,21.99,188600
2017-09-20,22,22.09,21.549999,22.01,116500
2017-09-21,21.84,22.09,21.23,21.84,92100
2017-09-22,21.74,22.149,21.709999,22.01,69900
2017-09-25,22.01,22.344999,21.25,21.719999,112700
2017-09-26,21.82,22.028999,20.719999,20.85,381400
2017-09-27,20.700001,21.530001,20.291,21.450001,297200
2017-09-28,21.440001,22.858,21.440001,22.5,564000
2017-09-29,26.17,27.083,24.700001,26.780001,1273700
2017-10-02,26.75,28.34,26.58,28.07,475200
2017-10-03,27.91,30.117001,26.940001,29.85,509000
2017-10-04,30.299999,31.6,29.809999,30.6,359900
2017-10-05,31.27,32.490002,31.105,31.76,308200
2017-10-06,31.4,32.84,30.422001,32.810001,233900
2017-10-09,33.299999,33.43,32.196999,33,280000
2017-10-10,33.599998,33.619999,31.879999,33.110001,271300
2017-10-11,34,37.106998,33.5,36.93,522600
2017-10-12,37.360001,38.240002,34.610001,34.779999,474400
2017-10-13,33.59,34.108002,31.120001,33.700001,548400
2017-10-16,33.139999,33.139999,29.190001,30.16,716000
2017-10-17,29.709999,32,29.26,30.549999,287200
2017-10-18,30.809999,31.9,30.049999,31.76,241400
2017-10-19,31.41,32.209999,30.799999,31.780001,161500
2017-10-20,32.119999,33.240002,31,31.040001,218300
2017-10-23,31.280001,31.973,30.32,30.610001,184900
2017-10-24,30.91,31.82,30.671,31.48,165300
2017-10-25,31.389999,31.709999,28.860001,30.18,285400
2017-10-26,30.34,30.85,29.129999,29.24,167900
2017-10-27,29.209999,30.812,28.059999,30.389999,253100
2017-10-30,30.98,31.889999,29.51,30.02,288700
2017-10-31,30.49,32.16,30.236,31.370001,220000
2017-11-01,32.099998,32.161999,29.879999,29.959999,207100
2017-11-02,30.08,30.83,29.75,30.65,108800
2017-11-03,31.030001,31.254999,30.041,30.549999,122000
2017-11-06,30.139999,31.389999,29.780001,30.959999,233700
2017-11-07,31.24,31.4,30.280001,30.549999,119100
2017-11-08,30.309999,30.92,29.65,30.76,154500
2017-11-09,30.43,30.43,29.049999,29.82,124200
2017-11-10,29.860001,30.468,29.35,29.549999,95300
2017-11-13,29.549999,29.99,29.049999,29.51,141700
2017-11-14,29.48,29.48,28.379999,28.98,197600
2017-11-15,28.639999,28.879999,27.35,28.700001,213200
2017-11-16,35.490002,37.599998,33.452,35.98,740400
2017-11-17,36.650002,37.099998,35.318001,36.41,361000
2017-11-20,36.810001,37.056,33.209999,33.419998,489400
2017-11-21,33.5,36.91,33.450001,36.529999,368500
2017-11-22,36.830002,40.98,36.731998,40.650002,530400
2017-11-24,41.669998,43.154999,36,36.200001,525600
2017-11-27,36.91,39.700001,36.060001,36.695,503600
2017-11-28,35.799999,37.82,34.509998,36.709999,547500
2017-11-29,36.740002,36.790001,34.209999,34.740002,388600
2017-11-30,32.630001,33,29.309999,29.99,3892200
2017-12-01,30.32,31.322001,30.02,31.120001,1818100
2017-12-04,31.360001,31.73,29.709999,29.809999,880800
2017-12-05,29.719999,31.24,29.09,29.209999,786500
2017-12-06,29.469999,29.839001,27.459999,28.1,1029300
2017-12-07,28.16,30.139999,28.16,29.280001,1517200
2017-12-08,29.77,30.355,28.879999,29.65,569800
2017-12-11,29.85,29.912001,27.874001,28.09,769800
2017-12-12,28.01,28.83,28.01,28.5,320900
2017-12-13,28.57,29.719999,28.25,29.26,557500
2017-12-14,29.85,29.85,28.610001,29.389999,394300
2017-12-15,29.469999,30.48,29.139999,30,1914500
2017-12-18,30.629999,31.51,30.290001,30.83,506500
2017-12-19,30.83,31.25,29.809999,30.25,348400
2017-12-20,30.93,31.790001,30.74,31.65,517000
2017-12-21,31.77,31.9,30.1,31.110001,1147200
2017-12-22,34.02,34.849998,32.200001,34.23,2443700
2017-12-26,34.139999,34.200001,33.150002,33.580002,513200
2017-12-27,33.470001,35.290001,33.009998,34.73,928400
2017-12-28,34.650002,35.310001,34.18,34.349998,506200
2017-12-29,34.439999,34.650002,33.389,33.700001,428200
2018-01-02,34.16,35.779999,33.950001,35.77,661900
2018-01-03,35.900002,36.25,35.099998,35.369999,590800
2018-01-04,35.549999,35.799999,34.82,35.25,371700
2018-01-05,35.5,36.599998,34.509998,36.330002,575000
2018-01-08,36.099998,36.560001,35.73,36.470001,266900
2018-01-09,36.59,36.709999,35.009998,35.529999,374500
2018-01-10,35.18,35.18,33.52,34.279999,681300
2018-01-11,34.459999,35.200001,34.291,34.549999,367500
2018-01-12,34.709999,34.91,34.080002,34.630001,328100
2018-01-16,35.25,36.869999,35.029999,35.75,598700
2018-01-17,36.07,36.98,35.830002,36.68,398400
2018-01-18,36.82,37.68,36.18,37.490002,379100
2018-01-19,37.580002,39.279999,37.082001,38.880001,511100
2018-01-22,39.169998,39.32,38,38.919998,472200
2018-01-23,38.880001,38.880001,38,38.25,315300
2018-01-24,38.240002,38.254002,36.880001,38.119999,331400
2018-01-25,38.43,38.549999,36.671001,37.25,304700
2018-01-26,37.5,38.380001,37.119999,38.349998,264300
2018-01-29,38.59,39.200001,38.310001,38.959999,496300
2018-01-30,38.279999,38.279999,35,35.880001,649300
2018-01-31,36.490002,37.400002,36.099998,36.27,225900
2018-02-01,36,36.630001,34.32,34.849998,409500
2018-02-02,34.25,34.5,32.459999,32.57,386000
2018-02-05,31.969999,32.959999,31.219999,31.23,289000
2018-02-06,30.440001,34.278,29.66,33.950001,461900
2018-02-07,34.060001,34.790001,32.5,34.285,504500
2018-02-08,34.380001,34.528999,31.6,31.6,418300
2018-02-09,32.099998,33.07,30.34,32.18,302100
2018-02-12,32.48,34.092999,32.32,33.439999,302800
2018-02-13,33.380001,33.380001,32.369999,33.169998,181600
2018-02-14,32.889999,34.59,32.201,34.200001,195000
2018-02-15,34.5,34.59,32.169998,32.75,346200
2018-02-16,32.669998,33.57,32.049999,32.73,347000
2018-02-20,32.360001,33.790001,32.25,33.110001,265900
2018-02-21,33.369999,33.779999,33.009998,33.040001,144000
2018-02-22,33.209999,33.529999,31.639999,31.85,252600
2018-02-23,32.09,33.349998,31.969999,33.200001,182300
2018-02-26,33.580002,35,33.549999,34.470001,297500
2018-02-27,34.52,35.849998,34.52,35.130001,327200
2018-02-28,35.290001,35.639999,34.700001,34.720001,214300
2018-03-01,34.810001,35.34,33.581001,33.799999,355900
2018-03-02,32.84,35.259998,32.009998,35.16,424200
2018-03-05,34.93,36.09,34.75,35.459999,314200
2018-03-06,35.880001,38.27,35.5,37.93,544300
2018-03-07,37.119999,38.799999,37.099998,37.490002,431400
2018-03-08,38.119999,40.369999,38.009998,39.705002,883800
2018-03-09,40.490002,40.999001,38.669998,39.610001,546500
2018-03-12,40.110001,40.939999,39.299999,39.900002,449800
2018-03-13,40.209999,40.529999,38.34,38.82,475400
2018-03-14,39.189999,40.189999,38.747002,39.82,368100
2018-03-15,40.099998,42.889999,40.099998,42.16,1050800
2018-03-16,42.720001,45.438999,42.669998,44.220001,1553600
2018-03-19,45.75,46.389999,41.049999,42.290001,1214600
2018-03-20,43.490002,45.450001,43.250999,44.919998,837000
2018-03-21,46.290001,47.720001,45.549999,46.880001,945900
2018-03-22,45.900002,46.52,42.130001,44.07,1347100
2018-03-23,49.349998,51.189999,46.389999,48.919998,2403800
2018-03-26,50.450001,54.689999,50.049999,54,2632200
2018-03-27,54.619999,56.689999,53.02,54.450001,1964400
2018-03-28,53.990002,54.112,48.150002,49.700001,1826100
2018-03-29,50.900002,53.650002,48.741001,49.84,1299900
2018-04-02,49.709999,52.237,49.650002,50.869999,971600
2018-04-03,51.400002,52.699001,48.759998,49.939999,1043600
2018-04-04,44.884998,47.560001,44.5,45.66,2782500
2018-04-05,46.52,47.386002,45.799999,46.220001,1072800
2018-04-06,45.150002,46.409,42.799999,43.580002,1083400
2018-04-09,44.290001,45.365002,42.720001,42.759998,792700
2018-04-10,44.07,45.57,43.279999,45.169998,1214700
2018-04-11,45.029999,46.700001,44.290001,44.950001,726600
2018-04-12,45.290001,46.473,44.429001,45.18,723200
2018-04-13,45.759998,46.830002,44.610001,44.990002,679800
2018-04-16,45.25,45.529999,41.25,42.549999,950700
2018-04-17,43.040001,44.310001,42.849998,44.09,645600
2018-04-18,43.950001,43.990002,42.370998,43.939999,995300
2018-04-19,43.48,44.698002,43.049999,43.240002,577400
2018-04-20,43.040001,43.5,41.360001,41.810001,520900
2018-04-23,42.080002,42.080002,38.849998,39,971000
2018-04-24,39.099998,40.560001,38.59,38.939999,1458700
2018-04-25,38.939999,39.779999,37.426998,38.900002,829500
2018-04-26,39.669998,41.790001,39.16,41.220001,682200
2018-04-27,41.560001,42.970001,38.810001,39,631600
2018-04-30,38.849998,39.902,38.23,39.150002,858300
2018-05-01,39,40.830002,38.849998,40.599998,418800
2018-05-02,40.549999,41.060001,39.23,39.389999,691600
2018-05-03,39.169998,40.27,39,40.09,398500
2018-05-04,39.73,41.154999,39.459999,41.029999,420000
2018-05-07,41.459999,43.459999,41.459999,42.900002,674300
2018-05-08,42.919998,44.060001,42.779999,43.970001,641400
2018-05-09,44.509998,45.240002,44.384998,45.09,506200
2018-05-10,45.25,46.410999,44.130001,45.93,761100
2018-05-11,45.93,46.200001,44.810001,46.029999,491000
2018-05-14,46.279999,47.549999,45.779999,46.060001,705300
2018-05-15,45.849998,46.459999,44.119999,45.549999,722700
2018-05-16,45.73,48.110001,45.714001,47.990002,726800
2018-05-17,47.630001,47.929001,46.66,47.150002,422100
2018-05-18,46.740002,46.98,42.509998,42.830002,1099300
2018-05-21,44.189999,45.34,43.110001,44.009998,983900
2018-05-22,45.040001,45.560001,44.009998,45.459999,859200
2018-05-23,44.830002,46.490002,44.389999,45.09,596400
2018-05-24,45.099998,45.549999,44.450001,45.34,548900
2018-05-25,45.439999,46.689999,45,45.509998,548400
2018-05-29,45.049999,46.990002,44.799999,46.369999,724000
2018-05-30,46.799999,47.360001,45.220001,45.650002,688400
2018-05-31,45.48,46.830002,44.259998,44.529999,491300
2018-06-01,44.759998,46.09,43.23,45.919998,638200
2018-06-04,45.939999,46.59,44.870998,46.5,445500
2018-06-05,47.400002,49.715,46.599998,47.549999,1582600
2018-06-06,47.799999,50.84,47.130001,50.610001,1202200
2018-06-07,50.580002,51.634998,45.23,45.5,1618900
2018-06-08,45.09,45.09,40.299999,41.380001,3450700
2018-06-11,42.200001,44,42,43.310001,1213100
2018-06-12,44.290001,44.950001,43.375,44.689999,916300
2018-06-13,44.5,44.900002,41.98,43.040001,1344000
2018-06-14,43.259998,44,42.298,42.799999,679200
2018-06-15,42.490002,42.584999,41.18,42.049999,691400
2018-06-18,41.740002,43.419998,41.34,43.18,670100
2018-06-19,42.02,42.509998,40.799999,41.220001,960800
2018-06-20,42.490002,42.490002,40.09,40.540001,923700
2018-06-21,41.990002,41.990002,39.43,39.849998,2067500
2018-06-22,39.959999,40.169998,34.5,35.060001,4085200
2018-06-25,34.799999,34.799999,32.48,33.32,1556300
2018-06-26,33.34,33.950001,31.74,31.879999,1383800
2018-06-27,31.68,33.34,31.67,31.709999,1171500
2018-06-28,31.219999,32.150002,31,31.709999,879800
2018-06-29,31.77,32.52,31.318001,31.870001,634600
2018-07-02,31.33,31.809999,30.500999,31.77,585300
2018-07-03,31.92,32,30.6,30.719999,421500
2018-07-05,30.860001,31.700001,30.610001,31.52,925100
2018-07-06,31.440001,31.52,30.74,31.23,447400
2018-07-09,31.41,32.580002,31.101,31.92,984700
2018-07-10,31.9,32.470001,31.379999,31.77,605500
2018-07-11,31.559999,31.655001,30.549999,30.719999,592700
2018-07-12,30.719999,31.25,30.51,31.1,760900
2018-07-13,31.02,31.17,30.35,30.48,663600
2018-07-16,30.59,31.92,30.25,31.43,742400
2018-07-17,31.139999,32.580002,31.059999,32.259998,582500
2018-07-18,32.369999,33.240002,32.220001,32.580002,754100
2018-07-19,31.77,33.540001,31.620001,33.049999,790600
2018-07-20,33.060001,33.110001,31.83,31.950001,545500
2018-07-23,31.780001,32.119999,30.620001,32.02,657000
2018-07-24,32.119999,32.610001,31.190001,31.299999,931400
2018-07-25,31.48,31.98,30.67,31.93,582700
2018-07-26,31.799999,32.459999,31.43,31.75,422800
2018-07-27,31.91,32.619999,31.775,32.330002,513800
2018-07-30,32.23,32.48,30.23,30.43,900600
2018-07-31,30.709999,31.139999,30.229,30.530001,335600
2018-08-01,30.77,30.927999,30.35,30.82,420700
2018-08-02,30.51,31.4,30.450001,31.35,283900
2018-08-03,31.200001,31.767,30.860001,31.370001,344200
2018-08-06,31.459999,32.740002,30.98,32.689999,462100
2018-08-07,32.700001,33.125999,32.009998,32.099998,608400
2018-08-08,32.130001,32.349998,31.65,31.870001,545600
2018-08-09,31.84,32.41,31.6,32.110001,442400
2018-08-10,31.85,31.959999,31.33,31.530001,316200
2018-08-13,31.49,31.860001,30.18,30.26,765100
2018-08-14,30.379999,31.219999,30.190001,31.120001,399600
2018-08-15,30.73,30.93,28.400999,29.290001,903900
2018-08-16,29.299999,30.1,29.299999,29.370001,352400
2018-08-17,29.25,30.4,29.058001,30.35,468100
2018-08-20,30.299999,31.334,30.025,31.049999,355000
