date,open,high,low,close,volume
2020-09-23,9.95,10,9.94,10,4975600
2020-09-24,9.98,9.98,9.95,9.98,374500
2020-09-25,10.02,10.02,9.989,10.02,835100
2020-09-28,10.02,10.14,10.01,10.1,255700
2020-09-29,10.05,10.07,10.05,10.05,350500
2020-09-30,10,10.05,10,10.04,157300
2020-10-01,10.02,10.03,9.99,10,323600
2020-10-02,9.99,10,9.97,9.99,470300
2020-10-05,9.99,10.01,9.97,9.98,218000
2020-10-06,9.96,9.96,9.96,9.96,10800
2020-10-07,10,10.01,9.97,9.97,5700
2020-10-08,9.99,10.03,9.97,10,287700
2020-10-09,10,10.02,9.98,9.98,58700
2020-10-12,10.03,10.03,9.98,9.98,10400
2020-10-13,10.03,10.049,9.96,10,6400
2020-10-14,10.04,10.04,9.97,9.99,29700
2020-10-15,9.97,10,9.97,9.98,131300
2020-10-16,9.988,9.994,9.95,9.957,4800
2020-10-19,9.97,10,9.97,9.98,1200
2020-10-20,9.985,9.985,9.97,9.985,3400
2020-10-21,9.983,9.99,9.93,9.93,71000
2020-10-22,9.93,9.942,9.93,9.94,13900
2020-10-23,9.98,9.99,9.95,9.95,28800
2020-10-26,9.95,9.95,9.93,9.94,22300
2020-10-27,9.965,9.965,9.94,9.94,248800
2020-10-28,9.93,9.95,9.92,9.94,29600
2020-10-29,9.93,9.95,9.916,9.95,2500
2020-10-30,9.93,9.95,9.91,9.95,17000
2020-11-02,9.93,9.95,9.87,9.9,68600
2020-11-03,9.91,9.95,9.91,9.93,158500
2020-11-04,9.95,9.99,9.95,9.99,5500
2020-11-05,9.95,9.96,9.918,9.95,5300
2020-11-06,9.98,9.98,9.946,9.95,43500
2020-11-09,9.965,9.97,9.95,9.97,114200
2020-11-10,9.96,9.97,9.947,9.95,3100
2020-11-11,9.95,9.97,9.93,9.96,17500
2020-11-12,9.96,10.06,9.96,9.99,6000
2020-11-13,9.99,10,9.985,9.99,20800
2020-11-16,9.98,10,9.9,9.9,14200
2020-11-17,9.99,10,9.979,9.979,12300
2020-11-18,9.99,9.99,9.95,9.96,7300
2020-11-19,9.97,10.04,9.96,10.03,499900
2020-11-20,10.05,10.05,10.003,10.04,89800
2020-11-23,10.05,10.1,10.047,10.09,41500
2020-11-24,10.05,10.13,10.05,10.1,52000
2020-11-25,10.1,10.25,10.1,10.21,134400
2020-11-27,10.16,11.025,10.15,10.26,31300
2020-11-30,10.2,10.4,10.2,10.36,79400
2020-12-01,10.45,10.49,10.37,10.38,38300
2020-12-02,10.36,10.38,10.316,10.38,50300
2020-12-03,10.38,10.49,10.3,10.38,20900
2020-12-04,10.37,11.117,10.37,10.6,509100
2020-12-07,10.62,11,10.53,10.8,93900
2020-12-08,10.8,10.905,10.53,10.75,192400
2020-12-09,10.85,10.99,10.71,10.72,30200
2020-12-10,10.72,10.89,10.62,10.73,89500
2020-12-11,10.8,11.04,10.8,10.975,315000
2020-12-14,10.99,11.625,10.99,11.22,131500
2020-12-15,11.22,11.5,10.94,11,31600
2020-12-16,10.96,11.79,10.95,11.17,101200
2020-12-17,11.13,11.35,11.13,11.25,183100
2020-12-18,11.3,11.5,11.2,11.4,201300
2020-12-21,11.4,11.4,11.038,11.175,8900
2020-12-22,11.22,11.553,11.13,11.25,84800
2020-12-23,11.3,12.18,11.25,11.79,128600
2020-12-24,12,13,12,12.6,209200
2020-12-28,13,13.25,12.23,12.5,416300
2020-12-29,12.48,12.5,11.76,12,136200
2020-12-30,12,12.575,12,12.2,31700
2020-12-31,12.17,12.17,11.9,11.9,193100
2021-01-04,12,12.05,11.76,11.9,115300
2021-01-05,12,12.13,11.842,11.9,23000
2021-01-06,12.15,12.2,11.85,11.96,48900
2021-01-07,12.34,12.733,12.21,12.39,52500
2021-01-08,12.55,14.504,12.55,13.04,515700
2021-01-11,13.49,13.84,13.035,13.35,102100
2021-01-12,23.469999,29.290001,21.799999,29.25,4951200
2021-01-13,26.709999,28.139999,25.559999,26.49,1275600
2021-01-14,28.74,31.959999,27.35,29.33,492000
2021-01-15,30.65,32.560001,30.040001,30.34,226500
2021-01-19,33.880001,35.5,32.674999,33.34,399500
2021-01-20,32.950001,32.98,31.74,32.330002,100200
2021-01-21,32,32,29.4,29.93,95400
2021-01-22,30.049999,31.219999,29.120001,29.959999,48100
2021-01-25,31.92,31.92,26.459999,29.200001,111400
2021-01-26,29.75,29.799999,28.370001,28.459999,73600
2021-01-27,27.709999,29.379999,26.200001,26.200001,107300
2021-01-28,26.290001,28.24,26.24,26.77,126000
