date,open,high,low,close,volume
2021-01-15,10.41,10.68,10.4,10.55,5250300
2021-01-19,10.55,10.75,10.55,10.65,334100
2021-01-20,10.65,10.85,10.6,10.66,364000
2021-01-21,10.62,10.72,10.56,10.61,486300
2021-01-22,10.74,11,10.65,10.7,453900
2021-01-25,10.9,11.04,10.8,10.91,195300
2021-01-26,11.02,11.02,10.59,10.62,458900
2021-01-27,10.56,10.6,10.4,10.5,468300
2021-01-28,10.6,10.6,10.42,10.5,534900
2021-01-29,10.49,10.58,10.45,10.5,176400
2021-02-01,10.59,10.88,10.47,10.78,107400
2021-02-02,10.81,10.85,10.8,10.83,64600
2021-02-03,10.85,11.09,10.85,11.03,42400
2021-02-04,11.08,11.08,10.84,10.85,124300
2021-02-05,10.91,11.08,10.72,10.87,160400
2021-02-08,11,11.07,10.71,10.75,145800
2021-02-09,10.8,10.85,10.66,10.73,96300
2021-02-10,10.72,10.82,10.615,10.7,117500
2021-02-11,10.685,10.76,10.64,10.725,184100
2021-02-12,10.68,10.86,10.67,10.8,270900
2021-02-16,10.78,10.86,10.68,10.74,227500
2021-02-17,10.67,10.745,10.65,10.68,24500
2021-02-18,10.65,10.699,10.62,10.66,9500
2021-02-19,10.69,10.71,10.58,10.6,155800
2021-02-22,10.63,10.834,10.6,10.65,364400
2021-02-23,10.65,10.66,10.51,10.64,358300
2021-02-24,10.68,10.68,10.51,10.57,225000
2021-02-25,10.64,10.65,10.3,10.3,117000
2021-02-26,10.35,10.37,10.21,10.3,149000
2021-03-01,10.46,10.46,10.22,10.29,254800
2021-03-02,10.27,10.4,10.26,10.31,154900
2021-03-03,10.4,10.4,10.16,10.2,225600
2021-03-04,10.16,10.16,10.02,10.1,151800
2021-03-05,10.155,10.25,10,10.23,823300
2021-03-08,10.21,10.25,10.16,10.21,81700
2021-03-09,10.19,10.22,10.14,10.2,205000
2021-03-10,10.262,10.38,10.18,10.36,279300
2021-03-11,10.3,10.4,10.24,10.26,54600
2021-03-12,10.39,10.39,10.19,10.27,58400
2021-03-15,10.3,10.325,10.23,10.32,57400
2021-03-16,10.4,10.4,10.15,10.22,137100
2021-03-17,10.16,10.27,10.16,10.25,15000
2021-03-18,10.31,10.311,10.23,10.23,26200
2021-03-19,10.285,10.285,10.14,10.14,27100
