date,open,high,low,close,volume
2021-01-15,10.35,10.44,10.3,10.38,5978000
2021-01-19,10.5,10.58,10.42,10.42,1519000
2021-01-20,10.47,10.58,10.42,10.47,493900
2021-01-21,10.49,10.58,10.43,10.45,437100
2021-01-22,10.5,10.5,10.4,10.43,481800
2021-01-25,10.48,10.55,10.4,10.45,143900
2021-01-26,10.5,10.57,10.4,10.43,139700
2021-01-27,10.43,10.43,10.3,10.32,708000
2021-01-28,10.3,10.4,10.3,10.35,213200
2021-01-29,10.32,10.425,10.32,10.4,24300
2021-02-01,10.49,10.49,10.36,10.38,21400
2021-02-02,10.4,10.45,10.34,10.35,161500
2021-02-03,10.47,10.47,10.31,10.33,247800
2021-02-04,10.41,10.55,10.37,10.4,277300
2021-02-05,10.385,10.445,10.365,10.37,316000
2021-02-08,10.39,10.49,10.39,10.45,109600
2021-02-09,10.48,10.645,10.455,10.631,77100
2021-02-10,10.74,10.98,10.53,10.55,84200
2021-02-11,10.55,10.6,10.42,10.44,38400
2021-02-12,10.44,10.49,10.41,10.435,40000
2021-02-16,10.4,10.49,10.38,10.43,170200
2021-02-17,10.43,10.485,10.4,10.46,39600
2021-02-18,10.4,10.55,10.39,10.55,48000
2021-02-19,10.53,10.55,10.42,10.47,22800
2021-02-22,10.471,10.5,10.46,10.49,31500
2021-02-23,10.43,10.53,10.3,10.38,123800
2021-02-24,10.38,10.45,10.3,10.35,48200
2021-02-25,10.33,10.45,10.31,10.34,108500
2021-02-26,10.31,10.343,10.22,10.25,528100
2021-03-01,10.28,10.28,10.15,10.16,57000
2021-03-02,10.15,10.23,10.05,10.12,113300
2021-03-03,10.12,10.15,10.1,10.12,169200
2021-03-04,10.05,10.11,9.942,10.06,184100
2021-03-05,10.05,10.15,10.04,10.05,153900
2021-03-08,10.16,10.22,10.14,10.15,24600
2021-03-09,10.1,10.1,10,10.1,647800
2021-03-10,10.04,10.09,10,10.05,64400
2021-03-11,10.02,10.1,10.02,10.09,22500
2021-03-12,10.075,10.1,10.05,10.1,31400
2021-03-15,10.1,10.1,10.05,10.05,44100
2021-03-16,10.04,10.05,9.99,9.99,156400
2021-03-17,10,10.06,9.994,10.06,7600
2021-03-18,10.05,10.05,10.02,10.02,6600
2021-03-19,9.99,10.02,9.98,10,96900
2021-03-22,10.01,10.02,9.96,9.96,25700
2021-03-23,9.96,9.99,9.93,9.99,46100
2021-03-24,9.99,9.99,9.91,9.95,18700
2021-03-25,9.92,9.99,9.7,9.9,324500
2021-03-26,9.86,9.99,9.86,9.99,22500
2021-03-29,9.923,9.95,9.89,9.95,1700
2021-03-30,9.92,10,9.88,10,21200
2021-03-31,9.98,9.99,9.89,9.89,29400
2021-04-01,9.95,10.01,9.92,10,70400
2021-04-05,9.98,10.028,9.95,10,42000
