date,open,high,low,close,volume
2021-05-05,9.85,9.87,9.85,9.87,153100
2021-05-06,9.86,10,9.85,9.85,46600
2021-05-07,9.86,9.86,9.84,9.84,49800
2021-05-10,9.84,9.86,9.84,9.84,128100
2021-05-11,9.84,10,9.84,10,1800
2021-05-12,9.95,9.95,9.84,9.84,1300
2021-05-13,9.84,9.84,9.84,9.84,3900
2021-05-14,9.84,9.84,9.84,9.84,0
2021-05-17,9.84,9.877,9.84,9.84,600
2021-05-18,9.86,9.86,9.84,9.85,38300
2021-05-19,9.85,9.85,9.84,9.84,30900
2021-05-20,9.84,9.84,9.84,9.84,0
2021-05-21,9.84,9.84,9.84,9.84,0
2021-05-24,9.86,9.86,9.86,9.86,400
2021-05-25,9.86,9.86,9.85,9.85,50700
2021-05-26,9.91,9.91,9.85,9.86,7200
2021-05-27,9.86,9.87,9.86,9.87,53100
2021-05-28,9.87,9.88,9.87,9.87,27100
2021-06-01,9.88,9.89,9.87,9.89,5100
2021-06-02,9.89,9.89,9.88,9.89,85300
2021-06-03,9.9,9.9,9.9,9.9,14500
2021-06-04,9.9,9.9,9.9,9.9,4500
2021-06-07,9.908,9.91,9.908,9.91,500
2021-06-08,9.91,9.91,9.91,9.91,0
2021-06-09,9.93,9.93,9.93,9.93,500
2021-06-10,9.95,9.97,9.94,9.97,12900
2021-06-11,9.96,9.99,9.96,9.975,8300
2021-06-14,9.93,9.93,9.92,9.92,4300
2021-06-15,9.92,9.95,9.92,9.93,4700
2021-06-16,9.945,9.945,9.93,9.93,2100
2021-06-17,9.91,9.91,9.9,9.9,54700
2021-06-18,9.87,9.93,9.87,9.93,38500
2021-06-21,9.92,9.92,9.92,9.92,500
2021-06-22,9.91,9.91,9.91,9.91,500
2021-06-23,9.915,9.92,9.915,9.92,400
2021-06-24,9.92,9.92,9.92,9.92,0
2021-06-25,9.91,9.91,9.9,9.9,55500
2021-06-28,9.9,9.9,9.9,9.9,400
2021-06-29,9.9,9.9,9.9,9.9,0
2021-06-30,9.95,9.95,9.942,9.942,476700
2021-07-01,10,10,9.88,9.89,12200
2021-07-02,9.89,9.89,9.89,9.89,0
2021-07-06,9.87,9.95,9.86,9.88,222400
2021-07-07,9.89,9.9,9.89,9.9,1900
2021-07-08,9.9,9.9,9.9,9.9,0
2021-07-09,9.9,9.9,9.9,9.9,0
2021-07-12,9.95,9.95,9.92,9.92,1900
2021-07-13,9.93,9.93,9.93,9.93,100
2021-07-14,9.88,9.88,9.84,9.85,41200
2021-07-15,9.87,9.87,9.85,9.85,2400
2021-07-16,9.86,9.87,9.85,9.87,3800
2021-07-19,9.86,9.89,9.86,9.89,16100
2021-07-20,9.88,9.9,9.87,9.89,310500
2021-07-21,9.88,9.88,9.88,9.88,100
2021-07-22,9.87,9.88,9.87,9.88,1600
2021-07-23,9.89,9.92,9.89,9.92,2300
2021-07-26,9.87,9.92,9.87,9.92,7500
2021-07-27,9.92,9.92,9.92,9.92,0
2021-07-28,9.876,9.876,9.876,9.876,100
2021-07-29,9.93,9.93,9.93,9.93,2300
2021-07-30,9.92,9.92,9.86,9.86,6500
2021-08-02,9.86,9.86,9.86,9.86,0
2021-08-03,9.86,9.86,9.86,9.86,0
2021-08-04,9.86,9.86,9.86,9.86,0
2021-08-05,9.91,9.91,9.9,9.9,2800
2021-08-06,9.9,9.9,9.9,9.9,0
2021-08-09,9.9,9.9,9.9,9.9,0
2021-08-10,9.9,9.9,9.9,9.9,0
2021-08-11,9.9,9.9,9.9,9.9,0
2021-08-12,9.9,9.9,9.9,9.9,200
2021-08-13,9.9,9.9,9.9,9.9,0
2021-08-16,9.87,9.92,9.85,9.92,14300
2021-08-17,9.92,9.92,9.92,9.92,0
2021-08-18,9.92,9.92,9.92,9.92,0
2021-08-19,9.92,9.92,9.92,9.92,0
2021-08-20,9.92,9.92,9.92,9.92,0
2021-08-23,9.92,9.92,9.92,9.92,0
2021-08-24,9.92,9.92,9.92,9.92,0
2021-08-25,9.92,9.92,9.92,9.92,0
2021-08-26,9.92,9.92,9.92,9.92,0
2021-08-27,9.92,9.92,9.92,9.92,0
2021-08-30,9.92,9.92,9.92,9.92,0
2021-08-31,9.92,9.92,9.92,9.92,0
2021-09-01,9.92,10,9.92,9.99,2900
2021-09-02,9.99,9.99,9.99,9.99,0
2021-09-03,9.99,9.99,9.99,9.99,0
2021-09-07,9.99,9.99,9.99,9.99,0
2021-09-08,9.99,9.99,9.99,9.99,0
2021-09-09,9.98,9.99,9.98,9.99,800
2021-09-10,9.99,9.99,9.99,9.99,400
2021-09-13,9.97,9.97,9.97,9.97,600
