date,open,high,low,close,volume
2021-01-28,10.05,10.08,9.99,10.05,301500
2021-01-29,10.06,10.35,10.06,10.15,156700
2021-02-01,10.05,10.425,10.05,10.15,34500
2021-02-02,10.15,10.15,10.05,10.14,311400
2021-02-03,10.19,10.25,10.14,10.25,45000
2021-02-04,10.28,10.3,10.15,10.27,101700
2021-02-05,10.33,10.37,10.22,10.24,7600
2021-02-08,10.25,10.25,10.08,10.2,431500
2021-02-09,10.2,10.24,10.13,10.18,173600
2021-02-10,10.2,10.24,10.1,10.14,395500
2021-02-11,10.16,10.176,10.11,10.15,58400
2021-02-12,10.15,10.16,10.12,10.15,28500
2021-02-16,10.15,10.2,10.13,10.19,273800
2021-02-17,10.24,10.24,10.13,10.17,208800
2021-02-18,10.167,10.2,10.15,10.17,11200
2021-02-19,10.18,10.2,10.14,10.16,499900
2021-02-22,10.15,10.2,10.1,10.13,225200
2021-02-23,10.06,10.2,10.05,10.2,229700
2021-02-24,10.145,10.2,10.1,10.18,201100
2021-02-25,10.11,10.19,10.07,10.14,290000
2021-02-26,10.17,10.2,10.08,10.14,206200
2021-03-01,10.1,10.13,10.01,10.04,119600
2021-03-02,10.06,10.08,9.98,9.98,52900
2021-03-03,9.99,10.01,9.98,9.99,66000
2021-03-04,9.95,9.985,9.9,9.98,29700
2021-03-05,9.915,9.965,9.88,9.93,22700
2021-03-08,9.975,9.975,9.96,9.96,10700
2021-03-09,9.98,10.01,9.98,10,731600
2021-03-10,9.99,10.01,9.96,9.99,575400
2021-03-11,9.99,10.03,9.98,9.98,147500
2021-03-12,9.98,10.01,9.98,9.98,12600
2021-03-15,10.042,10.042,9.98,9.99,12100
2021-03-16,10.02,10.03,9.97,9.99,86500
2021-03-17,9.97,9.98,9.97,9.97,5000
2021-03-18,9.987,9.987,9.97,9.97,5800
2021-03-19,9.97,9.97,9.95,9.95,17800
2021-03-22,9.954,9.96,9.95,9.95,5500
2021-03-23,9.95,9.95,9.84,9.84,183900
2021-03-24,9.9,9.91,9.86,9.9,35500
2021-03-25,9.86,9.9,9.85,9.89,74500
2021-03-26,9.93,9.95,9.93,9.95,500
2021-03-29,9.94,10.01,9.94,10.01,800
2021-03-30,9.98,10.03,9.98,10,1900
2021-03-31,9.96,10,9.931,9.94,19000
2021-04-01,9.92,10,9.92,9.94,3700
2021-04-05,9.94,9.94,9.93,9.94,51800
2021-04-06,9.95,10,9.95,9.96,13800
2021-04-07,9.984,9.984,9.98,9.98,600
2021-04-08,9.98,10.05,9.97,10.05,52100
2021-04-09,10.02,10.24,10.02,10.24,7800
2021-04-12,10.24,10.24,10.24,10.24,0
2021-04-13,10,10.02,9.98,10.02,3300
2021-04-14,9.97,10.04,9.97,10.01,9100
2021-04-15,10.02,10.02,10,10,200
2021-04-16,10.01,10.01,10,10,400
2021-04-19,9.983,10.01,9.983,10.01,2900
2021-04-20,9.96,10.02,9.95,10,8700
2021-04-21,9.99,10,9.99,10,7200
2021-04-22,9.98,10.02,9.98,10.02,6400
2021-04-23,10.02,10.02,10.02,10.02,0
2021-04-26,10,10.01,9.99,10.005,4600
2021-04-27,10.005,10.005,10.005,10.005,0
2021-04-28,10.01,10.01,9.99,10.01,3100
2021-04-29,10.01,10.01,10.01,10.01,0
2021-04-30,10.01,10.01,9.99,9.99,2100
2021-05-03,10.005,10.02,9.995,9.995,4400
2021-05-04,10,10,9.995,9.995,6000
2021-05-05,9.99,10,9.99,9.995,7000
2021-05-06,9.99,10.02,9.99,10,51400
2021-05-07,10,10,9.99,9.99,1700
2021-05-10,9.99,10.02,9.95,10.02,8600
2021-05-11,9.987,9.987,9.97,9.97,900
2021-05-12,9.98,10,9.96,9.97,8200
2021-05-13,9.96,9.96,9.96,9.96,1400
2021-05-14,9.96,10.06,9.96,10.06,25500
2021-05-17,9.95,9.95,9.95,9.95,100
2021-05-18,9.95,9.96,9.95,9.95,9000
2021-05-19,9.94,9.94,9.93,9.93,27100
2021-05-20,9.93,9.99,9.93,9.94,7300
2021-05-21,9.94,9.94,9.94,9.94,100
2021-05-24,9.94,10,9.93,10,2900
2021-05-25,9.92,10.01,9.92,10.01,5400
2021-05-26,9.94,10.02,9.92,10.01,12200
2021-05-27,10.01,10.03,9.95,10.03,4600
2021-05-28,10.03,10.03,10.03,10.03,0
2021-06-01,10.03,10.03,9.93,10,4100
2021-06-02,9.99,10,9.99,10,9100
2021-06-03,10,10,10,10,800
2021-06-04,9.95,9.95,9.95,9.95,400
2021-06-07,9.97,9.98,9.97,9.98,6600
2021-06-08,9.98,9.98,9.98,9.98,0
2021-06-09,9.98,9.98,9.98,9.98,300000
2021-06-10,10.03,10.03,10,10,5400
2021-06-11,10.01,10.04,10.01,10.04,7800
2021-06-14,9.98,10.04,9.979,10.04,162600
2021-06-15,10.04,10.04,9.98,10.03,5800
2021-06-16,9.98,9.98,9.98,9.98,500
2021-06-17,9.98,10.03,9.98,10.03,6000
2021-06-18,10.03,10.03,10.03,10.03,17200
2021-06-21,10.03,10.032,10.03,10.03,3200
2021-06-22,9.98,10.05,9.98,10.05,2200
2021-06-23,9.98,9.98,9.98,9.98,300
2021-06-24,9.98,9.98,9.98,9.98,700
2021-06-25,9.995,9.995,9.99,9.99,1600
2021-06-28,9.99,10.01,9.99,9.99,15200
2021-06-29,10.05,10.05,9.99,9.99,2600
2021-06-30,10,10,10,10,125400
2021-07-01,10,10,10,10,200
2021-07-02,10,10,10,10,0
2021-07-06,10.01,10.01,10,10,4800
2021-07-07,10,10,10,10,200
2021-07-08,10.01,10.02,10.01,10.02,5900
2021-07-09,10.02,10.02,10.02,10.02,0
2021-07-12,10.01,10.01,10.01,10.01,800
2021-07-13,10.01,10.01,10.01,10.01,1200
2021-07-14,10.01,10.01,10.01,10.01,300
2021-07-15,10.02,10.02,10.02,10.02,4000
2021-07-16,10.02,10.02,10.02,10.02,200
2021-07-19,10.02,10.02,10.02,10.02,17200
2021-07-20,10.02,10.024,10.02,10.024,400
2021-07-21,10.02,10.02,10.02,10.02,100
2021-07-22,9.99,10.027,9.99,10.027,5400
2021-07-23,10.03,10.03,10,10.03,10600
2021-07-26,10.05,10.05,10.03,10.04,57600
2021-07-27,9.99,10.04,9.99,10.04,1900
2021-07-28,10.04,10.04,10.04,10.04,49100
2021-07-29,10.05,10.05,9.981,10.01,42000
2021-07-30,10,10.01,10,10.01,30300
2021-08-02,10.01,10.01,10.01,10.01,0
2021-08-03,10.01,10.01,10,10,11100
2021-08-04,10,10,10,10,600
2021-08-05,10.01,10.01,10,10,600
2021-08-06,10,10,10,10,800
2021-08-09,9.99,10.01,9.99,10.01,5000
2021-08-10,10.01,10.01,10.01,10.01,1300
2021-08-11,10,10,9.98,10,3800
2021-08-12,10,10,10,10,1400
2021-08-13,10,10,10,10,1600
2021-08-16,9.99,9.99,9.99,9.99,7900
2021-08-17,9.98,10.035,9.98,9.99,12900
2021-08-18,10.03,10.03,10.03,10.03,500
2021-08-19,10.02,10.02,9.99,9.99,5600
2021-08-20,10.03,10.05,10,10.04,22600
2021-08-23,10.05,10.05,10.03,10.03,500
2021-08-24,10.01,10.05,10.01,10.05,1800
2021-08-25,10.03,10.03,10.03,10.03,1200
2021-08-26,10.03,10.03,10.03,10.03,0
2021-08-27,10.05,10.05,10.05,10.05,2900
2021-08-30,10.05,10.05,10.05,10.05,200
2021-08-31,10.04,10.05,10.04,10.05,3600
2021-09-01,10.05,10.05,10.05,10.05,0
2021-09-02,10.06,10.07,10.06,10.07,2000
2021-09-03,10.07,10.07,10.07,10.07,0
2021-09-07,10.03,10.07,10.03,10.07,4100
2021-09-08,10.04,10.05,10.02,10.05,18800
2021-09-09,10.05,10.05,10.05,10.05,0
2021-09-10,10.05,10.05,10.05,10.05,0
2021-09-13,10.05,10.05,10.05,10.05,0
