date,open,high,low,close,volume
2021-01-26,10.4,10.4,10.3,10.31,7184900
2021-01-27,10.39,10.39,10.23,10.3,896000
2021-01-28,10.27,10.4,10.25,10.3,344200
2021-01-29,10.39,10.39,10.26,10.29,109300
2021-02-01,10.39,10.39,10.31,10.35,329800
2021-02-02,10.41,10.46,10.381,10.4,60900
2021-02-03,10.41,10.41,10.31,10.35,229200
2021-02-04,10.35,10.44,10.35,10.41,182600
2021-02-05,10.43,10.43,10.39,10.41,204600
2021-02-08,10.4,10.46,10.37,10.44,442800
2021-02-09,10.46,10.73,10.46,10.7,463400
2021-02-10,10.7,10.95,10.7,10.76,248000
2021-02-11,10.79,10.79,10.65,10.73,204700
2021-02-12,10.71,10.75,10.68,10.699,17900
2021-02-16,10.72,10.8,10.56,10.56,62500
2021-02-17,10.55,10.71,10.52,10.64,63700
2021-02-18,10.66,10.66,10.56,10.56,26600
2021-02-19,10.63,10.71,10.6,10.695,86100
2021-02-22,10.7,10.75,10.65,10.68,76400
2021-02-23,10.65,10.67,10.45,10.61,258700
2021-02-24,10.54,10.655,10.53,10.53,101900
2021-02-25,10.55,10.59,10.4,10.48,180000
2021-02-26,10.48,10.48,10.3,10.36,186300
2021-03-01,10.36,10.36,10.23,10.34,57500
2021-03-02,10.27,10.27,10.15,10.2,49300
2021-03-03,10.3,10.3,10.13,10.19,56300
2021-03-04,10.13,10.2,10.04,10.04,80200
2021-03-05,10.03,10.35,10,10.2,88700
2021-03-08,10.23,10.23,10.15,10.21,5400
2021-03-09,10.155,10.16,10.03,10.13,7900
2021-03-10,10.09,10.19,10.09,10.19,42400
2021-03-11,10.155,10.18,10.15,10.18,117300
2021-03-12,10.2,10.221,10.066,10.1,4300
2021-03-15,10.11,10.12,10,10.04,77100
2021-03-16,10.018,10.07,10.018,10.05,16700
2021-03-17,10.01,10.04,10.01,10.037,5100
2021-03-18,10.04,10.08,10.02,10.048,17600
2021-03-19,10.14,10.14,10.01,10.04,17500
2021-03-22,10.06,10.07,9.96,10.05,107900
2021-03-23,10.05,10.05,9.9,9.98,34600
2021-03-24,9.92,9.99,9.87,9.94,96000
2021-03-25,9.94,9.975,9.79,9.9,98700
2021-03-26,9.9,9.945,9.85,9.89,227400
2021-03-29,9.95,10,9.91,9.99,10200
2021-03-30,9.91,9.93,9.85,9.92,7300
2021-03-31,9.92,9.98,9.89,9.89,3800
2021-04-01,9.98,9.98,9.9,9.98,29600
2021-04-05,9.96,9.98,9.96,9.98,11100
