date,open,high,low,close,volume
2021-03-12,10,10.091,10,10.005,5439700
2021-03-15,10,10.04,9.97,9.97,450100
2021-03-16,10.1,10.1,9.98,10,831800
2021-03-17,10,10.002,9.98,10,216700
2021-03-18,10.05,10.05,9.965,10,227600
2021-03-19,10,10.005,9.98,9.98,411000
2021-03-22,10.01,10.01,9.95,9.99,115100
2021-03-23,9.99,10,9.965,9.98,330500
2021-03-24,9.96,9.971,9.43,9.95,484400
2021-03-25,9.885,9.885,9.885,9.885,300
2021-03-26,9.9,9.95,9.9,9.95,35200
2021-03-29,9.95,9.96,9.95,9.95,1100
2021-03-30,9.94,9.98,9.94,9.94,369600
2021-03-31,9.81,9.97,9.81,9.92,15800
2021-04-01,9.97,9.98,9.961,9.98,79600
2021-04-05,10.02,10.02,10,10,8400
2021-04-06,10.07,10.07,9.99,9.99,1200
2021-04-07,10.01,10.01,9.969,10,4500
2021-04-08,10,10.03,10,10.02,8900
2021-04-09,10.03,10.11,10.03,10.06,218300
2021-04-12,10.17,10.17,10.03,10.15,46500
2021-04-13,10.15,10.15,10.15,10.15,0
2021-04-14,10.142,10.142,10.05,10.13,6700
2021-04-15,10.05,10.1,10.03,10.09,15200
2021-04-16,10.1,10.1,10.1,10.1,7600
2021-04-19,10.08,10.09,10.08,10.09,39000
2021-04-20,10.03,10.03,10.02,10.03,1600
2021-04-21,10.03,10.03,9.85,10,52600
2021-04-22,10,10.03,9.89,9.95,70600
2021-04-23,9.95,9.95,9.95,9.95,0
2021-04-26,9.95,9.95,9.95,9.95,0
2021-04-27,10.16,10.16,10.16,10.16,100
2021-04-28,9.995,9.995,9.995,9.995,100
2021-04-29,10.03,10.03,10.03,10.03,50100
2021-04-30,10.02,10.02,10.01,10.01,253600
2021-05-03,10,10,10,10,6500
2021-05-04,10.05,10.05,10,10,13300
2021-05-05,9.99,10.02,9.99,10,8600
2021-05-06,10.14,10.14,10.14,10.14,300
2021-05-07,10.05,10.05,10,10.015,800
2021-05-10,10.03,10.05,10.03,10.05,500
2021-05-11,10,10,10,10,300
2021-05-12,10.03,10.03,10.03,10.03,400
2021-05-13,10,10,9.99,9.99,251100
2021-05-14,9.99,9.99,9.99,9.99,0
2021-05-17,10.015,10.015,10.015,10.015,3600
2021-05-18,10.015,10.015,10.015,10.015,0
2021-05-19,9.995,10.01,9.99,9.99,9500
2021-05-20,10,10.01,9.97,9.98,23000
2021-05-21,10.01,10.01,9.98,9.99,5300
2021-05-24,9.995,10,9.98,9.98,1200
2021-05-25,9.97,10,9.96,9.96,31200
2021-05-26,10,10.3,9.95,10,301500
2021-05-27,10,10,10,10,50300
2021-05-28,9.95,9.95,9.95,9.95,100
2021-06-01,10.05,10.14,9.99,10.04,56600
2021-06-02,10.04,10.04,10.04,10.04,0
2021-06-03,10,10,10,10,600
2021-06-04,10,10,10,10,200
2021-06-07,9.99,9.99,9.99,9.99,700
2021-06-08,9.99,9.99,9.99,9.99,74400
2021-06-09,9.99,9.99,9.99,9.99,0
2021-06-10,9.99,9.99,9.99,9.99,0
2021-06-11,9.99,10,9.98,10,5300
2021-06-14,10,10,9.98,9.98,6000
